,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,ABB Inc. Cash Balance Pension Plan,https://www.brightscope.com/form-5500/basic-info/169960/Abb-Inc/13914069/Abb-Inc-Cash-Balance-Pension-Plan/2018/,ABB Inc.,01/01/2018 — 12/31/2018,01/01/1992,"$679,820,473",301,Single Employer,No,Yes,Trust,Trust,"3,335","3,876","4,257","11,468","1,044","12,512","13,033",0,0,$0,$0,$0,$0,$0,$0,305 Gregson Drive ,CARY,NC,27511,(919) 856-2360,36-3100018,335900,Daniel Hagmann,Alight,"Contract Administrator, Recordkeeping fees, Direct payment from the plan",NONE,"$602,549",$0,"$602,549"
1,ABB Inc. Cash Balance Pension Plan,https://www.brightscope.com/form-5500/basic-info/169960/Abb-Inc/13914069/Abb-Inc-Cash-Balance-Pension-Plan/2018/,ABB Inc.,01/01/2018 — 12/31/2018,01/01/1992,"$679,820,473",301,Single Employer,No,Yes,Trust,Trust,"3,335","3,876","4,257","11,468","1,044","12,512","13,033",0,0,$0,$0,$0,$0,$0,$0,305 Gregson Drive ,CARY,NC,27511,(919) 856-2360,36-3100018,335900,Daniel Hagmann,Pimco,"Investment advisory (plan), Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$596,326",$0,"$596,326"
2,ABB Inc. Cash Balance Pension Plan,https://www.brightscope.com/form-5500/basic-info/169960/Abb-Inc/13914069/Abb-Inc-Cash-Balance-Pension-Plan/2018/,ABB Inc.,01/01/2018 — 12/31/2018,01/01/1992,"$679,820,473",301,Single Employer,No,Yes,Trust,Trust,"3,335","3,876","4,257","11,468","1,044","12,512","13,033",0,0,$0,$0,$0,$0,$0,$0,305 Gregson Drive ,CARY,NC,27511,(919) 856-2360,36-3100018,335900,Daniel Hagmann,Bny Mellon,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan",NONE,"$383,393",$0,"$383,393"
3,ABB Inc. Cash Balance Pension Plan,https://www.brightscope.com/form-5500/basic-info/169960/Abb-Inc/13914069/Abb-Inc-Cash-Balance-Pension-Plan/2018/,ABB Inc.,01/01/2018 — 12/31/2018,01/01/1992,"$679,820,473",301,Single Employer,No,Yes,Trust,Trust,"3,335","3,876","4,257","11,468","1,044","12,512","13,033",0,0,$0,$0,$0,$0,$0,$0,305 Gregson Drive ,CARY,NC,27511,(919) 856-2360,36-3100018,335900,Daniel Hagmann,Towers Watson,"Actuarial, Consulting (pension), Direct payment from the plan",NONE,"$257,346",$0,"$257,346"
4,ABB Inc. Cash Balance Pension Plan,https://www.brightscope.com/form-5500/basic-info/169960/Abb-Inc/13914069/Abb-Inc-Cash-Balance-Pension-Plan/2018/,ABB Inc.,01/01/2018 — 12/31/2018,01/01/1992,"$679,820,473",301,Single Employer,No,Yes,Trust,Trust,"3,335","3,876","4,257","11,468","1,044","12,512","13,033",0,0,$0,$0,$0,$0,$0,$0,305 Gregson Drive ,CARY,NC,27511,(919) 856-2360,36-3100018,335900,Daniel Hagmann,Dodge & Cox,"Investment advisory (plan), Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$243,892",$0,"$243,892"
5,ABB Inc. Cash Balance Pension Plan,https://www.brightscope.com/form-5500/basic-info/169960/Abb-Inc/13914069/Abb-Inc-Cash-Balance-Pension-Plan/2018/,ABB Inc.,01/01/2018 — 12/31/2018,01/01/1992,"$679,820,473",301,Single Employer,No,Yes,Trust,Trust,"3,335","3,876","4,257","11,468","1,044","12,512","13,033",0,0,$0,$0,$0,$0,$0,$0,305 Gregson Drive ,CARY,NC,27511,(919) 856-2360,36-3100018,335900,Daniel Hagmann,Gmo Edo Fund,"Investment advisory (plan), Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$233,637",$0,"$233,637"
6,ABB Inc. Cash Balance Pension Plan,https://www.brightscope.com/form-5500/basic-info/169960/Abb-Inc/13914069/Abb-Inc-Cash-Balance-Pension-Plan/2018/,ABB Inc.,01/01/2018 — 12/31/2018,01/01/1992,"$679,820,473",301,Single Employer,No,Yes,Trust,Trust,"3,335","3,876","4,257","11,468","1,044","12,512","13,033",0,0,$0,$0,$0,$0,$0,$0,305 Gregson Drive ,CARY,NC,27511,(919) 856-2360,36-3100018,335900,Daniel Hagmann,Abb Business Services,"Investment advisory (plan), Direct payment from the plan",Plan Sponsor,"$210,425",$0,"$210,425"
7,ABB Inc. Cash Balance Pension Plan,https://www.brightscope.com/form-5500/basic-info/169960/Abb-Inc/13914069/Abb-Inc-Cash-Balance-Pension-Plan/2018/,ABB Inc.,01/01/2018 — 12/31/2018,01/01/1992,"$679,820,473",301,Single Employer,No,Yes,Trust,Trust,"3,335","3,876","4,257","11,468","1,044","12,512","13,033",0,0,$0,$0,$0,$0,$0,$0,305 Gregson Drive ,CARY,NC,27511,(919) 856-2360,36-3100018,335900,Daniel Hagmann,Brown Advisory,"Investment advisory (plan), Investment management, Investment management fees paid directly by plan",NONE,"$183,680",$0,"$183,680"
8,ABB Inc. Cash Balance Pension Plan,https://www.brightscope.com/form-5500/basic-info/169960/Abb-Inc/13914069/Abb-Inc-Cash-Balance-Pension-Plan/2018/,ABB Inc.,01/01/2018 — 12/31/2018,01/01/1992,"$679,820,473",301,Single Employer,No,Yes,Trust,Trust,"3,335","3,876","4,257","11,468","1,044","12,512","13,033",0,0,$0,$0,$0,$0,$0,$0,305 Gregson Drive ,CARY,NC,27511,(919) 856-2360,36-3100018,335900,Daniel Hagmann,Mackay Sheilds Hyac Fund,"Investment advisory (plan), Investment management, Investment management fees paid directly by plan",NONE,"$156,535",$0,"$156,535"
9,ABB Inc. Cash Balance Pension Plan,https://www.brightscope.com/form-5500/basic-info/169960/Abb-Inc/13914069/Abb-Inc-Cash-Balance-Pension-Plan/2018/,ABB Inc.,01/01/2018 — 12/31/2018,01/01/1992,"$679,820,473",301,Single Employer,No,Yes,Trust,Trust,"3,335","3,876","4,257","11,468","1,044","12,512","13,033",0,0,$0,$0,$0,$0,$0,$0,305 Gregson Drive ,CARY,NC,27511,(919) 856-2360,36-3100018,335900,Daniel Hagmann,Marathon Asset Management LLC,"Investment advisory (plan), Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$145,677",$0,"$145,677"
