,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 11/30/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 12/01/2017,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,AEROJET ROCKETDYNE (GENCORP) CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146180/Aerojet-Rocketdyne-Holdings-Inc/13928682/Gencorp-Consolidated-Pension-Plan/2018/,Aerojet Rocketdyne Holdings  Inc.,12/01/2017 — 11/30/2018,10/17/2003,"$953,223,550",5,Single Employer,No,Yes,Trust,Trust,"1,481","7,072","2,890","11,443","2,230","13,673","14,093",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 537012 ,Sacramento,CA,95853-7012,(916) 355-4000,34-0244000,336410,Alric Oishi,"Gamco Asset Management, Inc.","Investment management, Investment management fees paid directly by plan",NONE,"$1,354,564",$0,"$1,354,564"
1,AEROJET ROCKETDYNE (GENCORP) CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146180/Aerojet-Rocketdyne-Holdings-Inc/13928682/Gencorp-Consolidated-Pension-Plan/2018/,Aerojet Rocketdyne Holdings  Inc.,12/01/2017 — 11/30/2018,10/17/2003,"$953,223,550",5,Single Employer,No,Yes,Trust,Trust,"1,481","7,072","2,890","11,443","2,230","13,673","14,093",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 537012 ,Sacramento,CA,95853-7012,(916) 355-4000,34-0244000,336410,Alric Oishi,Willis Towers Watson Us LLC,"Actuarial, Consulting (pension), Direct payment from the plan",NONE,"$1,132,806",$0,"$1,132,806"
2,AEROJET ROCKETDYNE (GENCORP) CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146180/Aerojet-Rocketdyne-Holdings-Inc/13928682/Gencorp-Consolidated-Pension-Plan/2018/,Aerojet Rocketdyne Holdings  Inc.,12/01/2017 — 11/30/2018,10/17/2003,"$953,223,550",5,Single Employer,No,Yes,Trust,Trust,"1,481","7,072","2,890","11,443","2,230","13,673","14,093",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 537012 ,Sacramento,CA,95853-7012,(916) 355-4000,34-0244000,336410,Alric Oishi,Neuberger Berman Invstmnt Advisors,"Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Other commissions, Shareholder servicing fees, Soft dollars commissions, Securities brokerage commissions and fees, Other investment fees and expenses",NONE,"$1,069,889",$0,"$1,069,889"
3,AEROJET ROCKETDYNE (GENCORP) CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146180/Aerojet-Rocketdyne-Holdings-Inc/13928682/Gencorp-Consolidated-Pension-Plan/2018/,Aerojet Rocketdyne Holdings  Inc.,12/01/2017 — 11/30/2018,10/17/2003,"$953,223,550",5,Single Employer,No,Yes,Trust,Trust,"1,481","7,072","2,890","11,443","2,230","13,673","14,093",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 537012 ,Sacramento,CA,95853-7012,(916) 355-4000,34-0244000,336410,Alric Oishi,"Aerojet Rocketdyne Holdings, Inc.","Accounting (including auditing), Claims processing, Plan Administrator, Recordkeeping and information management (computing, tabulating, data processing, etc.), Investment management, Copying and duplicating, Participant communication, Direct payment from the plan",Plan Sponsor,"$995,433",$0,"$995,433"
4,AEROJET ROCKETDYNE (GENCORP) CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146180/Aerojet-Rocketdyne-Holdings-Inc/13928682/Gencorp-Consolidated-Pension-Plan/2018/,Aerojet Rocketdyne Holdings  Inc.,12/01/2017 — 11/30/2018,10/17/2003,"$953,223,550",5,Single Employer,No,Yes,Trust,Trust,"1,481","7,072","2,890","11,443","2,230","13,673","14,093",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 537012 ,Sacramento,CA,95853-7012,(916) 355-4000,34-0244000,336410,Alric Oishi,"Eagle Capital Management, LLC","Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Soft dollars commissions",NONE,"$897,836",$0,"$897,836"
5,AEROJET ROCKETDYNE (GENCORP) CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146180/Aerojet-Rocketdyne-Holdings-Inc/13928682/Gencorp-Consolidated-Pension-Plan/2018/,Aerojet Rocketdyne Holdings  Inc.,12/01/2017 — 11/30/2018,10/17/2003,"$953,223,550",5,Single Employer,No,Yes,Trust,Trust,"1,481","7,072","2,890","11,443","2,230","13,673","14,093",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 537012 ,Sacramento,CA,95853-7012,(916) 355-4000,34-0244000,336410,Alric Oishi,"Kinyan Capital Management, LLC","Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$783,807",$0,"$783,807"
6,AEROJET ROCKETDYNE (GENCORP) CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146180/Aerojet-Rocketdyne-Holdings-Inc/13928682/Gencorp-Consolidated-Pension-Plan/2018/,Aerojet Rocketdyne Holdings  Inc.,12/01/2017 — 11/30/2018,10/17/2003,"$953,223,550",5,Single Employer,No,Yes,Trust,Trust,"1,481","7,072","2,890","11,443","2,230","13,673","14,093",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 537012 ,Sacramento,CA,95853-7012,(916) 355-4000,34-0244000,336410,Alric Oishi,"Aerojet Rocketdyne Holdings, Inc.","Investment management, Named fiduciary, Consulting fees",Party-In-Interest,"$663,871",$0,"$663,871"
7,AEROJET ROCKETDYNE (GENCORP) CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146180/Aerojet-Rocketdyne-Holdings-Inc/13928682/Gencorp-Consolidated-Pension-Plan/2018/,Aerojet Rocketdyne Holdings  Inc.,12/01/2017 — 11/30/2018,10/17/2003,"$953,223,550",5,Single Employer,No,Yes,Trust,Trust,"1,481","7,072","2,890","11,443","2,230","13,673","14,093",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 537012 ,Sacramento,CA,95853-7012,(916) 355-4000,34-0244000,336410,Alric Oishi,The Northern Trust Company,"Trustee (directed), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$429,364",$0,"$429,364"
8,AEROJET ROCKETDYNE (GENCORP) CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146180/Aerojet-Rocketdyne-Holdings-Inc/13928682/Gencorp-Consolidated-Pension-Plan/2018/,Aerojet Rocketdyne Holdings  Inc.,12/01/2017 — 11/30/2018,10/17/2003,"$953,223,550",5,Single Employer,No,Yes,Trust,Trust,"1,481","7,072","2,890","11,443","2,230","13,673","14,093",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 537012 ,Sacramento,CA,95853-7012,(916) 355-4000,34-0244000,336410,Alric Oishi,Bares Capital Management,"Investment management, Investment management fees paid directly by plan",NONE,"$276,459",$0,"$276,459"
9,AEROJET ROCKETDYNE (GENCORP) CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146180/Aerojet-Rocketdyne-Holdings-Inc/13928682/Gencorp-Consolidated-Pension-Plan/2018/,Aerojet Rocketdyne Holdings  Inc.,12/01/2017 — 11/30/2018,10/17/2003,"$953,223,550",5,Single Employer,No,Yes,Trust,Trust,"1,481","7,072","2,890","11,443","2,230","13,673","14,093",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 537012 ,Sacramento,CA,95853-7012,(916) 355-4000,34-0244000,336410,Alric Oishi,Dechert LLP,"Legal, Direct payment from the plan",NONE,"$199,214",$0,"$199,214"
10,AEROJET ROCKETDYNE (GENCORP) CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146180/Aerojet-Rocketdyne-Holdings-Inc/13928682/Gencorp-Consolidated-Pension-Plan/2018/,Aerojet Rocketdyne Holdings  Inc.,12/01/2017 — 11/30/2018,10/17/2003,"$953,223,550",5,Single Employer,No,Yes,Trust,Trust,"1,481","7,072","2,890","11,443","2,230","13,673","14,093",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 537012 ,Sacramento,CA,95853-7012,(916) 355-4000,34-0244000,336410,Alric Oishi,Newport Trust Company,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$75,000",$0,"$75,000"
