,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,AHOLD USA INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/256949/Ahold-Usa-Inc/13914086/Ahold-Usa-Inc-Pension-Plan/,Ahold USA Inc.,01/01/2018 — 12/31/2018,07/07/1978,"$906,101,000",4,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"4,548","2,657","1,183","8,388",369,"8,757","9,123",0,608,$0,$0,$0,$0,$0,$0,1385 Hancock Street ,Quincy,MA,02169-5103,(207) 885-2242,53-0073545,445110,Janet Mcgorty,Willis Towers Watson,"Consulting (general), Actuarial, Direct payment from the plan",NONE,"$691,081",$0,"$691,081"
1,AHOLD USA INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/256949/Ahold-Usa-Inc/13914086/Ahold-Usa-Inc-Pension-Plan/,Ahold USA Inc.,01/01/2018 — 12/31/2018,07/07/1978,"$906,101,000",4,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"4,548","2,657","1,183","8,388",369,"8,757","9,123",0,608,$0,$0,$0,$0,$0,$0,1385 Hancock Street ,Quincy,MA,02169-5103,(207) 885-2242,53-0073545,445110,Janet Mcgorty,Wellington Trust Company Na,"Account maintenance fees, Direct payment from the plan",NONE,"$464,209",$0,"$464,209"
2,AHOLD USA INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/256949/Ahold-Usa-Inc/13914086/Ahold-Usa-Inc-Pension-Plan/,Ahold USA Inc.,01/01/2018 — 12/31/2018,07/07/1978,"$906,101,000",4,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"4,548","2,657","1,183","8,388",369,"8,757","9,123",0,608,$0,$0,$0,$0,$0,$0,1385 Hancock Street ,Quincy,MA,02169-5103,(207) 885-2242,53-0073545,445110,Janet Mcgorty,The Bank of New York Mellon,"Custodial (other than securities), Custodial (securities), Direct payment from the plan, Other fees",NONE,"$414,816",$0,"$414,816"
3,AHOLD USA INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/256949/Ahold-Usa-Inc/13914086/Ahold-Usa-Inc-Pension-Plan/,Ahold USA Inc.,01/01/2018 — 12/31/2018,07/07/1978,"$906,101,000",4,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"4,548","2,657","1,183","8,388",369,"8,757","9,123",0,608,$0,$0,$0,$0,$0,$0,1385 Hancock Street ,Quincy,MA,02169-5103,(207) 885-2242,53-0073545,445110,Janet Mcgorty,Conduent Incorporated,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan, Account maintenance fees, Consulting (general)",NONE,"$373,000",$0,"$373,000"
4,AHOLD USA INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/256949/Ahold-Usa-Inc/13914086/Ahold-Usa-Inc-Pension-Plan/,Ahold USA Inc.,01/01/2018 — 12/31/2018,07/07/1978,"$906,101,000",4,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"4,548","2,657","1,183","8,388",369,"8,757","9,123",0,608,$0,$0,$0,$0,$0,$0,1385 Hancock Street ,Quincy,MA,02169-5103,(207) 885-2242,53-0073545,445110,Janet Mcgorty,Nisa Investment Advisors,"Account maintenance fees, Direct payment from the plan, Investment management",NONE,"$321,986",$0,"$321,986"
5,AHOLD USA INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/256949/Ahold-Usa-Inc/13914086/Ahold-Usa-Inc-Pension-Plan/,Ahold USA Inc.,01/01/2018 — 12/31/2018,07/07/1978,"$906,101,000",4,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"4,548","2,657","1,183","8,388",369,"8,757","9,123",0,608,$0,$0,$0,$0,$0,$0,1385 Hancock Street ,Quincy,MA,02169-5103,(207) 885-2242,53-0073545,445110,Janet Mcgorty,Aon Consulting,"Account maintenance fees, Direct payment from the plan, Consulting (general), Investment advisory (plan)",NONE,"$268,681",$0,"$268,681"
6,AHOLD USA INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/256949/Ahold-Usa-Inc/13914086/Ahold-Usa-Inc-Pension-Plan/,Ahold USA Inc.,01/01/2018 — 12/31/2018,07/07/1978,"$906,101,000",4,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"4,548","2,657","1,183","8,388",369,"8,757","9,123",0,608,$0,$0,$0,$0,$0,$0,1385 Hancock Street ,Quincy,MA,02169-5103,(207) 885-2242,53-0073545,445110,Janet Mcgorty,Wells Capital Management,"Account maintenance fees, Direct payment from the plan, Investment management",NONE,"$255,891",$0,"$255,891"
7,AHOLD USA INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/256949/Ahold-Usa-Inc/13914086/Ahold-Usa-Inc-Pension-Plan/,Ahold USA Inc.,01/01/2018 — 12/31/2018,07/07/1978,"$906,101,000",4,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"4,548","2,657","1,183","8,388",369,"8,757","9,123",0,608,$0,$0,$0,$0,$0,$0,1385 Hancock Street ,Quincy,MA,02169-5103,(207) 885-2242,53-0073545,445110,Janet Mcgorty,Wedge Capital Management,"Investment management, Direct payment from the plan, Account maintenance fees, Consulting (general)",NONE,"$248,890",$0,"$248,890"
8,AHOLD USA INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/256949/Ahold-Usa-Inc/13914086/Ahold-Usa-Inc-Pension-Plan/,Ahold USA Inc.,01/01/2018 — 12/31/2018,07/07/1978,"$906,101,000",4,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"4,548","2,657","1,183","8,388",369,"8,757","9,123",0,608,$0,$0,$0,$0,$0,$0,1385 Hancock Street ,Quincy,MA,02169-5103,(207) 885-2242,53-0073545,445110,Janet Mcgorty,William Blair,"Direct payment from the plan, Investment management",NONE,"$244,790",$0,"$244,790"
9,AHOLD USA INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/256949/Ahold-Usa-Inc/13914086/Ahold-Usa-Inc-Pension-Plan/,Ahold USA Inc.,01/01/2018 — 12/31/2018,07/07/1978,"$906,101,000",4,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"4,548","2,657","1,183","8,388",369,"8,757","9,123",0,608,$0,$0,$0,$0,$0,$0,1385 Hancock Street ,Quincy,MA,02169-5103,(207) 885-2242,53-0073545,445110,Janet Mcgorty,Morgan Stanley,"Investment management, Direct payment from the plan",NONE,"$185,925",$0,"$185,925"
