,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,AK STEEL CORPORATION NONCONTRIBUTORY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/131252/Ak-Steel-Corporation/13913825/Ak-Steel-Corporation-Noncontributory-Pension-Plan/,AK Steel Corporation,01/01/2018 — 12/31/2018,01/01/1950,"$1,768,085,571",3,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"3,022","9,589","1,494","14,105","1,152","15,257","20,582",0,0,$0,$0,$0,$0,$0,$0,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,331110,Stephanie Bisselberg,Stephanie Bisselberg,Benefit Plan Admiinistrative Committee,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,Blackrock Institutional Trust,"Trustee (bank, trust company, or similar financial institution)",,"$1,766,667",$0,"$1,766,667"
1,AK STEEL CORPORATION NONCONTRIBUTORY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/131252/Ak-Steel-Corporation/13913825/Ak-Steel-Corporation-Noncontributory-Pension-Plan/,AK Steel Corporation,01/01/2018 — 12/31/2018,01/01/1950,"$1,768,085,571",3,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"3,022","9,589","1,494","14,105","1,152","15,257","20,582",0,0,$0,$0,$0,$0,$0,$0,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,331110,Stephanie Bisselberg,Stephanie Bisselberg,Benefit Plan Admiinistrative Committee,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,Morgan Stanley,"Trustee (bank, trust company, or similar financial institution)",,"$1,111,037",$0,"$1,111,037"
2,AK STEEL CORPORATION NONCONTRIBUTORY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/131252/Ak-Steel-Corporation/13913825/Ak-Steel-Corporation-Noncontributory-Pension-Plan/,AK Steel Corporation,01/01/2018 — 12/31/2018,01/01/1950,"$1,768,085,571",3,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"3,022","9,589","1,494","14,105","1,152","15,257","20,582",0,0,$0,$0,$0,$0,$0,$0,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,331110,Stephanie Bisselberg,Stephanie Bisselberg,Benefit Plan Admiinistrative Committee,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,Loomis Sayles,"Trustee (bank, trust company, or similar financial institution)",,"$678,348",$0,"$678,348"
3,AK STEEL CORPORATION NONCONTRIBUTORY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/131252/Ak-Steel-Corporation/13913825/Ak-Steel-Corporation-Noncontributory-Pension-Plan/,AK Steel Corporation,01/01/2018 — 12/31/2018,01/01/1950,"$1,768,085,571",3,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"3,022","9,589","1,494","14,105","1,152","15,257","20,582",0,0,$0,$0,$0,$0,$0,$0,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,331110,Stephanie Bisselberg,Stephanie Bisselberg,Benefit Plan Admiinistrative Committee,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,Willis Towers Watson,Actuarial,,"$323,186",$0,"$323,186"
4,AK STEEL CORPORATION NONCONTRIBUTORY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/131252/Ak-Steel-Corporation/13913825/Ak-Steel-Corporation-Noncontributory-Pension-Plan/,AK Steel Corporation,01/01/2018 — 12/31/2018,01/01/1950,"$1,768,085,571",3,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"3,022","9,589","1,494","14,105","1,152","15,257","20,582",0,0,$0,$0,$0,$0,$0,$0,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,331110,Stephanie Bisselberg,Stephanie Bisselberg,Benefit Plan Admiinistrative Committee,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,Acadian,"Trustee (bank, trust company, or similar financial institution)",,"$274,142",$0,"$274,142"
5,AK STEEL CORPORATION NONCONTRIBUTORY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/131252/Ak-Steel-Corporation/13913825/Ak-Steel-Corporation-Noncontributory-Pension-Plan/,AK Steel Corporation,01/01/2018 — 12/31/2018,01/01/1950,"$1,768,085,571",3,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"3,022","9,589","1,494","14,105","1,152","15,257","20,582",0,0,$0,$0,$0,$0,$0,$0,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,331110,Stephanie Bisselberg,Stephanie Bisselberg,Benefit Plan Admiinistrative Committee,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,Jp Morgan,"Trustee (bank, trust company, or similar financial institution)",,"$259,952",$0,"$259,952"
6,AK STEEL CORPORATION NONCONTRIBUTORY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/131252/Ak-Steel-Corporation/13913825/Ak-Steel-Corporation-Noncontributory-Pension-Plan/,AK Steel Corporation,01/01/2018 — 12/31/2018,01/01/1950,"$1,768,085,571",3,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"3,022","9,589","1,494","14,105","1,152","15,257","20,582",0,0,$0,$0,$0,$0,$0,$0,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,331110,Stephanie Bisselberg,Stephanie Bisselberg,Benefit Plan Admiinistrative Committee,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,William Blair,"Trustee (bank, trust company, or similar financial institution)",,"$248,473",$0,"$248,473"
7,AK STEEL CORPORATION NONCONTRIBUTORY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/131252/Ak-Steel-Corporation/13913825/Ak-Steel-Corporation-Noncontributory-Pension-Plan/,AK Steel Corporation,01/01/2018 — 12/31/2018,01/01/1950,"$1,768,085,571",3,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"3,022","9,589","1,494","14,105","1,152","15,257","20,582",0,0,$0,$0,$0,$0,$0,$0,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,331110,Stephanie Bisselberg,Stephanie Bisselberg,Benefit Plan Admiinistrative Committee,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,Rice Hall James,"Trustee (bank, trust company, or similar financial institution)",,"$244,856",$0,"$244,856"
8,AK STEEL CORPORATION NONCONTRIBUTORY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/131252/Ak-Steel-Corporation/13913825/Ak-Steel-Corporation-Noncontributory-Pension-Plan/,AK Steel Corporation,01/01/2018 — 12/31/2018,01/01/1950,"$1,768,085,571",3,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"3,022","9,589","1,494","14,105","1,152","15,257","20,582",0,0,$0,$0,$0,$0,$0,$0,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,331110,Stephanie Bisselberg,Stephanie Bisselberg,Benefit Plan Admiinistrative Committee,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,Us Bank,Investment advisory (participants),,"$187,456",$0,"$187,456"
9,AK STEEL CORPORATION NONCONTRIBUTORY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/131252/Ak-Steel-Corporation/13913825/Ak-Steel-Corporation-Noncontributory-Pension-Plan/,AK Steel Corporation,01/01/2018 — 12/31/2018,01/01/1950,"$1,768,085,571",3,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"3,022","9,589","1,494","14,105","1,152","15,257","20,582",0,0,$0,$0,$0,$0,$0,$0,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,331110,Stephanie Bisselberg,Stephanie Bisselberg,Benefit Plan Admiinistrative Committee,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,Mercer,"Trustee (bank, trust company, or similar financial institution)",,"$180,645",$0,"$180,645"
10,AK STEEL CORPORATION NONCONTRIBUTORY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/131252/Ak-Steel-Corporation/13913825/Ak-Steel-Corporation-Noncontributory-Pension-Plan/,AK Steel Corporation,01/01/2018 — 12/31/2018,01/01/1950,"$1,768,085,571",3,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"3,022","9,589","1,494","14,105","1,152","15,257","20,582",0,0,$0,$0,$0,$0,$0,$0,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,331110,Stephanie Bisselberg,Stephanie Bisselberg,Benefit Plan Admiinistrative Committee,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,Alight Solutions LLC,Actuarial,,"$119,066",$0,"$119,066"
11,AK STEEL CORPORATION NONCONTRIBUTORY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/131252/Ak-Steel-Corporation/13913825/Ak-Steel-Corporation-Noncontributory-Pension-Plan/,AK Steel Corporation,01/01/2018 — 12/31/2018,01/01/1950,"$1,768,085,571",3,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"3,022","9,589","1,494","14,105","1,152","15,257","20,582",0,0,$0,$0,$0,$0,$0,$0,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,331110,Stephanie Bisselberg,Stephanie Bisselberg,Benefit Plan Admiinistrative Committee,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,Wellington Trust Company,"Trustee (bank, trust company, or similar financial institution)",,"$82,483",$0,"$82,483"
12,AK STEEL CORPORATION NONCONTRIBUTORY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/131252/Ak-Steel-Corporation/13913825/Ak-Steel-Corporation-Noncontributory-Pension-Plan/,AK Steel Corporation,01/01/2018 — 12/31/2018,01/01/1950,"$1,768,085,571",3,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"3,022","9,589","1,494","14,105","1,152","15,257","20,582",0,0,$0,$0,$0,$0,$0,$0,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,331110,Stephanie Bisselberg,Stephanie Bisselberg,Benefit Plan Admiinistrative Committee,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,Ak Steel Payroll Employee,Contract Administrator,,"$49,809",$0,"$49,809"
13,AK STEEL CORPORATION NONCONTRIBUTORY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/131252/Ak-Steel-Corporation/13913825/Ak-Steel-Corporation-Noncontributory-Pension-Plan/,AK Steel Corporation,01/01/2018 — 12/31/2018,01/01/1950,"$1,768,085,571",3,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"3,022","9,589","1,494","14,105","1,152","15,257","20,582",0,0,$0,$0,$0,$0,$0,$0,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,331110,Stephanie Bisselberg,Stephanie Bisselberg,Benefit Plan Admiinistrative Committee,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,Prudential Mutual Fund Services LLC,"Trustee (bank, trust company, or similar financial institution)",,"$44,927",$0,"$44,927"
14,AK STEEL CORPORATION NONCONTRIBUTORY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/131252/Ak-Steel-Corporation/13913825/Ak-Steel-Corporation-Noncontributory-Pension-Plan/,AK Steel Corporation,01/01/2018 — 12/31/2018,01/01/1950,"$1,768,085,571",3,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"3,022","9,589","1,494","14,105","1,152","15,257","20,582",0,0,$0,$0,$0,$0,$0,$0,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,331110,Stephanie Bisselberg,Stephanie Bisselberg,Benefit Plan Admiinistrative Committee,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,Pricewaterhousecoopers LLP,Actuarial,,"$25,000",$0,"$25,000"
15,AK STEEL CORPORATION NONCONTRIBUTORY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/131252/Ak-Steel-Corporation/13913825/Ak-Steel-Corporation-Noncontributory-Pension-Plan/,AK Steel Corporation,01/01/2018 — 12/31/2018,01/01/1950,"$1,768,085,571",3,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"3,022","9,589","1,494","14,105","1,152","15,257","20,582",0,0,$0,$0,$0,$0,$0,$0,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,331110,Stephanie Bisselberg,Stephanie Bisselberg,Benefit Plan Admiinistrative Committee,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,Salix,Contract Administrator,,"$7,083",$0,"$7,083"
16,AK STEEL CORPORATION NONCONTRIBUTORY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/131252/Ak-Steel-Corporation/13913825/Ak-Steel-Corporation-Noncontributory-Pension-Plan/,AK Steel Corporation,01/01/2018 — 12/31/2018,01/01/1950,"$1,768,085,571",3,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"3,022","9,589","1,494","14,105","1,152","15,257","20,582",0,0,$0,$0,$0,$0,$0,$0,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,331110,Stephanie Bisselberg,Stephanie Bisselberg,Benefit Plan Admiinistrative Committee,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,Internal Revenue Service,,,"$3,189",$0,"$3,189"
17,AK STEEL CORPORATION NONCONTRIBUTORY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/131252/Ak-Steel-Corporation/13913825/Ak-Steel-Corporation-Noncontributory-Pension-Plan/,AK Steel Corporation,01/01/2018 — 12/31/2018,01/01/1950,"$1,768,085,571",3,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"3,022","9,589","1,494","14,105","1,152","15,257","20,582",0,0,$0,$0,$0,$0,$0,$0,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,331110,Stephanie Bisselberg,Stephanie Bisselberg,Benefit Plan Admiinistrative Committee,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,Stone Harbor Investment Partners Lp,"Trustee (bank, trust company, or similar financial institution)",,"$-40,249",$0,"$-40,249"
18,AK STEEL CORPORATION NONCONTRIBUTORY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/131252/Ak-Steel-Corporation/13913825/Ak-Steel-Corporation-Noncontributory-Pension-Plan/,AK Steel Corporation,01/01/2018 — 12/31/2018,01/01/1950,"$1,768,085,571",3,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"3,022","9,589","1,494","14,105","1,152","15,257","20,582",0,0,$0,$0,$0,$0,$0,$0,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,331110,Stephanie Bisselberg,Stephanie Bisselberg,Benefit Plan Admiinistrative Committee,9227 Centre Pointe Drive ,West Chester,OH,45069,(513) 425-5000,31-1267098,Total,Total,Total,"$5,566,070",$0,"$5,566,070"
