,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,ALLSTATE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/175172/The-Allstate-Corporation/13913765/Allstate-Retirement-Plan/,THE ALLSTATE CORPORATION,01/01/2018 — 12/31/2018,01/01/1946,"$4,293,478,160",2,Single Employer,No,Yes,Trust,Trust,"29,017","4,579","19,870","53,466",473,"53,939","53,986",0,"1,178",$0,$0,$0,$0,$0,$0,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,36-3871531,524150,Corey Luecht,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-6946,84-2398228,Alight Solutions LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$2,211,278",$0,"$2,211,278"
1,ALLSTATE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/175172/The-Allstate-Corporation/13913765/Allstate-Retirement-Plan/,THE ALLSTATE CORPORATION,01/01/2018 — 12/31/2018,01/01/1946,"$4,293,478,160",2,Single Employer,No,Yes,Trust,Trust,"29,017","4,579","19,870","53,466",473,"53,939","53,986",0,"1,178",$0,$0,$0,$0,$0,$0,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,36-3871531,524150,Corey Luecht,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-6946,84-2398228,Ofi Global Trust Company,"Custodial (other than securities), Custodial (securities), Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$777,637",$0,"$777,637"
2,ALLSTATE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/175172/The-Allstate-Corporation/13913765/Allstate-Retirement-Plan/,THE ALLSTATE CORPORATION,01/01/2018 — 12/31/2018,01/01/1946,"$4,293,478,160",2,Single Employer,No,Yes,Trust,Trust,"29,017","4,579","19,870","53,466",473,"53,939","53,986",0,"1,178",$0,$0,$0,$0,$0,$0,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,36-3871531,524150,Corey Luecht,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-6946,84-2398228,State Street Global Advisors,"Custodial (other than securities), Custodial (securities), Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$624,576",$0,"$624,576"
3,ALLSTATE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/175172/The-Allstate-Corporation/13913765/Allstate-Retirement-Plan/,THE ALLSTATE CORPORATION,01/01/2018 — 12/31/2018,01/01/1946,"$4,293,478,160",2,Single Employer,No,Yes,Trust,Trust,"29,017","4,579","19,870","53,466",473,"53,939","53,986",0,"1,178",$0,$0,$0,$0,$0,$0,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,36-3871531,524150,Corey Luecht,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-6946,84-2398228,Allstate Insurance Company,"Plan Administrator, Direct payment from the plan",Employer,"$271,504",$0,"$271,504"
4,ALLSTATE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/175172/The-Allstate-Corporation/13913765/Allstate-Retirement-Plan/,THE ALLSTATE CORPORATION,01/01/2018 — 12/31/2018,01/01/1946,"$4,293,478,160",2,Single Employer,No,Yes,Trust,Trust,"29,017","4,579","19,870","53,466",473,"53,939","53,986",0,"1,178",$0,$0,$0,$0,$0,$0,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,36-3871531,524150,Corey Luecht,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-6946,84-2398228,"Willis Towers Watson, Us LLC","Actuarial, Consulting (pension), Direct payment from the plan",NONE,"$229,341",$0,"$229,341"
5,ALLSTATE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/175172/The-Allstate-Corporation/13913765/Allstate-Retirement-Plan/,THE ALLSTATE CORPORATION,01/01/2018 — 12/31/2018,01/01/1946,"$4,293,478,160",2,Single Employer,No,Yes,Trust,Trust,"29,017","4,579","19,870","53,466",473,"53,939","53,986",0,"1,178",$0,$0,$0,$0,$0,$0,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,36-3871531,524150,Corey Luecht,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-6946,84-2398228,"Aon Hewitt Invt Consulting,Inc","Consulting (pension), Investment advisory (plan), Direct payment from the plan",NONE,"$221,200",$0,"$221,200"
6,ALLSTATE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/175172/The-Allstate-Corporation/13913765/Allstate-Retirement-Plan/,THE ALLSTATE CORPORATION,01/01/2018 — 12/31/2018,01/01/1946,"$4,293,478,160",2,Single Employer,No,Yes,Trust,Trust,"29,017","4,579","19,870","53,466",473,"53,939","53,986",0,"1,178",$0,$0,$0,$0,$0,$0,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,36-3871531,524150,Corey Luecht,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-6946,84-2398228,The Bank of New York Mellon,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan",NONE,"$138,302",$0,"$138,302"
7,ALLSTATE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/175172/The-Allstate-Corporation/13913765/Allstate-Retirement-Plan/,THE ALLSTATE CORPORATION,01/01/2018 — 12/31/2018,01/01/1946,"$4,293,478,160",2,Single Employer,No,Yes,Trust,Trust,"29,017","4,579","19,870","53,466",473,"53,939","53,986",0,"1,178",$0,$0,$0,$0,$0,$0,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,36-3871531,524150,Corey Luecht,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-6946,84-2398228,Deloitte and Touche LLP,"Accounting (including auditing), Direct payment from the plan",NONE,"$110,500",$0,"$110,500"
8,ALLSTATE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/175172/The-Allstate-Corporation/13913765/Allstate-Retirement-Plan/,THE ALLSTATE CORPORATION,01/01/2018 — 12/31/2018,01/01/1946,"$4,293,478,160",2,Single Employer,No,Yes,Trust,Trust,"29,017","4,579","19,870","53,466",473,"53,939","53,986",0,"1,178",$0,$0,$0,$0,$0,$0,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,36-3871531,524150,Corey Luecht,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-6946,84-2398228,Ernst & Young LLP,"Consulting (pension), Direct payment from the plan",NONE,"$80,551",$0,"$80,551"
9,ALLSTATE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/175172/The-Allstate-Corporation/13913765/Allstate-Retirement-Plan/,THE ALLSTATE CORPORATION,01/01/2018 — 12/31/2018,01/01/1946,"$4,293,478,160",2,Single Employer,No,Yes,Trust,Trust,"29,017","4,579","19,870","53,466",473,"53,939","53,986",0,"1,178",$0,$0,$0,$0,$0,$0,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,36-3871531,524150,Corey Luecht,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-6946,84-2398228,Mercer Human Resource Consulting,"Participant communication, Direct payment from the plan",NONE,"$6,564",$0,"$6,564"
10,ALLSTATE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/175172/The-Allstate-Corporation/13913765/Allstate-Retirement-Plan/,THE ALLSTATE CORPORATION,01/01/2018 — 12/31/2018,01/01/1946,"$4,293,478,160",2,Single Employer,No,Yes,Trust,Trust,"29,017","4,579","19,870","53,466",473,"53,939","53,986",0,"1,178",$0,$0,$0,$0,$0,$0,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,36-3871531,524150,Corey Luecht,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-6946,84-2398228,Qdro Consultants,"Consulting (pension), Direct payment from the plan",NONE,"$5,125",$0,"$5,125"
11,ALLSTATE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/175172/The-Allstate-Corporation/13913765/Allstate-Retirement-Plan/,THE ALLSTATE CORPORATION,01/01/2018 — 12/31/2018,01/01/1946,"$4,293,478,160",2,Single Employer,No,Yes,Trust,Trust,"29,017","4,579","19,870","53,466",473,"53,939","53,986",0,"1,178",$0,$0,$0,$0,$0,$0,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-5000,36-3871531,524150,Corey Luecht,"2775 Sanders Road, Suite A1E ",Northbrook,IL,60062-6127,(847) 402-6946,84-2398228,Total,Total,Total,"$4,676,578",$0,"$4,676,578"
