,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Report Description,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,AMEREN RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/229995/Ameren-Corporation/13913803/Ameren-Retirement-Plan/2018/,Ameren Corporation,01/01/2018 — 12/31/2018,01/01/1941,"$4,063,410,231",5,Single Employer,Yes,Yes,This is an amended report.,InsuranceTrust,Trust,"8,976","8,738","2,659","20,373","2,481","22,854","22,593",0,66,$0,$0,$0,$0,$0,$0,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1723446,221100,"Marla J. Langenhorst, Dir, Benefits","Marla J. Langenhorst, Dir, Benefits",Administrative Committee,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1799279,Jp Morgan Investment Management,"Investment advisory (plan), Investment management, Investment management fees paid directly by plan, Securities brokerage commissions and fees",NONE,"$1,174,271",$0,"$1,174,271"
1,AMEREN RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/229995/Ameren-Corporation/13913803/Ameren-Retirement-Plan/2018/,Ameren Corporation,01/01/2018 — 12/31/2018,01/01/1941,"$4,063,410,231",5,Single Employer,Yes,Yes,This is an amended report.,InsuranceTrust,Trust,"8,976","8,738","2,659","20,373","2,481","22,854","22,593",0,66,$0,$0,$0,$0,$0,$0,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1723446,221100,"Marla J. Langenhorst, Dir, Benefits","Marla J. Langenhorst, Dir, Benefits",Administrative Committee,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1799279,Conduent Incorporated,Account maintenance fees,Recordkeeper,"$1,040,379",$0,"$1,040,379"
2,AMEREN RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/229995/Ameren-Corporation/13913803/Ameren-Retirement-Plan/2018/,Ameren Corporation,01/01/2018 — 12/31/2018,01/01/1941,"$4,063,410,231",5,Single Employer,Yes,Yes,This is an amended report.,InsuranceTrust,Trust,"8,976","8,738","2,659","20,373","2,481","22,854","22,593",0,66,$0,$0,$0,$0,$0,$0,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1723446,221100,"Marla J. Langenhorst, Dir, Benefits","Marla J. Langenhorst, Dir, Benefits",Administrative Committee,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1799279,Boston Partners,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$928,380",$0,"$928,380"
3,AMEREN RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/229995/Ameren-Corporation/13913803/Ameren-Retirement-Plan/2018/,Ameren Corporation,01/01/2018 — 12/31/2018,01/01/1941,"$4,063,410,231",5,Single Employer,Yes,Yes,This is an amended report.,InsuranceTrust,Trust,"8,976","8,738","2,659","20,373","2,481","22,854","22,593",0,66,$0,$0,$0,$0,$0,$0,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1723446,221100,"Marla J. Langenhorst, Dir, Benefits","Marla J. Langenhorst, Dir, Benefits",Administrative Committee,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1799279,Legal and General,"Investment management, Investment management fees paid directly by plan",NONE,"$902,336",$0,"$902,336"
4,AMEREN RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/229995/Ameren-Corporation/13913803/Ameren-Retirement-Plan/2018/,Ameren Corporation,01/01/2018 — 12/31/2018,01/01/1941,"$4,063,410,231",5,Single Employer,Yes,Yes,This is an amended report.,InsuranceTrust,Trust,"8,976","8,738","2,659","20,373","2,481","22,854","22,593",0,66,$0,$0,$0,$0,$0,$0,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1723446,221100,"Marla J. Langenhorst, Dir, Benefits","Marla J. Langenhorst, Dir, Benefits",Administrative Committee,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1799279,Causeway Capital Management,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions, Other fees",NONE,"$901,107",$0,"$901,107"
5,AMEREN RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/229995/Ameren-Corporation/13913803/Ameren-Retirement-Plan/2018/,Ameren Corporation,01/01/2018 — 12/31/2018,01/01/1941,"$4,063,410,231",5,Single Employer,Yes,Yes,This is an amended report.,InsuranceTrust,Trust,"8,976","8,738","2,659","20,373","2,481","22,854","22,593",0,66,$0,$0,$0,$0,$0,$0,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1723446,221100,"Marla J. Langenhorst, Dir, Benefits","Marla J. Langenhorst, Dir, Benefits",Administrative Committee,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1799279,Nisa Investment Advisors,"Investment management, Investment management fees paid directly by plan",NONE,"$822,027",$0,"$822,027"
6,AMEREN RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/229995/Ameren-Corporation/13913803/Ameren-Retirement-Plan/2018/,Ameren Corporation,01/01/2018 — 12/31/2018,01/01/1941,"$4,063,410,231",5,Single Employer,Yes,Yes,This is an amended report.,InsuranceTrust,Trust,"8,976","8,738","2,659","20,373","2,481","22,854","22,593",0,66,$0,$0,$0,$0,$0,$0,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1723446,221100,"Marla J. Langenhorst, Dir, Benefits","Marla J. Langenhorst, Dir, Benefits",Administrative Committee,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1799279,Sanderson Asset Management,"Investment management, Investment management fees paid directly by plan, Float revenue, Soft dollars commissions",NONE,"$760,022",$0,"$760,022"
7,AMEREN RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/229995/Ameren-Corporation/13913803/Ameren-Retirement-Plan/2018/,Ameren Corporation,01/01/2018 — 12/31/2018,01/01/1941,"$4,063,410,231",5,Single Employer,Yes,Yes,This is an amended report.,InsuranceTrust,Trust,"8,976","8,738","2,659","20,373","2,481","22,854","22,593",0,66,$0,$0,$0,$0,$0,$0,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1723446,221100,"Marla J. Langenhorst, Dir, Benefits","Marla J. Langenhorst, Dir, Benefits",Administrative Committee,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1799279,The Bank of New York Mellon,"Custodial (other than securities), Custodial (securities), Trustee (directed), Float revenue, Other investment fees and expenses, Other fees",Trustee,"$672,740",$0,"$672,740"
8,AMEREN RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/229995/Ameren-Corporation/13913803/Ameren-Retirement-Plan/2018/,Ameren Corporation,01/01/2018 — 12/31/2018,01/01/1941,"$4,063,410,231",5,Single Employer,Yes,Yes,This is an amended report.,InsuranceTrust,Trust,"8,976","8,738","2,659","20,373","2,481","22,854","22,593",0,66,$0,$0,$0,$0,$0,$0,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1723446,221100,"Marla J. Langenhorst, Dir, Benefits","Marla J. Langenhorst, Dir, Benefits",Administrative Committee,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1799279,Jacobs Levy,"Investment management, Investment management fees paid directly by plan",NONE,"$471,658",$0,"$471,658"
9,AMEREN RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/229995/Ameren-Corporation/13913803/Ameren-Retirement-Plan/2018/,Ameren Corporation,01/01/2018 — 12/31/2018,01/01/1941,"$4,063,410,231",5,Single Employer,Yes,Yes,This is an amended report.,InsuranceTrust,Trust,"8,976","8,738","2,659","20,373","2,481","22,854","22,593",0,66,$0,$0,$0,$0,$0,$0,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1723446,221100,"Marla J. Langenhorst, Dir, Benefits","Marla J. Langenhorst, Dir, Benefits",Administrative Committee,Po Box 66149 Mc 533,St. Louis,MO,63166-6149,(314) 554-2565,43-1799279,William Blair Investment Management,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$465,318",$0,"$465,318"
