,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,AMERICAN EXPRESS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54898/American-Express-Company/55755/American-Express-Retirement-Savings-Plan/2018/,American Express Company and Its Participating Subsidiaries,01/01/2018 — 12/31/2018,06/11/1973,"$5,103,919,020",2,Single Employer,No,No,InsuranceTrust,InsuranceTrust,"21,650",2,"12,713","34,365",125,"34,490","33,069","33,298",328,$0,$0,$0,$0,$0,$0,200 Vesey Street 01-35-08 ,New York,NY,10285,(212) 640-2000,13-4922250,522298,Rita Pang,Barbara Kontje,Employee Benefits Administration Committee,200 Vesey Street 01-35-08 ,New York,NY,10285,(212) 640-2183,38-4048361,Audited,"Pricewaterhousecoopers, LLP",13-4008324,Unqualified,Full Audit,"Wells Fargo Bank, N.A.","Recordkeeping and information management (computing, tabulating, data processing, etc.), Trustee (bank, trust company, or similar financial institution), Trustee (directed), Participant loan processing, Other services, Direct payment from the plan, Investment management fees paid indirectly by plan, Sub-transfer agency fees, Float revenue, Distribution (12b-1) fees, Recordkeeping fees",Service Provider,"$2,810,756",$0,"$2,810,756"
1,AMERICAN EXPRESS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54898/American-Express-Company/55755/American-Express-Retirement-Savings-Plan/2018/,American Express Company and Its Participating Subsidiaries,01/01/2018 — 12/31/2018,06/11/1973,"$5,103,919,020",2,Single Employer,No,No,InsuranceTrust,InsuranceTrust,"21,650",2,"12,713","34,365",125,"34,490","33,069","33,298",328,$0,$0,$0,$0,$0,$0,200 Vesey Street 01-35-08 ,New York,NY,10285,(212) 640-2000,13-4922250,522298,Rita Pang,Barbara Kontje,Employee Benefits Administration Committee,200 Vesey Street 01-35-08 ,New York,NY,10285,(212) 640-2183,38-4048361,Audited,"Pricewaterhousecoopers, LLP",13-4008324,Unqualified,Full Audit,Sands Capital Management,"Investment management, Investment management fees paid directly by plan",Service Provider,"$2,077,179",$0,"$2,077,179"
2,AMERICAN EXPRESS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54898/American-Express-Company/55755/American-Express-Retirement-Savings-Plan/2018/,American Express Company and Its Participating Subsidiaries,01/01/2018 — 12/31/2018,06/11/1973,"$5,103,919,020",2,Single Employer,No,No,InsuranceTrust,InsuranceTrust,"21,650",2,"12,713","34,365",125,"34,490","33,069","33,298",328,$0,$0,$0,$0,$0,$0,200 Vesey Street 01-35-08 ,New York,NY,10285,(212) 640-2000,13-4922250,522298,Rita Pang,Barbara Kontje,Employee Benefits Administration Committee,200 Vesey Street 01-35-08 ,New York,NY,10285,(212) 640-2183,38-4048361,Audited,"Pricewaterhousecoopers, LLP",13-4008324,Unqualified,Full Audit,Morgan Stanley Investment Mgt,"Investment management, Investment management fees paid directly by plan",Service Provider,"$1,197,889",$0,"$1,197,889"
3,AMERICAN EXPRESS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54898/American-Express-Company/55755/American-Express-Retirement-Savings-Plan/2018/,American Express Company and Its Participating Subsidiaries,01/01/2018 — 12/31/2018,06/11/1973,"$5,103,919,020",2,Single Employer,No,No,InsuranceTrust,InsuranceTrust,"21,650",2,"12,713","34,365",125,"34,490","33,069","33,298",328,$0,$0,$0,$0,$0,$0,200 Vesey Street 01-35-08 ,New York,NY,10285,(212) 640-2000,13-4922250,522298,Rita Pang,Barbara Kontje,Employee Benefits Administration Committee,200 Vesey Street 01-35-08 ,New York,NY,10285,(212) 640-2183,38-4048361,Audited,"Pricewaterhousecoopers, LLP",13-4008324,Unqualified,Full Audit,"Wellington Mgt Company, LLP","Investment management, Investment management fees paid directly by plan",Service Provider,"$1,117,302",$0,"$1,117,302"
4,AMERICAN EXPRESS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54898/American-Express-Company/55755/American-Express-Retirement-Savings-Plan/2018/,American Express Company and Its Participating Subsidiaries,01/01/2018 — 12/31/2018,06/11/1973,"$5,103,919,020",2,Single Employer,No,No,InsuranceTrust,InsuranceTrust,"21,650",2,"12,713","34,365",125,"34,490","33,069","33,298",328,$0,$0,$0,$0,$0,$0,200 Vesey Street 01-35-08 ,New York,NY,10285,(212) 640-2000,13-4922250,522298,Rita Pang,Barbara Kontje,Employee Benefits Administration Committee,200 Vesey Street 01-35-08 ,New York,NY,10285,(212) 640-2183,38-4048361,Audited,"Pricewaterhousecoopers, LLP",13-4008324,Unqualified,Full Audit,Times Square Capital Management,"Investment management, Investment management fees paid directly by plan",Service Provider,"$1,055,793",$0,"$1,055,793"
5,AMERICAN EXPRESS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54898/American-Express-Company/55755/American-Express-Retirement-Savings-Plan/2018/,American Express Company and Its Participating Subsidiaries,01/01/2018 — 12/31/2018,06/11/1973,"$5,103,919,020",2,Single Employer,No,No,InsuranceTrust,InsuranceTrust,"21,650",2,"12,713","34,365",125,"34,490","33,069","33,298",328,$0,$0,$0,$0,$0,$0,200 Vesey Street 01-35-08 ,New York,NY,10285,(212) 640-2000,13-4922250,522298,Rita Pang,Barbara Kontje,Employee Benefits Administration Committee,200 Vesey Street 01-35-08 ,New York,NY,10285,(212) 640-2183,38-4048361,Audited,"Pricewaterhousecoopers, LLP",13-4008324,Unqualified,Full Audit,"Bridgeway Capital Management, Inc.","Investment management, Investment management fees paid directly by plan",Service Provider,"$922,009",$0,"$922,009"
6,AMERICAN EXPRESS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54898/American-Express-Company/55755/American-Express-Retirement-Savings-Plan/2018/,American Express Company and Its Participating Subsidiaries,01/01/2018 — 12/31/2018,06/11/1973,"$5,103,919,020",2,Single Employer,No,No,InsuranceTrust,InsuranceTrust,"21,650",2,"12,713","34,365",125,"34,490","33,069","33,298",328,$0,$0,$0,$0,$0,$0,200 Vesey Street 01-35-08 ,New York,NY,10285,(212) 640-2000,13-4922250,522298,Rita Pang,Barbara Kontje,Employee Benefits Administration Committee,200 Vesey Street 01-35-08 ,New York,NY,10285,(212) 640-2183,38-4048361,Audited,"Pricewaterhousecoopers, LLP",13-4008324,Unqualified,Full Audit,Brandywine Global Inv Mgt LLC,"Investment management, Investment management fees paid directly by plan",Service Provider,"$836,319",$0,"$836,319"
7,AMERICAN EXPRESS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54898/American-Express-Company/55755/American-Express-Retirement-Savings-Plan/2018/,American Express Company and Its Participating Subsidiaries,01/01/2018 — 12/31/2018,06/11/1973,"$5,103,919,020",2,Single Employer,No,No,InsuranceTrust,InsuranceTrust,"21,650",2,"12,713","34,365",125,"34,490","33,069","33,298",328,$0,$0,$0,$0,$0,$0,200 Vesey Street 01-35-08 ,New York,NY,10285,(212) 640-2000,13-4922250,522298,Rita Pang,Barbara Kontje,Employee Benefits Administration Committee,200 Vesey Street 01-35-08 ,New York,NY,10285,(212) 640-2183,38-4048361,Audited,"Pricewaterhousecoopers, LLP",13-4008324,Unqualified,Full Audit,Wells Capital Management,"Investment management, Investment management fees paid directly by plan",Service Provider,"$785,956",$0,"$785,956"
8,AMERICAN EXPRESS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54898/American-Express-Company/55755/American-Express-Retirement-Savings-Plan/2018/,American Express Company and Its Participating Subsidiaries,01/01/2018 — 12/31/2018,06/11/1973,"$5,103,919,020",2,Single Employer,No,No,InsuranceTrust,InsuranceTrust,"21,650",2,"12,713","34,365",125,"34,490","33,069","33,298",328,$0,$0,$0,$0,$0,$0,200 Vesey Street 01-35-08 ,New York,NY,10285,(212) 640-2000,13-4922250,522298,Rita Pang,Barbara Kontje,Employee Benefits Administration Committee,200 Vesey Street 01-35-08 ,New York,NY,10285,(212) 640-2183,38-4048361,Audited,"Pricewaterhousecoopers, LLP",13-4008324,Unqualified,Full Audit,Jp Morgan Investment Management Inc,"Investment management, Investment management fees paid directly by plan",Service Provider,"$709,364",$0,"$709,364"
9,AMERICAN EXPRESS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54898/American-Express-Company/55755/American-Express-Retirement-Savings-Plan/2018/,American Express Company and Its Participating Subsidiaries,01/01/2018 — 12/31/2018,06/11/1973,"$5,103,919,020",2,Single Employer,No,No,InsuranceTrust,InsuranceTrust,"21,650",2,"12,713","34,365",125,"34,490","33,069","33,298",328,$0,$0,$0,$0,$0,$0,200 Vesey Street 01-35-08 ,New York,NY,10285,(212) 640-2000,13-4922250,522298,Rita Pang,Barbara Kontje,Employee Benefits Administration Committee,200 Vesey Street 01-35-08 ,New York,NY,10285,(212) 640-2183,38-4048361,Audited,"Pricewaterhousecoopers, LLP",13-4008324,Unqualified,Full Audit,Tcw Asset Management Company,"Investment management, Investment management fees paid directly by plan",Service Provider,"$697,067",$0,"$697,067"
