,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,AON PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/169645/Aon-Corporation/13928694/Aon-Pension-Plan/,Aon Corporation,01/01/2018 — 12/31/2018,01/01/1973,"$1,808,175,555",10,Single Employer,No,Yes,Trust,Trust,"2,475","13,311","7,724","23,510","1,307","24,817","25,222",0,0,$0,$0,$0,$0,$0,$0,200 East Randolph Street ,Chicago,IL,60601,(312) 381-1000,36-3051915,524290,Donna Davis,Administrative Committee,200 East Randolph Street ,Chicago,IL,60601,(312) 381-1000,36-2883409,Ziegler Lotsoff Capital Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$832,937",$0,"$832,937"
1,AON PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/169645/Aon-Corporation/13928694/Aon-Pension-Plan/,Aon Corporation,01/01/2018 — 12/31/2018,01/01/1973,"$1,808,175,555",10,Single Employer,No,Yes,Trust,Trust,"2,475","13,311","7,724","23,510","1,307","24,817","25,222",0,0,$0,$0,$0,$0,$0,$0,200 East Randolph Street ,Chicago,IL,60601,(312) 381-1000,36-3051915,524290,Donna Davis,Administrative Committee,200 East Randolph Street ,Chicago,IL,60601,(312) 381-1000,36-2883409,Progress Investment Mgmt Co LLC,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$784,570",$0,"$784,570"
2,AON PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/169645/Aon-Corporation/13928694/Aon-Pension-Plan/,Aon Corporation,01/01/2018 — 12/31/2018,01/01/1973,"$1,808,175,555",10,Single Employer,No,Yes,Trust,Trust,"2,475","13,311","7,724","23,510","1,307","24,817","25,222",0,0,$0,$0,$0,$0,$0,$0,200 East Randolph Street ,Chicago,IL,60601,(312) 381-1000,36-3051915,524290,Donna Davis,Administrative Committee,200 East Randolph Street ,Chicago,IL,60601,(312) 381-1000,36-2883409,Dodge and Cox,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$615,980",$0,"$615,980"
3,AON PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/169645/Aon-Corporation/13928694/Aon-Pension-Plan/,Aon Corporation,01/01/2018 — 12/31/2018,01/01/1973,"$1,808,175,555",10,Single Employer,No,Yes,Trust,Trust,"2,475","13,311","7,724","23,510","1,307","24,817","25,222",0,0,$0,$0,$0,$0,$0,$0,200 East Randolph Street ,Chicago,IL,60601,(312) 381-1000,36-3051915,524290,Donna Davis,Administrative Committee,200 East Randolph Street ,Chicago,IL,60601,(312) 381-1000,36-2883409,Northern Trust Company,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan",Trustee,"$496,265",$0,"$496,265"
4,AON PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/169645/Aon-Corporation/13928694/Aon-Pension-Plan/,Aon Corporation,01/01/2018 — 12/31/2018,01/01/1973,"$1,808,175,555",10,Single Employer,No,Yes,Trust,Trust,"2,475","13,311","7,724","23,510","1,307","24,817","25,222",0,0,$0,$0,$0,$0,$0,$0,200 East Randolph Street ,Chicago,IL,60601,(312) 381-1000,36-3051915,524290,Donna Davis,Administrative Committee,200 East Randolph Street ,Chicago,IL,60601,(312) 381-1000,36-2883409,Centersquare Investment Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$460,852",$0,"$460,852"
5,AON PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/169645/Aon-Corporation/13928694/Aon-Pension-Plan/,Aon Corporation,01/01/2018 — 12/31/2018,01/01/1973,"$1,808,175,555",10,Single Employer,No,Yes,Trust,Trust,"2,475","13,311","7,724","23,510","1,307","24,817","25,222",0,0,$0,$0,$0,$0,$0,$0,200 East Randolph Street ,Chicago,IL,60601,(312) 381-1000,36-3051915,524290,Donna Davis,Administrative Committee,200 East Randolph Street ,Chicago,IL,60601,(312) 381-1000,36-2883409,Legal & General Investment,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$222,198",$0,"$222,198"
6,AON PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/169645/Aon-Corporation/13928694/Aon-Pension-Plan/,Aon Corporation,01/01/2018 — 12/31/2018,01/01/1973,"$1,808,175,555",10,Single Employer,No,Yes,Trust,Trust,"2,475","13,311","7,724","23,510","1,307","24,817","25,222",0,0,$0,$0,$0,$0,$0,$0,200 East Randolph Street ,Chicago,IL,60601,(312) 381-1000,36-3051915,524290,Donna Davis,Administrative Committee,200 East Randolph Street ,Chicago,IL,60601,(312) 381-1000,36-2883409,"Ariel Capital Management, LLC","Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$168,498",$0,"$168,498"
7,AON PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/169645/Aon-Corporation/13928694/Aon-Pension-Plan/,Aon Corporation,01/01/2018 — 12/31/2018,01/01/1973,"$1,808,175,555",10,Single Employer,No,Yes,Trust,Trust,"2,475","13,311","7,724","23,510","1,307","24,817","25,222",0,0,$0,$0,$0,$0,$0,$0,200 East Randolph Street ,Chicago,IL,60601,(312) 381-1000,36-3051915,524290,Donna Davis,Administrative Committee,200 East Randolph Street ,Chicago,IL,60601,(312) 381-1000,36-2883409,Alight Solutions LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$132,329",$0,"$132,329"
8,AON PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/169645/Aon-Corporation/13928694/Aon-Pension-Plan/,Aon Corporation,01/01/2018 — 12/31/2018,01/01/1973,"$1,808,175,555",10,Single Employer,No,Yes,Trust,Trust,"2,475","13,311","7,724","23,510","1,307","24,817","25,222",0,0,$0,$0,$0,$0,$0,$0,200 East Randolph Street ,Chicago,IL,60601,(312) 381-1000,36-3051915,524290,Donna Davis,Administrative Committee,200 East Randolph Street ,Chicago,IL,60601,(312) 381-1000,36-2883409,Ernst and Young Us LLP,"Accounting (including auditing), Direct payment from the plan",NONE,"$99,968",$0,"$99,968"
9,AON PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/169645/Aon-Corporation/13928694/Aon-Pension-Plan/,Aon Corporation,01/01/2018 — 12/31/2018,01/01/1973,"$1,808,175,555",10,Single Employer,No,Yes,Trust,Trust,"2,475","13,311","7,724","23,510","1,307","24,817","25,222",0,0,$0,$0,$0,$0,$0,$0,200 East Randolph Street ,Chicago,IL,60601,(312) 381-1000,36-3051915,524290,Donna Davis,Administrative Committee,200 East Randolph Street ,Chicago,IL,60601,(312) 381-1000,36-2883409,Total,Total,Total,"$3,813,597",$0,"$3,813,597"
