,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,ARCELORMITTAL USA LLC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/332814/Arcelormittal-Usa-Llc/13913842/Arcelormittal-Usa-Llc-Pension-Plan/,ArcelorMittal USA LLC,01/01/2018 — 12/31/2018,01/01/1950,"$2,342,050,000",9,Single Employer,Yes,Yes,Trust,Trust,"1,718","9,664","1,160","12,542",0,"12,542","14,577",0,0,$0,$0,$0,$0,$0,$0,1 S Dearborn St 19th Fl ,Chicago,IL,60603-2302,(312) 899-3400,71-0871875,331110,Christine Fleps,Christine Fleps,Maxine Stankich,3300 Dickey Rd ,East Chicago,IN,46312-1644,(219) 399-8889,71-0871875,AON,"Account maintenance fees, Actuarial",Actuary & Administration,"$781,000",$0,"$781,000"
1,ARCELORMITTAL USA LLC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/332814/Arcelormittal-Usa-Llc/13913842/Arcelormittal-Usa-Llc-Pension-Plan/,ArcelorMittal USA LLC,01/01/2018 — 12/31/2018,01/01/1950,"$2,342,050,000",9,Single Employer,Yes,Yes,Trust,Trust,"1,718","9,664","1,160","12,542",0,"12,542","14,577",0,0,$0,$0,$0,$0,$0,$0,1 S Dearborn St 19th Fl ,Chicago,IL,60603-2302,(312) 899-3400,71-0871875,331110,Christine Fleps,Christine Fleps,Maxine Stankich,3300 Dickey Rd ,East Chicago,IN,46312-1644,(219) 399-8889,71-0871875,State Street Bank and Trust,Account maintenance fees,Administration,"$328,000",$0,"$328,000"
2,ARCELORMITTAL USA LLC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/332814/Arcelormittal-Usa-Llc/13913842/Arcelormittal-Usa-Llc-Pension-Plan/,ArcelorMittal USA LLC,01/01/2018 — 12/31/2018,01/01/1950,"$2,342,050,000",9,Single Employer,Yes,Yes,Trust,Trust,"1,718","9,664","1,160","12,542",0,"12,542","14,577",0,0,$0,$0,$0,$0,$0,$0,1 S Dearborn St 19th Fl ,Chicago,IL,60603-2302,(312) 899-3400,71-0871875,331110,Christine Fleps,Christine Fleps,Maxine Stankich,3300 Dickey Rd ,East Chicago,IN,46312-1644,(219) 399-8889,71-0871875,Pavilion Advisory,Consulting (general),Investment Consultant,"$203,000",$0,"$203,000"
3,ARCELORMITTAL USA LLC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/332814/Arcelormittal-Usa-Llc/13913842/Arcelormittal-Usa-Llc-Pension-Plan/,ArcelorMittal USA LLC,01/01/2018 — 12/31/2018,01/01/1950,"$2,342,050,000",9,Single Employer,Yes,Yes,Trust,Trust,"1,718","9,664","1,160","12,542",0,"12,542","14,577",0,0,$0,$0,$0,$0,$0,$0,1 S Dearborn St 19th Fl ,Chicago,IL,60603-2302,(312) 899-3400,71-0871875,331110,Christine Fleps,Christine Fleps,Maxine Stankich,3300 Dickey Rd ,East Chicago,IN,46312-1644,(219) 399-8889,71-0871875,Vedder Price,Legal,Legal,"$127,000",$0,"$127,000"
4,ARCELORMITTAL USA LLC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/332814/Arcelormittal-Usa-Llc/13913842/Arcelormittal-Usa-Llc-Pension-Plan/,ArcelorMittal USA LLC,01/01/2018 — 12/31/2018,01/01/1950,"$2,342,050,000",9,Single Employer,Yes,Yes,Trust,Trust,"1,718","9,664","1,160","12,542",0,"12,542","14,577",0,0,$0,$0,$0,$0,$0,$0,1 S Dearborn St 19th Fl ,Chicago,IL,60603-2302,(312) 899-3400,71-0871875,331110,Christine Fleps,Christine Fleps,Maxine Stankich,3300 Dickey Rd ,East Chicago,IN,46312-1644,(219) 399-8889,71-0871875,Grant Thornton,Accounting (including auditing),Auditor,"$32,000",$0,"$32,000"
5,ARCELORMITTAL USA LLC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/332814/Arcelormittal-Usa-Llc/13913842/Arcelormittal-Usa-Llc-Pension-Plan/,ArcelorMittal USA LLC,01/01/2018 — 12/31/2018,01/01/1950,"$2,342,050,000",9,Single Employer,Yes,Yes,Trust,Trust,"1,718","9,664","1,160","12,542",0,"12,542","14,577",0,0,$0,$0,$0,$0,$0,$0,1 S Dearborn St 19th Fl ,Chicago,IL,60603-2302,(312) 899-3400,71-0871875,331110,Christine Fleps,Christine Fleps,Maxine Stankich,3300 Dickey Rd ,East Chicago,IN,46312-1644,(219) 399-8889,71-0871875,Designation,Account maintenance fees,Administration,"$15,000",$0,"$15,000"
6,ARCELORMITTAL USA LLC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/332814/Arcelormittal-Usa-Llc/13913842/Arcelormittal-Usa-Llc-Pension-Plan/,ArcelorMittal USA LLC,01/01/2018 — 12/31/2018,01/01/1950,"$2,342,050,000",9,Single Employer,Yes,Yes,Trust,Trust,"1,718","9,664","1,160","12,542",0,"12,542","14,577",0,0,$0,$0,$0,$0,$0,$0,1 S Dearborn St 19th Fl ,Chicago,IL,60603-2302,(312) 899-3400,71-0871875,331110,Christine Fleps,Christine Fleps,Maxine Stankich,3300 Dickey Rd ,East Chicago,IN,46312-1644,(219) 399-8889,71-0871875,KPMG,Accounting (including auditing),Accounting,"$10,000",$0,"$10,000"
7,ARCELORMITTAL USA LLC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/332814/Arcelormittal-Usa-Llc/13913842/Arcelormittal-Usa-Llc-Pension-Plan/,ArcelorMittal USA LLC,01/01/2018 — 12/31/2018,01/01/1950,"$2,342,050,000",9,Single Employer,Yes,Yes,Trust,Trust,"1,718","9,664","1,160","12,542",0,"12,542","14,577",0,0,$0,$0,$0,$0,$0,$0,1 S Dearborn St 19th Fl ,Chicago,IL,60603-2302,(312) 899-3400,71-0871875,331110,Christine Fleps,Christine Fleps,Maxine Stankich,3300 Dickey Rd ,East Chicago,IN,46312-1644,(219) 399-8889,71-0871875,Transactis,Account maintenance fees,Administration,"$6,000",$0,"$6,000"
8,ARCELORMITTAL USA LLC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/332814/Arcelormittal-Usa-Llc/13913842/Arcelormittal-Usa-Llc-Pension-Plan/,ArcelorMittal USA LLC,01/01/2018 — 12/31/2018,01/01/1950,"$2,342,050,000",9,Single Employer,Yes,Yes,Trust,Trust,"1,718","9,664","1,160","12,542",0,"12,542","14,577",0,0,$0,$0,$0,$0,$0,$0,1 S Dearborn St 19th Fl ,Chicago,IL,60603-2302,(312) 899-3400,71-0871875,331110,Christine Fleps,Christine Fleps,Maxine Stankich,3300 Dickey Rd ,East Chicago,IN,46312-1644,(219) 399-8889,71-0871875,Qdro Consultants,Account maintenance fees,Administration,"$2,000",$0,"$2,000"
9,ARCELORMITTAL USA LLC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/332814/Arcelormittal-Usa-Llc/13913842/Arcelormittal-Usa-Llc-Pension-Plan/,ArcelorMittal USA LLC,01/01/2018 — 12/31/2018,01/01/1950,"$2,342,050,000",9,Single Employer,Yes,Yes,Trust,Trust,"1,718","9,664","1,160","12,542",0,"12,542","14,577",0,0,$0,$0,$0,$0,$0,$0,1 S Dearborn St 19th Fl ,Chicago,IL,60603-2302,(312) 899-3400,71-0871875,331110,Christine Fleps,Christine Fleps,Maxine Stankich,3300 Dickey Rd ,East Chicago,IN,46312-1644,(219) 399-8889,71-0871875,Total,Total,Total,"$1,504,000",$0,"$1,504,000"
