,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,AURORA HEALTH CARE INC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/554615/Aurora-Health-Care-Inc/13914041/Aurora-Health-Care-Inc-Pension-Plan/,Aurora Health Care,01/01/2018 — 12/31/2018,01/01/1988,"$1,336,662,385",1,Single Employer,No,Yes,Trust,Trust,"15,868","5,370","4,593","25,831",204,"26,035","29,519",0,36,$0,$0,$0,$0,$0,$0,Post Office Box 340200 ,Milwaukee,WI,53234-0200,(414) 647-3448,39-1442285,622000,Amy Schoeny,"Aurora Health Care, Inc.",Post Office Box 340200 ,Milwaukee,WI,53234-0200,(414) 647-3477,39-1442285,Vaughn Nelson Investment Mgmt,"Investment management, Direct payment from the plan",Investment Manager,"$561,364",$0,"$561,364"
1,AURORA HEALTH CARE INC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/554615/Aurora-Health-Care-Inc/13914041/Aurora-Health-Care-Inc-Pension-Plan/,Aurora Health Care,01/01/2018 — 12/31/2018,01/01/1988,"$1,336,662,385",1,Single Employer,No,Yes,Trust,Trust,"15,868","5,370","4,593","25,831",204,"26,035","29,519",0,36,$0,$0,$0,$0,$0,$0,Post Office Box 340200 ,Milwaukee,WI,53234-0200,(414) 647-3448,39-1442285,622000,Amy Schoeny,"Aurora Health Care, Inc.",Post Office Box 340200 ,Milwaukee,WI,53234-0200,(414) 647-3477,39-1442285,Mondrian Investment Group,"Investment management, Direct payment from the plan",Investment Manager,"$425,277",$0,"$425,277"
2,AURORA HEALTH CARE INC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/554615/Aurora-Health-Care-Inc/13914041/Aurora-Health-Care-Inc-Pension-Plan/,Aurora Health Care,01/01/2018 — 12/31/2018,01/01/1988,"$1,336,662,385",1,Single Employer,No,Yes,Trust,Trust,"15,868","5,370","4,593","25,831",204,"26,035","29,519",0,36,$0,$0,$0,$0,$0,$0,Post Office Box 340200 ,Milwaukee,WI,53234-0200,(414) 647-3448,39-1442285,622000,Amy Schoeny,"Aurora Health Care, Inc.",Post Office Box 340200 ,Milwaukee,WI,53234-0200,(414) 647-3477,39-1442285,Morgan Stanley Investment Mgmt Ltd,"Investment management, Direct payment from the plan",Investment Manager,"$388,447",$0,"$388,447"
3,AURORA HEALTH CARE INC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/554615/Aurora-Health-Care-Inc/13914041/Aurora-Health-Care-Inc-Pension-Plan/,Aurora Health Care,01/01/2018 — 12/31/2018,01/01/1988,"$1,336,662,385",1,Single Employer,No,Yes,Trust,Trust,"15,868","5,370","4,593","25,831",204,"26,035","29,519",0,36,$0,$0,$0,$0,$0,$0,Post Office Box 340200 ,Milwaukee,WI,53234-0200,(414) 647-3448,39-1442285,622000,Amy Schoeny,"Aurora Health Care, Inc.",Post Office Box 340200 ,Milwaukee,WI,53234-0200,(414) 647-3477,39-1442285,Northern Trust Company,"Investment management, Direct payment from the plan",Trustee,"$351,063",$0,"$351,063"
4,AURORA HEALTH CARE INC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/554615/Aurora-Health-Care-Inc/13914041/Aurora-Health-Care-Inc-Pension-Plan/,Aurora Health Care,01/01/2018 — 12/31/2018,01/01/1988,"$1,336,662,385",1,Single Employer,No,Yes,Trust,Trust,"15,868","5,370","4,593","25,831",204,"26,035","29,519",0,36,$0,$0,$0,$0,$0,$0,Post Office Box 340200 ,Milwaukee,WI,53234-0200,(414) 647-3448,39-1442285,622000,Amy Schoeny,"Aurora Health Care, Inc.",Post Office Box 340200 ,Milwaukee,WI,53234-0200,(414) 647-3477,39-1442285,Times Square Capital Management,"Investment management, Direct payment from the plan",Inv Mgmt,"$283,967",$0,"$283,967"
5,AURORA HEALTH CARE INC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/554615/Aurora-Health-Care-Inc/13914041/Aurora-Health-Care-Inc-Pension-Plan/,Aurora Health Care,01/01/2018 — 12/31/2018,01/01/1988,"$1,336,662,385",1,Single Employer,No,Yes,Trust,Trust,"15,868","5,370","4,593","25,831",204,"26,035","29,519",0,36,$0,$0,$0,$0,$0,$0,Post Office Box 340200 ,Milwaukee,WI,53234-0200,(414) 647-3448,39-1442285,622000,Amy Schoeny,"Aurora Health Care, Inc.",Post Office Box 340200 ,Milwaukee,WI,53234-0200,(414) 647-3477,39-1442285,Aon Consulting,"Investment management, Direct payment from the plan",Investment Manager,"$275,323",$0,"$275,323"
6,AURORA HEALTH CARE INC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/554615/Aurora-Health-Care-Inc/13914041/Aurora-Health-Care-Inc-Pension-Plan/,Aurora Health Care,01/01/2018 — 12/31/2018,01/01/1988,"$1,336,662,385",1,Single Employer,No,Yes,Trust,Trust,"15,868","5,370","4,593","25,831",204,"26,035","29,519",0,36,$0,$0,$0,$0,$0,$0,Post Office Box 340200 ,Milwaukee,WI,53234-0200,(414) 647-3448,39-1442285,622000,Amy Schoeny,"Aurora Health Care, Inc.",Post Office Box 340200 ,Milwaukee,WI,53234-0200,(414) 647-3477,39-1442285,"Marquette Associates, Inc.","Investment management, Direct payment from the plan",Investment Manager,"$177,975",$0,"$177,975"
7,AURORA HEALTH CARE INC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/554615/Aurora-Health-Care-Inc/13914041/Aurora-Health-Care-Inc-Pension-Plan/,Aurora Health Care,01/01/2018 — 12/31/2018,01/01/1988,"$1,336,662,385",1,Single Employer,No,Yes,Trust,Trust,"15,868","5,370","4,593","25,831",204,"26,035","29,519",0,36,$0,$0,$0,$0,$0,$0,Post Office Box 340200 ,Milwaukee,WI,53234-0200,(414) 647-3448,39-1442285,622000,Amy Schoeny,"Aurora Health Care, Inc.",Post Office Box 340200 ,Milwaukee,WI,53234-0200,(414) 647-3477,39-1442285,Nisa Investment Advisors LLP,"Investment management, Direct payment from the plan",Investment Manager,"$167,152",$0,"$167,152"
8,AURORA HEALTH CARE INC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/554615/Aurora-Health-Care-Inc/13914041/Aurora-Health-Care-Inc-Pension-Plan/,Aurora Health Care,01/01/2018 — 12/31/2018,01/01/1988,"$1,336,662,385",1,Single Employer,No,Yes,Trust,Trust,"15,868","5,370","4,593","25,831",204,"26,035","29,519",0,36,$0,$0,$0,$0,$0,$0,Post Office Box 340200 ,Milwaukee,WI,53234-0200,(414) 647-3448,39-1442285,622000,Amy Schoeny,"Aurora Health Care, Inc.",Post Office Box 340200 ,Milwaukee,WI,53234-0200,(414) 647-3477,39-1442285,"Fiduciary Management, Inc.","Investment management, Direct payment from the plan",Investment Manager,"$164,478",$0,"$164,478"
9,AURORA HEALTH CARE INC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/554615/Aurora-Health-Care-Inc/13914041/Aurora-Health-Care-Inc-Pension-Plan/,Aurora Health Care,01/01/2018 — 12/31/2018,01/01/1988,"$1,336,662,385",1,Single Employer,No,Yes,Trust,Trust,"15,868","5,370","4,593","25,831",204,"26,035","29,519",0,36,$0,$0,$0,$0,$0,$0,Post Office Box 340200 ,Milwaukee,WI,53234-0200,(414) 647-3448,39-1442285,622000,Amy Schoeny,"Aurora Health Care, Inc.",Post Office Box 340200 ,Milwaukee,WI,53234-0200,(414) 647-3477,39-1442285,"Diamond Hill Capital Mgmt, Inc.","Investment management, Direct payment from the plan",Investment Manager,"$162,927",$0,"$162,927"
