,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,AUTOMATIC DATA PROCESSING INC. PENSION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90575/Automatic-Data-Processing-Inc/13913932/Automatic-Data-Processing-Inc-Pension-Retirement-Plan/2018/,Automatic Data Processing  Inc.,01/01/2018 — 12/31/2018,07/01/1974,"$1,654,092,843",1,Single Employer,No,Yes,Trust,Trust,"14,998","5,894","25,034","45,926",433,"46,359","49,002",0,0,$0,$0,$0,$0,$0,$0,One Adp Boulevard Mail Stop 433,Roseland,NJ,07068-1728,(973) 974-5000,22-1467904,518210,Mercer,Actuarial,Actuarial,"$3,347,014",$0,"$3,347,014"
1,AUTOMATIC DATA PROCESSING INC. PENSION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90575/Automatic-Data-Processing-Inc/13913932/Automatic-Data-Processing-Inc-Pension-Retirement-Plan/2018/,Automatic Data Processing  Inc.,01/01/2018 — 12/31/2018,07/01/1974,"$1,654,092,843",1,Single Employer,No,Yes,Trust,Trust,"14,998","5,894","25,034","45,926",433,"46,359","49,002",0,0,$0,$0,$0,$0,$0,$0,One Adp Boulevard Mail Stop 433,Roseland,NJ,07068-1728,(973) 974-5000,22-1467904,518210,Manning and Napier Advisors,Investment management,Investment Management,"$1,605,853",$0,"$1,605,853"
2,AUTOMATIC DATA PROCESSING INC. PENSION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90575/Automatic-Data-Processing-Inc/13913932/Automatic-Data-Processing-Inc-Pension-Retirement-Plan/2018/,Automatic Data Processing  Inc.,01/01/2018 — 12/31/2018,07/01/1974,"$1,654,092,843",1,Single Employer,No,Yes,Trust,Trust,"14,998","5,894","25,034","45,926",433,"46,359","49,002",0,0,$0,$0,$0,$0,$0,$0,One Adp Boulevard Mail Stop 433,Roseland,NJ,07068-1728,(973) 974-5000,22-1467904,518210,Fidelity Institutional Asset Mgt,Investment management,Investment Management,"$1,219,191",$0,"$1,219,191"
3,AUTOMATIC DATA PROCESSING INC. PENSION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90575/Automatic-Data-Processing-Inc/13913932/Automatic-Data-Processing-Inc-Pension-Retirement-Plan/2018/,Automatic Data Processing  Inc.,01/01/2018 — 12/31/2018,07/01/1974,"$1,654,092,843",1,Single Employer,No,Yes,Trust,Trust,"14,998","5,894","25,034","45,926",433,"46,359","49,002",0,0,$0,$0,$0,$0,$0,$0,One Adp Boulevard Mail Stop 433,Roseland,NJ,07068-1728,(973) 974-5000,22-1467904,518210,Investec Global Agg Eqty,Investment management,Investment Management,"$1,179,673",$0,"$1,179,673"
4,AUTOMATIC DATA PROCESSING INC. PENSION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90575/Automatic-Data-Processing-Inc/13913932/Automatic-Data-Processing-Inc-Pension-Retirement-Plan/2018/,Automatic Data Processing  Inc.,01/01/2018 — 12/31/2018,07/01/1974,"$1,654,092,843",1,Single Employer,No,Yes,Trust,Trust,"14,998","5,894","25,034","45,926",433,"46,359","49,002",0,0,$0,$0,$0,$0,$0,$0,One Adp Boulevard Mail Stop 433,Roseland,NJ,07068-1728,(973) 974-5000,22-1467904,518210,Wells Capital Management,Investment management,Investment Management,"$981,963",$0,"$981,963"
5,AUTOMATIC DATA PROCESSING INC. PENSION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90575/Automatic-Data-Processing-Inc/13913932/Automatic-Data-Processing-Inc-Pension-Retirement-Plan/2018/,Automatic Data Processing  Inc.,01/01/2018 — 12/31/2018,07/01/1974,"$1,654,092,843",1,Single Employer,No,Yes,Trust,Trust,"14,998","5,894","25,034","45,926",433,"46,359","49,002",0,0,$0,$0,$0,$0,$0,$0,One Adp Boulevard Mail Stop 433,Roseland,NJ,07068-1728,(973) 974-5000,22-1467904,518210,Voya Investment Management,Investment management,Investment Management,"$459,594",$0,"$459,594"
6,AUTOMATIC DATA PROCESSING INC. PENSION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90575/Automatic-Data-Processing-Inc/13913932/Automatic-Data-Processing-Inc-Pension-Retirement-Plan/2018/,Automatic Data Processing  Inc.,01/01/2018 — 12/31/2018,07/01/1974,"$1,654,092,843",1,Single Employer,No,Yes,Trust,Trust,"14,998","5,894","25,034","45,926",433,"46,359","49,002",0,0,$0,$0,$0,$0,$0,$0,One Adp Boulevard Mail Stop 433,Roseland,NJ,07068-1728,(973) 974-5000,22-1467904,518210,Jp Morgan,"Custodial (securities), Other investment fees and expenses",Custodial,"$317,500",$0,"$317,500"
7,AUTOMATIC DATA PROCESSING INC. PENSION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90575/Automatic-Data-Processing-Inc/13913932/Automatic-Data-Processing-Inc-Pension-Retirement-Plan/2018/,Automatic Data Processing  Inc.,01/01/2018 — 12/31/2018,07/01/1974,"$1,654,092,843",1,Single Employer,No,Yes,Trust,Trust,"14,998","5,894","25,034","45,926",433,"46,359","49,002",0,0,$0,$0,$0,$0,$0,$0,One Adp Boulevard Mail Stop 433,Roseland,NJ,07068-1728,(973) 974-5000,22-1467904,518210,Nisa Investment Advisors,Investment management,Investment Management,"$289,286",$0,"$289,286"
8,AUTOMATIC DATA PROCESSING INC. PENSION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90575/Automatic-Data-Processing-Inc/13913932/Automatic-Data-Processing-Inc-Pension-Retirement-Plan/2018/,Automatic Data Processing  Inc.,01/01/2018 — 12/31/2018,07/01/1974,"$1,654,092,843",1,Single Employer,No,Yes,Trust,Trust,"14,998","5,894","25,034","45,926",433,"46,359","49,002",0,0,$0,$0,$0,$0,$0,$0,One Adp Boulevard Mail Stop 433,Roseland,NJ,07068-1728,(973) 974-5000,22-1467904,518210,Northern Trust,Investment management,Investment Management,"$186,008",$0,"$186,008"
9,AUTOMATIC DATA PROCESSING INC. PENSION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90575/Automatic-Data-Processing-Inc/13913932/Automatic-Data-Processing-Inc-Pension-Retirement-Plan/2018/,Automatic Data Processing  Inc.,01/01/2018 — 12/31/2018,07/01/1974,"$1,654,092,843",1,Single Employer,No,Yes,Trust,Trust,"14,998","5,894","25,034","45,926",433,"46,359","49,002",0,0,$0,$0,$0,$0,$0,$0,One Adp Boulevard Mail Stop 433,Roseland,NJ,07068-1728,(973) 974-5000,22-1467904,518210,Winston and Strawn LLP,Legal,Legal,"$102,907",$0,"$102,907"
10,AUTOMATIC DATA PROCESSING INC. PENSION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90575/Automatic-Data-Processing-Inc/13913932/Automatic-Data-Processing-Inc-Pension-Retirement-Plan/2018/,Automatic Data Processing  Inc.,01/01/2018 — 12/31/2018,07/01/1974,"$1,654,092,843",1,Single Employer,No,Yes,Trust,Trust,"14,998","5,894","25,034","45,926",433,"46,359","49,002",0,0,$0,$0,$0,$0,$0,$0,One Adp Boulevard Mail Stop 433,Roseland,NJ,07068-1728,(973) 974-5000,22-1467904,518210,Cohnreznick LLP,Accounting (including auditing),Accountant,"$39,100",$0,"$39,100"
11,AUTOMATIC DATA PROCESSING INC. PENSION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90575/Automatic-Data-Processing-Inc/13913932/Automatic-Data-Processing-Inc-Pension-Retirement-Plan/2018/,Automatic Data Processing  Inc.,01/01/2018 — 12/31/2018,07/01/1974,"$1,654,092,843",1,Single Employer,No,Yes,Trust,Trust,"14,998","5,894","25,034","45,926",433,"46,359","49,002",0,0,$0,$0,$0,$0,$0,$0,One Adp Boulevard Mail Stop 433,Roseland,NJ,07068-1728,(973) 974-5000,22-1467904,518210,Global Printing Inc,Other services,Other Services,"$33,773",$0,"$33,773"
12,AUTOMATIC DATA PROCESSING INC. PENSION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90575/Automatic-Data-Processing-Inc/13913932/Automatic-Data-Processing-Inc-Pension-Retirement-Plan/2018/,Automatic Data Processing  Inc.,01/01/2018 — 12/31/2018,07/01/1974,"$1,654,092,843",1,Single Employer,No,Yes,Trust,Trust,"14,998","5,894","25,034","45,926",433,"46,359","49,002",0,0,$0,$0,$0,$0,$0,$0,One Adp Boulevard Mail Stop 433,Roseland,NJ,07068-1728,(973) 974-5000,22-1467904,518210,Total,Total,Total,"$9,761,862",$0,"$9,761,862"
