,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,American International Group Inc Retirement Plan,https://www.brightscope.com/form-5500/basic-info/44651/American-International-Group-Inc/13913783/American-International-Group-Inc-Retirement-Plan/,AMERICAN INTERNATIONAL GROUP INC,01/01/2018 — 12/31/2018,04/01/1985,"$3,982,665,924",2,Single Employer,No,Yes,Trust,Trust,"14,100","18,143","15,693","47,936","2,830","50,766","52,221",0,28,$0,$0,$0,$0,$0,$0,175 Water Street 21st Floor,New York,NY,10038,(212) 770-7000,13-2592361,524140,Justin Orlando,Kathleen Carbone,The Aig Retirement Board,175 Water Street 21st Floor,New York,NY,10038,(212) 770-6614,13-2592361,Cambridge Associates LLC,"Investment advisory (plan), Direct payment from the plan",NONE,"$3,684,427",$0,"$3,684,427"
1,American International Group Inc Retirement Plan,https://www.brightscope.com/form-5500/basic-info/44651/American-International-Group-Inc/13913783/American-International-Group-Inc-Retirement-Plan/,AMERICAN INTERNATIONAL GROUP INC,01/01/2018 — 12/31/2018,04/01/1985,"$3,982,665,924",2,Single Employer,No,Yes,Trust,Trust,"14,100","18,143","15,693","47,936","2,830","50,766","52,221",0,28,$0,$0,$0,$0,$0,$0,175 Water Street 21st Floor,New York,NY,10038,(212) 770-7000,13-2592361,524140,Justin Orlando,Kathleen Carbone,The Aig Retirement Board,175 Water Street 21st Floor,New York,NY,10038,(212) 770-6614,13-2592361,Mercer,Actuarial,NONE,"$1,878,399",$0,"$1,878,399"
2,American International Group Inc Retirement Plan,https://www.brightscope.com/form-5500/basic-info/44651/American-International-Group-Inc/13913783/American-International-Group-Inc-Retirement-Plan/,AMERICAN INTERNATIONAL GROUP INC,01/01/2018 — 12/31/2018,04/01/1985,"$3,982,665,924",2,Single Employer,No,Yes,Trust,Trust,"14,100","18,143","15,693","47,936","2,830","50,766","52,221",0,28,$0,$0,$0,$0,$0,$0,175 Water Street 21st Floor,New York,NY,10038,(212) 770-7000,13-2592361,524140,Justin Orlando,Kathleen Carbone,The Aig Retirement Board,175 Water Street 21st Floor,New York,NY,10038,(212) 770-6614,13-2592361,Legal & Gnrl Invt Mgmt American Inc,"Investment management, Investment management fees paid directly by plan",NONE,"$1,548,984",$0,"$1,548,984"
3,American International Group Inc Retirement Plan,https://www.brightscope.com/form-5500/basic-info/44651/American-International-Group-Inc/13913783/American-International-Group-Inc-Retirement-Plan/,AMERICAN INTERNATIONAL GROUP INC,01/01/2018 — 12/31/2018,04/01/1985,"$3,982,665,924",2,Single Employer,No,Yes,Trust,Trust,"14,100","18,143","15,693","47,936","2,830","50,766","52,221",0,28,$0,$0,$0,$0,$0,$0,175 Water Street 21st Floor,New York,NY,10038,(212) 770-7000,13-2592361,524140,Justin Orlando,Kathleen Carbone,The Aig Retirement Board,175 Water Street 21st Floor,New York,NY,10038,(212) 770-6614,13-2592361,State Street Bank & Trust,Custodial (securities),NONE,"$1,327,137",$0,"$1,327,137"
4,American International Group Inc Retirement Plan,https://www.brightscope.com/form-5500/basic-info/44651/American-International-Group-Inc/13913783/American-International-Group-Inc-Retirement-Plan/,AMERICAN INTERNATIONAL GROUP INC,01/01/2018 — 12/31/2018,04/01/1985,"$3,982,665,924",2,Single Employer,No,Yes,Trust,Trust,"14,100","18,143","15,693","47,936","2,830","50,766","52,221",0,28,$0,$0,$0,$0,$0,$0,175 Water Street 21st Floor,New York,NY,10038,(212) 770-7000,13-2592361,524140,Justin Orlando,Kathleen Carbone,The Aig Retirement Board,175 Water Street 21st Floor,New York,NY,10038,(212) 770-6614,13-2592361,"Logan Circle Partners, Lp",Investment management,NONE,"$833,234",$0,"$833,234"
5,American International Group Inc Retirement Plan,https://www.brightscope.com/form-5500/basic-info/44651/American-International-Group-Inc/13913783/American-International-Group-Inc-Retirement-Plan/,AMERICAN INTERNATIONAL GROUP INC,01/01/2018 — 12/31/2018,04/01/1985,"$3,982,665,924",2,Single Employer,No,Yes,Trust,Trust,"14,100","18,143","15,693","47,936","2,830","50,766","52,221",0,28,$0,$0,$0,$0,$0,$0,175 Water Street 21st Floor,New York,NY,10038,(212) 770-7000,13-2592361,524140,Justin Orlando,Kathleen Carbone,The Aig Retirement Board,175 Water Street 21st Floor,New York,NY,10038,(212) 770-6614,13-2592361,"Arrowstreet Capital, Lp",Investment management fees paid directly by plan,NONE,"$624,349",$0,"$624,349"
6,American International Group Inc Retirement Plan,https://www.brightscope.com/form-5500/basic-info/44651/American-International-Group-Inc/13913783/American-International-Group-Inc-Retirement-Plan/,AMERICAN INTERNATIONAL GROUP INC,01/01/2018 — 12/31/2018,04/01/1985,"$3,982,665,924",2,Single Employer,No,Yes,Trust,Trust,"14,100","18,143","15,693","47,936","2,830","50,766","52,221",0,28,$0,$0,$0,$0,$0,$0,175 Water Street 21st Floor,New York,NY,10038,(212) 770-7000,13-2592361,524140,Justin Orlando,Kathleen Carbone,The Aig Retirement Board,175 Water Street 21st Floor,New York,NY,10038,(212) 770-6614,13-2592361,Income Research + Management,"Investment management, Investment management fees paid directly by plan",NONE,"$564,917",$0,"$564,917"
7,American International Group Inc Retirement Plan,https://www.brightscope.com/form-5500/basic-info/44651/American-International-Group-Inc/13913783/American-International-Group-Inc-Retirement-Plan/,AMERICAN INTERNATIONAL GROUP INC,01/01/2018 — 12/31/2018,04/01/1985,"$3,982,665,924",2,Single Employer,No,Yes,Trust,Trust,"14,100","18,143","15,693","47,936","2,830","50,766","52,221",0,28,$0,$0,$0,$0,$0,$0,175 Water Street 21st Floor,New York,NY,10038,(212) 770-7000,13-2592361,524140,Justin Orlando,Kathleen Carbone,The Aig Retirement Board,175 Water Street 21st Floor,New York,NY,10038,(212) 770-6614,13-2592361,"Molpus Woodlands Fund IV - Gp, LLC",Investment management fees paid indirectly by plan,NONE,$0,"$360,233","$360,233"
8,American International Group Inc Retirement Plan,https://www.brightscope.com/form-5500/basic-info/44651/American-International-Group-Inc/13913783/American-International-Group-Inc-Retirement-Plan/,AMERICAN INTERNATIONAL GROUP INC,01/01/2018 — 12/31/2018,04/01/1985,"$3,982,665,924",2,Single Employer,No,Yes,Trust,Trust,"14,100","18,143","15,693","47,936","2,830","50,766","52,221",0,28,$0,$0,$0,$0,$0,$0,175 Water Street 21st Floor,New York,NY,10038,(212) 770-7000,13-2592361,524140,Justin Orlando,Kathleen Carbone,The Aig Retirement Board,175 Water Street 21st Floor,New York,NY,10038,(212) 770-6614,13-2592361,Price Waterhouse Coopers LLP,Accounting (including auditing),NONE,"$273,866",$0,"$273,866"
9,American International Group Inc Retirement Plan,https://www.brightscope.com/form-5500/basic-info/44651/American-International-Group-Inc/13913783/American-International-Group-Inc-Retirement-Plan/,AMERICAN INTERNATIONAL GROUP INC,01/01/2018 — 12/31/2018,04/01/1985,"$3,982,665,924",2,Single Employer,No,Yes,Trust,Trust,"14,100","18,143","15,693","47,936","2,830","50,766","52,221",0,28,$0,$0,$0,$0,$0,$0,175 Water Street 21st Floor,New York,NY,10038,(212) 770-7000,13-2592361,524140,Justin Orlando,Kathleen Carbone,The Aig Retirement Board,175 Water Street 21st Floor,New York,NY,10038,(212) 770-6614,13-2592361,"Firefly Value Partners, Lp",Investment management fees paid directly by plan,NONE,"$259,431",$0,"$259,431"
