,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Report Description,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,BAE SYSTEMS EMPLOYEES RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/101942/Bae-Systems-Inc/13913784/Bae-Systems-Employees-Retirement-Plan/,Bae Systems North America Inc.,01/01/2018 — 12/31/2018,11/29/1999,"$4,779,272,872",50,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"9,665","19,102","10,669","39,436","3,175","42,611","43,307",0,0,$0,$0,$0,$0,$0,$0,"1101 Wilson Blvd., Suite 2000 ",Arlington,VA,22209,(703) 312-6100,22-3537950,336410,Bae Systems Administrative Committee,"1101 Wilson Blvd., Suite 2000 ",Arlington,VA,22209,(703) 312-6100,52-2267705,Pimco,"Investment management, Investment management fees paid directly by plan",NONE,"$2,608,920",$0,"$2,608,920"
1,BAE SYSTEMS EMPLOYEES RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/101942/Bae-Systems-Inc/13913784/Bae-Systems-Employees-Retirement-Plan/,Bae Systems North America Inc.,01/01/2018 — 12/31/2018,11/29/1999,"$4,779,272,872",50,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"9,665","19,102","10,669","39,436","3,175","42,611","43,307",0,0,$0,$0,$0,$0,$0,$0,"1101 Wilson Blvd., Suite 2000 ",Arlington,VA,22209,(703) 312-6100,22-3537950,336410,Bae Systems Administrative Committee,"1101 Wilson Blvd., Suite 2000 ",Arlington,VA,22209,(703) 312-6100,52-2267705,Metropolitan West Asset Management,"Investment management, Investment management fees paid directly by plan",NONE,"$2,250,137",$0,"$2,250,137"
2,BAE SYSTEMS EMPLOYEES RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/101942/Bae-Systems-Inc/13913784/Bae-Systems-Employees-Retirement-Plan/,Bae Systems North America Inc.,01/01/2018 — 12/31/2018,11/29/1999,"$4,779,272,872",50,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"9,665","19,102","10,669","39,436","3,175","42,611","43,307",0,0,$0,$0,$0,$0,$0,$0,"1101 Wilson Blvd., Suite 2000 ",Arlington,VA,22209,(703) 312-6100,22-3537950,336410,Bae Systems Administrative Committee,"1101 Wilson Blvd., Suite 2000 ",Arlington,VA,22209,(703) 312-6100,52-2267705,Willis Towers Watson,"Claims processing, Contract Administrator, Recordkeeping and information management (computing, tabulating, data processing, etc.), Legal, Participant communication",NONE,"$2,131,548",$0,"$2,131,548"
3,BAE SYSTEMS EMPLOYEES RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/101942/Bae-Systems-Inc/13913784/Bae-Systems-Employees-Retirement-Plan/,Bae Systems North America Inc.,01/01/2018 — 12/31/2018,11/29/1999,"$4,779,272,872",50,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"9,665","19,102","10,669","39,436","3,175","42,611","43,307",0,0,$0,$0,$0,$0,$0,$0,"1101 Wilson Blvd., Suite 2000 ",Arlington,VA,22209,(703) 312-6100,22-3537950,336410,Bae Systems Administrative Committee,"1101 Wilson Blvd., Suite 2000 ",Arlington,VA,22209,(703) 312-6100,52-2267705,"Aon Consulting, Inc.","Investment advisory (plan), Investment management",NONE,"$1,166,457",$0,"$1,166,457"
4,BAE SYSTEMS EMPLOYEES RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/101942/Bae-Systems-Inc/13913784/Bae-Systems-Employees-Retirement-Plan/,Bae Systems North America Inc.,01/01/2018 — 12/31/2018,11/29/1999,"$4,779,272,872",50,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"9,665","19,102","10,669","39,436","3,175","42,611","43,307",0,0,$0,$0,$0,$0,$0,$0,"1101 Wilson Blvd., Suite 2000 ",Arlington,VA,22209,(703) 312-6100,22-3537950,336410,Bae Systems Administrative Committee,"1101 Wilson Blvd., Suite 2000 ",Arlington,VA,22209,(703) 312-6100,52-2267705,Nisa Investment Advisors,Investment advisory (plan),NONE,"$1,131,580",$0,"$1,131,580"
5,BAE SYSTEMS EMPLOYEES RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/101942/Bae-Systems-Inc/13913784/Bae-Systems-Employees-Retirement-Plan/,Bae Systems North America Inc.,01/01/2018 — 12/31/2018,11/29/1999,"$4,779,272,872",50,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"9,665","19,102","10,669","39,436","3,175","42,611","43,307",0,0,$0,$0,$0,$0,$0,$0,"1101 Wilson Blvd., Suite 2000 ",Arlington,VA,22209,(703) 312-6100,22-3537950,336410,Bae Systems Administrative Committee,"1101 Wilson Blvd., Suite 2000 ",Arlington,VA,22209,(703) 312-6100,52-2267705,Royce & Associates LLC,"Investment management, Investment management fees paid directly by plan",NONE,"$932,153",$0,"$932,153"
6,BAE SYSTEMS EMPLOYEES RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/101942/Bae-Systems-Inc/13913784/Bae-Systems-Employees-Retirement-Plan/,Bae Systems North America Inc.,01/01/2018 — 12/31/2018,11/29/1999,"$4,779,272,872",50,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"9,665","19,102","10,669","39,436","3,175","42,611","43,307",0,0,$0,$0,$0,$0,$0,$0,"1101 Wilson Blvd., Suite 2000 ",Arlington,VA,22209,(703) 312-6100,22-3537950,336410,Bae Systems Administrative Committee,"1101 Wilson Blvd., Suite 2000 ",Arlington,VA,22209,(703) 312-6100,52-2267705,State Street Bank and Trust Company,"Trustee (directed), Investment management, Float revenue, Other fees",NONE,"$879,512",$0,"$879,512"
7,BAE SYSTEMS EMPLOYEES RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/101942/Bae-Systems-Inc/13913784/Bae-Systems-Employees-Retirement-Plan/,Bae Systems North America Inc.,01/01/2018 — 12/31/2018,11/29/1999,"$4,779,272,872",50,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"9,665","19,102","10,669","39,436","3,175","42,611","43,307",0,0,$0,$0,$0,$0,$0,$0,"1101 Wilson Blvd., Suite 2000 ",Arlington,VA,22209,(703) 312-6100,22-3537950,336410,Bae Systems Administrative Committee,"1101 Wilson Blvd., Suite 2000 ",Arlington,VA,22209,(703) 312-6100,52-2267705,Jp Morgan,"Investment advisory (plan), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$782,418",$0,"$782,418"
8,BAE SYSTEMS EMPLOYEES RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/101942/Bae-Systems-Inc/13913784/Bae-Systems-Employees-Retirement-Plan/,Bae Systems North America Inc.,01/01/2018 — 12/31/2018,11/29/1999,"$4,779,272,872",50,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"9,665","19,102","10,669","39,436","3,175","42,611","43,307",0,0,$0,$0,$0,$0,$0,$0,"1101 Wilson Blvd., Suite 2000 ",Arlington,VA,22209,(703) 312-6100,22-3537950,336410,Bae Systems Administrative Committee,"1101 Wilson Blvd., Suite 2000 ",Arlington,VA,22209,(703) 312-6100,52-2267705,Timessquare Capital Management LLC,Investment management,NONE,"$754,449",$0,"$754,449"
9,BAE SYSTEMS EMPLOYEES RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/101942/Bae-Systems-Inc/13913784/Bae-Systems-Employees-Retirement-Plan/,Bae Systems North America Inc.,01/01/2018 — 12/31/2018,11/29/1999,"$4,779,272,872",50,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"9,665","19,102","10,669","39,436","3,175","42,611","43,307",0,0,$0,$0,$0,$0,$0,$0,"1101 Wilson Blvd., Suite 2000 ",Arlington,VA,22209,(703) 312-6100,22-3537950,336410,Bae Systems Administrative Committee,"1101 Wilson Blvd., Suite 2000 ",Arlington,VA,22209,(703) 312-6100,52-2267705,"Hansberger Global Investors, Inc.","Investment management, Investment management fees paid directly by plan",NONE,"$603,848","$122,655","$726,503"
