,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Report Description,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,BAKER HUGHES INCORPORATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/359642/Baker-Hughes-Incorporated/13914316/Baker-Hughes-Incorporated-Pension-Plan/2018/,Baker Hughes Incorporated,01/01/2018 — 12/31/2018,01/01/2002,"$597,501,841",50,Single Employer,Yes,Yes,This is an amended report.,Trust,Trust,"10,322","1,595","14,245","26,162",406,"26,568","27,577",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 4740 ,Houston,TX,77210-4740,(713) 439-8600,76-0207995,211110,Tempo Holding Company LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$1,595,680",$0,"$1,595,680"
1,BAKER HUGHES INCORPORATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/359642/Baker-Hughes-Incorporated/13914316/Baker-Hughes-Incorporated-Pension-Plan/2018/,Baker Hughes Incorporated,01/01/2018 — 12/31/2018,01/01/2002,"$597,501,841",50,Single Employer,Yes,Yes,This is an amended report.,Trust,Trust,"10,322","1,595","14,245","26,162",406,"26,568","27,577",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 4740 ,Houston,TX,77210-4740,(713) 439-8600,76-0207995,211110,"Pavillion Advisory Group, Inc.","Consulting (general), Direct payment from the plan",NONE,"$454,405",$0,"$454,405"
2,BAKER HUGHES INCORPORATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/359642/Baker-Hughes-Incorporated/13914316/Baker-Hughes-Incorporated-Pension-Plan/2018/,Baker Hughes Incorporated,01/01/2018 — 12/31/2018,01/01/2002,"$597,501,841",50,Single Employer,Yes,Yes,This is an amended report.,Trust,Trust,"10,322","1,595","14,245","26,162",406,"26,568","27,577",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 4740 ,Houston,TX,77210-4740,(713) 439-8600,76-0207995,211110,Towers Watson Delaware Inc.,"Actuarial, Direct payment from the plan",NONE,"$148,114",$0,"$148,114"
3,BAKER HUGHES INCORPORATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/359642/Baker-Hughes-Incorporated/13914316/Baker-Hughes-Incorporated-Pension-Plan/2018/,Baker Hughes Incorporated,01/01/2018 — 12/31/2018,01/01/2002,"$597,501,841",50,Single Employer,Yes,Yes,This is an amended report.,Trust,Trust,"10,322","1,595","14,245","26,162",406,"26,568","27,577",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 4740 ,Houston,TX,77210-4740,(713) 439-8600,76-0207995,211110,Fulbright & Jaworski,"Legal, Direct payment from the plan",NONE,"$106,790",$0,"$106,790"
4,BAKER HUGHES INCORPORATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/359642/Baker-Hughes-Incorporated/13914316/Baker-Hughes-Incorporated-Pension-Plan/2018/,Baker Hughes Incorporated,01/01/2018 — 12/31/2018,01/01/2002,"$597,501,841",50,Single Employer,Yes,Yes,This is an amended report.,Trust,Trust,"10,322","1,595","14,245","26,162",406,"26,568","27,577",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 4740 ,Houston,TX,77210-4740,(713) 439-8600,76-0207995,211110,Northern Trust Company,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan",NONE,"$73,537",$0,"$73,537"
5,BAKER HUGHES INCORPORATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/359642/Baker-Hughes-Incorporated/13914316/Baker-Hughes-Incorporated-Pension-Plan/2018/,Baker Hughes Incorporated,01/01/2018 — 12/31/2018,01/01/2002,"$597,501,841",50,Single Employer,Yes,Yes,This is an amended report.,Trust,Trust,"10,322","1,595","14,245","26,162",406,"26,568","27,577",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 4740 ,Houston,TX,77210-4740,(713) 439-8600,76-0207995,211110,Deloitte Tax LLP,"Accounting (including auditing), Direct payment from the plan",NONE,"$72,887",$0,"$72,887"
6,BAKER HUGHES INCORPORATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/359642/Baker-Hughes-Incorporated/13914316/Baker-Hughes-Incorporated-Pension-Plan/2018/,Baker Hughes Incorporated,01/01/2018 — 12/31/2018,01/01/2002,"$597,501,841",50,Single Employer,Yes,Yes,This is an amended report.,Trust,Trust,"10,322","1,595","14,245","26,162",406,"26,568","27,577",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 4740 ,Houston,TX,77210-4740,(713) 439-8600,76-0207995,211110,Deloitte & Touche LLP,"Accounting (including auditing), Direct payment from the plan",NONE,"$48,076",$0,"$48,076"
7,BAKER HUGHES INCORPORATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/359642/Baker-Hughes-Incorporated/13914316/Baker-Hughes-Incorporated-Pension-Plan/2018/,Baker Hughes Incorporated,01/01/2018 — 12/31/2018,01/01/2002,"$597,501,841",50,Single Employer,Yes,Yes,This is an amended report.,Trust,Trust,"10,322","1,595","14,245","26,162",406,"26,568","27,577",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 4740 ,Houston,TX,77210-4740,(713) 439-8600,76-0207995,211110,"Weaver and Tidwell, LLP",Accounting (including auditing),,"$38,889",$0,"$38,889"
8,BAKER HUGHES INCORPORATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/359642/Baker-Hughes-Incorporated/13914316/Baker-Hughes-Incorporated-Pension-Plan/2018/,Baker Hughes Incorporated,01/01/2018 — 12/31/2018,01/01/2002,"$597,501,841",50,Single Employer,Yes,Yes,This is an amended report.,Trust,Trust,"10,322","1,595","14,245","26,162",406,"26,568","27,577",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 4740 ,Houston,TX,77210-4740,(713) 439-8600,76-0207995,211110,"Tejera & Associates, LLC","Consulting (pension), Direct payment from the plan",NONE,"$24,373",$0,"$24,373"
9,BAKER HUGHES INCORPORATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/359642/Baker-Hughes-Incorporated/13914316/Baker-Hughes-Incorporated-Pension-Plan/2018/,Baker Hughes Incorporated,01/01/2018 — 12/31/2018,01/01/2002,"$597,501,841",50,Single Employer,Yes,Yes,This is an amended report.,Trust,Trust,"10,322","1,595","14,245","26,162",406,"26,568","27,577",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 4740 ,Houston,TX,77210-4740,(713) 439-8600,76-0207995,211110,Total,Total,Total,"$2,562,751",$0,"$2,562,751"
