,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,BARNABAS HEALTH RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/94855/Barnabas-Health/13914143/Rwjbarnabas-Health-Retirement-Income-Plan/2018/,Barnabas Health  Inc.,01/01/2018 — 12/31/2018,07/01/1971,"$932,915,807",1,Single Employer,No,Yes,Trust,Trust,"8,659","5,361","6,757","20,777",809,"21,586","22,361",0,42,$0,$0,$0,$0,$0,$0,95 Old Short Hills Road ,West Orange,NJ,07052,(973) 322-4400,22-2405279,622000,Algretta Hatcher,Algretta Hatcher,Pimco,"Investment management, Investment management fees paid directly by plan",NONE,"$1,664,688",$0,"$1,664,688"
1,BARNABAS HEALTH RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/94855/Barnabas-Health/13914143/Rwjbarnabas-Health-Retirement-Income-Plan/2018/,Barnabas Health  Inc.,01/01/2018 — 12/31/2018,07/01/1971,"$932,915,807",1,Single Employer,No,Yes,Trust,Trust,"8,659","5,361","6,757","20,777",809,"21,586","22,361",0,42,$0,$0,$0,$0,$0,$0,95 Old Short Hills Road ,West Orange,NJ,07052,(973) 322-4400,22-2405279,622000,Algretta Hatcher,Algretta Hatcher,Towers Watson,"Actuarial, Direct payment from the plan",NONE,"$1,556,259",$0,"$1,556,259"
2,BARNABAS HEALTH RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/94855/Barnabas-Health/13914143/Rwjbarnabas-Health-Retirement-Income-Plan/2018/,Barnabas Health  Inc.,01/01/2018 — 12/31/2018,07/01/1971,"$932,915,807",1,Single Employer,No,Yes,Trust,Trust,"8,659","5,361","6,757","20,777",809,"21,586","22,361",0,42,$0,$0,$0,$0,$0,$0,95 Old Short Hills Road ,West Orange,NJ,07052,(973) 322-4400,22-2405279,622000,Algretta Hatcher,Algretta Hatcher,Fidelity Institutional Operations,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$848,913",$0,"$848,913"
3,BARNABAS HEALTH RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/94855/Barnabas-Health/13914143/Rwjbarnabas-Health-Retirement-Income-Plan/2018/,Barnabas Health  Inc.,01/01/2018 — 12/31/2018,07/01/1971,"$932,915,807",1,Single Employer,No,Yes,Trust,Trust,"8,659","5,361","6,757","20,777",809,"21,586","22,361",0,42,$0,$0,$0,$0,$0,$0,95 Old Short Hills Road ,West Orange,NJ,07052,(973) 322-4400,22-2405279,622000,Algretta Hatcher,Algretta Hatcher,Winston and Strawn,Legal,NONE,"$563,512",$0,"$563,512"
4,BARNABAS HEALTH RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/94855/Barnabas-Health/13914143/Rwjbarnabas-Health-Retirement-Income-Plan/2018/,Barnabas Health  Inc.,01/01/2018 — 12/31/2018,07/01/1971,"$932,915,807",1,Single Employer,No,Yes,Trust,Trust,"8,659","5,361","6,757","20,777",809,"21,586","22,361",0,42,$0,$0,$0,$0,$0,$0,95 Old Short Hills Road ,West Orange,NJ,07052,(973) 322-4400,22-2405279,622000,Algretta Hatcher,Algretta Hatcher,Northern Trust Company,"Trustee (individual), Direct payment from the plan",NONE,"$269,040",$0,"$269,040"
5,BARNABAS HEALTH RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/94855/Barnabas-Health/13914143/Rwjbarnabas-Health-Retirement-Income-Plan/2018/,Barnabas Health  Inc.,01/01/2018 — 12/31/2018,07/01/1971,"$932,915,807",1,Single Employer,No,Yes,Trust,Trust,"8,659","5,361","6,757","20,777",809,"21,586","22,361",0,42,$0,$0,$0,$0,$0,$0,95 Old Short Hills Road ,West Orange,NJ,07052,(973) 322-4400,22-2405279,622000,Algretta Hatcher,Algretta Hatcher,Guggenheim Partners Investment Mgt,"Investment management, Investment management fees paid directly by plan",NONE,"$56,177",$0,"$56,177"
6,BARNABAS HEALTH RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/94855/Barnabas-Health/13914143/Rwjbarnabas-Health-Retirement-Income-Plan/2018/,Barnabas Health  Inc.,01/01/2018 — 12/31/2018,07/01/1971,"$932,915,807",1,Single Employer,No,Yes,Trust,Trust,"8,659","5,361","6,757","20,777",809,"21,586","22,361",0,42,$0,$0,$0,$0,$0,$0,95 Old Short Hills Road ,West Orange,NJ,07052,(973) 322-4400,22-2405279,622000,Algretta Hatcher,Algretta Hatcher,"Burke Group, LLC","Consulting (pension), Consulting fees",NONE,"$49,248",$0,"$49,248"
7,BARNABAS HEALTH RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/94855/Barnabas-Health/13914143/Rwjbarnabas-Health-Retirement-Income-Plan/2018/,Barnabas Health  Inc.,01/01/2018 — 12/31/2018,07/01/1971,"$932,915,807",1,Single Employer,No,Yes,Trust,Trust,"8,659","5,361","6,757","20,777",809,"21,586","22,361",0,42,$0,$0,$0,$0,$0,$0,95 Old Short Hills Road ,West Orange,NJ,07052,(973) 322-4400,22-2405279,622000,Algretta Hatcher,Algretta Hatcher,Prudential Bank & Trust Company,Investment management fees paid indirectly by plan,NONE,"$35,059",$0,"$35,059"
8,BARNABAS HEALTH RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/94855/Barnabas-Health/13914143/Rwjbarnabas-Health-Retirement-Income-Plan/2018/,Barnabas Health  Inc.,01/01/2018 — 12/31/2018,07/01/1971,"$932,915,807",1,Single Employer,No,Yes,Trust,Trust,"8,659","5,361","6,757","20,777",809,"21,586","22,361",0,42,$0,$0,$0,$0,$0,$0,95 Old Short Hills Road ,West Orange,NJ,07052,(973) 322-4400,22-2405279,622000,Algretta Hatcher,Algretta Hatcher,Prudential Insurance Company,"Contract Administrator, Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$29,956",$0,"$29,956"
9,BARNABAS HEALTH RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/94855/Barnabas-Health/13914143/Rwjbarnabas-Health-Retirement-Income-Plan/2018/,Barnabas Health  Inc.,01/01/2018 — 12/31/2018,07/01/1971,"$932,915,807",1,Single Employer,No,Yes,Trust,Trust,"8,659","5,361","6,757","20,777",809,"21,586","22,361",0,42,$0,$0,$0,$0,$0,$0,95 Old Short Hills Road ,West Orange,NJ,07052,(973) 322-4400,22-2405279,622000,Algretta Hatcher,Algretta Hatcher,Lord Abbett & Company,"Investment management, Investment management fees paid directly by plan",NONE,"$19,628",$0,"$19,628"
10,BARNABAS HEALTH RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/94855/Barnabas-Health/13914143/Rwjbarnabas-Health-Retirement-Income-Plan/2018/,Barnabas Health  Inc.,01/01/2018 — 12/31/2018,07/01/1971,"$932,915,807",1,Single Employer,No,Yes,Trust,Trust,"8,659","5,361","6,757","20,777",809,"21,586","22,361",0,42,$0,$0,$0,$0,$0,$0,95 Old Short Hills Road ,West Orange,NJ,07052,(973) 322-4400,22-2405279,622000,Algretta Hatcher,Algretta Hatcher,Concord Advisory Group Ltd.,"Consulting (general), Direct payment from the plan",NONE,"$10,698",$0,"$10,698"
11,BARNABAS HEALTH RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/94855/Barnabas-Health/13914143/Rwjbarnabas-Health-Retirement-Income-Plan/2018/,Barnabas Health  Inc.,01/01/2018 — 12/31/2018,07/01/1971,"$932,915,807",1,Single Employer,No,Yes,Trust,Trust,"8,659","5,361","6,757","20,777",809,"21,586","22,361",0,42,$0,$0,$0,$0,$0,$0,95 Old Short Hills Road ,West Orange,NJ,07052,(973) 322-4400,22-2405279,622000,Algretta Hatcher,Algretta Hatcher,Total,Total,Total,"$5,103,178",$0,"$5,103,178"
