,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,BELK PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/269495/Belk-Inc/13914307/Belk-Pension-Plan/,Belk Stores Services  Inc.,01/01/2018 — 12/31/2018,01/01/1969,"$381,731,287",334,Single Employer,No,Yes,Trust,Trust,"1,605","4,019","1,628","7,252",342,"7,594","7,993",0,1,$0,$0,$0,$0,$0,$0,2801 West Tyvola Road ,Charlotte,NC,28217,(704) 357-1000,56-0616731,452200,Ned Weavil,Belk Store Services,"Plan Administrator, Direct payment from the plan",Plan Sponsor,"$434,577",$0,"$434,577"
1,BELK PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/269495/Belk-Inc/13914307/Belk-Pension-Plan/,Belk Stores Services  Inc.,01/01/2018 — 12/31/2018,01/01/1969,"$381,731,287",334,Single Employer,No,Yes,Trust,Trust,"1,605","4,019","1,628","7,252",342,"7,594","7,993",0,1,$0,$0,$0,$0,$0,$0,2801 West Tyvola Road ,Charlotte,NC,28217,(704) 357-1000,56-0616731,452200,Ned Weavil,Pimco,"Investment management, Direct payment from the plan",Investment Manager,"$278,056",$0,"$278,056"
2,BELK PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/269495/Belk-Inc/13914307/Belk-Pension-Plan/,Belk Stores Services  Inc.,01/01/2018 — 12/31/2018,01/01/1969,"$381,731,287",334,Single Employer,No,Yes,Trust,Trust,"1,605","4,019","1,628","7,252",342,"7,594","7,993",0,1,$0,$0,$0,$0,$0,$0,2801 West Tyvola Road ,Charlotte,NC,28217,(704) 357-1000,56-0616731,452200,Ned Weavil,Income Research and Management,"Investment management, Direct payment from the plan",Investment Manager,"$266,049",$0,"$266,049"
3,BELK PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/269495/Belk-Inc/13914307/Belk-Pension-Plan/,Belk Stores Services  Inc.,01/01/2018 — 12/31/2018,01/01/1969,"$381,731,287",334,Single Employer,No,Yes,Trust,Trust,"1,605","4,019","1,628","7,252",342,"7,594","7,993",0,1,$0,$0,$0,$0,$0,$0,2801 West Tyvola Road ,Charlotte,NC,28217,(704) 357-1000,56-0616731,452200,Ned Weavil,State Street Bank & Trust Company,"Plan Administrator, Direct payment from the plan, Float revenue",Investment Manager,"$264,443",$0,"$264,443"
4,BELK PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/269495/Belk-Inc/13914307/Belk-Pension-Plan/,Belk Stores Services  Inc.,01/01/2018 — 12/31/2018,01/01/1969,"$381,731,287",334,Single Employer,No,Yes,Trust,Trust,"1,605","4,019","1,628","7,252",342,"7,594","7,993",0,1,$0,$0,$0,$0,$0,$0,2801 West Tyvola Road ,Charlotte,NC,28217,(704) 357-1000,56-0616731,452200,Ned Weavil,Towers Watson,"Actuarial, Consulting (pension), Direct payment from the plan",Actuary,"$232,717",$0,"$232,717"
5,BELK PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/269495/Belk-Inc/13914307/Belk-Pension-Plan/,Belk Stores Services  Inc.,01/01/2018 — 12/31/2018,01/01/1969,"$381,731,287",334,Single Employer,No,Yes,Trust,Trust,"1,605","4,019","1,628","7,252",342,"7,594","7,993",0,1,$0,$0,$0,$0,$0,$0,2801 West Tyvola Road ,Charlotte,NC,28217,(704) 357-1000,56-0616731,452200,Ned Weavil,Conduent Hr,"Accounting (including auditing), Recordkeeping and information management (computing, tabulating, data processing, etc.), Consulting (pension), Direct payment from the plan",Recordkeeper/Consulting,"$89,363",$0,"$89,363"
6,BELK PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/269495/Belk-Inc/13914307/Belk-Pension-Plan/,Belk Stores Services  Inc.,01/01/2018 — 12/31/2018,01/01/1969,"$381,731,287",334,Single Employer,No,Yes,Trust,Trust,"1,605","4,019","1,628","7,252",342,"7,594","7,993",0,1,$0,$0,$0,$0,$0,$0,2801 West Tyvola Road ,Charlotte,NC,28217,(704) 357-1000,56-0616731,452200,Ned Weavil,Blackrock,"Investment management, Direct payment from the plan",Investment Manager,"$75,874",$0,"$75,874"
7,BELK PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/269495/Belk-Inc/13914307/Belk-Pension-Plan/,Belk Stores Services  Inc.,01/01/2018 — 12/31/2018,01/01/1969,"$381,731,287",334,Single Employer,No,Yes,Trust,Trust,"1,605","4,019","1,628","7,252",342,"7,594","7,993",0,1,$0,$0,$0,$0,$0,$0,2801 West Tyvola Road ,Charlotte,NC,28217,(704) 357-1000,56-0616731,452200,Ned Weavil,Susan Reisner,"Legal, Direct payment from the plan",Attorney,"$36,086",$0,"$36,086"
8,BELK PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/269495/Belk-Inc/13914307/Belk-Pension-Plan/,Belk Stores Services  Inc.,01/01/2018 — 12/31/2018,01/01/1969,"$381,731,287",334,Single Employer,No,Yes,Trust,Trust,"1,605","4,019","1,628","7,252",342,"7,594","7,993",0,1,$0,$0,$0,$0,$0,$0,2801 West Tyvola Road ,Charlotte,NC,28217,(704) 357-1000,56-0616731,452200,Ned Weavil,Dixon Hughes Goodman LLP,"Accounting (including auditing), Direct payment from the plan",Auditor,"$17,400",$0,"$17,400"
9,BELK PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/269495/Belk-Inc/13914307/Belk-Pension-Plan/,Belk Stores Services  Inc.,01/01/2018 — 12/31/2018,01/01/1969,"$381,731,287",334,Single Employer,No,Yes,Trust,Trust,"1,605","4,019","1,628","7,252",342,"7,594","7,993",0,1,$0,$0,$0,$0,$0,$0,2801 West Tyvola Road ,Charlotte,NC,28217,(704) 357-1000,56-0616731,452200,Ned Weavil,Wells Fargo,"Insurance services, Direct payment from the plan",NONE,"$16,128",$0,"$16,128"
