,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,CARGILL MEAT SOLUTIONS CORPORATION EMPLOYEES  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/729110/Cargill-Meat-Solutions-Corporation/768868/Cargill-Meat-Solutions-Corporation-Employees-Retirement-Plan/2018/,CARGILL MEAT SOLUTIONS CORPORATION,01/01/2018 — 12/31/2018,01/01/1971,"$139,507,333",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"4,555","1,330","2,403","8,288",143,"8,431","9,980",0,4,$0,$0,$0,$0,$0,$0,Po Box 2519 ,Wichita,KS,67201-2519,(316) 291-2501,75-1449430,311610,Patty Babler,"Towers Watson Delaware, Inc.","Consulting (pension), Direct payment from the plan",NONE,"$255,674",$0,"$255,674"
1,CARGILL MEAT SOLUTIONS CORPORATION EMPLOYEES  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/729110/Cargill-Meat-Solutions-Corporation/768868/Cargill-Meat-Solutions-Corporation-Employees-Retirement-Plan/2018/,CARGILL MEAT SOLUTIONS CORPORATION,01/01/2018 — 12/31/2018,01/01/1971,"$139,507,333",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"4,555","1,330","2,403","8,288",143,"8,431","9,980",0,4,$0,$0,$0,$0,$0,$0,Po Box 2519 ,Wichita,KS,67201-2519,(316) 291-2501,75-1449430,311610,Patty Babler,Mercer,"Actuarial, Direct payment from the plan",NONE,"$153,274",$0,"$153,274"
2,CARGILL MEAT SOLUTIONS CORPORATION EMPLOYEES  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/729110/Cargill-Meat-Solutions-Corporation/768868/Cargill-Meat-Solutions-Corporation-Employees-Retirement-Plan/2018/,CARGILL MEAT SOLUTIONS CORPORATION,01/01/2018 — 12/31/2018,01/01/1971,"$139,507,333",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"4,555","1,330","2,403","8,288",143,"8,431","9,980",0,4,$0,$0,$0,$0,$0,$0,Po Box 2519 ,Wichita,KS,67201-2519,(316) 291-2501,75-1449430,311610,Patty Babler,Quantum Energy,"Investment management, Investment management fees paid directly by plan, Other investment fees and expenses",NONE,"$145,973",$0,"$145,973"
3,CARGILL MEAT SOLUTIONS CORPORATION EMPLOYEES  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/729110/Cargill-Meat-Solutions-Corporation/768868/Cargill-Meat-Solutions-Corporation-Employees-Retirement-Plan/2018/,CARGILL MEAT SOLUTIONS CORPORATION,01/01/2018 — 12/31/2018,01/01/1971,"$139,507,333",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"4,555","1,330","2,403","8,288",143,"8,431","9,980",0,4,$0,$0,$0,$0,$0,$0,Po Box 2519 ,Wichita,KS,67201-2519,(316) 291-2501,75-1449430,311610,Patty Babler,Angelo Gordon,"Investment management, Investment management fees paid directly by plan, Other investment fees and expenses",NONE,"$145,316",$0,"$145,316"
4,CARGILL MEAT SOLUTIONS CORPORATION EMPLOYEES  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/729110/Cargill-Meat-Solutions-Corporation/768868/Cargill-Meat-Solutions-Corporation-Employees-Retirement-Plan/2018/,CARGILL MEAT SOLUTIONS CORPORATION,01/01/2018 — 12/31/2018,01/01/1971,"$139,507,333",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"4,555","1,330","2,403","8,288",143,"8,431","9,980",0,4,$0,$0,$0,$0,$0,$0,Po Box 2519 ,Wichita,KS,67201-2519,(316) 291-2501,75-1449430,311610,Patty Babler,Pimco Bravo,"Investment management, Investment management fees paid directly by plan, Other investment fees and expenses",NONE,"$71,104",$0,"$71,104"
5,CARGILL MEAT SOLUTIONS CORPORATION EMPLOYEES  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/729110/Cargill-Meat-Solutions-Corporation/768868/Cargill-Meat-Solutions-Corporation-Employees-Retirement-Plan/2018/,CARGILL MEAT SOLUTIONS CORPORATION,01/01/2018 — 12/31/2018,01/01/1971,"$139,507,333",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"4,555","1,330","2,403","8,288",143,"8,431","9,980",0,4,$0,$0,$0,$0,$0,$0,Po Box 2519 ,Wichita,KS,67201-2519,(316) 291-2501,75-1449430,311610,Patty Babler,Cerberus,"Investment management, Investment management fees paid directly by plan, Other investment fees and expenses",NONE,"$59,019",$0,"$59,019"
6,CARGILL MEAT SOLUTIONS CORPORATION EMPLOYEES  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/729110/Cargill-Meat-Solutions-Corporation/768868/Cargill-Meat-Solutions-Corporation-Employees-Retirement-Plan/2018/,CARGILL MEAT SOLUTIONS CORPORATION,01/01/2018 — 12/31/2018,01/01/1971,"$139,507,333",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"4,555","1,330","2,403","8,288",143,"8,431","9,980",0,4,$0,$0,$0,$0,$0,$0,Po Box 2519 ,Wichita,KS,67201-2519,(316) 291-2501,75-1449430,311610,Patty Babler,The Bank of New York Mellon,"Custodial (other than securities), Trustee (bank, trust company, or similar financial institution), Direct payment from the plan",NONE,"$57,265",$0,"$57,265"
7,CARGILL MEAT SOLUTIONS CORPORATION EMPLOYEES  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/729110/Cargill-Meat-Solutions-Corporation/768868/Cargill-Meat-Solutions-Corporation-Employees-Retirement-Plan/2018/,CARGILL MEAT SOLUTIONS CORPORATION,01/01/2018 — 12/31/2018,01/01/1971,"$139,507,333",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"4,555","1,330","2,403","8,288",143,"8,431","9,980",0,4,$0,$0,$0,$0,$0,$0,Po Box 2519 ,Wichita,KS,67201-2519,(316) 291-2501,75-1449430,311610,Patty Babler,Pimco Long Bond,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$56,546",$0,"$56,546"
8,CARGILL MEAT SOLUTIONS CORPORATION EMPLOYEES  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/729110/Cargill-Meat-Solutions-Corporation/768868/Cargill-Meat-Solutions-Corporation-Employees-Retirement-Plan/2018/,CARGILL MEAT SOLUTIONS CORPORATION,01/01/2018 — 12/31/2018,01/01/1971,"$139,507,333",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"4,555","1,330","2,403","8,288",143,"8,431","9,980",0,4,$0,$0,$0,$0,$0,$0,Po Box 2519 ,Wichita,KS,67201-2519,(316) 291-2501,75-1449430,311610,Patty Babler,Dune Re,"Investment management, Investment management fees paid directly by plan, Other investment fees and expenses",NONE,"$52,541",$0,"$52,541"
9,CARGILL MEAT SOLUTIONS CORPORATION EMPLOYEES  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/729110/Cargill-Meat-Solutions-Corporation/768868/Cargill-Meat-Solutions-Corporation-Employees-Retirement-Plan/2018/,CARGILL MEAT SOLUTIONS CORPORATION,01/01/2018 — 12/31/2018,01/01/1971,"$139,507,333",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"4,555","1,330","2,403","8,288",143,"8,431","9,980",0,4,$0,$0,$0,$0,$0,$0,Po Box 2519 ,Wichita,KS,67201-2519,(316) 291-2501,75-1449430,311610,Patty Babler,Cvc Fund VI,"Investment management, Investment management fees paid directly by plan, Other investment fees and expenses",NONE,"$46,984",$0,"$46,984"
10,CARGILL MEAT SOLUTIONS CORPORATION EMPLOYEES  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/729110/Cargill-Meat-Solutions-Corporation/768868/Cargill-Meat-Solutions-Corporation-Employees-Retirement-Plan/2018/,CARGILL MEAT SOLUTIONS CORPORATION,01/01/2018 — 12/31/2018,01/01/1971,"$139,507,333",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"4,555","1,330","2,403","8,288",143,"8,431","9,980",0,4,$0,$0,$0,$0,$0,$0,Po Box 2519 ,Wichita,KS,67201-2519,(316) 291-2501,75-1449430,311610,Patty Babler,EIG,"Investment management, Investment management fees paid directly by plan, Other investment fees and expenses",NONE,"$42,976",$0,"$42,976"
11,CARGILL MEAT SOLUTIONS CORPORATION EMPLOYEES  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/729110/Cargill-Meat-Solutions-Corporation/768868/Cargill-Meat-Solutions-Corporation-Employees-Retirement-Plan/2018/,CARGILL MEAT SOLUTIONS CORPORATION,01/01/2018 — 12/31/2018,01/01/1971,"$139,507,333",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"4,555","1,330","2,403","8,288",143,"8,431","9,980",0,4,$0,$0,$0,$0,$0,$0,Po Box 2519 ,Wichita,KS,67201-2519,(316) 291-2501,75-1449430,311610,Patty Babler,Sun Capital,"Investment management, Investment management fees paid directly by plan, Other investment fees and expenses",NONE,"$39,375",$0,"$39,375"
12,CARGILL MEAT SOLUTIONS CORPORATION EMPLOYEES  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/729110/Cargill-Meat-Solutions-Corporation/768868/Cargill-Meat-Solutions-Corporation-Employees-Retirement-Plan/2018/,CARGILL MEAT SOLUTIONS CORPORATION,01/01/2018 — 12/31/2018,01/01/1971,"$139,507,333",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"4,555","1,330","2,403","8,288",143,"8,431","9,980",0,4,$0,$0,$0,$0,$0,$0,Po Box 2519 ,Wichita,KS,67201-2519,(316) 291-2501,75-1449430,311610,Patty Babler,Northwood,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions, Other investment fees and expenses",NONE,"$33,134",$0,"$33,134"
13,CARGILL MEAT SOLUTIONS CORPORATION EMPLOYEES  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/729110/Cargill-Meat-Solutions-Corporation/768868/Cargill-Meat-Solutions-Corporation-Employees-Retirement-Plan/2018/,CARGILL MEAT SOLUTIONS CORPORATION,01/01/2018 — 12/31/2018,01/01/1971,"$139,507,333",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"4,555","1,330","2,403","8,288",143,"8,431","9,980",0,4,$0,$0,$0,$0,$0,$0,Po Box 2519 ,Wichita,KS,67201-2519,(316) 291-2501,75-1449430,311610,Patty Babler,Eagle Capital Management,"Investment management, Investment management fees paid directly by plan, Other investment fees and expenses",NONE,"$33,096",$0,"$33,096"
14,CARGILL MEAT SOLUTIONS CORPORATION EMPLOYEES  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/729110/Cargill-Meat-Solutions-Corporation/768868/Cargill-Meat-Solutions-Corporation-Employees-Retirement-Plan/2018/,CARGILL MEAT SOLUTIONS CORPORATION,01/01/2018 — 12/31/2018,01/01/1971,"$139,507,333",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"4,555","1,330","2,403","8,288",143,"8,431","9,980",0,4,$0,$0,$0,$0,$0,$0,Po Box 2519 ,Wichita,KS,67201-2519,(316) 291-2501,75-1449430,311610,Patty Babler,NISA,"Investment management, Investment management fees paid directly by plan",NONE,"$30,910",$0,"$30,910"
