,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,CBS COMBINED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/15985/Cbs-Corporation/13913773/Cbs-Combined-Pension-Plan//2018/,CBS Corporation,01/01/2018 — 12/31/2018,12/26/1942,"$2,431,911,885",200,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"2,641","14,997","10,919","28,557","2,515","31,072","32,041",0,18,$0,$0,$0,$0,$0,$0,51 West 52nd Street 19th Floor ,New York,NY,10019-6188,(212) 975-4321,04-2949533,515100,"Stephen D. Mirante, Retirement Cte.",Cbs Corporation Retirement Committee,51 West 52nd Street ,New York,NY,10019-6188,(212) 975-4321,04-2949533,Mercer Hr Outsourcing,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$1,875,566",$0,"$1,875,566"
1,CBS COMBINED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/15985/Cbs-Corporation/13913773/Cbs-Combined-Pension-Plan//2018/,CBS Corporation,01/01/2018 — 12/31/2018,12/26/1942,"$2,431,911,885",200,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"2,641","14,997","10,919","28,557","2,515","31,072","32,041",0,18,$0,$0,$0,$0,$0,$0,51 West 52nd Street 19th Floor ,New York,NY,10019-6188,(212) 975-4321,04-2949533,515100,"Stephen D. Mirante, Retirement Cte.",Cbs Corporation Retirement Committee,51 West 52nd Street ,New York,NY,10019-6188,(212) 975-4321,04-2949533,Goldman Sachs Asset Management,"Investment management, Investment management fees paid directly by plan",NONE,"$475,000",$0,"$475,000"
2,CBS COMBINED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/15985/Cbs-Corporation/13913773/Cbs-Combined-Pension-Plan//2018/,CBS Corporation,01/01/2018 — 12/31/2018,12/26/1942,"$2,431,911,885",200,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"2,641","14,997","10,919","28,557","2,515","31,072","32,041",0,18,$0,$0,$0,$0,$0,$0,51 West 52nd Street 19th Floor ,New York,NY,10019-6188,(212) 975-4321,04-2949533,515100,"Stephen D. Mirante, Retirement Cte.",Cbs Corporation Retirement Committee,51 West 52nd Street ,New York,NY,10019-6188,(212) 975-4321,04-2949533,Bank of New York Mellon,"Claims processing, Trustee (bank, trust company, or similar financial institution), Direct payment from the plan",Trustee/Claims Proc,"$349,135",$0,"$349,135"
3,CBS COMBINED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/15985/Cbs-Corporation/13913773/Cbs-Combined-Pension-Plan//2018/,CBS Corporation,01/01/2018 — 12/31/2018,12/26/1942,"$2,431,911,885",200,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"2,641","14,997","10,919","28,557","2,515","31,072","32,041",0,18,$0,$0,$0,$0,$0,$0,51 West 52nd Street 19th Floor ,New York,NY,10019-6188,(212) 975-4321,04-2949533,515100,"Stephen D. Mirante, Retirement Cte.",Cbs Corporation Retirement Committee,51 West 52nd Street ,New York,NY,10019-6188,(212) 975-4321,04-2949533,Willis Towers Watson,"Actuarial, Direct payment from the plan",NONE,"$280,900",$0,"$280,900"
4,CBS COMBINED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/15985/Cbs-Corporation/13913773/Cbs-Combined-Pension-Plan//2018/,CBS Corporation,01/01/2018 — 12/31/2018,12/26/1942,"$2,431,911,885",200,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"2,641","14,997","10,919","28,557","2,515","31,072","32,041",0,18,$0,$0,$0,$0,$0,$0,51 West 52nd Street 19th Floor ,New York,NY,10019-6188,(212) 975-4321,04-2949533,515100,"Stephen D. Mirante, Retirement Cte.",Cbs Corporation Retirement Committee,51 West 52nd Street ,New York,NY,10019-6188,(212) 975-4321,04-2949533,Mitchell & Titus LLP,"Accounting (including auditing), Direct payment from the plan",NONE,"$78,720",$0,"$78,720"
5,CBS COMBINED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/15985/Cbs-Corporation/13913773/Cbs-Combined-Pension-Plan//2018/,CBS Corporation,01/01/2018 — 12/31/2018,12/26/1942,"$2,431,911,885",200,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"2,641","14,997","10,919","28,557","2,515","31,072","32,041",0,18,$0,$0,$0,$0,$0,$0,51 West 52nd Street 19th Floor ,New York,NY,10019-6188,(212) 975-4321,04-2949533,515100,"Stephen D. Mirante, Retirement Cte.",Cbs Corporation Retirement Committee,51 West 52nd Street ,New York,NY,10019-6188,(212) 975-4321,04-2949533,Aon Hewitt Investment,"Investment management, Investment management fees paid directly by plan",NONE,"$50,044",$0,"$50,044"
6,CBS COMBINED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/15985/Cbs-Corporation/13913773/Cbs-Combined-Pension-Plan//2018/,CBS Corporation,01/01/2018 — 12/31/2018,12/26/1942,"$2,431,911,885",200,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"2,641","14,997","10,919","28,557","2,515","31,072","32,041",0,18,$0,$0,$0,$0,$0,$0,51 West 52nd Street 19th Floor ,New York,NY,10019-6188,(212) 975-4321,04-2949533,515100,"Stephen D. Mirante, Retirement Cte.",Cbs Corporation Retirement Committee,51 West 52nd Street ,New York,NY,10019-6188,(212) 975-4321,04-2949533,Morgan Lewis & Bockius LLP,"Legal, Direct payment from the plan",NONE,"$24,524",$0,"$24,524"
7,CBS COMBINED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/15985/Cbs-Corporation/13913773/Cbs-Combined-Pension-Plan//2018/,CBS Corporation,01/01/2018 — 12/31/2018,12/26/1942,"$2,431,911,885",200,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"2,641","14,997","10,919","28,557","2,515","31,072","32,041",0,18,$0,$0,$0,$0,$0,$0,51 West 52nd Street 19th Floor ,New York,NY,10019-6188,(212) 975-4321,04-2949533,515100,"Stephen D. Mirante, Retirement Cte.",Cbs Corporation Retirement Committee,51 West 52nd Street ,New York,NY,10019-6188,(212) 975-4321,04-2949533,Groom Law Group,"Legal, Direct payment from the plan",NONE,"$23,333",$0,"$23,333"
8,CBS COMBINED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/15985/Cbs-Corporation/13913773/Cbs-Combined-Pension-Plan//2018/,CBS Corporation,01/01/2018 — 12/31/2018,12/26/1942,"$2,431,911,885",200,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"2,641","14,997","10,919","28,557","2,515","31,072","32,041",0,18,$0,$0,$0,$0,$0,$0,51 West 52nd Street 19th Floor ,New York,NY,10019-6188,(212) 975-4321,04-2949533,515100,"Stephen D. Mirante, Retirement Cte.",Cbs Corporation Retirement Committee,51 West 52nd Street ,New York,NY,10019-6188,(212) 975-4321,04-2949533,Curcio Webb LLC,"Consulting (pension), Direct payment from the plan",NONE,"$16,320",$0,"$16,320"
9,CBS COMBINED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/15985/Cbs-Corporation/13913773/Cbs-Combined-Pension-Plan//2018/,CBS Corporation,01/01/2018 — 12/31/2018,12/26/1942,"$2,431,911,885",200,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"2,641","14,997","10,919","28,557","2,515","31,072","32,041",0,18,$0,$0,$0,$0,$0,$0,51 West 52nd Street 19th Floor ,New York,NY,10019-6188,(212) 975-4321,04-2949533,515100,"Stephen D. Mirante, Retirement Cte.",Cbs Corporation Retirement Committee,51 West 52nd Street ,New York,NY,10019-6188,(212) 975-4321,04-2949533,Total,Total,Total,"$3,173,542",$0,"$3,173,542"
