,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,CELANESE AMERICAS RETIREMENT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/91787/Celanese-Americas-Llc/13913850/Celanese-Americas-Retirement-Pension-Plan/,Celanese Americas LLC,01/01/2018 — 12/31/2018,07/01/1947,"$2,529,417,813",4,Single Employer,Yes,Yes,Trust,Trust,"1,695","13,490","3,045","18,230","3,309","21,539","22,087",0,0,$0,$0,$0,$0,$0,$0,222 W. Las Colinas Blvd. Suite 900N,Irving,TX,75039-5421,(972) 443-4000,22-1862783,325100,Jose Motta,Chuck Kyrish,Celanese Americas Benefits Committee,222 W. Las Colinas Blvd. Suite 900N,Irving,TX,75039-5421,(972) 443-4000,13-2875780,Russell Investments Trust Company,"Investment management, Investment management fees paid directly by plan",Investment Manager,"$3,156,636",$0,"$3,156,636"
1,CELANESE AMERICAS RETIREMENT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/91787/Celanese-Americas-Llc/13913850/Celanese-Americas-Retirement-Pension-Plan/,Celanese Americas LLC,01/01/2018 — 12/31/2018,07/01/1947,"$2,529,417,813",4,Single Employer,Yes,Yes,Trust,Trust,"1,695","13,490","3,045","18,230","3,309","21,539","22,087",0,0,$0,$0,$0,$0,$0,$0,222 W. Las Colinas Blvd. Suite 900N,Irving,TX,75039-5421,(972) 443-4000,22-1862783,325100,Jose Motta,Chuck Kyrish,Celanese Americas Benefits Committee,222 W. Las Colinas Blvd. Suite 900N,Irving,TX,75039-5421,(972) 443-4000,13-2875780,Nisa Investment Advisors LLC,"Investment management, Investment management fees paid directly by plan",Investment Manager,"$1,364,613",$0,"$1,364,613"
2,CELANESE AMERICAS RETIREMENT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/91787/Celanese-Americas-Llc/13913850/Celanese-Americas-Retirement-Pension-Plan/,Celanese Americas LLC,01/01/2018 — 12/31/2018,07/01/1947,"$2,529,417,813",4,Single Employer,Yes,Yes,Trust,Trust,"1,695","13,490","3,045","18,230","3,309","21,539","22,087",0,0,$0,$0,$0,$0,$0,$0,222 W. Las Colinas Blvd. Suite 900N,Irving,TX,75039-5421,(972) 443-4000,22-1862783,325100,Jose Motta,Chuck Kyrish,Celanese Americas Benefits Committee,222 W. Las Colinas Blvd. Suite 900N,Irving,TX,75039-5421,(972) 443-4000,13-2875780,Morneau Shepell,"Investment management, Investment management fees paid directly by plan",Retiree Administration,"$1,016,294",$0,"$1,016,294"
3,CELANESE AMERICAS RETIREMENT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/91787/Celanese-Americas-Llc/13913850/Celanese-Americas-Retirement-Pension-Plan/,Celanese Americas LLC,01/01/2018 — 12/31/2018,07/01/1947,"$2,529,417,813",4,Single Employer,Yes,Yes,Trust,Trust,"1,695","13,490","3,045","18,230","3,309","21,539","22,087",0,0,$0,$0,$0,$0,$0,$0,222 W. Las Colinas Blvd. Suite 900N,Irving,TX,75039-5421,(972) 443-4000,22-1862783,325100,Jose Motta,Chuck Kyrish,Celanese Americas Benefits Committee,222 W. Las Colinas Blvd. Suite 900N,Irving,TX,75039-5421,(972) 443-4000,13-2875780,Legal and General,"Investment management, Investment management fees paid directly by plan",Investment Manager,"$536,574",$0,"$536,574"
4,CELANESE AMERICAS RETIREMENT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/91787/Celanese-Americas-Llc/13913850/Celanese-Americas-Retirement-Pension-Plan/,Celanese Americas LLC,01/01/2018 — 12/31/2018,07/01/1947,"$2,529,417,813",4,Single Employer,Yes,Yes,Trust,Trust,"1,695","13,490","3,045","18,230","3,309","21,539","22,087",0,0,$0,$0,$0,$0,$0,$0,222 W. Las Colinas Blvd. Suite 900N,Irving,TX,75039-5421,(972) 443-4000,22-1862783,325100,Jose Motta,Chuck Kyrish,Celanese Americas Benefits Committee,222 W. Las Colinas Blvd. Suite 900N,Irving,TX,75039-5421,(972) 443-4000,13-2875780,Loomis and Sayles,"Investment management, Investment management fees paid directly by plan",Investment Manager,"$533,327",$0,"$533,327"
5,CELANESE AMERICAS RETIREMENT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/91787/Celanese-Americas-Llc/13913850/Celanese-Americas-Retirement-Pension-Plan/,Celanese Americas LLC,01/01/2018 — 12/31/2018,07/01/1947,"$2,529,417,813",4,Single Employer,Yes,Yes,Trust,Trust,"1,695","13,490","3,045","18,230","3,309","21,539","22,087",0,0,$0,$0,$0,$0,$0,$0,222 W. Las Colinas Blvd. Suite 900N,Irving,TX,75039-5421,(972) 443-4000,22-1862783,325100,Jose Motta,Chuck Kyrish,Celanese Americas Benefits Committee,222 W. Las Colinas Blvd. Suite 900N,Irving,TX,75039-5421,(972) 443-4000,13-2875780,Blackrock,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Investment Manager,"$523,595",$0,"$523,595"
6,CELANESE AMERICAS RETIREMENT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/91787/Celanese-Americas-Llc/13913850/Celanese-Americas-Retirement-Pension-Plan/,Celanese Americas LLC,01/01/2018 — 12/31/2018,07/01/1947,"$2,529,417,813",4,Single Employer,Yes,Yes,Trust,Trust,"1,695","13,490","3,045","18,230","3,309","21,539","22,087",0,0,$0,$0,$0,$0,$0,$0,222 W. Las Colinas Blvd. Suite 900N,Irving,TX,75039-5421,(972) 443-4000,22-1862783,325100,Jose Motta,Chuck Kyrish,Celanese Americas Benefits Committee,222 W. Las Colinas Blvd. Suite 900N,Irving,TX,75039-5421,(972) 443-4000,13-2875780,State Street Bank and Trust Company,"Trustee (directed), Investment management, Investment management fees paid directly by plan, Other fees",Trustee,"$450,630",$0,"$450,630"
7,CELANESE AMERICAS RETIREMENT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/91787/Celanese-Americas-Llc/13913850/Celanese-Americas-Retirement-Pension-Plan/,Celanese Americas LLC,01/01/2018 — 12/31/2018,07/01/1947,"$2,529,417,813",4,Single Employer,Yes,Yes,Trust,Trust,"1,695","13,490","3,045","18,230","3,309","21,539","22,087",0,0,$0,$0,$0,$0,$0,$0,222 W. Las Colinas Blvd. Suite 900N,Irving,TX,75039-5421,(972) 443-4000,22-1862783,325100,Jose Motta,Chuck Kyrish,Celanese Americas Benefits Committee,222 W. Las Colinas Blvd. Suite 900N,Irving,TX,75039-5421,(972) 443-4000,13-2875780,Cna Holdings,"Investment management, Investment management fees paid directly by plan",Related Party,"$402,346",$0,"$402,346"
8,CELANESE AMERICAS RETIREMENT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/91787/Celanese-Americas-Llc/13913850/Celanese-Americas-Retirement-Pension-Plan/,Celanese Americas LLC,01/01/2018 — 12/31/2018,07/01/1947,"$2,529,417,813",4,Single Employer,Yes,Yes,Trust,Trust,"1,695","13,490","3,045","18,230","3,309","21,539","22,087",0,0,$0,$0,$0,$0,$0,$0,222 W. Las Colinas Blvd. Suite 900N,Irving,TX,75039-5421,(972) 443-4000,22-1862783,325100,Jose Motta,Chuck Kyrish,Celanese Americas Benefits Committee,222 W. Las Colinas Blvd. Suite 900N,Irving,TX,75039-5421,(972) 443-4000,13-2875780,"Russell Investments Capital, LLC","Consulting (pension), Securities brokerage commissions and fees, Direct payment from the plan",Consultant,"$400,000",$0,"$400,000"
9,CELANESE AMERICAS RETIREMENT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/91787/Celanese-Americas-Llc/13913850/Celanese-Americas-Retirement-Pension-Plan/,Celanese Americas LLC,01/01/2018 — 12/31/2018,07/01/1947,"$2,529,417,813",4,Single Employer,Yes,Yes,Trust,Trust,"1,695","13,490","3,045","18,230","3,309","21,539","22,087",0,0,$0,$0,$0,$0,$0,$0,222 W. Las Colinas Blvd. Suite 900N,Irving,TX,75039-5421,(972) 443-4000,22-1862783,325100,Jose Motta,Chuck Kyrish,Celanese Americas Benefits Committee,222 W. Las Colinas Blvd. Suite 900N,Irving,TX,75039-5421,(972) 443-4000,13-2875780,Towers Watson,"Actuarial, Direct payment from the plan",Actuary,"$134,750",$0,"$134,750"
