,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,CENTERPOINT ENERGY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/342302/Centerpoint-Energy-Inc/13913902/Centerpoint-Energy-Retirement-Plan//,Centerpoint Energy Inc,01/01/2018 — 12/31/2018,07/01/1953,"$1,634,971,676",1,Single Employer,Yes,Yes,Trust,Trust,"8,120","4,930","3,296","16,346","1,252","17,598","19,166",0,139,$0,$0,$0,$0,$0,$0,1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,74-0694415,221100,Carla A. Kneipp,"The Benefits Committee of Centerpoint Energy, Inc.",1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,62-1510005,Tempo Holding Co LLC Dba Alight Sol,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Investment management",NONE,"$1,308,620",$0,"$1,308,620"
1,CENTERPOINT ENERGY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/342302/Centerpoint-Energy-Inc/13913902/Centerpoint-Energy-Retirement-Plan//,Centerpoint Energy Inc,01/01/2018 — 12/31/2018,07/01/1953,"$1,634,971,676",1,Single Employer,Yes,Yes,Trust,Trust,"8,120","4,930","3,296","16,346","1,252","17,598","19,166",0,139,$0,$0,$0,$0,$0,$0,1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,74-0694415,221100,Carla A. Kneipp,"The Benefits Committee of Centerpoint Energy, Inc.",1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,62-1510005,Pacific Investment Management,Investment management,NONE,"$883,276",$0,"$883,276"
2,CENTERPOINT ENERGY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/342302/Centerpoint-Energy-Inc/13913902/Centerpoint-Energy-Retirement-Plan//,Centerpoint Energy Inc,01/01/2018 — 12/31/2018,07/01/1953,"$1,634,971,676",1,Single Employer,Yes,Yes,Trust,Trust,"8,120","4,930","3,296","16,346","1,252","17,598","19,166",0,139,$0,$0,$0,$0,$0,$0,1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,74-0694415,221100,Carla A. Kneipp,"The Benefits Committee of Centerpoint Energy, Inc.",1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,62-1510005,"Aberdeen Asset Management, Inc.",Investment management,NONE,"$755,986",$0,"$755,986"
3,CENTERPOINT ENERGY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/342302/Centerpoint-Energy-Inc/13913902/Centerpoint-Energy-Retirement-Plan//,Centerpoint Energy Inc,01/01/2018 — 12/31/2018,07/01/1953,"$1,634,971,676",1,Single Employer,Yes,Yes,Trust,Trust,"8,120","4,930","3,296","16,346","1,252","17,598","19,166",0,139,$0,$0,$0,$0,$0,$0,1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,74-0694415,221100,Carla A. Kneipp,"The Benefits Committee of Centerpoint Energy, Inc.",1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,62-1510005,Fidelity Investments Institutional,Investment advisory (plan),NONE,"$748,228",$0,"$748,228"
4,CENTERPOINT ENERGY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/342302/Centerpoint-Energy-Inc/13913902/Centerpoint-Energy-Retirement-Plan//,Centerpoint Energy Inc,01/01/2018 — 12/31/2018,07/01/1953,"$1,634,971,676",1,Single Employer,Yes,Yes,Trust,Trust,"8,120","4,930","3,296","16,346","1,252","17,598","19,166",0,139,$0,$0,$0,$0,$0,$0,1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,74-0694415,221100,Carla A. Kneipp,"The Benefits Committee of Centerpoint Energy, Inc.",1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,62-1510005,Northern Trust Company,"Trustee (bank, trust company, or similar financial institution)",NONE,"$295,385",$0,"$295,385"
5,CENTERPOINT ENERGY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/342302/Centerpoint-Energy-Inc/13913902/Centerpoint-Energy-Retirement-Plan//,Centerpoint Energy Inc,01/01/2018 — 12/31/2018,07/01/1953,"$1,634,971,676",1,Single Employer,Yes,Yes,Trust,Trust,"8,120","4,930","3,296","16,346","1,252","17,598","19,166",0,139,$0,$0,$0,$0,$0,$0,1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,74-0694415,221100,Carla A. Kneipp,"The Benefits Committee of Centerpoint Energy, Inc.",1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,62-1510005,Barrow Hanley Mewhinney & Strauss I,Investment management,NONE,"$262,761",$0,"$262,761"
6,CENTERPOINT ENERGY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/342302/Centerpoint-Energy-Inc/13913902/Centerpoint-Energy-Retirement-Plan//,Centerpoint Energy Inc,01/01/2018 — 12/31/2018,07/01/1953,"$1,634,971,676",1,Single Employer,Yes,Yes,Trust,Trust,"8,120","4,930","3,296","16,346","1,252","17,598","19,166",0,139,$0,$0,$0,$0,$0,$0,1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,74-0694415,221100,Carla A. Kneipp,"The Benefits Committee of Centerpoint Energy, Inc.",1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,62-1510005,"Aon Hewitt Investment Consulting, I",Consulting (pension),NONE,"$258,644",$0,"$258,644"
7,CENTERPOINT ENERGY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/342302/Centerpoint-Energy-Inc/13913902/Centerpoint-Energy-Retirement-Plan//,Centerpoint Energy Inc,01/01/2018 — 12/31/2018,07/01/1953,"$1,634,971,676",1,Single Employer,Yes,Yes,Trust,Trust,"8,120","4,930","3,296","16,346","1,252","17,598","19,166",0,139,$0,$0,$0,$0,$0,$0,1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,74-0694415,221100,Carla A. Kneipp,"The Benefits Committee of Centerpoint Energy, Inc.",1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,62-1510005,Iridian Asset Management,Investment management,NONE,"$239,470",$0,"$239,470"
8,CENTERPOINT ENERGY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/342302/Centerpoint-Energy-Inc/13913902/Centerpoint-Energy-Retirement-Plan//,Centerpoint Energy Inc,01/01/2018 — 12/31/2018,07/01/1953,"$1,634,971,676",1,Single Employer,Yes,Yes,Trust,Trust,"8,120","4,930","3,296","16,346","1,252","17,598","19,166",0,139,$0,$0,$0,$0,$0,$0,1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,74-0694415,221100,Carla A. Kneipp,"The Benefits Committee of Centerpoint Energy, Inc.",1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,62-1510005,Callan LLC,Consulting (pension),NONE,"$201,000",$0,"$201,000"
9,CENTERPOINT ENERGY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/342302/Centerpoint-Energy-Inc/13913902/Centerpoint-Energy-Retirement-Plan//,Centerpoint Energy Inc,01/01/2018 — 12/31/2018,07/01/1953,"$1,634,971,676",1,Single Employer,Yes,Yes,Trust,Trust,"8,120","4,930","3,296","16,346","1,252","17,598","19,166",0,139,$0,$0,$0,$0,$0,$0,1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,74-0694415,221100,Carla A. Kneipp,"The Benefits Committee of Centerpoint Energy, Inc.",1111 Louisiana St ,Houston,TX,77002-5230,(713) 207-1111,62-1510005,Blackrock Corp,Investment management,NONE,"$188,411",$0,"$188,411"
