,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,CFG PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/25437/Citizens-Financial-Group-Inc/13913989/Cfg-Pension-Plan/,Citizens Financial Group  Inc.,01/01/2018 — 12/31/2018,03/23/1961,"$1,051,582,902",1,Single Employer,No,Yes,Trust,Trust,"4,796","4,174","4,100","13,070",339,"13,409","13,781",0,0,$0,$0,$0,$0,$0,$0,One Citizens Bank Way Jcc111,Johnston,RI,02919,(401) 757-4715,05-0412693,522110,Joanne Swift,Towers Watson Delaware Inc,"Actuarial, Recordkeeping and information management (computing, tabulating, data processing, etc.), Consulting (pension), Direct payment from the plan",Actuary,"$1,350,596",$0,"$1,350,596"
1,CFG PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/25437/Citizens-Financial-Group-Inc/13913989/Cfg-Pension-Plan/,Citizens Financial Group  Inc.,01/01/2018 — 12/31/2018,03/23/1961,"$1,051,582,902",1,Single Employer,No,Yes,Trust,Trust,"4,796","4,174","4,100","13,070",339,"13,409","13,781",0,0,$0,$0,$0,$0,$0,$0,One Citizens Bank Way Jcc111,Johnston,RI,02919,(401) 757-4715,05-0412693,522110,Joanne Swift,Pacific Investment Management,"Investment management, Investment management fees paid directly by plan",Invest. Mgmt.,"$300,924",$0,"$300,924"
2,CFG PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/25437/Citizens-Financial-Group-Inc/13913989/Cfg-Pension-Plan/,Citizens Financial Group  Inc.,01/01/2018 — 12/31/2018,03/23/1961,"$1,051,582,902",1,Single Employer,No,Yes,Trust,Trust,"4,796","4,174","4,100","13,070",339,"13,409","13,781",0,0,$0,$0,$0,$0,$0,$0,One Citizens Bank Way Jcc111,Johnston,RI,02919,(401) 757-4715,05-0412693,522110,Joanne Swift,Prudential Trust Co.,"Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",Invest. Mgmt.,"$222,289",$0,"$222,289"
3,CFG PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/25437/Citizens-Financial-Group-Inc/13913989/Cfg-Pension-Plan/,Citizens Financial Group  Inc.,01/01/2018 — 12/31/2018,03/23/1961,"$1,051,582,902",1,Single Employer,No,Yes,Trust,Trust,"4,796","4,174","4,100","13,070",339,"13,409","13,781",0,0,$0,$0,$0,$0,$0,$0,One Citizens Bank Way Jcc111,Johnston,RI,02919,(401) 757-4715,05-0412693,522110,Joanne Swift,Bank of New York Mellon,"Custodial (other than securities), Custodial (securities), Trustee (bank, trust company, or similar financial institution), Trustee (directed), Direct payment from the plan, Shareholder servicing fees, Float revenue",Trustee,"$210,574",$0,"$210,574"
4,CFG PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/25437/Citizens-Financial-Group-Inc/13913989/Cfg-Pension-Plan/,Citizens Financial Group  Inc.,01/01/2018 — 12/31/2018,03/23/1961,"$1,051,582,902",1,Single Employer,No,Yes,Trust,Trust,"4,796","4,174","4,100","13,070",339,"13,409","13,781",0,0,$0,$0,$0,$0,$0,$0,One Citizens Bank Way Jcc111,Johnston,RI,02919,(401) 757-4715,05-0412693,522110,Joanne Swift,Blackrock Institutional Trust Co.,"Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",Invest. Mgmt.,"$205,938",$0,"$205,938"
5,CFG PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/25437/Citizens-Financial-Group-Inc/13913989/Cfg-Pension-Plan/,Citizens Financial Group  Inc.,01/01/2018 — 12/31/2018,03/23/1961,"$1,051,582,902",1,Single Employer,No,Yes,Trust,Trust,"4,796","4,174","4,100","13,070",339,"13,409","13,781",0,0,$0,$0,$0,$0,$0,$0,One Citizens Bank Way Jcc111,Johnston,RI,02919,(401) 757-4715,05-0412693,522110,Joanne Swift,Mercer Investment Consulting LLC,"Consulting (general), Investment advisory (plan), Direct payment from the plan",Invest. Adv.,"$150,000",$0,"$150,000"
6,CFG PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/25437/Citizens-Financial-Group-Inc/13913989/Cfg-Pension-Plan/,Citizens Financial Group  Inc.,01/01/2018 — 12/31/2018,03/23/1961,"$1,051,582,902",1,Single Employer,No,Yes,Trust,Trust,"4,796","4,174","4,100","13,070",339,"13,409","13,781",0,0,$0,$0,$0,$0,$0,$0,One Citizens Bank Way Jcc111,Johnston,RI,02919,(401) 757-4715,05-0412693,522110,Joanne Swift,Longview Partners,"Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",Invest. Mgmt.,"$128,570",$0,"$128,570"
7,CFG PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/25437/Citizens-Financial-Group-Inc/13913989/Cfg-Pension-Plan/,Citizens Financial Group  Inc.,01/01/2018 — 12/31/2018,03/23/1961,"$1,051,582,902",1,Single Employer,No,Yes,Trust,Trust,"4,796","4,174","4,100","13,070",339,"13,409","13,781",0,0,$0,$0,$0,$0,$0,$0,One Citizens Bank Way Jcc111,Johnston,RI,02919,(401) 757-4715,05-0412693,522110,Joanne Swift,Deloitte & Touche LLP,"Accounting (including auditing), Consulting (general), Direct payment from the plan",External Auditor,"$125,000",$0,"$125,000"
8,CFG PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/25437/Citizens-Financial-Group-Inc/13913989/Cfg-Pension-Plan/,Citizens Financial Group  Inc.,01/01/2018 — 12/31/2018,03/23/1961,"$1,051,582,902",1,Single Employer,No,Yes,Trust,Trust,"4,796","4,174","4,100","13,070",339,"13,409","13,781",0,0,$0,$0,$0,$0,$0,$0,One Citizens Bank Way Jcc111,Johnston,RI,02919,(401) 757-4715,05-0412693,522110,Joanne Swift,United Forms Finishing,"Consulting (pension), Direct payment from the plan, Account maintenance fees",Consulting,"$11,787",$0,"$11,787"
9,CFG PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/25437/Citizens-Financial-Group-Inc/13913989/Cfg-Pension-Plan/,Citizens Financial Group  Inc.,01/01/2018 — 12/31/2018,03/23/1961,"$1,051,582,902",1,Single Employer,No,Yes,Trust,Trust,"4,796","4,174","4,100","13,070",339,"13,409","13,781",0,0,$0,$0,$0,$0,$0,$0,One Citizens Bank Way Jcc111,Johnston,RI,02919,(401) 757-4715,05-0412693,522110,Joanne Swift,Total,Total,Total,"$2,705,678",$0,"$2,705,678"
