,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,CIGNA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/29780/Cigna-Corporation/13914181/Cigna-Pension-Plan-For-Certain-Former-Employees/,Cigna Corporation,01/01/2018 — 12/31/2018,01/01/2009,"$1,053,404,290",5,Single Employer,No,Yes,Trust,Trust,46,"6,922","6,371","13,339",313,"13,652","13,728",0,0,$0,$0,$0,$0,$0,$0,1601 Chestnut St Tl05T ,Philadelphia,PA,19192-2176,(215) 761-2729,06-1059331,524290,Jill Vaslow,Jill Vaslow,Jill Vaslow,1601 Chestnut St Tl05T ,Philadelphia,PA,19192-2176,(215) 761-2320,82-2803916,Prudential Ret Ins & Annuity Co,Contract Administrator,NONE,"$598,593",$0,"$598,593"
1,CIGNA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/29780/Cigna-Corporation/13914181/Cigna-Pension-Plan-For-Certain-Former-Employees/,Cigna Corporation,01/01/2018 — 12/31/2018,01/01/2009,"$1,053,404,290",5,Single Employer,No,Yes,Trust,Trust,46,"6,922","6,371","13,339",313,"13,652","13,728",0,0,$0,$0,$0,$0,$0,$0,1601 Chestnut St Tl05T ,Philadelphia,PA,19192-2176,(215) 761-2729,06-1059331,524290,Jill Vaslow,Jill Vaslow,Jill Vaslow,1601 Chestnut St Tl05T ,Philadelphia,PA,19192-2176,(215) 761-2320,82-2803916,Columbia Threadneedle,Investment advisory (plan),NONE,"$223,929",$0,"$223,929"
2,CIGNA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/29780/Cigna-Corporation/13914181/Cigna-Pension-Plan-For-Certain-Former-Employees/,Cigna Corporation,01/01/2018 — 12/31/2018,01/01/2009,"$1,053,404,290",5,Single Employer,No,Yes,Trust,Trust,46,"6,922","6,371","13,339",313,"13,652","13,728",0,0,$0,$0,$0,$0,$0,$0,1601 Chestnut St Tl05T ,Philadelphia,PA,19192-2176,(215) 761-2729,06-1059331,524290,Jill Vaslow,Jill Vaslow,Jill Vaslow,1601 Chestnut St Tl05T ,Philadelphia,PA,19192-2176,(215) 761-2320,82-2803916,QMA,Investment advisory (plan),NONE,"$142,059",$0,"$142,059"
3,CIGNA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/29780/Cigna-Corporation/13914181/Cigna-Pension-Plan-For-Certain-Former-Employees/,Cigna Corporation,01/01/2018 — 12/31/2018,01/01/2009,"$1,053,404,290",5,Single Employer,No,Yes,Trust,Trust,46,"6,922","6,371","13,339",313,"13,652","13,728",0,0,$0,$0,$0,$0,$0,$0,1601 Chestnut St Tl05T ,Philadelphia,PA,19192-2176,(215) 761-2729,06-1059331,524290,Jill Vaslow,Jill Vaslow,Jill Vaslow,1601 Chestnut St Tl05T ,Philadelphia,PA,19192-2176,(215) 761-2320,82-2803916,State Street Global Advisors Trust,"Custodial (other than securities), Custodial (securities), Investment management fees paid directly by plan",Investment Manager,"$116,356","$5,489","$121,845"
4,CIGNA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/29780/Cigna-Corporation/13914181/Cigna-Pension-Plan-For-Certain-Former-Employees/,Cigna Corporation,01/01/2018 — 12/31/2018,01/01/2009,"$1,053,404,290",5,Single Employer,No,Yes,Trust,Trust,46,"6,922","6,371","13,339",313,"13,652","13,728",0,0,$0,$0,$0,$0,$0,$0,1601 Chestnut St Tl05T ,Philadelphia,PA,19192-2176,(215) 761-2729,06-1059331,524290,Jill Vaslow,Jill Vaslow,Jill Vaslow,1601 Chestnut St Tl05T ,Philadelphia,PA,19192-2176,(215) 761-2320,82-2803916,Shenkman Capital Management,Investment advisory (plan),NONE,"$119,915",$0,"$119,915"
5,CIGNA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/29780/Cigna-Corporation/13914181/Cigna-Pension-Plan-For-Certain-Former-Employees/,Cigna Corporation,01/01/2018 — 12/31/2018,01/01/2009,"$1,053,404,290",5,Single Employer,No,Yes,Trust,Trust,46,"6,922","6,371","13,339",313,"13,652","13,728",0,0,$0,$0,$0,$0,$0,$0,1601 Chestnut St Tl05T ,Philadelphia,PA,19192-2176,(215) 761-2729,06-1059331,524290,Jill Vaslow,Jill Vaslow,Jill Vaslow,1601 Chestnut St Tl05T ,Philadelphia,PA,19192-2176,(215) 761-2320,82-2803916,Jp Morgan,"Custodial (other than securities), Custodial (securities)",NONE,"$65,748",$0,"$65,748"
6,CIGNA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/29780/Cigna-Corporation/13914181/Cigna-Pension-Plan-For-Certain-Former-Employees/,Cigna Corporation,01/01/2018 — 12/31/2018,01/01/2009,"$1,053,404,290",5,Single Employer,No,Yes,Trust,Trust,46,"6,922","6,371","13,339",313,"13,652","13,728",0,0,$0,$0,$0,$0,$0,$0,1601 Chestnut St Tl05T ,Philadelphia,PA,19192-2176,(215) 761-2729,06-1059331,524290,Jill Vaslow,Jill Vaslow,Jill Vaslow,1601 Chestnut St Tl05T ,Philadelphia,PA,19192-2176,(215) 761-2320,82-2803916,Cigna Investments Inc,Investment advisory (plan),NONE,"$52,692",$0,"$52,692"
7,CIGNA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/29780/Cigna-Corporation/13914181/Cigna-Pension-Plan-For-Certain-Former-Employees/,Cigna Corporation,01/01/2018 — 12/31/2018,01/01/2009,"$1,053,404,290",5,Single Employer,No,Yes,Trust,Trust,46,"6,922","6,371","13,339",313,"13,652","13,728",0,0,$0,$0,$0,$0,$0,$0,1601 Chestnut St Tl05T ,Philadelphia,PA,19192-2176,(215) 761-2729,06-1059331,524290,Jill Vaslow,Jill Vaslow,Jill Vaslow,1601 Chestnut St Tl05T ,Philadelphia,PA,19192-2176,(215) 761-2320,82-2803916,"Global Portfolio Strategies, Inc.",Investment management,NONE,"$28,335",$0,"$28,335"
8,CIGNA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/29780/Cigna-Corporation/13914181/Cigna-Pension-Plan-For-Certain-Former-Employees/,Cigna Corporation,01/01/2018 — 12/31/2018,01/01/2009,"$1,053,404,290",5,Single Employer,No,Yes,Trust,Trust,46,"6,922","6,371","13,339",313,"13,652","13,728",0,0,$0,$0,$0,$0,$0,$0,1601 Chestnut St Tl05T ,Philadelphia,PA,19192-2176,(215) 761-2729,06-1059331,524290,Jill Vaslow,Jill Vaslow,Jill Vaslow,1601 Chestnut St Tl05T ,Philadelphia,PA,19192-2176,(215) 761-2320,82-2803916,Morgan Lewis & Bockius LLP,Legal,NONE,"$19,394",$0,"$19,394"
9,CIGNA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/29780/Cigna-Corporation/13914181/Cigna-Pension-Plan-For-Certain-Former-Employees/,Cigna Corporation,01/01/2018 — 12/31/2018,01/01/2009,"$1,053,404,290",5,Single Employer,No,Yes,Trust,Trust,46,"6,922","6,371","13,339",313,"13,652","13,728",0,0,$0,$0,$0,$0,$0,$0,1601 Chestnut St Tl05T ,Philadelphia,PA,19192-2176,(215) 761-2729,06-1059331,524290,Jill Vaslow,Jill Vaslow,Jill Vaslow,1601 Chestnut St Tl05T ,Philadelphia,PA,19192-2176,(215) 761-2320,82-2803916,Total,Total,Total,"$1,367,021","$5,489","$1,372,510"
