,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,CLUB PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/422992/Automobile-Club-Of-Southern-California/13914007/Club-Pension-Plan/2018/,AUTOMOBILE CLUB OF SOUTHERN CALIFORNIA,01/01/2018 — 12/31/2018,12/01/1940,"$1,845,082,437",1,Single Employer,No,Yes,Trust,Trust,"10,504","4,983","5,214","20,701",551,"21,252","20,486",0,664,$0,$0,$0,$0,$0,$0,"3333 Fairview Road, A-379 ",Costa Mesa,CA,92626,(714) 885-1240,95-0514585,812990,VP of Human Resources C/O Automobile Club of So. Calif.,"3333 Fairview Road, A-441 ",Costa Mesa,CA,92626,(714) 850-1240,58-1962366,Neuberger Berman Inv. Advisers LLC,"Investment management, Soft dollars commissions",Investmt Mgmt,"$1,953,810",$0,"$1,953,810"
1,CLUB PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/422992/Automobile-Club-Of-Southern-California/13914007/Club-Pension-Plan/2018/,AUTOMOBILE CLUB OF SOUTHERN CALIFORNIA,01/01/2018 — 12/31/2018,12/01/1940,"$1,845,082,437",1,Single Employer,No,Yes,Trust,Trust,"10,504","4,983","5,214","20,701",551,"21,252","20,486",0,664,$0,$0,$0,$0,$0,$0,"3333 Fairview Road, A-379 ",Costa Mesa,CA,92626,(714) 885-1240,95-0514585,812990,VP of Human Resources C/O Automobile Club of So. Calif.,"3333 Fairview Road, A-441 ",Costa Mesa,CA,92626,(714) 850-1240,58-1962366,"Oaktree Capital Management, L.P.",Investment management fees paid directly by plan,Investmt Mgmt,"$665,787",$0,"$665,787"
2,CLUB PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/422992/Automobile-Club-Of-Southern-California/13914007/Club-Pension-Plan/2018/,AUTOMOBILE CLUB OF SOUTHERN CALIFORNIA,01/01/2018 — 12/31/2018,12/01/1940,"$1,845,082,437",1,Single Employer,No,Yes,Trust,Trust,"10,504","4,983","5,214","20,701",551,"21,252","20,486",0,664,$0,$0,$0,$0,$0,$0,"3333 Fairview Road, A-379 ",Costa Mesa,CA,92626,(714) 885-1240,95-0514585,812990,VP of Human Resources C/O Automobile Club of So. Calif.,"3333 Fairview Road, A-441 ",Costa Mesa,CA,92626,(714) 850-1240,58-1962366,Wellington Management LLP,"Investment management fees paid directly by plan, Soft dollars commissions",Investmt Mgmt,"$518,198",$0,"$518,198"
3,CLUB PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/422992/Automobile-Club-Of-Southern-California/13914007/Club-Pension-Plan/2018/,AUTOMOBILE CLUB OF SOUTHERN CALIFORNIA,01/01/2018 — 12/31/2018,12/01/1940,"$1,845,082,437",1,Single Employer,No,Yes,Trust,Trust,"10,504","4,983","5,214","20,701",551,"21,252","20,486",0,664,$0,$0,$0,$0,$0,$0,"3333 Fairview Road, A-379 ",Costa Mesa,CA,92626,(714) 885-1240,95-0514585,812990,VP of Human Resources C/O Automobile Club of So. Calif.,"3333 Fairview Road, A-441 ",Costa Mesa,CA,92626,(714) 850-1240,58-1962366,"Geneva Capital Management, LLC","Investment management fees paid directly by plan, Soft dollars commissions",Investmt Mgmt,"$437,665",$0,"$437,665"
4,CLUB PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/422992/Automobile-Club-Of-Southern-California/13914007/Club-Pension-Plan/2018/,AUTOMOBILE CLUB OF SOUTHERN CALIFORNIA,01/01/2018 — 12/31/2018,12/01/1940,"$1,845,082,437",1,Single Employer,No,Yes,Trust,Trust,"10,504","4,983","5,214","20,701",551,"21,252","20,486",0,664,$0,$0,$0,$0,$0,$0,"3333 Fairview Road, A-379 ",Costa Mesa,CA,92626,(714) 885-1240,95-0514585,812990,VP of Human Resources C/O Automobile Club of So. Calif.,"3333 Fairview Road, A-441 ",Costa Mesa,CA,92626,(714) 850-1240,58-1962366,Mercer,Actuarial,Actuary,"$338,053",$0,"$338,053"
5,CLUB PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/422992/Automobile-Club-Of-Southern-California/13914007/Club-Pension-Plan/2018/,AUTOMOBILE CLUB OF SOUTHERN CALIFORNIA,01/01/2018 — 12/31/2018,12/01/1940,"$1,845,082,437",1,Single Employer,No,Yes,Trust,Trust,"10,504","4,983","5,214","20,701",551,"21,252","20,486",0,664,$0,$0,$0,$0,$0,$0,"3333 Fairview Road, A-379 ",Costa Mesa,CA,92626,(714) 885-1240,95-0514585,812990,VP of Human Resources C/O Automobile Club of So. Calif.,"3333 Fairview Road, A-441 ",Costa Mesa,CA,92626,(714) 850-1240,58-1962366,"Jpmorgan Chase Bank, N.A.","Custodial (securities), Trustee (bank, trust company, or similar financial institution)",Trustee,"$273,769","$21,872","$295,641"
6,CLUB PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/422992/Automobile-Club-Of-Southern-California/13914007/Club-Pension-Plan/2018/,AUTOMOBILE CLUB OF SOUTHERN CALIFORNIA,01/01/2018 — 12/31/2018,12/01/1940,"$1,845,082,437",1,Single Employer,No,Yes,Trust,Trust,"10,504","4,983","5,214","20,701",551,"21,252","20,486",0,664,$0,$0,$0,$0,$0,$0,"3333 Fairview Road, A-379 ",Costa Mesa,CA,92626,(714) 885-1240,95-0514585,812990,VP of Human Resources C/O Automobile Club of So. Calif.,"3333 Fairview Road, A-441 ",Costa Mesa,CA,92626,(714) 850-1240,58-1962366,"Blackrock Inst.Trust Co, N.A.","Trustee (bank, trust company, or similar financial institution), Trustee (discretionary), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Investmt Mgmt,"$153,875",$0,"$153,875"
7,CLUB PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/422992/Automobile-Club-Of-Southern-California/13914007/Club-Pension-Plan/2018/,AUTOMOBILE CLUB OF SOUTHERN CALIFORNIA,01/01/2018 — 12/31/2018,12/01/1940,"$1,845,082,437",1,Single Employer,No,Yes,Trust,Trust,"10,504","4,983","5,214","20,701",551,"21,252","20,486",0,664,$0,$0,$0,$0,$0,$0,"3333 Fairview Road, A-379 ",Costa Mesa,CA,92626,(714) 885-1240,95-0514585,812990,VP of Human Resources C/O Automobile Club of So. Calif.,"3333 Fairview Road, A-441 ",Costa Mesa,CA,92626,(714) 850-1240,58-1962366,Segall Bryant & Hamill,Investment management fees paid directly by plan,Investmt Mgmt,"$151,404",$0,"$151,404"
8,CLUB PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/422992/Automobile-Club-Of-Southern-California/13914007/Club-Pension-Plan/2018/,AUTOMOBILE CLUB OF SOUTHERN CALIFORNIA,01/01/2018 — 12/31/2018,12/01/1940,"$1,845,082,437",1,Single Employer,No,Yes,Trust,Trust,"10,504","4,983","5,214","20,701",551,"21,252","20,486",0,664,$0,$0,$0,$0,$0,$0,"3333 Fairview Road, A-379 ",Costa Mesa,CA,92626,(714) 885-1240,95-0514585,812990,VP of Human Resources C/O Automobile Club of So. Calif.,"3333 Fairview Road, A-441 ",Costa Mesa,CA,92626,(714) 850-1240,58-1962366,Automobile Club of So California,Plan Administrator,Plan Administrator,"$121,609",$0,"$121,609"
9,CLUB PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/422992/Automobile-Club-Of-Southern-California/13914007/Club-Pension-Plan/2018/,AUTOMOBILE CLUB OF SOUTHERN CALIFORNIA,01/01/2018 — 12/31/2018,12/01/1940,"$1,845,082,437",1,Single Employer,No,Yes,Trust,Trust,"10,504","4,983","5,214","20,701",551,"21,252","20,486",0,664,$0,$0,$0,$0,$0,$0,"3333 Fairview Road, A-379 ",Costa Mesa,CA,92626,(714) 885-1240,95-0514585,812990,VP of Human Resources C/O Automobile Club of So. Calif.,"3333 Fairview Road, A-441 ",Costa Mesa,CA,92626,(714) 850-1240,58-1962366,J.P. Morgan Investment Mgmt Inc.,"Investment advisory (plan), Investment management fees paid directly by plan",Investmt Mgmt,"$87,899",$0,"$87,899"
10,CLUB PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/422992/Automobile-Club-Of-Southern-California/13914007/Club-Pension-Plan/2018/,AUTOMOBILE CLUB OF SOUTHERN CALIFORNIA,01/01/2018 — 12/31/2018,12/01/1940,"$1,845,082,437",1,Single Employer,No,Yes,Trust,Trust,"10,504","4,983","5,214","20,701",551,"21,252","20,486",0,664,$0,$0,$0,$0,$0,$0,"3333 Fairview Road, A-379 ",Costa Mesa,CA,92626,(714) 885-1240,95-0514585,812990,VP of Human Resources C/O Automobile Club of So. Calif.,"3333 Fairview Road, A-441 ",Costa Mesa,CA,92626,(714) 850-1240,58-1962366,"Blackrock Financial Managment, Inc.","Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Investmt Mgmt,"$60,008",$0,"$60,008"
11,CLUB PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/422992/Automobile-Club-Of-Southern-California/13914007/Club-Pension-Plan/2018/,AUTOMOBILE CLUB OF SOUTHERN CALIFORNIA,01/01/2018 — 12/31/2018,12/01/1940,"$1,845,082,437",1,Single Employer,No,Yes,Trust,Trust,"10,504","4,983","5,214","20,701",551,"21,252","20,486",0,664,$0,$0,$0,$0,$0,$0,"3333 Fairview Road, A-379 ",Costa Mesa,CA,92626,(714) 885-1240,95-0514585,812990,VP of Human Resources C/O Automobile Club of So. Calif.,"3333 Fairview Road, A-441 ",Costa Mesa,CA,92626,(714) 850-1240,58-1962366,"Capital Institutional Services, Inc",Securities brokerage commissions and fees,Security Broker,"$40,595",$0,"$40,595"
12,CLUB PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/422992/Automobile-Club-Of-Southern-California/13914007/Club-Pension-Plan/2018/,AUTOMOBILE CLUB OF SOUTHERN CALIFORNIA,01/01/2018 — 12/31/2018,12/01/1940,"$1,845,082,437",1,Single Employer,No,Yes,Trust,Trust,"10,504","4,983","5,214","20,701",551,"21,252","20,486",0,664,$0,$0,$0,$0,$0,$0,"3333 Fairview Road, A-379 ",Costa Mesa,CA,92626,(714) 885-1240,95-0514585,812990,VP of Human Resources C/O Automobile Club of So. Calif.,"3333 Fairview Road, A-441 ",Costa Mesa,CA,92626,(714) 850-1240,58-1962366,Total,Total,Total,"$4,802,672","$21,872","$4,824,544"
