,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,CNA Retirement Plan,https://www.brightscope.com/form-5500/basic-info/724842//13913839/Cna-Retirement-Plan/2018/,Continental Casualty Company,01/01/2018 — 12/31/2018,01/01/1967,"$1,914,911,000",1,Single Employer,No,Yes,Trust,Trust,769,"11,467","4,963","17,199","1,361","18,560","19,223",0,0,$0,$0,$0,$0,$0,$0,151 N Franklin St 18 Th Floor,Chicago,IL,60606,(312) 822-5000,36-2114545,551112,Victoria Giurato,Neuberger Berman,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$1,286,162",$0,"$1,286,162"
1,CNA Retirement Plan,https://www.brightscope.com/form-5500/basic-info/724842//13913839/Cna-Retirement-Plan/2018/,Continental Casualty Company,01/01/2018 — 12/31/2018,01/01/1967,"$1,914,911,000",1,Single Employer,No,Yes,Trust,Trust,769,"11,467","4,963","17,199","1,361","18,560","19,223",0,0,$0,$0,$0,$0,$0,$0,151 N Franklin St 18 Th Floor,Chicago,IL,60606,(312) 822-5000,36-2114545,551112,Victoria Giurato,Pzena Investment Management,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$967,095",$0,"$967,095"
2,CNA Retirement Plan,https://www.brightscope.com/form-5500/basic-info/724842//13913839/Cna-Retirement-Plan/2018/,Continental Casualty Company,01/01/2018 — 12/31/2018,01/01/1967,"$1,914,911,000",1,Single Employer,No,Yes,Trust,Trust,769,"11,467","4,963","17,199","1,361","18,560","19,223",0,0,$0,$0,$0,$0,$0,$0,151 N Franklin St 18 Th Floor,Chicago,IL,60606,(312) 822-5000,36-2114545,551112,Victoria Giurato,Alight Solutions LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.)",NONE,"$785,510",$0,"$785,510"
3,CNA Retirement Plan,https://www.brightscope.com/form-5500/basic-info/724842//13913839/Cna-Retirement-Plan/2018/,Continental Casualty Company,01/01/2018 — 12/31/2018,01/01/1967,"$1,914,911,000",1,Single Employer,No,Yes,Trust,Trust,769,"11,467","4,963","17,199","1,361","18,560","19,223",0,0,$0,$0,$0,$0,$0,$0,151 N Franklin St 18 Th Floor,Chicago,IL,60606,(312) 822-5000,36-2114545,551112,Victoria Giurato,Huber Capital Management,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$347,641",$0,"$347,641"
4,CNA Retirement Plan,https://www.brightscope.com/form-5500/basic-info/724842//13913839/Cna-Retirement-Plan/2018/,Continental Casualty Company,01/01/2018 — 12/31/2018,01/01/1967,"$1,914,911,000",1,Single Employer,No,Yes,Trust,Trust,769,"11,467","4,963","17,199","1,361","18,560","19,223",0,0,$0,$0,$0,$0,$0,$0,151 N Franklin St 18 Th Floor,Chicago,IL,60606,(312) 822-5000,36-2114545,551112,Victoria Giurato,Wachovia,"Contract Administrator, Direct payment from the plan",Administrator,"$341,085",$0,"$341,085"
5,CNA Retirement Plan,https://www.brightscope.com/form-5500/basic-info/724842//13913839/Cna-Retirement-Plan/2018/,Continental Casualty Company,01/01/2018 — 12/31/2018,01/01/1967,"$1,914,911,000",1,Single Employer,No,Yes,Trust,Trust,769,"11,467","4,963","17,199","1,361","18,560","19,223",0,0,$0,$0,$0,$0,$0,$0,151 N Franklin St 18 Th Floor,Chicago,IL,60606,(312) 822-5000,36-2114545,551112,Victoria Giurato,"Levin Capital Strategies, Lp","Investment management, Soft dollars commissions",NONE,"$273,581",$0,"$273,581"
6,CNA Retirement Plan,https://www.brightscope.com/form-5500/basic-info/724842//13913839/Cna-Retirement-Plan/2018/,Continental Casualty Company,01/01/2018 — 12/31/2018,01/01/1967,"$1,914,911,000",1,Single Employer,No,Yes,Trust,Trust,769,"11,467","4,963","17,199","1,361","18,560","19,223",0,0,$0,$0,$0,$0,$0,$0,151 N Franklin St 18 Th Floor,Chicago,IL,60606,(312) 822-5000,36-2114545,551112,Victoria Giurato,Towers Watson and Co,"Actuarial, Direct payment from the plan",NONE,"$160,956",$0,"$160,956"
7,CNA Retirement Plan,https://www.brightscope.com/form-5500/basic-info/724842//13913839/Cna-Retirement-Plan/2018/,Continental Casualty Company,01/01/2018 — 12/31/2018,01/01/1967,"$1,914,911,000",1,Single Employer,No,Yes,Trust,Trust,769,"11,467","4,963","17,199","1,361","18,560","19,223",0,0,$0,$0,$0,$0,$0,$0,151 N Franklin St 18 Th Floor,Chicago,IL,60606,(312) 822-5000,36-2114545,551112,Victoria Giurato,Seyfarth Shaw,"Legal, Direct payment from the plan",NONE,"$53,449",$0,"$53,449"
8,CNA Retirement Plan,https://www.brightscope.com/form-5500/basic-info/724842//13913839/Cna-Retirement-Plan/2018/,Continental Casualty Company,01/01/2018 — 12/31/2018,01/01/1967,"$1,914,911,000",1,Single Employer,No,Yes,Trust,Trust,769,"11,467","4,963","17,199","1,361","18,560","19,223",0,0,$0,$0,$0,$0,$0,$0,151 N Franklin St 18 Th Floor,Chicago,IL,60606,(312) 822-5000,36-2114545,551112,Victoria Giurato,Harris Investment Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$50,000",$0,"$50,000"
9,CNA Retirement Plan,https://www.brightscope.com/form-5500/basic-info/724842//13913839/Cna-Retirement-Plan/2018/,Continental Casualty Company,01/01/2018 — 12/31/2018,01/01/1967,"$1,914,911,000",1,Single Employer,No,Yes,Trust,Trust,769,"11,467","4,963","17,199","1,361","18,560","19,223",0,0,$0,$0,$0,$0,$0,$0,151 N Franklin St 18 Th Floor,Chicago,IL,60606,(312) 822-5000,36-2114545,551112,Victoria Giurato,"Jp Morgan Chase Bank, Na","Trustee (directed), Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Other commissions",Custodian,"$16,723","$22,653","$39,376"
10,CNA Retirement Plan,https://www.brightscope.com/form-5500/basic-info/724842//13913839/Cna-Retirement-Plan/2018/,Continental Casualty Company,01/01/2018 — 12/31/2018,01/01/1967,"$1,914,911,000",1,Single Employer,No,Yes,Trust,Trust,769,"11,467","4,963","17,199","1,361","18,560","19,223",0,0,$0,$0,$0,$0,$0,$0,151 N Franklin St 18 Th Floor,Chicago,IL,60606,(312) 822-5000,36-2114545,551112,Victoria Giurato,Curcio Webb,Consulting (pension),NONE,"$9,000",$0,"$9,000"
11,CNA Retirement Plan,https://www.brightscope.com/form-5500/basic-info/724842//13913839/Cna-Retirement-Plan/2018/,Continental Casualty Company,01/01/2018 — 12/31/2018,01/01/1967,"$1,914,911,000",1,Single Employer,No,Yes,Trust,Trust,769,"11,467","4,963","17,199","1,361","18,560","19,223",0,0,$0,$0,$0,$0,$0,$0,151 N Franklin St 18 Th Floor,Chicago,IL,60606,(312) 822-5000,36-2114545,551112,Victoria Giurato,Total,Total,Total,"$4,291,202","$22,653","$4,313,855"
