,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 03/31/2019,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 04/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,CO-OP RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/2730/United-Benefits-Group/13928535/Co-Op-Retirement-Plan/,United Benefits Group,04/01/2018 — 03/31/2019,09/01/1946,"$2,650,623,140",1,Multiple Employer,No,Yes,Trust,Trust,"16,275","9,944","7,214","33,433","2,137","35,570","35,195",0,"1,774",$0,$0,$0,$0,$0,$0,Po Box 169005 ,Kansas City,MO,64116,(816) 459-3300,01-0689331,325300,Co-Op Retirement Plan Committee,Po Box 169005 ,Kansas City,MO,64116,(816) 459-3300,11-3454196,"Jpmorgan Chase Bank, Na","Contract Administrator, Recordkeeping and information management (computing, tabulating, data processing, etc.), Custodial (other than securities), Custodial (securities), Trustee (bank, trust company, or similar financial institution), Direct payment from the plan, Redemption fees, Float revenue, Recordkeeping fees",Trustee,"$12,674,034",$0,"$12,674,034"
1,CO-OP RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/2730/United-Benefits-Group/13928535/Co-Op-Retirement-Plan/,United Benefits Group,04/01/2018 — 03/31/2019,09/01/1946,"$2,650,623,140",1,Multiple Employer,No,Yes,Trust,Trust,"16,275","9,944","7,214","33,433","2,137","35,570","35,195",0,"1,774",$0,$0,$0,$0,$0,$0,Po Box 169005 ,Kansas City,MO,64116,(816) 459-3300,01-0689331,325300,Co-Op Retirement Plan Committee,Po Box 169005 ,Kansas City,MO,64116,(816) 459-3300,11-3454196,Blackstone Real Estate Partners,"Investment management, Investment management fees paid directly by plan",NONE,"$486,408",$0,"$486,408"
2,CO-OP RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/2730/United-Benefits-Group/13928535/Co-Op-Retirement-Plan/,United Benefits Group,04/01/2018 — 03/31/2019,09/01/1946,"$2,650,623,140",1,Multiple Employer,No,Yes,Trust,Trust,"16,275","9,944","7,214","33,433","2,137","35,570","35,195",0,"1,774",$0,$0,$0,$0,$0,$0,Po Box 169005 ,Kansas City,MO,64116,(816) 459-3300,01-0689331,325300,Co-Op Retirement Plan Committee,Po Box 169005 ,Kansas City,MO,64116,(816) 459-3300,11-3454196,"Stabilis Fund IV - Offshore, Lp",Shareholder servicing fees,Investment Mgmt,"$240,240",$0,"$240,240"
3,CO-OP RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/2730/United-Benefits-Group/13928535/Co-Op-Retirement-Plan/,United Benefits Group,04/01/2018 — 03/31/2019,09/01/1946,"$2,650,623,140",1,Multiple Employer,No,Yes,Trust,Trust,"16,275","9,944","7,214","33,433","2,137","35,570","35,195",0,"1,774",$0,$0,$0,$0,$0,$0,Po Box 169005 ,Kansas City,MO,64116,(816) 459-3300,01-0689331,325300,Co-Op Retirement Plan Committee,Po Box 169005 ,Kansas City,MO,64116,(816) 459-3300,11-3454196,Fortress Investment Group LLC,Shareholder servicing fees,Investment Mgmt,"$168,172",$0,"$168,172"
4,CO-OP RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/2730/United-Benefits-Group/13928535/Co-Op-Retirement-Plan/,United Benefits Group,04/01/2018 — 03/31/2019,09/01/1946,"$2,650,623,140",1,Multiple Employer,No,Yes,Trust,Trust,"16,275","9,944","7,214","33,433","2,137","35,570","35,195",0,"1,774",$0,$0,$0,$0,$0,$0,Po Box 169005 ,Kansas City,MO,64116,(816) 459-3300,01-0689331,325300,Co-Op Retirement Plan Committee,Po Box 169005 ,Kansas City,MO,64116,(816) 459-3300,11-3454196,Goldman Sachs & Co,Soft dollars commissions,NONE,$0,"$153,948","$153,948"
5,CO-OP RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/2730/United-Benefits-Group/13928535/Co-Op-Retirement-Plan/,United Benefits Group,04/01/2018 — 03/31/2019,09/01/1946,"$2,650,623,140",1,Multiple Employer,No,Yes,Trust,Trust,"16,275","9,944","7,214","33,433","2,137","35,570","35,195",0,"1,774",$0,$0,$0,$0,$0,$0,Po Box 169005 ,Kansas City,MO,64116,(816) 459-3300,01-0689331,325300,Co-Op Retirement Plan Committee,Po Box 169005 ,Kansas City,MO,64116,(816) 459-3300,11-3454196,"Demarche Associates, Inc.","Consulting (pension), Investment advisory (plan), Direct payment from the plan",Investment Advisory,"$124,328",$0,"$124,328"
6,CO-OP RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/2730/United-Benefits-Group/13928535/Co-Op-Retirement-Plan/,United Benefits Group,04/01/2018 — 03/31/2019,09/01/1946,"$2,650,623,140",1,Multiple Employer,No,Yes,Trust,Trust,"16,275","9,944","7,214","33,433","2,137","35,570","35,195",0,"1,774",$0,$0,$0,$0,$0,$0,Po Box 169005 ,Kansas City,MO,64116,(816) 459-3300,01-0689331,325300,Co-Op Retirement Plan Committee,Po Box 169005 ,Kansas City,MO,64116,(816) 459-3300,11-3454196,"Aon Consulting, Inc.","Actuarial, Direct payment from the plan",Actuary,"$68,961",$0,"$68,961"
7,CO-OP RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/2730/United-Benefits-Group/13928535/Co-Op-Retirement-Plan/,United Benefits Group,04/01/2018 — 03/31/2019,09/01/1946,"$2,650,623,140",1,Multiple Employer,No,Yes,Trust,Trust,"16,275","9,944","7,214","33,433","2,137","35,570","35,195",0,"1,774",$0,$0,$0,$0,$0,$0,Po Box 169005 ,Kansas City,MO,64116,(816) 459-3300,01-0689331,325300,Co-Op Retirement Plan Committee,Po Box 169005 ,Kansas City,MO,64116,(816) 459-3300,11-3454196,Incus Capital Iberia Credit Fund II,Shareholder servicing fees,Investment Mgmt,"$68,170",$0,"$68,170"
8,CO-OP RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/2730/United-Benefits-Group/13928535/Co-Op-Retirement-Plan/,United Benefits Group,04/01/2018 — 03/31/2019,09/01/1946,"$2,650,623,140",1,Multiple Employer,No,Yes,Trust,Trust,"16,275","9,944","7,214","33,433","2,137","35,570","35,195",0,"1,774",$0,$0,$0,$0,$0,$0,Po Box 169005 ,Kansas City,MO,64116,(816) 459-3300,01-0689331,325300,Co-Op Retirement Plan Committee,Po Box 169005 ,Kansas City,MO,64116,(816) 459-3300,11-3454196,Sandton Capital Partners,Shareholder servicing fees,Investment Mgmt,"$60,439",$0,"$60,439"
9,CO-OP RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/2730/United-Benefits-Group/13928535/Co-Op-Retirement-Plan/,United Benefits Group,04/01/2018 — 03/31/2019,09/01/1946,"$2,650,623,140",1,Multiple Employer,No,Yes,Trust,Trust,"16,275","9,944","7,214","33,433","2,137","35,570","35,195",0,"1,774",$0,$0,$0,$0,$0,$0,Po Box 169005 ,Kansas City,MO,64116,(816) 459-3300,01-0689331,325300,Co-Op Retirement Plan Committee,Po Box 169005 ,Kansas City,MO,64116,(816) 459-3300,11-3454196,Fortress Secured Lending Fund I,Shareholder servicing fees,Investment Mgmt,"$60,085",$0,"$60,085"
