,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,CONSOLIDATED EDISON RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54941/Consolidated-Edison-Inc/13913721/Consolidated-Edison-Retirement-Plan/,CONSOLIDATED EDISON COMPANY OF NEW YORK  INC.,01/01/2018 — 12/31/2018,07/01/1953,"$14,041,664,035",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"13,330","11,829","1,363","26,522","3,610","30,132","30,784",0,55,$0,$0,$0,$0,$0,$0,4 Irving Place 15th Floor South,New York,NY,10003,(212) 460-3999,13-5009340,221100,Nancy Shannon,"Jpmorgan Chase Bank, N.A.","Trustee (discretionary), Investment advisory (plan), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$4,122,648",$0,"$4,122,648"
1,CONSOLIDATED EDISON RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54941/Consolidated-Edison-Inc/13913721/Consolidated-Edison-Retirement-Plan/,CONSOLIDATED EDISON COMPANY OF NEW YORK  INC.,01/01/2018 — 12/31/2018,07/01/1953,"$14,041,664,035",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"13,330","11,829","1,363","26,522","3,610","30,132","30,784",0,55,$0,$0,$0,$0,$0,$0,4 Irving Place 15th Floor South,New York,NY,10003,(212) 460-3999,13-5009340,221100,Nancy Shannon,Jpmorgan Investment Management Inc,"Investment advisory (plan), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$4,085,624",$0,"$4,085,624"
2,CONSOLIDATED EDISON RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54941/Consolidated-Edison-Inc/13913721/Consolidated-Edison-Retirement-Plan/,CONSOLIDATED EDISON COMPANY OF NEW YORK  INC.,01/01/2018 — 12/31/2018,07/01/1953,"$14,041,664,035",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"13,330","11,829","1,363","26,522","3,610","30,132","30,784",0,55,$0,$0,$0,$0,$0,$0,4 Irving Place 15th Floor South,New York,NY,10003,(212) 460-3999,13-5009340,221100,Nancy Shannon,Morgan Stanley Aip Gp Lp,"Investment management, Investment management fees paid directly by plan",NONE,"$3,672,677",$0,"$3,672,677"
3,CONSOLIDATED EDISON RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54941/Consolidated-Edison-Inc/13913721/Consolidated-Edison-Retirement-Plan/,CONSOLIDATED EDISON COMPANY OF NEW YORK  INC.,01/01/2018 — 12/31/2018,07/01/1953,"$14,041,664,035",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"13,330","11,829","1,363","26,522","3,610","30,132","30,784",0,55,$0,$0,$0,$0,$0,$0,4 Irving Place 15th Floor South,New York,NY,10003,(212) 460-3999,13-5009340,221100,Nancy Shannon,"Sands Capital Management, LLC","Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$3,543,671",$0,"$3,543,671"
4,CONSOLIDATED EDISON RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54941/Consolidated-Edison-Inc/13913721/Consolidated-Edison-Retirement-Plan/,CONSOLIDATED EDISON COMPANY OF NEW YORK  INC.,01/01/2018 — 12/31/2018,07/01/1953,"$14,041,664,035",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"13,330","11,829","1,363","26,522","3,610","30,132","30,784",0,55,$0,$0,$0,$0,$0,$0,4 Irving Place 15th Floor South,New York,NY,10003,(212) 460-3999,13-5009340,221100,Nancy Shannon,"Pgim, Inc.","Investment management, Investment management fees paid directly by plan",NONE,"$3,452,689",$0,"$3,452,689"
5,CONSOLIDATED EDISON RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54941/Consolidated-Edison-Inc/13913721/Consolidated-Edison-Retirement-Plan/,CONSOLIDATED EDISON COMPANY OF NEW YORK  INC.,01/01/2018 — 12/31/2018,07/01/1953,"$14,041,664,035",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"13,330","11,829","1,363","26,522","3,610","30,132","30,784",0,55,$0,$0,$0,$0,$0,$0,4 Irving Place 15th Floor South,New York,NY,10003,(212) 460-3999,13-5009340,221100,Nancy Shannon,Hermes Investment Mgmt Inc.,"Investment management, Investment management fees paid directly by plan",NONE,"$2,400,410",$0,"$2,400,410"
6,CONSOLIDATED EDISON RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54941/Consolidated-Edison-Inc/13913721/Consolidated-Edison-Retirement-Plan/,CONSOLIDATED EDISON COMPANY OF NEW YORK  INC.,01/01/2018 — 12/31/2018,07/01/1953,"$14,041,664,035",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"13,330","11,829","1,363","26,522","3,610","30,132","30,784",0,55,$0,$0,$0,$0,$0,$0,4 Irving Place 15th Floor South,New York,NY,10003,(212) 460-3999,13-5009340,221100,Nancy Shannon,Quantitative Mgmt Associates LLC,"Investment management, Investment management fees paid directly by plan",NONE,"$2,349,139",$0,"$2,349,139"
7,CONSOLIDATED EDISON RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54941/Consolidated-Edison-Inc/13913721/Consolidated-Edison-Retirement-Plan/,CONSOLIDATED EDISON COMPANY OF NEW YORK  INC.,01/01/2018 — 12/31/2018,07/01/1953,"$14,041,664,035",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"13,330","11,829","1,363","26,522","3,610","30,132","30,784",0,55,$0,$0,$0,$0,$0,$0,4 Irving Place 15th Floor South,New York,NY,10003,(212) 460-3999,13-5009340,221100,Nancy Shannon,Pyrford International Plc,"Investment management, Direct payment from the plan",NONE,"$2,266,404",$0,"$2,266,404"
8,CONSOLIDATED EDISON RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54941/Consolidated-Edison-Inc/13913721/Consolidated-Edison-Retirement-Plan/,CONSOLIDATED EDISON COMPANY OF NEW YORK  INC.,01/01/2018 — 12/31/2018,07/01/1953,"$14,041,664,035",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"13,330","11,829","1,363","26,522","3,610","30,132","30,784",0,55,$0,$0,$0,$0,$0,$0,4 Irving Place 15th Floor South,New York,NY,10003,(212) 460-3999,13-5009340,221100,Nancy Shannon,State Street Bank & Trust Co.,"Trustee (directed), Investment management, Direct payment from the plan, Investment management fees paid indirectly by plan, Float revenue, Other fees",NONE,"$2,071,293",$0,"$2,071,293"
9,CONSOLIDATED EDISON RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54941/Consolidated-Edison-Inc/13913721/Consolidated-Edison-Retirement-Plan/,CONSOLIDATED EDISON COMPANY OF NEW YORK  INC.,01/01/2018 — 12/31/2018,07/01/1953,"$14,041,664,035",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"13,330","11,829","1,363","26,522","3,610","30,132","30,784",0,55,$0,$0,$0,$0,$0,$0,4 Irving Place 15th Floor South,New York,NY,10003,(212) 460-3999,13-5009340,221100,Nancy Shannon,"Oakbrook Investments, LLC","Investment management, Investment management fees paid directly by plan",NONE,"$2,044,000",$0,"$2,044,000"
