,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 05/01/2010,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Report Description,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2010,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/432338//13944645/Millennium-Chemicals-Consolidated-Retirement-Plan/,Lyondell Chemical Company,01/01/2010 — 05/01/2010,01/01/1964,$0,10,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"16,156",0,0,$0,$0,$0,$0,$0,$0,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,95-4160558,325100,Marie-Claire Abelanet,Marie-Claire Abelanet,Benefits Administrative Committee,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,20-3443655,Hewitt Associates,"Actuarial, Contract Administrator",NONE,"$395,684",$0,"$395,684"
1,CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/432338//13944645/Millennium-Chemicals-Consolidated-Retirement-Plan/,Lyondell Chemical Company,01/01/2010 — 05/01/2010,01/01/1964,$0,10,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"16,156",0,0,$0,$0,$0,$0,$0,$0,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,95-4160558,325100,Marie-Claire Abelanet,Marie-Claire Abelanet,Benefits Administrative Committee,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,20-3443655,Bny Mellon,"Trustee (bank, trust company, or similar financial institution)",NONE,"$123,797",$0,"$123,797"
2,CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/432338//13944645/Millennium-Chemicals-Consolidated-Retirement-Plan/,Lyondell Chemical Company,01/01/2010 — 05/01/2010,01/01/1964,$0,10,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"16,156",0,0,$0,$0,$0,$0,$0,$0,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,95-4160558,325100,Marie-Claire Abelanet,Marie-Claire Abelanet,Benefits Administrative Committee,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,20-3443655,Mondrian Investment Group,Investment management,NONE,"$104,937",$0,"$104,937"
3,CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/432338//13944645/Millennium-Chemicals-Consolidated-Retirement-Plan/,Lyondell Chemical Company,01/01/2010 — 05/01/2010,01/01/1964,$0,10,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"16,156",0,0,$0,$0,$0,$0,$0,$0,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,95-4160558,325100,Marie-Claire Abelanet,Marie-Claire Abelanet,Benefits Administrative Committee,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,20-3443655,Wellington Trust Company,Investment management,NONE,"$98,754",$0,"$98,754"
4,CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/432338//13944645/Millennium-Chemicals-Consolidated-Retirement-Plan/,Lyondell Chemical Company,01/01/2010 — 05/01/2010,01/01/1964,$0,10,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"16,156",0,0,$0,$0,$0,$0,$0,$0,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,95-4160558,325100,Marie-Claire Abelanet,Marie-Claire Abelanet,Benefits Administrative Committee,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,20-3443655,Prudential Trust Company,Investment management,NONE,"$38,247",$0,"$38,247"
5,CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/432338//13944645/Millennium-Chemicals-Consolidated-Retirement-Plan/,Lyondell Chemical Company,01/01/2010 — 05/01/2010,01/01/1964,$0,10,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"16,156",0,0,$0,$0,$0,$0,$0,$0,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,95-4160558,325100,Marie-Claire Abelanet,Marie-Claire Abelanet,Benefits Administrative Committee,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,20-3443655,Jp Morgan Asset Management,Investment management,NONE,"$37,233",$0,"$37,233"
6,CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/432338//13944645/Millennium-Chemicals-Consolidated-Retirement-Plan/,Lyondell Chemical Company,01/01/2010 — 05/01/2010,01/01/1964,$0,10,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"16,156",0,0,$0,$0,$0,$0,$0,$0,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,95-4160558,325100,Marie-Claire Abelanet,Marie-Claire Abelanet,Benefits Administrative Committee,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,20-3443655,"T. Rowe Price Associates, Inc.",Investment management,NONE,"$35,559",$0,"$35,559"
7,CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/432338//13944645/Millennium-Chemicals-Consolidated-Retirement-Plan/,Lyondell Chemical Company,01/01/2010 — 05/01/2010,01/01/1964,$0,10,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"16,156",0,0,$0,$0,$0,$0,$0,$0,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,95-4160558,325100,Marie-Claire Abelanet,Marie-Claire Abelanet,Benefits Administrative Committee,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,20-3443655,Neuberger Berman,Investment management,NONE,"$23,543",$0,"$23,543"
8,CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/432338//13944645/Millennium-Chemicals-Consolidated-Retirement-Plan/,Lyondell Chemical Company,01/01/2010 — 05/01/2010,01/01/1964,$0,10,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"16,156",0,0,$0,$0,$0,$0,$0,$0,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,95-4160558,325100,Marie-Claire Abelanet,Marie-Claire Abelanet,Benefits Administrative Committee,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,20-3443655,Pacific Investment Management Co.,Investment management,NONE,"$22,990",$0,"$22,990"
9,CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/432338//13944645/Millennium-Chemicals-Consolidated-Retirement-Plan/,Lyondell Chemical Company,01/01/2010 — 05/01/2010,01/01/1964,$0,10,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"16,156",0,0,$0,$0,$0,$0,$0,$0,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,95-4160558,325100,Marie-Claire Abelanet,Marie-Claire Abelanet,Benefits Administrative Committee,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,20-3443655,Pricewaterhousecoopers,Accounting (including auditing),NONE,"$19,300",$0,"$19,300"
10,CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/432338//13944645/Millennium-Chemicals-Consolidated-Retirement-Plan/,Lyondell Chemical Company,01/01/2010 — 05/01/2010,01/01/1964,$0,10,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"16,156",0,0,$0,$0,$0,$0,$0,$0,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,95-4160558,325100,Marie-Claire Abelanet,Marie-Claire Abelanet,Benefits Administrative Committee,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,20-3443655,"Enhanced Investment Tech, LLC",Investment advisory (plan),NONE,"$14,540",$0,"$14,540"
11,CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/432338//13944645/Millennium-Chemicals-Consolidated-Retirement-Plan/,Lyondell Chemical Company,01/01/2010 — 05/01/2010,01/01/1964,$0,10,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"16,156",0,0,$0,$0,$0,$0,$0,$0,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,95-4160558,325100,Marie-Claire Abelanet,Marie-Claire Abelanet,Benefits Administrative Committee,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,20-3443655,CRA Rogerscasey LLC,Consulting (pension),NONE,"$12,978",$0,"$12,978"
12,CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/432338//13944645/Millennium-Chemicals-Consolidated-Retirement-Plan/,Lyondell Chemical Company,01/01/2010 — 05/01/2010,01/01/1964,$0,10,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"16,156",0,0,$0,$0,$0,$0,$0,$0,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,95-4160558,325100,Marie-Claire Abelanet,Marie-Claire Abelanet,Benefits Administrative Committee,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,20-3443655,Lsv Asset Management,Investment management,NONE,"$12,892",$0,"$12,892"
13,CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/432338//13944645/Millennium-Chemicals-Consolidated-Retirement-Plan/,Lyondell Chemical Company,01/01/2010 — 05/01/2010,01/01/1964,$0,10,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"16,156",0,0,$0,$0,$0,$0,$0,$0,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,95-4160558,325100,Marie-Claire Abelanet,Marie-Claire Abelanet,Benefits Administrative Committee,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,20-3443655,Timessquare Capital Management,Investment management,NONE,"$9,685",$0,"$9,685"
14,CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/432338//13944645/Millennium-Chemicals-Consolidated-Retirement-Plan/,Lyondell Chemical Company,01/01/2010 — 05/01/2010,01/01/1964,$0,10,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"16,156",0,0,$0,$0,$0,$0,$0,$0,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,95-4160558,325100,Marie-Claire Abelanet,Marie-Claire Abelanet,Benefits Administrative Committee,"1221 Mckinney, Suite 1600 ",Houston,TX,77010-2006,(713) 652-7200,20-3443655,"Bennett Lawrence Management, LLC",Investment management,NONE,"$9,675",$0,"$9,675"
