,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Report Description,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,CONSUMERS ENERGY COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/184479/Cms-Energy-Corporation/13913881/Consumers-Energy-Company-Pension-Plan/,Consumers Energy Company,01/01/2018 — 12/31/2018,07/01/1944,"$1,340,369,914",1,Single Employer,Yes,Yes,This is an amended report.,Trust,Trust,382,"4,829","1,984","7,195",0,"7,195","8,416",0,0,$0,$0,$0,$0,$0,$0,One Energy Plaza ,Jackson,MI,49201-2276,(517) 745-7003,38-0442310,221500,Wellington Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Investment Management,"$590,678",$0,"$590,678"
1,CONSUMERS ENERGY COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/184479/Cms-Energy-Corporation/13913881/Consumers-Energy-Company-Pension-Plan/,Consumers Energy Company,01/01/2018 — 12/31/2018,07/01/1944,"$1,340,369,914",1,Single Employer,Yes,Yes,This is an amended report.,Trust,Trust,382,"4,829","1,984","7,195",0,"7,195","8,416",0,0,$0,$0,$0,$0,$0,$0,One Energy Plaza ,Jackson,MI,49201-2276,(517) 745-7003,38-0442310,221500,Grantham Mayo Vanotterloo & Co,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Investment Mgmt,"$520,284",$0,"$520,284"
2,CONSUMERS ENERGY COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/184479/Cms-Energy-Corporation/13913881/Consumers-Energy-Company-Pension-Plan/,Consumers Energy Company,01/01/2018 — 12/31/2018,07/01/1944,"$1,340,369,914",1,Single Employer,Yes,Yes,This is an amended report.,Trust,Trust,382,"4,829","1,984","7,195",0,"7,195","8,416",0,0,$0,$0,$0,$0,$0,$0,One Energy Plaza ,Jackson,MI,49201-2276,(517) 745-7003,38-0442310,221500,Fidelity Invest Instit Oper Co,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Trustee (directed), Direct payment from the plan, Investment management fees paid directly by plan",Recordkeeper,"$462,422",$0,"$462,422"
3,CONSUMERS ENERGY COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/184479/Cms-Energy-Corporation/13913881/Consumers-Energy-Company-Pension-Plan/,Consumers Energy Company,01/01/2018 — 12/31/2018,07/01/1944,"$1,340,369,914",1,Single Employer,Yes,Yes,This is an amended report.,Trust,Trust,382,"4,829","1,984","7,195",0,"7,195","8,416",0,0,$0,$0,$0,$0,$0,$0,One Energy Plaza ,Jackson,MI,49201-2276,(517) 745-7003,38-0442310,221500,Gryphon International Investment,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Investment Mgmt,"$281,414",$0,"$281,414"
4,CONSUMERS ENERGY COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/184479/Cms-Energy-Corporation/13913881/Consumers-Energy-Company-Pension-Plan/,Consumers Energy Company,01/01/2018 — 12/31/2018,07/01/1944,"$1,340,369,914",1,Single Employer,Yes,Yes,This is an amended report.,Trust,Trust,382,"4,829","1,984","7,195",0,"7,195","8,416",0,0,$0,$0,$0,$0,$0,$0,One Energy Plaza ,Jackson,MI,49201-2276,(517) 745-7003,38-0442310,221500,Aon Hewitt,"Actuarial, Consulting (pension), Valuation (appraisals, etc.), Direct payment from the plan, Consulting fees",Actuary,"$181,517",$0,"$181,517"
5,CONSUMERS ENERGY COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/184479/Cms-Energy-Corporation/13913881/Consumers-Energy-Company-Pension-Plan/,Consumers Energy Company,01/01/2018 — 12/31/2018,07/01/1944,"$1,340,369,914",1,Single Employer,Yes,Yes,This is an amended report.,Trust,Trust,382,"4,829","1,984","7,195",0,"7,195","8,416",0,0,$0,$0,$0,$0,$0,$0,One Energy Plaza ,Jackson,MI,49201-2276,(517) 745-7003,38-0442310,221500,New England Pension Consultants,"Consulting (general), Consulting (pension), Investment advisory (plan), Valuation (appraisals, etc.), Direct payment from the plan, Consulting fees",Consultant,"$181,008",$0,"$181,008"
6,CONSUMERS ENERGY COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/184479/Cms-Energy-Corporation/13913881/Consumers-Energy-Company-Pension-Plan/,Consumers Energy Company,01/01/2018 — 12/31/2018,07/01/1944,"$1,340,369,914",1,Single Employer,Yes,Yes,This is an amended report.,Trust,Trust,382,"4,829","1,984","7,195",0,"7,195","8,416",0,0,$0,$0,$0,$0,$0,$0,One Energy Plaza ,Jackson,MI,49201-2276,(517) 745-7003,38-0442310,221500,Manulife Asset Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Investment Mgmt,"$124,015",$0,"$124,015"
7,CONSUMERS ENERGY COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/184479/Cms-Energy-Corporation/13913881/Consumers-Energy-Company-Pension-Plan/,Consumers Energy Company,01/01/2018 — 12/31/2018,07/01/1944,"$1,340,369,914",1,Single Employer,Yes,Yes,This is an amended report.,Trust,Trust,382,"4,829","1,984","7,195",0,"7,195","8,416",0,0,$0,$0,$0,$0,$0,$0,One Energy Plaza ,Jackson,MI,49201-2276,(517) 745-7003,38-0442310,221500,Comerica Bank,"Custodial (securities), Investment management, Other services, Shareholder servicing fees, Float revenue, Other investment fees and expenses, Other fees",Custodian,"$119,967",$0,"$119,967"
8,CONSUMERS ENERGY COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/184479/Cms-Energy-Corporation/13913881/Consumers-Energy-Company-Pension-Plan/,Consumers Energy Company,01/01/2018 — 12/31/2018,07/01/1944,"$1,340,369,914",1,Single Employer,Yes,Yes,This is an amended report.,Trust,Trust,382,"4,829","1,984","7,195",0,"7,195","8,416",0,0,$0,$0,$0,$0,$0,$0,One Energy Plaza ,Jackson,MI,49201-2276,(517) 745-7003,38-0442310,221500,Blackrock Institutional Trust Co,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Investment Mgmt,"$21,402",$0,"$21,402"
9,CONSUMERS ENERGY COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/184479/Cms-Energy-Corporation/13913881/Consumers-Energy-Company-Pension-Plan/,Consumers Energy Company,01/01/2018 — 12/31/2018,07/01/1944,"$1,340,369,914",1,Single Employer,Yes,Yes,This is an amended report.,Trust,Trust,382,"4,829","1,984","7,195",0,"7,195","8,416",0,0,$0,$0,$0,$0,$0,$0,One Energy Plaza ,Jackson,MI,49201-2276,(517) 745-7003,38-0442310,221500,Total,Total,Total,"$2,482,707",$0,"$2,482,707"
