,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,COX ENTERPRISES  INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/283587/Cox-Enterprises-Inc/13913798/Cox-Enterprises-Inc-Pension-Plan/,Cox Enterprises  Inc. Pension Plan,01/01/2018 — 12/31/2018,01/01/1968,"$6,495,586,579",1,Single Employer,No,Yes,Trust,Trust,"39,709","18,460","19,713","77,882","2,194","80,076","79,155",0,"2,816",$0,$0,$0,$0,$0,$0,6205-A Peachtree Dunwoody Rd ,Atlanta,GA,30328,(678) 645-4690,58-1035149,511110,Jon Gamble,Jon Gamble,Wells Capital Mgmt Inc,"Investment management, Direct payment from the plan",NONE,"$4,919,814",$0,"$4,919,814"
1,COX ENTERPRISES  INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/283587/Cox-Enterprises-Inc/13913798/Cox-Enterprises-Inc-Pension-Plan/,Cox Enterprises  Inc. Pension Plan,01/01/2018 — 12/31/2018,01/01/1968,"$6,495,586,579",1,Single Employer,No,Yes,Trust,Trust,"39,709","18,460","19,713","77,882","2,194","80,076","79,155",0,"2,816",$0,$0,$0,$0,$0,$0,6205-A Peachtree Dunwoody Rd ,Atlanta,GA,30328,(678) 645-4690,58-1035149,511110,Jon Gamble,Jon Gamble,"Acadian Asset Management, LLC","Investment management, Direct payment from the plan",NONE,"$3,922,196",$0,"$3,922,196"
2,COX ENTERPRISES  INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/283587/Cox-Enterprises-Inc/13913798/Cox-Enterprises-Inc-Pension-Plan/,Cox Enterprises  Inc. Pension Plan,01/01/2018 — 12/31/2018,01/01/1968,"$6,495,586,579",1,Single Employer,No,Yes,Trust,Trust,"39,709","18,460","19,713","77,882","2,194","80,076","79,155",0,"2,816",$0,$0,$0,$0,$0,$0,6205-A Peachtree Dunwoody Rd ,Atlanta,GA,30328,(678) 645-4690,58-1035149,511110,Jon Gamble,Jon Gamble,Lsv Asset Management,"Investment management, Direct payment from the plan",NONE,"$3,526,401",$0,"$3,526,401"
3,COX ENTERPRISES  INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/283587/Cox-Enterprises-Inc/13913798/Cox-Enterprises-Inc-Pension-Plan/,Cox Enterprises  Inc. Pension Plan,01/01/2018 — 12/31/2018,01/01/1968,"$6,495,586,579",1,Single Employer,No,Yes,Trust,Trust,"39,709","18,460","19,713","77,882","2,194","80,076","79,155",0,"2,816",$0,$0,$0,$0,$0,$0,6205-A Peachtree Dunwoody Rd ,Atlanta,GA,30328,(678) 645-4690,58-1035149,511110,Jon Gamble,Jon Gamble,Baillie Gifford Overseas Ltd,"Investment management, Direct payment from the plan, Non-monetary compensation, Soft dollars commissions, Securities brokerage commissions and fees",NONE,"$2,280,914",$0,"$2,280,914"
4,COX ENTERPRISES  INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/283587/Cox-Enterprises-Inc/13913798/Cox-Enterprises-Inc-Pension-Plan/,Cox Enterprises  Inc. Pension Plan,01/01/2018 — 12/31/2018,01/01/1968,"$6,495,586,579",1,Single Employer,No,Yes,Trust,Trust,"39,709","18,460","19,713","77,882","2,194","80,076","79,155",0,"2,816",$0,$0,$0,$0,$0,$0,6205-A Peachtree Dunwoody Rd ,Atlanta,GA,30328,(678) 645-4690,58-1035149,511110,Jon Gamble,Jon Gamble,Timessquare Capital Management,"Investment management, Direct payment from the plan, Shareholder servicing fees, Distribution (12b-1) fees, Soft dollars commissions",NONE,"$1,348,392",$0,"$1,348,392"
5,COX ENTERPRISES  INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/283587/Cox-Enterprises-Inc/13913798/Cox-Enterprises-Inc-Pension-Plan/,Cox Enterprises  Inc. Pension Plan,01/01/2018 — 12/31/2018,01/01/1968,"$6,495,586,579",1,Single Employer,No,Yes,Trust,Trust,"39,709","18,460","19,713","77,882","2,194","80,076","79,155",0,"2,816",$0,$0,$0,$0,$0,$0,6205-A Peachtree Dunwoody Rd ,Atlanta,GA,30328,(678) 645-4690,58-1035149,511110,Jon Gamble,Jon Gamble,Nephila Capital Ltd.,"Direct payment from the plan, Investment management fees paid directly by plan, Other fees",NONE,"$1,130,164",$0,"$1,130,164"
6,COX ENTERPRISES  INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/283587/Cox-Enterprises-Inc/13913798/Cox-Enterprises-Inc-Pension-Plan/,Cox Enterprises  Inc. Pension Plan,01/01/2018 — 12/31/2018,01/01/1968,"$6,495,586,579",1,Single Employer,No,Yes,Trust,Trust,"39,709","18,460","19,713","77,882","2,194","80,076","79,155",0,"2,816",$0,$0,$0,$0,$0,$0,6205-A Peachtree Dunwoody Rd ,Atlanta,GA,30328,(678) 645-4690,58-1035149,511110,Jon Gamble,Jon Gamble,"Loomis, Sayles & Company, L.P.","Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$1,035,152",$0,"$1,035,152"
7,COX ENTERPRISES  INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/283587/Cox-Enterprises-Inc/13913798/Cox-Enterprises-Inc-Pension-Plan/,Cox Enterprises  Inc. Pension Plan,01/01/2018 — 12/31/2018,01/01/1968,"$6,495,586,579",1,Single Employer,No,Yes,Trust,Trust,"39,709","18,460","19,713","77,882","2,194","80,076","79,155",0,"2,816",$0,$0,$0,$0,$0,$0,6205-A Peachtree Dunwoody Rd ,Atlanta,GA,30328,(678) 645-4690,58-1035149,511110,Jon Gamble,Jon Gamble,"Jp Morgan Invest. Management, Inc.","Investment advisory (plan), Investment management, Direct payment from the plan",NONE,"$933,493",$0,"$933,493"
8,COX ENTERPRISES  INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/283587/Cox-Enterprises-Inc/13913798/Cox-Enterprises-Inc-Pension-Plan/,Cox Enterprises  Inc. Pension Plan,01/01/2018 — 12/31/2018,01/01/1968,"$6,495,586,579",1,Single Employer,No,Yes,Trust,Trust,"39,709","18,460","19,713","77,882","2,194","80,076","79,155",0,"2,816",$0,$0,$0,$0,$0,$0,6205-A Peachtree Dunwoody Rd ,Atlanta,GA,30328,(678) 645-4690,58-1035149,511110,Jon Gamble,Jon Gamble,"Barrow, Hanley, Mewhinney & Strauss","Investment advisory (plan), Direct payment from the plan, Soft dollars commissions, Other fees",NONE,"$842,861",$0,"$842,861"
9,COX ENTERPRISES  INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/283587/Cox-Enterprises-Inc/13913798/Cox-Enterprises-Inc-Pension-Plan/,Cox Enterprises  Inc. Pension Plan,01/01/2018 — 12/31/2018,01/01/1968,"$6,495,586,579",1,Single Employer,No,Yes,Trust,Trust,"39,709","18,460","19,713","77,882","2,194","80,076","79,155",0,"2,816",$0,$0,$0,$0,$0,$0,6205-A Peachtree Dunwoody Rd ,Atlanta,GA,30328,(678) 645-4690,58-1035149,511110,Jon Gamble,Jon Gamble,Segall Bryant & Hamill,"Investment management, Direct payment from the plan",NONE,"$638,670",$0,"$638,670"
