,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,DESERET MUTUAL MASTER RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/389548/The-Church-Of-Jesus-Christ-Of-Latter-Day-Saints/13913771/Deseret-Mutual-Master-Retirement-Plan/2018/,DESERET MUTUAL BENEFIT ADMINISTRATORS,01/01/2018 — 12/31/2018,01/01/1970,"$6,186,820,547",1,Single Employer,No,Yes,InsuranceTrust,Trust,"14,206","14,848","5,308","34,362","2,380","36,742","37,508",0,219,$0,$0,$0,$0,$0,$0,Po Box 45530 ,Salt Lake City,UT,84145-0530,(801) 578-5795,87-0440163,524290,Michael J. Rasband,Jp Morgan Invest Mgmt,"Investment management, Investment advisory (plan)",,"$1,733,708",$0,"$1,733,708"
1,DESERET MUTUAL MASTER RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/389548/The-Church-Of-Jesus-Christ-Of-Latter-Day-Saints/13913771/Deseret-Mutual-Master-Retirement-Plan/2018/,DESERET MUTUAL BENEFIT ADMINISTRATORS,01/01/2018 — 12/31/2018,01/01/1970,"$6,186,820,547",1,Single Employer,No,Yes,InsuranceTrust,Trust,"14,206","14,848","5,308","34,362","2,380","36,742","37,508",0,219,$0,$0,$0,$0,$0,$0,Po Box 45530 ,Salt Lake City,UT,84145-0530,(801) 578-5795,87-0440163,524290,Michael J. Rasband,Fisher Investments,"Investment management, Investment management fees paid directly by plan",,"$1,659,081",$0,"$1,659,081"
2,DESERET MUTUAL MASTER RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/389548/The-Church-Of-Jesus-Christ-Of-Latter-Day-Saints/13913771/Deseret-Mutual-Master-Retirement-Plan/2018/,DESERET MUTUAL BENEFIT ADMINISTRATORS,01/01/2018 — 12/31/2018,01/01/1970,"$6,186,820,547",1,Single Employer,No,Yes,InsuranceTrust,Trust,"14,206","14,848","5,308","34,362","2,380","36,742","37,508",0,219,$0,$0,$0,$0,$0,$0,Po Box 45530 ,Salt Lake City,UT,84145-0530,(801) 578-5795,87-0440163,524290,Michael J. Rasband,City of London Invest Mgmt Co Ltd,"Investment management, Investment management fees paid directly by plan",,"$1,134,501",$0,"$1,134,501"
3,DESERET MUTUAL MASTER RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/389548/The-Church-Of-Jesus-Christ-Of-Latter-Day-Saints/13913771/Deseret-Mutual-Master-Retirement-Plan/2018/,DESERET MUTUAL BENEFIT ADMINISTRATORS,01/01/2018 — 12/31/2018,01/01/1970,"$6,186,820,547",1,Single Employer,No,Yes,InsuranceTrust,Trust,"14,206","14,848","5,308","34,362","2,380","36,742","37,508",0,219,$0,$0,$0,$0,$0,$0,Po Box 45530 ,Salt Lake City,UT,84145-0530,(801) 578-5795,87-0440163,524290,Michael J. Rasband,Southeastern Asset Management,Investment management,,"$1,003,267",$0,"$1,003,267"
4,DESERET MUTUAL MASTER RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/389548/The-Church-Of-Jesus-Christ-Of-Latter-Day-Saints/13913771/Deseret-Mutual-Master-Retirement-Plan/2018/,DESERET MUTUAL BENEFIT ADMINISTRATORS,01/01/2018 — 12/31/2018,01/01/1970,"$6,186,820,547",1,Single Employer,No,Yes,InsuranceTrust,Trust,"14,206","14,848","5,308","34,362","2,380","36,742","37,508",0,219,$0,$0,$0,$0,$0,$0,Po Box 45530 ,Salt Lake City,UT,84145-0530,(801) 578-5795,87-0440163,524290,Michael J. Rasband,Artisan Partners Lp,"Investment management fees paid directly by plan, Soft dollars commissions",,"$798,944",$0,"$798,944"
5,DESERET MUTUAL MASTER RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/389548/The-Church-Of-Jesus-Christ-Of-Latter-Day-Saints/13913771/Deseret-Mutual-Master-Retirement-Plan/2018/,DESERET MUTUAL BENEFIT ADMINISTRATORS,01/01/2018 — 12/31/2018,01/01/1970,"$6,186,820,547",1,Single Employer,No,Yes,InsuranceTrust,Trust,"14,206","14,848","5,308","34,362","2,380","36,742","37,508",0,219,$0,$0,$0,$0,$0,$0,Po Box 45530 ,Salt Lake City,UT,84145-0530,(801) 578-5795,87-0440163,524290,Michael J. Rasband,Neuberger Berman Inv Adv LLC,Investment management,,"$795,667",$0,"$795,667"
6,DESERET MUTUAL MASTER RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/389548/The-Church-Of-Jesus-Christ-Of-Latter-Day-Saints/13913771/Deseret-Mutual-Master-Retirement-Plan/2018/,DESERET MUTUAL BENEFIT ADMINISTRATORS,01/01/2018 — 12/31/2018,01/01/1970,"$6,186,820,547",1,Single Employer,No,Yes,InsuranceTrust,Trust,"14,206","14,848","5,308","34,362","2,380","36,742","37,508",0,219,$0,$0,$0,$0,$0,$0,Po Box 45530 ,Salt Lake City,UT,84145-0530,(801) 578-5795,87-0440163,524290,Michael J. Rasband,Sands Capital Management LLC,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",,"$595,252",$0,"$595,252"
7,DESERET MUTUAL MASTER RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/389548/The-Church-Of-Jesus-Christ-Of-Latter-Day-Saints/13913771/Deseret-Mutual-Master-Retirement-Plan/2018/,DESERET MUTUAL BENEFIT ADMINISTRATORS,01/01/2018 — 12/31/2018,01/01/1970,"$6,186,820,547",1,Single Employer,No,Yes,InsuranceTrust,Trust,"14,206","14,848","5,308","34,362","2,380","36,742","37,508",0,219,$0,$0,$0,$0,$0,$0,Po Box 45530 ,Salt Lake City,UT,84145-0530,(801) 578-5795,87-0440163,524290,Michael J. Rasband,Zazove Associates LLC,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",,"$548,471",$0,"$548,471"
8,DESERET MUTUAL MASTER RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/389548/The-Church-Of-Jesus-Christ-Of-Latter-Day-Saints/13913771/Deseret-Mutual-Master-Retirement-Plan/2018/,DESERET MUTUAL BENEFIT ADMINISTRATORS,01/01/2018 — 12/31/2018,01/01/1970,"$6,186,820,547",1,Single Employer,No,Yes,InsuranceTrust,Trust,"14,206","14,848","5,308","34,362","2,380","36,742","37,508",0,219,$0,$0,$0,$0,$0,$0,Po Box 45530 ,Salt Lake City,UT,84145-0530,(801) 578-5795,87-0440163,524290,Michael J. Rasband,Timessquare Capital Management,Investment management,,"$465,562",$0,"$465,562"
9,DESERET MUTUAL MASTER RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/389548/The-Church-Of-Jesus-Christ-Of-Latter-Day-Saints/13913771/Deseret-Mutual-Master-Retirement-Plan/2018/,DESERET MUTUAL BENEFIT ADMINISTRATORS,01/01/2018 — 12/31/2018,01/01/1970,"$6,186,820,547",1,Single Employer,No,Yes,InsuranceTrust,Trust,"14,206","14,848","5,308","34,362","2,380","36,742","37,508",0,219,$0,$0,$0,$0,$0,$0,Po Box 45530 ,Salt Lake City,UT,84145-0530,(801) 578-5795,87-0440163,524290,Michael J. Rasband,Macquarie Invest Mgmt Advisors,Investment management,,"$456,597",$0,"$456,597"
