,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,DEUTSCHE BANK CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/49961/Deutsche-Bank-Americas-Holding-Corp/13913958/Deutsche-Bank-Cash-Account-Pension-Plan/,Deutsche Bank,01/01/2018 — 12/31/2018,01/01/1993,"$1,254,641,422",1,Single Employer,No,Yes,Trust,Trust,"1,273","4,069","8,323","13,665",657,"14,322","14,885",0,0,$0,$0,$0,$0,$0,$0,60 Wall Street Ms Nyc60-1906,New York,NY,10005,(212) 250-9295,13-3645372,551111,Robert Dibble,Shari Goldfarb,Alight Solutions LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Investment advisory (plan), Direct payment from the plan, Other fees",NONE,"$2,017,829",$0,"$2,017,829"
1,DEUTSCHE BANK CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/49961/Deutsche-Bank-Americas-Holding-Corp/13913958/Deutsche-Bank-Cash-Account-Pension-Plan/,Deutsche Bank,01/01/2018 — 12/31/2018,01/01/1993,"$1,254,641,422",1,Single Employer,No,Yes,Trust,Trust,"1,273","4,069","8,323","13,665",657,"14,322","14,885",0,0,$0,$0,$0,$0,$0,$0,60 Wall Street Ms Nyc60-1906,New York,NY,10005,(212) 250-9295,13-3645372,551111,Robert Dibble,Shari Goldfarb,Pimco,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$486,472",$0,"$486,472"
2,DEUTSCHE BANK CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/49961/Deutsche-Bank-Americas-Holding-Corp/13913958/Deutsche-Bank-Cash-Account-Pension-Plan/,Deutsche Bank,01/01/2018 — 12/31/2018,01/01/1993,"$1,254,641,422",1,Single Employer,No,Yes,Trust,Trust,"1,273","4,069","8,323","13,665",657,"14,322","14,885",0,0,$0,$0,$0,$0,$0,$0,60 Wall Street Ms Nyc60-1906,New York,NY,10005,(212) 250-9295,13-3645372,551111,Robert Dibble,Shari Goldfarb,Aberdeen Asset Management Inc,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$465,672",$0,"$465,672"
3,DEUTSCHE BANK CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/49961/Deutsche-Bank-Americas-Holding-Corp/13913958/Deutsche-Bank-Cash-Account-Pension-Plan/,Deutsche Bank,01/01/2018 — 12/31/2018,01/01/1993,"$1,254,641,422",1,Single Employer,No,Yes,Trust,Trust,"1,273","4,069","8,323","13,665",657,"14,322","14,885",0,0,$0,$0,$0,$0,$0,$0,60 Wall Street Ms Nyc60-1906,New York,NY,10005,(212) 250-9295,13-3645372,551111,Robert Dibble,Shari Goldfarb,Western Asset Management Company,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$340,834",$0,"$340,834"
4,DEUTSCHE BANK CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/49961/Deutsche-Bank-Americas-Holding-Corp/13913958/Deutsche-Bank-Cash-Account-Pension-Plan/,Deutsche Bank,01/01/2018 — 12/31/2018,01/01/1993,"$1,254,641,422",1,Single Employer,No,Yes,Trust,Trust,"1,273","4,069","8,323","13,665",657,"14,322","14,885",0,0,$0,$0,$0,$0,$0,$0,60 Wall Street Ms Nyc60-1906,New York,NY,10005,(212) 250-9295,13-3645372,551111,Robert Dibble,Shari Goldfarb,Jennison Associates LLC,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$320,761",$0,"$320,761"
5,DEUTSCHE BANK CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/49961/Deutsche-Bank-Americas-Holding-Corp/13913958/Deutsche-Bank-Cash-Account-Pension-Plan/,Deutsche Bank,01/01/2018 — 12/31/2018,01/01/1993,"$1,254,641,422",1,Single Employer,No,Yes,Trust,Trust,"1,273","4,069","8,323","13,665",657,"14,322","14,885",0,0,$0,$0,$0,$0,$0,$0,60 Wall Street Ms Nyc60-1906,New York,NY,10005,(212) 250-9295,13-3645372,551111,Robert Dibble,Shari Goldfarb,Northern Trust Company,"Trustee (directed), Direct payment from the plan",NONE,"$306,805",$0,"$306,805"
6,DEUTSCHE BANK CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/49961/Deutsche-Bank-Americas-Holding-Corp/13913958/Deutsche-Bank-Cash-Account-Pension-Plan/,Deutsche Bank,01/01/2018 — 12/31/2018,01/01/1993,"$1,254,641,422",1,Single Employer,No,Yes,Trust,Trust,"1,273","4,069","8,323","13,665",657,"14,322","14,885",0,0,$0,$0,$0,$0,$0,$0,60 Wall Street Ms Nyc60-1906,New York,NY,10005,(212) 250-9295,13-3645372,551111,Robert Dibble,Shari Goldfarb,KPMG,"Accounting (including auditing), Direct payment from the plan",NONE,"$125,460",$0,"$125,460"
7,DEUTSCHE BANK CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/49961/Deutsche-Bank-Americas-Holding-Corp/13913958/Deutsche-Bank-Cash-Account-Pension-Plan/,Deutsche Bank,01/01/2018 — 12/31/2018,01/01/1993,"$1,254,641,422",1,Single Employer,No,Yes,Trust,Trust,"1,273","4,069","8,323","13,665",657,"14,322","14,885",0,0,$0,$0,$0,$0,$0,$0,60 Wall Street Ms Nyc60-1906,New York,NY,10005,(212) 250-9295,13-3645372,551111,Robert Dibble,Shari Goldfarb,Aon Consulting,"Actuarial, Direct payment from the plan",NONE,"$125,230",$0,"$125,230"
8,DEUTSCHE BANK CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/49961/Deutsche-Bank-Americas-Holding-Corp/13913958/Deutsche-Bank-Cash-Account-Pension-Plan/,Deutsche Bank,01/01/2018 — 12/31/2018,01/01/1993,"$1,254,641,422",1,Single Employer,No,Yes,Trust,Trust,"1,273","4,069","8,323","13,665",657,"14,322","14,885",0,0,$0,$0,$0,$0,$0,$0,60 Wall Street Ms Nyc60-1906,New York,NY,10005,(212) 250-9295,13-3645372,551111,Robert Dibble,Shari Goldfarb,State Street Bank and Trust Co.,"Custodial (other than securities), Custodial (securities), Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Soft dollars commissions, Other fees",NONE,"$48,063",$0,"$48,063"
9,DEUTSCHE BANK CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/49961/Deutsche-Bank-Americas-Holding-Corp/13913958/Deutsche-Bank-Cash-Account-Pension-Plan/,Deutsche Bank,01/01/2018 — 12/31/2018,01/01/1993,"$1,254,641,422",1,Single Employer,No,Yes,Trust,Trust,"1,273","4,069","8,323","13,665",657,"14,322","14,885",0,0,$0,$0,$0,$0,$0,$0,60 Wall Street Ms Nyc60-1906,New York,NY,10005,(212) 250-9295,13-3645372,551111,Robert Dibble,Shari Goldfarb,Epstein Becker & Green P.C.,"Legal, Direct payment from the plan",NONE,"$42,193",$0,"$42,193"
