,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/30/2017,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Report Description,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2017,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,DOMINION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/260271/Dominion-Resources-Inc/13913760/Dominion-Pension-Plan/2018/,Dominion Energy Inc,01/01/2017 — 12/30/2017,07/01/1945,$0,2,Single Employer,Yes,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"32,197",0,0,$0,$0,$0,$0,$0,$0,Attention Benefits Reporting ,Richmond,VA,23219-3927,(877) 947-4636,54-1229715,551112,"Jason Hatcher, Accounting Manager","Joshua Blakeney, Controller","Dominion Energy Services, Inc.","701 East Cary St, Ojrp-17 ",Richmond,VA,23219-3927,(877) 947-4636,54-1962730,Pension Benefit Guaranty Corp,Insurance services,Insurance Services,"$18,164,828",$0,"$18,164,828"
1,DOMINION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/260271/Dominion-Resources-Inc/13913760/Dominion-Pension-Plan/2018/,Dominion Energy Inc,01/01/2017 — 12/30/2017,07/01/1945,$0,2,Single Employer,Yes,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"32,197",0,0,$0,$0,$0,$0,$0,$0,Attention Benefits Reporting ,Richmond,VA,23219-3927,(877) 947-4636,54-1229715,551112,"Jason Hatcher, Accounting Manager","Joshua Blakeney, Controller","Dominion Energy Services, Inc.","701 East Cary St, Ojrp-17 ",Richmond,VA,23219-3927,(877) 947-4636,54-1962730,Alight Solutions LLC,Recordkeeping fees,Recordkeeping,"$1,517,807",$0,"$1,517,807"
2,DOMINION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/260271/Dominion-Resources-Inc/13913760/Dominion-Pension-Plan/2018/,Dominion Energy Inc,01/01/2017 — 12/30/2017,07/01/1945,$0,2,Single Employer,Yes,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"32,197",0,0,$0,$0,$0,$0,$0,$0,Attention Benefits Reporting ,Richmond,VA,23219-3927,(877) 947-4636,54-1229715,551112,"Jason Hatcher, Accounting Manager","Joshua Blakeney, Controller","Dominion Energy Services, Inc.","701 East Cary St, Ojrp-17 ",Richmond,VA,23219-3927,(877) 947-4636,54-1962730,Ows Credit Opp,Investment management fees paid indirectly by plan,Inv Manager,$0,"$1,340,379","$1,340,379"
3,DOMINION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/260271/Dominion-Resources-Inc/13913760/Dominion-Pension-Plan/2018/,Dominion Energy Inc,01/01/2017 — 12/30/2017,07/01/1945,$0,2,Single Employer,Yes,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"32,197",0,0,$0,$0,$0,$0,$0,$0,Attention Benefits Reporting ,Richmond,VA,23219-3927,(877) 947-4636,54-1229715,551112,"Jason Hatcher, Accounting Manager","Joshua Blakeney, Controller","Dominion Energy Services, Inc.","701 East Cary St, Ojrp-17 ",Richmond,VA,23219-3927,(877) 947-4636,54-1962730,TEP,Investment management fees paid indirectly by plan,Inv Manager,$0,"$1,012,143","$1,012,143"
4,DOMINION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/260271/Dominion-Resources-Inc/13913760/Dominion-Pension-Plan/2018/,Dominion Energy Inc,01/01/2017 — 12/30/2017,07/01/1945,$0,2,Single Employer,Yes,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"32,197",0,0,$0,$0,$0,$0,$0,$0,Attention Benefits Reporting ,Richmond,VA,23219-3927,(877) 947-4636,54-1229715,551112,"Jason Hatcher, Accounting Manager","Joshua Blakeney, Controller","Dominion Energy Services, Inc.","701 East Cary St, Ojrp-17 ",Richmond,VA,23219-3927,(877) 947-4636,54-1962730,Kkr Euro IV,Investment management fees paid indirectly by plan,Inv Manager,$0,"$763,574","$763,574"
5,DOMINION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/260271/Dominion-Resources-Inc/13913760/Dominion-Pension-Plan/2018/,Dominion Energy Inc,01/01/2017 — 12/30/2017,07/01/1945,$0,2,Single Employer,Yes,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"32,197",0,0,$0,$0,$0,$0,$0,$0,Attention Benefits Reporting ,Richmond,VA,23219-3927,(877) 947-4636,54-1229715,551112,"Jason Hatcher, Accounting Manager","Joshua Blakeney, Controller","Dominion Energy Services, Inc.","701 East Cary St, Ojrp-17 ",Richmond,VA,23219-3927,(877) 947-4636,54-1962730,Kkr America Xii,Investment management fees paid indirectly by plan,Inv Manager,$0,"$482,604","$482,604"
6,DOMINION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/260271/Dominion-Resources-Inc/13913760/Dominion-Pension-Plan/2018/,Dominion Energy Inc,01/01/2017 — 12/30/2017,07/01/1945,$0,2,Single Employer,Yes,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"32,197",0,0,$0,$0,$0,$0,$0,$0,Attention Benefits Reporting ,Richmond,VA,23219-3927,(877) 947-4636,54-1229715,551112,"Jason Hatcher, Accounting Manager","Joshua Blakeney, Controller","Dominion Energy Services, Inc.","701 East Cary St, Ojrp-17 ",Richmond,VA,23219-3927,(877) 947-4636,54-1962730,Pwp Growth,Investment management fees paid indirectly by plan,Inv Manager,$0,"$425,860","$425,860"
7,DOMINION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/260271/Dominion-Resources-Inc/13913760/Dominion-Pension-Plan/2018/,Dominion Energy Inc,01/01/2017 — 12/30/2017,07/01/1945,$0,2,Single Employer,Yes,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"32,197",0,0,$0,$0,$0,$0,$0,$0,Attention Benefits Reporting ,Richmond,VA,23219-3927,(877) 947-4636,54-1229715,551112,"Jason Hatcher, Accounting Manager","Joshua Blakeney, Controller","Dominion Energy Services, Inc.","701 East Cary St, Ojrp-17 ",Richmond,VA,23219-3927,(877) 947-4636,54-1962730,Trilantic V,Investment management fees paid indirectly by plan,Inv Manager,$0,"$377,142","$377,142"
8,DOMINION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/260271/Dominion-Resources-Inc/13913760/Dominion-Pension-Plan/2018/,Dominion Energy Inc,01/01/2017 — 12/30/2017,07/01/1945,$0,2,Single Employer,Yes,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"32,197",0,0,$0,$0,$0,$0,$0,$0,Attention Benefits Reporting ,Richmond,VA,23219-3927,(877) 947-4636,54-1229715,551112,"Jason Hatcher, Accounting Manager","Joshua Blakeney, Controller","Dominion Energy Services, Inc.","701 East Cary St, Ojrp-17 ",Richmond,VA,23219-3927,(877) 947-4636,54-1962730,A&M Capital Opportunity,Investment management fees paid indirectly by plan,Inv Manager,$0,"$353,074","$353,074"
9,DOMINION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/260271/Dominion-Resources-Inc/13913760/Dominion-Pension-Plan/2018/,Dominion Energy Inc,01/01/2017 — 12/30/2017,07/01/1945,$0,2,Single Employer,Yes,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"32,197",0,0,$0,$0,$0,$0,$0,$0,Attention Benefits Reporting ,Richmond,VA,23219-3927,(877) 947-4636,54-1229715,551112,"Jason Hatcher, Accounting Manager","Joshua Blakeney, Controller","Dominion Energy Services, Inc.","701 East Cary St, Ojrp-17 ",Richmond,VA,23219-3927,(877) 947-4636,54-1962730,Ocm Special Sits,Investment management fees paid indirectly by plan,Inv Manager,$0,"$334,424","$334,424"
10,DOMINION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/260271/Dominion-Resources-Inc/13913760/Dominion-Pension-Plan/2018/,Dominion Energy Inc,01/01/2017 — 12/30/2017,07/01/1945,$0,2,Single Employer,Yes,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"32,197",0,0,$0,$0,$0,$0,$0,$0,Attention Benefits Reporting ,Richmond,VA,23219-3927,(877) 947-4636,54-1229715,551112,"Jason Hatcher, Accounting Manager","Joshua Blakeney, Controller","Dominion Energy Services, Inc.","701 East Cary St, Ojrp-17 ",Richmond,VA,23219-3927,(877) 947-4636,54-1962730,Ag Realty Net Lease II,Investment management fees paid indirectly by plan,Inv Manager,$0,"$331,654","$331,654"
11,DOMINION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/260271/Dominion-Resources-Inc/13913760/Dominion-Pension-Plan/2018/,Dominion Energy Inc,01/01/2017 — 12/30/2017,07/01/1945,$0,2,Single Employer,Yes,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"32,197",0,0,$0,$0,$0,$0,$0,$0,Attention Benefits Reporting ,Richmond,VA,23219-3927,(877) 947-4636,54-1229715,551112,"Jason Hatcher, Accounting Manager","Joshua Blakeney, Controller","Dominion Energy Services, Inc.","701 East Cary St, Ojrp-17 ",Richmond,VA,23219-3927,(877) 947-4636,54-1962730,Northern Trust Company,"Trustee (bank, trust company, or similar financial institution)",Trustee,"$228,742",$0,"$228,742"
12,DOMINION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/260271/Dominion-Resources-Inc/13913760/Dominion-Pension-Plan/2018/,Dominion Energy Inc,01/01/2017 — 12/30/2017,07/01/1945,$0,2,Single Employer,Yes,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"32,197",0,0,$0,$0,$0,$0,$0,$0,Attention Benefits Reporting ,Richmond,VA,23219-3927,(877) 947-4636,54-1229715,551112,"Jason Hatcher, Accounting Manager","Joshua Blakeney, Controller","Dominion Energy Services, Inc.","701 East Cary St, Ojrp-17 ",Richmond,VA,23219-3927,(877) 947-4636,54-1962730,Towers Watson Delaware,Actuarial,Actuarial,"$201,591",$0,"$201,591"
13,DOMINION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/260271/Dominion-Resources-Inc/13913760/Dominion-Pension-Plan/2018/,Dominion Energy Inc,01/01/2017 — 12/30/2017,07/01/1945,$0,2,Single Employer,Yes,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"32,197",0,0,$0,$0,$0,$0,$0,$0,Attention Benefits Reporting ,Richmond,VA,23219-3927,(877) 947-4636,54-1229715,551112,"Jason Hatcher, Accounting Manager","Joshua Blakeney, Controller","Dominion Energy Services, Inc.","701 East Cary St, Ojrp-17 ",Richmond,VA,23219-3927,(877) 947-4636,54-1962730,Hancock Timberland X,Investment management fees paid indirectly by plan,Inv Manager,$0,"$180,149","$180,149"
