,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/30/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 12/31/2017,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,EMPLOYEE RETIREMENT PLAN OF SAFEWAY INC AND ITS DOMESTIC SUBSIDIARIES,https://www.brightscope.com/form-5500/basic-info/417822/Safeway-Inc/13928738/Employee-Retirement-Plan-Of-Safeway-Inc-And-Its-Domestic-Subsidiaries/,SAFEWAY INC,12/31/2017 — 12/30/2018,12/01/1946,"$1,470,572,265",1,Single Employer,Yes,Yes,Trust,Trust,"16,872","2,851","12,780","32,503",455,"32,958","35,093",0,66,$0,$0,$0,$0,$0,$0,5918 Stoneridge Mall Road ,Pleasanton,CA,94588,(925) 467-3000,94-3019135,445110,Brian Dooley,Albertsons Companies Retirement Benefit Plans Committee,250 E. Parkcenter Blvd ,Boise,ID,83706,(925) 467-3000,81-3832793,"Conduent Hr Services, LLC","Actuarial, Plan Administrator, Recordkeeping and information management (computing, tabulating, data processing, etc.), Other services, Direct payment from the plan, Recordkeeping fees, Other fees, Consulting (pension)",NONE,"$2,180,354",$0,"$2,180,354"
1,EMPLOYEE RETIREMENT PLAN OF SAFEWAY INC AND ITS DOMESTIC SUBSIDIARIES,https://www.brightscope.com/form-5500/basic-info/417822/Safeway-Inc/13928738/Employee-Retirement-Plan-Of-Safeway-Inc-And-Its-Domestic-Subsidiaries/,SAFEWAY INC,12/31/2017 — 12/30/2018,12/01/1946,"$1,470,572,265",1,Single Employer,Yes,Yes,Trust,Trust,"16,872","2,851","12,780","32,503",455,"32,958","35,093",0,66,$0,$0,$0,$0,$0,$0,5918 Stoneridge Mall Road ,Pleasanton,CA,94588,(925) 467-3000,94-3019135,445110,Brian Dooley,Albertsons Companies Retirement Benefit Plans Committee,250 E. Parkcenter Blvd ,Boise,ID,83706,(925) 467-3000,81-3832793,MFS,"Investment management, Direct payment from the plan, Investment management fees paid indirectly by plan, Other fees",NONE,"$1,000,706",$0,"$1,000,706"
2,EMPLOYEE RETIREMENT PLAN OF SAFEWAY INC AND ITS DOMESTIC SUBSIDIARIES,https://www.brightscope.com/form-5500/basic-info/417822/Safeway-Inc/13928738/Employee-Retirement-Plan-Of-Safeway-Inc-And-Its-Domestic-Subsidiaries/,SAFEWAY INC,12/31/2017 — 12/30/2018,12/01/1946,"$1,470,572,265",1,Single Employer,Yes,Yes,Trust,Trust,"16,872","2,851","12,780","32,503",455,"32,958","35,093",0,66,$0,$0,$0,$0,$0,$0,5918 Stoneridge Mall Road ,Pleasanton,CA,94588,(925) 467-3000,94-3019135,445110,Brian Dooley,Albertsons Companies Retirement Benefit Plans Committee,250 E. Parkcenter Blvd ,Boise,ID,83706,(925) 467-3000,81-3832793,Aon Hewitt Investment Consulting,"Investment advisory (plan), Direct payment from the plan, Actuarial, Consulting (pension)",NONE,"$887,860",$0,"$887,860"
3,EMPLOYEE RETIREMENT PLAN OF SAFEWAY INC AND ITS DOMESTIC SUBSIDIARIES,https://www.brightscope.com/form-5500/basic-info/417822/Safeway-Inc/13928738/Employee-Retirement-Plan-Of-Safeway-Inc-And-Its-Domestic-Subsidiaries/,SAFEWAY INC,12/31/2017 — 12/30/2018,12/01/1946,"$1,470,572,265",1,Single Employer,Yes,Yes,Trust,Trust,"16,872","2,851","12,780","32,503",455,"32,958","35,093",0,66,$0,$0,$0,$0,$0,$0,5918 Stoneridge Mall Road ,Pleasanton,CA,94588,(925) 467-3000,94-3019135,445110,Brian Dooley,Albertsons Companies Retirement Benefit Plans Committee,250 E. Parkcenter Blvd ,Boise,ID,83706,(925) 467-3000,81-3832793,Morgan Stanley Investment Mgmt Inc,"Investment management, Direct payment from the plan, Soft dollars commissions",NONE,"$827,337",$0,"$827,337"
4,EMPLOYEE RETIREMENT PLAN OF SAFEWAY INC AND ITS DOMESTIC SUBSIDIARIES,https://www.brightscope.com/form-5500/basic-info/417822/Safeway-Inc/13928738/Employee-Retirement-Plan-Of-Safeway-Inc-And-Its-Domestic-Subsidiaries/,SAFEWAY INC,12/31/2017 — 12/30/2018,12/01/1946,"$1,470,572,265",1,Single Employer,Yes,Yes,Trust,Trust,"16,872","2,851","12,780","32,503",455,"32,958","35,093",0,66,$0,$0,$0,$0,$0,$0,5918 Stoneridge Mall Road ,Pleasanton,CA,94588,(925) 467-3000,94-3019135,445110,Brian Dooley,Albertsons Companies Retirement Benefit Plans Committee,250 E. Parkcenter Blvd ,Boise,ID,83706,(925) 467-3000,81-3832793,Snyder Capital Management Lp,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$740,860",$0,"$740,860"
5,EMPLOYEE RETIREMENT PLAN OF SAFEWAY INC AND ITS DOMESTIC SUBSIDIARIES,https://www.brightscope.com/form-5500/basic-info/417822/Safeway-Inc/13928738/Employee-Retirement-Plan-Of-Safeway-Inc-And-Its-Domestic-Subsidiaries/,SAFEWAY INC,12/31/2017 — 12/30/2018,12/01/1946,"$1,470,572,265",1,Single Employer,Yes,Yes,Trust,Trust,"16,872","2,851","12,780","32,503",455,"32,958","35,093",0,66,$0,$0,$0,$0,$0,$0,5918 Stoneridge Mall Road ,Pleasanton,CA,94588,(925) 467-3000,94-3019135,445110,Brian Dooley,Albertsons Companies Retirement Benefit Plans Committee,250 E. Parkcenter Blvd ,Boise,ID,83706,(925) 467-3000,81-3832793,Capital Guardian Trust Company,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$619,452",$0,"$619,452"
6,EMPLOYEE RETIREMENT PLAN OF SAFEWAY INC AND ITS DOMESTIC SUBSIDIARIES,https://www.brightscope.com/form-5500/basic-info/417822/Safeway-Inc/13928738/Employee-Retirement-Plan-Of-Safeway-Inc-And-Its-Domestic-Subsidiaries/,SAFEWAY INC,12/31/2017 — 12/30/2018,12/01/1946,"$1,470,572,265",1,Single Employer,Yes,Yes,Trust,Trust,"16,872","2,851","12,780","32,503",455,"32,958","35,093",0,66,$0,$0,$0,$0,$0,$0,5918 Stoneridge Mall Road ,Pleasanton,CA,94588,(925) 467-3000,94-3019135,445110,Brian Dooley,Albertsons Companies Retirement Benefit Plans Committee,250 E. Parkcenter Blvd ,Boise,ID,83706,(925) 467-3000,81-3832793,The Northern Trust Company,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan, Investment management fees paid indirectly by plan, Other fees",NONE,"$606,221",$0,"$606,221"
7,EMPLOYEE RETIREMENT PLAN OF SAFEWAY INC AND ITS DOMESTIC SUBSIDIARIES,https://www.brightscope.com/form-5500/basic-info/417822/Safeway-Inc/13928738/Employee-Retirement-Plan-Of-Safeway-Inc-And-Its-Domestic-Subsidiaries/,SAFEWAY INC,12/31/2017 — 12/30/2018,12/01/1946,"$1,470,572,265",1,Single Employer,Yes,Yes,Trust,Trust,"16,872","2,851","12,780","32,503",455,"32,958","35,093",0,66,$0,$0,$0,$0,$0,$0,5918 Stoneridge Mall Road ,Pleasanton,CA,94588,(925) 467-3000,94-3019135,445110,Brian Dooley,Albertsons Companies Retirement Benefit Plans Committee,250 E. Parkcenter Blvd ,Boise,ID,83706,(925) 467-3000,81-3832793,Pacific Invstmnt Management Co LLC,"Investment advisory (plan), Investment management, Other services, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$581,884",$0,"$581,884"
8,EMPLOYEE RETIREMENT PLAN OF SAFEWAY INC AND ITS DOMESTIC SUBSIDIARIES,https://www.brightscope.com/form-5500/basic-info/417822/Safeway-Inc/13928738/Employee-Retirement-Plan-Of-Safeway-Inc-And-Its-Domestic-Subsidiaries/,SAFEWAY INC,12/31/2017 — 12/30/2018,12/01/1946,"$1,470,572,265",1,Single Employer,Yes,Yes,Trust,Trust,"16,872","2,851","12,780","32,503",455,"32,958","35,093",0,66,$0,$0,$0,$0,$0,$0,5918 Stoneridge Mall Road ,Pleasanton,CA,94588,(925) 467-3000,94-3019135,445110,Brian Dooley,Albertsons Companies Retirement Benefit Plans Committee,250 E. Parkcenter Blvd ,Boise,ID,83706,(925) 467-3000,81-3832793,Wells Capital Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$573,678",$0,"$573,678"
9,EMPLOYEE RETIREMENT PLAN OF SAFEWAY INC AND ITS DOMESTIC SUBSIDIARIES,https://www.brightscope.com/form-5500/basic-info/417822/Safeway-Inc/13928738/Employee-Retirement-Plan-Of-Safeway-Inc-And-Its-Domestic-Subsidiaries/,SAFEWAY INC,12/31/2017 — 12/30/2018,12/01/1946,"$1,470,572,265",1,Single Employer,Yes,Yes,Trust,Trust,"16,872","2,851","12,780","32,503",455,"32,958","35,093",0,66,$0,$0,$0,$0,$0,$0,5918 Stoneridge Mall Road ,Pleasanton,CA,94588,(925) 467-3000,94-3019135,445110,Brian Dooley,Albertsons Companies Retirement Benefit Plans Committee,250 E. Parkcenter Blvd ,Boise,ID,83706,(925) 467-3000,81-3832793,Numeric Investors LLC,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$435,223",$0,"$435,223"
