,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 06/30/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 07/01/2017,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,EMPLOYEES' RETIREMENT PLAN OF DUKE UNIVERSITY,https://www.brightscope.com/form-5500/basic-info/582220/Duke-University/13752311/Employees-Retirement-Plan-Of-Duke-University/,Duke University,07/01/2017 — 06/30/2018,07/01/1959,"$1,806,389,993",2,Single Employer,No,Yes,Trust,Trust,"19,898","6,029","4,884","30,811",451,"31,262","29,944",0,935,$0,$0,$0,$0,$0,$0,"705 Broad Street, Box 90502 ",Durham,NC,27708-0502,(919) 684-8111,56-0532129,611000,Kyle Cavanaugh,"Retirement Board C/O Kyle Cavanaugh, VP, Administration","705 Broad Street, Box 90502 ",Durham,NC,27708-0502,(919) 684-5600,56-1448678,"Conduent Hr Consulting, LLC","Actuarial, Recordkeeping and information management (computing, tabulating, data processing, etc.), Consulting (pension), Direct payment from the plan",NONE,"$331,151",$0,"$331,151"
1,EMPLOYEES' RETIREMENT PLAN OF DUKE UNIVERSITY,https://www.brightscope.com/form-5500/basic-info/582220/Duke-University/13752311/Employees-Retirement-Plan-Of-Duke-University/,Duke University,07/01/2017 — 06/30/2018,07/01/1959,"$1,806,389,993",2,Single Employer,No,Yes,Trust,Trust,"19,898","6,029","4,884","30,811",451,"31,262","29,944",0,935,$0,$0,$0,$0,$0,$0,"705 Broad Street, Box 90502 ",Durham,NC,27708-0502,(919) 684-8111,56-0532129,611000,Kyle Cavanaugh,"Retirement Board C/O Kyle Cavanaugh, VP, Administration","705 Broad Street, Box 90502 ",Durham,NC,27708-0502,(919) 684-5600,56-1448678,Duke University (Eia),"Accounting (including auditing), Direct payment from the plan",Employer,"$307,436",$0,"$307,436"
2,EMPLOYEES' RETIREMENT PLAN OF DUKE UNIVERSITY,https://www.brightscope.com/form-5500/basic-info/582220/Duke-University/13752311/Employees-Retirement-Plan-Of-Duke-University/,Duke University,07/01/2017 — 06/30/2018,07/01/1959,"$1,806,389,993",2,Single Employer,No,Yes,Trust,Trust,"19,898","6,029","4,884","30,811",451,"31,262","29,944",0,935,$0,$0,$0,$0,$0,$0,"705 Broad Street, Box 90502 ",Durham,NC,27708-0502,(919) 684-8111,56-0532129,611000,Kyle Cavanaugh,"Retirement Board C/O Kyle Cavanaugh, VP, Administration","705 Broad Street, Box 90502 ",Durham,NC,27708-0502,(919) 684-5600,56-1448678,The Bank of New York Mellon,"Custodial (other than securities), Direct payment from the plan",NONE,"$251,583",$0,"$251,583"
3,EMPLOYEES' RETIREMENT PLAN OF DUKE UNIVERSITY,https://www.brightscope.com/form-5500/basic-info/582220/Duke-University/13752311/Employees-Retirement-Plan-Of-Duke-University/,Duke University,07/01/2017 — 06/30/2018,07/01/1959,"$1,806,389,993",2,Single Employer,No,Yes,Trust,Trust,"19,898","6,029","4,884","30,811",451,"31,262","29,944",0,935,$0,$0,$0,$0,$0,$0,"705 Broad Street, Box 90502 ",Durham,NC,27708-0502,(919) 684-8111,56-0532129,611000,Kyle Cavanaugh,"Retirement Board C/O Kyle Cavanaugh, VP, Administration","705 Broad Street, Box 90502 ",Durham,NC,27708-0502,(919) 684-5600,56-1448678,Parametric Portfolio Associates LLC,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$213,252",$0,"$213,252"
4,EMPLOYEES' RETIREMENT PLAN OF DUKE UNIVERSITY,https://www.brightscope.com/form-5500/basic-info/582220/Duke-University/13752311/Employees-Retirement-Plan-Of-Duke-University/,Duke University,07/01/2017 — 06/30/2018,07/01/1959,"$1,806,389,993",2,Single Employer,No,Yes,Trust,Trust,"19,898","6,029","4,884","30,811",451,"31,262","29,944",0,935,$0,$0,$0,$0,$0,$0,"705 Broad Street, Box 90502 ",Durham,NC,27708-0502,(919) 684-8111,56-0532129,611000,Kyle Cavanaugh,"Retirement Board C/O Kyle Cavanaugh, VP, Administration","705 Broad Street, Box 90502 ",Durham,NC,27708-0502,(919) 684-5600,56-1448678,"Rgm Capital, LLC","Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$198,680",$0,"$198,680"
5,EMPLOYEES' RETIREMENT PLAN OF DUKE UNIVERSITY,https://www.brightscope.com/form-5500/basic-info/582220/Duke-University/13752311/Employees-Retirement-Plan-Of-Duke-University/,Duke University,07/01/2017 — 06/30/2018,07/01/1959,"$1,806,389,993",2,Single Employer,No,Yes,Trust,Trust,"19,898","6,029","4,884","30,811",451,"31,262","29,944",0,935,$0,$0,$0,$0,$0,$0,"705 Broad Street, Box 90502 ",Durham,NC,27708-0502,(919) 684-8111,56-0532129,611000,Kyle Cavanaugh,"Retirement Board C/O Kyle Cavanaugh, VP, Administration","705 Broad Street, Box 90502 ",Durham,NC,27708-0502,(919) 684-5600,56-1448678,"Praesidium Investment Mgmt Co., LLC","Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$178,021",$0,"$178,021"
6,EMPLOYEES' RETIREMENT PLAN OF DUKE UNIVERSITY,https://www.brightscope.com/form-5500/basic-info/582220/Duke-University/13752311/Employees-Retirement-Plan-Of-Duke-University/,Duke University,07/01/2017 — 06/30/2018,07/01/1959,"$1,806,389,993",2,Single Employer,No,Yes,Trust,Trust,"19,898","6,029","4,884","30,811",451,"31,262","29,944",0,935,$0,$0,$0,$0,$0,$0,"705 Broad Street, Box 90502 ",Durham,NC,27708-0502,(919) 684-8111,56-0532129,611000,Kyle Cavanaugh,"Retirement Board C/O Kyle Cavanaugh, VP, Administration","705 Broad Street, Box 90502 ",Durham,NC,27708-0502,(919) 684-5600,56-1448678,Misaki Capital Inc.,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$173,734",$0,"$173,734"
7,EMPLOYEES' RETIREMENT PLAN OF DUKE UNIVERSITY,https://www.brightscope.com/form-5500/basic-info/582220/Duke-University/13752311/Employees-Retirement-Plan-Of-Duke-University/,Duke University,07/01/2017 — 06/30/2018,07/01/1959,"$1,806,389,993",2,Single Employer,No,Yes,Trust,Trust,"19,898","6,029","4,884","30,811",451,"31,262","29,944",0,935,$0,$0,$0,$0,$0,$0,"705 Broad Street, Box 90502 ",Durham,NC,27708-0502,(919) 684-8111,56-0532129,611000,Kyle Cavanaugh,"Retirement Board C/O Kyle Cavanaugh, VP, Administration","705 Broad Street, Box 90502 ",Durham,NC,27708-0502,(919) 684-5600,56-1448678,Gilead Capital Lp,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment advisory (plan)",NONE,"$173,725",$0,"$173,725"
8,EMPLOYEES' RETIREMENT PLAN OF DUKE UNIVERSITY,https://www.brightscope.com/form-5500/basic-info/582220/Duke-University/13752311/Employees-Retirement-Plan-Of-Duke-University/,Duke University,07/01/2017 — 06/30/2018,07/01/1959,"$1,806,389,993",2,Single Employer,No,Yes,Trust,Trust,"19,898","6,029","4,884","30,811",451,"31,262","29,944",0,935,$0,$0,$0,$0,$0,$0,"705 Broad Street, Box 90502 ",Durham,NC,27708-0502,(919) 684-8111,56-0532129,611000,Kyle Cavanaugh,"Retirement Board C/O Kyle Cavanaugh, VP, Administration","705 Broad Street, Box 90502 ",Durham,NC,27708-0502,(919) 684-5600,56-1448678,Keywise Capital Management Ltd,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Foreign entity (...)",NONE,"$168,126",$0,"$168,126"
9,EMPLOYEES' RETIREMENT PLAN OF DUKE UNIVERSITY,https://www.brightscope.com/form-5500/basic-info/582220/Duke-University/13752311/Employees-Retirement-Plan-Of-Duke-University/,Duke University,07/01/2017 — 06/30/2018,07/01/1959,"$1,806,389,993",2,Single Employer,No,Yes,Trust,Trust,"19,898","6,029","4,884","30,811",451,"31,262","29,944",0,935,$0,$0,$0,$0,$0,$0,"705 Broad Street, Box 90502 ",Durham,NC,27708-0502,(919) 684-8111,56-0532129,611000,Kyle Cavanaugh,"Retirement Board C/O Kyle Cavanaugh, VP, Administration","705 Broad Street, Box 90502 ",Durham,NC,27708-0502,(919) 684-5600,56-1448678,"Permian Investment Partners, Lp","Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$161,850",$0,"$161,850"
