,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,ERICSSON US PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/30272/Ericsson-Inc/13914423/Ericsson-Us-Pension-Plan/2018/,Ericsson Inc. Attn:  Benefits Department,01/01/2018 — 12/31/2018,07/01/1980,"$2,218,455,718",7,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,880,"6,511","3,844","11,235",641,"11,876","12,241",0,0,$0,$0,$0,$0,$0,$0,6300 Legacy Drive ,Plano,TX,75024,(972) 583-0085,06-1119960,517000,Toby Todd,Towers Watson,"Actuarial, Plan Administrator, Consulting (pension), Participant communication, Direct payment from the plan",NONE,"$1,866,441",$0,"$1,866,441"
1,ERICSSON US PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/30272/Ericsson-Inc/13914423/Ericsson-Us-Pension-Plan/2018/,Ericsson Inc. Attn:  Benefits Department,01/01/2018 — 12/31/2018,07/01/1980,"$2,218,455,718",7,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,880,"6,511","3,844","11,235",641,"11,876","12,241",0,0,$0,$0,$0,$0,$0,$0,6300 Legacy Drive ,Plano,TX,75024,(972) 583-0085,06-1119960,517000,Toby Todd,Legal&General Invstmnt Mgmt America,"Investment management, Investment management fees paid directly by plan",NONE,"$1,530,772",$0,"$1,530,772"
2,ERICSSON US PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/30272/Ericsson-Inc/13914423/Ericsson-Us-Pension-Plan/2018/,Ericsson Inc. Attn:  Benefits Department,01/01/2018 — 12/31/2018,07/01/1980,"$2,218,455,718",7,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,880,"6,511","3,844","11,235",641,"11,876","12,241",0,0,$0,$0,$0,$0,$0,$0,6300 Legacy Drive ,Plano,TX,75024,(972) 583-0085,06-1119960,517000,Toby Todd,Pimco,"Investment advisory (plan), Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Other investment fees and expenses",NONE,"$1,067,133",$0,"$1,067,133"
3,ERICSSON US PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/30272/Ericsson-Inc/13914423/Ericsson-Us-Pension-Plan/2018/,Ericsson Inc. Attn:  Benefits Department,01/01/2018 — 12/31/2018,07/01/1980,"$2,218,455,718",7,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,880,"6,511","3,844","11,235",641,"11,876","12,241",0,0,$0,$0,$0,$0,$0,$0,6300 Legacy Drive ,Plano,TX,75024,(972) 583-0085,06-1119960,517000,Toby Todd,"Goldman Sachs Asset Management, Lp","Investment management, Investment management fees paid directly by plan, Non-monetary compensation",NONE,"$1,028,413",$0,"$1,028,413"
4,ERICSSON US PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/30272/Ericsson-Inc/13914423/Ericsson-Us-Pension-Plan/2018/,Ericsson Inc. Attn:  Benefits Department,01/01/2018 — 12/31/2018,07/01/1980,"$2,218,455,718",7,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,880,"6,511","3,844","11,235",641,"11,876","12,241",0,0,$0,$0,$0,$0,$0,$0,6300 Legacy Drive ,Plano,TX,75024,(972) 583-0085,06-1119960,517000,Toby Todd,"Pgim, Inc.","Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$1,019,972",$0,"$1,019,972"
5,ERICSSON US PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/30272/Ericsson-Inc/13914423/Ericsson-Us-Pension-Plan/2018/,Ericsson Inc. Attn:  Benefits Department,01/01/2018 — 12/31/2018,07/01/1980,"$2,218,455,718",7,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,880,"6,511","3,844","11,235",641,"11,876","12,241",0,0,$0,$0,$0,$0,$0,$0,6300 Legacy Drive ,Plano,TX,75024,(972) 583-0085,06-1119960,517000,Toby Todd,"Capfinancial Partners, LLC","Investment advisory (plan), Direct payment from the plan",NONE,"$365,659",$0,"$365,659"
6,ERICSSON US PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/30272/Ericsson-Inc/13914423/Ericsson-Us-Pension-Plan/2018/,Ericsson Inc. Attn:  Benefits Department,01/01/2018 — 12/31/2018,07/01/1980,"$2,218,455,718",7,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,880,"6,511","3,844","11,235",641,"11,876","12,241",0,0,$0,$0,$0,$0,$0,$0,6300 Legacy Drive ,Plano,TX,75024,(972) 583-0085,06-1119960,517000,Toby Todd,"Barrow, Henley, Mewhinney & Strauss","Investment advisory (plan), Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$198,383",$0,"$198,383"
7,ERICSSON US PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/30272/Ericsson-Inc/13914423/Ericsson-Us-Pension-Plan/2018/,Ericsson Inc. Attn:  Benefits Department,01/01/2018 — 12/31/2018,07/01/1980,"$2,218,455,718",7,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,880,"6,511","3,844","11,235",641,"11,876","12,241",0,0,$0,$0,$0,$0,$0,$0,6300 Legacy Drive ,Plano,TX,75024,(972) 583-0085,06-1119960,517000,Toby Todd,Agincourt Capital Mgmt LLC,"Investment management, Investment management fees paid directly by plan",NONE,"$149,898",$0,"$149,898"
8,ERICSSON US PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/30272/Ericsson-Inc/13914423/Ericsson-Us-Pension-Plan/2018/,Ericsson Inc. Attn:  Benefits Department,01/01/2018 — 12/31/2018,07/01/1980,"$2,218,455,718",7,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,880,"6,511","3,844","11,235",641,"11,876","12,241",0,0,$0,$0,$0,$0,$0,$0,6300 Legacy Drive ,Plano,TX,75024,(972) 583-0085,06-1119960,517000,Toby Todd,"Jennison Associates, Inc.","Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$87,236",$0,"$87,236"
9,ERICSSON US PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/30272/Ericsson-Inc/13914423/Ericsson-Us-Pension-Plan/2018/,Ericsson Inc. Attn:  Benefits Department,01/01/2018 — 12/31/2018,07/01/1980,"$2,218,455,718",7,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,880,"6,511","3,844","11,235",641,"11,876","12,241",0,0,$0,$0,$0,$0,$0,$0,6300 Legacy Drive ,Plano,TX,75024,(972) 583-0085,06-1119960,517000,Toby Todd,"Lord, Abbott & Co, LLC","Investment management, Investment management fees paid directly by plan, Soft dollars commissions",Investment Manager,"$68,248",$0,"$68,248"
