,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,EXELON CORPORATION RETIREMENT PROGRAM,https://www.brightscope.com/form-5500/basic-info/115940/Exelon-Corporation/13913716/Exelon-Corporation-Retirement-Program/2018/,Exelon Corporation,01/01/2018 — 12/31/2018,01/01/1912,"$10,418,108,491",2,Single Employer,Yes,Yes,Trust,Trust,"4,906","18,771","2,285","25,962","4,920","30,882","31,404",0,0,$0,$0,$0,$0,$0,$0,"10 S. Dearborn St., 50th Floor ",Chicago,IL,60603,(312) 394-2819,23-2990190,221100,William Bergman,Exelon Business Services Co,Plan Administrator,Administrator,"$3,388,788","$2,436","$3,391,224"
1,EXELON CORPORATION RETIREMENT PROGRAM,https://www.brightscope.com/form-5500/basic-info/115940/Exelon-Corporation/13913716/Exelon-Corporation-Retirement-Program/2018/,Exelon Corporation,01/01/2018 — 12/31/2018,01/01/1912,"$10,418,108,491",2,Single Employer,Yes,Yes,Trust,Trust,"4,906","18,771","2,285","25,962","4,920","30,882","31,404",0,0,$0,$0,$0,$0,$0,$0,"10 S. Dearborn St., 50th Floor ",Chicago,IL,60603,(312) 394-2819,23-2990190,221100,William Bergman,Alight Solutions LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.)",Record Keeper,"$2,243,002",$0,"$2,243,002"
2,EXELON CORPORATION RETIREMENT PROGRAM,https://www.brightscope.com/form-5500/basic-info/115940/Exelon-Corporation/13913716/Exelon-Corporation-Retirement-Program/2018/,Exelon Corporation,01/01/2018 — 12/31/2018,01/01/1912,"$10,418,108,491",2,Single Employer,Yes,Yes,Trust,Trust,"4,906","18,771","2,285","25,962","4,920","30,882","31,404",0,0,$0,$0,$0,$0,$0,$0,"10 S. Dearborn St., 50th Floor ",Chicago,IL,60603,(312) 394-2819,23-2990190,221100,William Bergman,Blackrock Institutional Trust Co,"Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Soft dollars commissions",Investment Management,"$1,913,175",$0,"$1,913,175"
3,EXELON CORPORATION RETIREMENT PROGRAM,https://www.brightscope.com/form-5500/basic-info/115940/Exelon-Corporation/13913716/Exelon-Corporation-Retirement-Program/2018/,Exelon Corporation,01/01/2018 — 12/31/2018,01/01/1912,"$10,418,108,491",2,Single Employer,Yes,Yes,Trust,Trust,"4,906","18,771","2,285","25,962","4,920","30,882","31,404",0,0,$0,$0,$0,$0,$0,$0,"10 S. Dearborn St., 50th Floor ",Chicago,IL,60603,(312) 394-2819,23-2990190,221100,William Bergman,Northern Trust Corporation,"Custodial (securities), Trustee (bank, trust company, or similar financial institution), Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Float revenue, Soft dollars commissions",Trustee/Custodian,"$1,788,670",$0,"$1,788,670"
4,EXELON CORPORATION RETIREMENT PROGRAM,https://www.brightscope.com/form-5500/basic-info/115940/Exelon-Corporation/13913716/Exelon-Corporation-Retirement-Program/2018/,Exelon Corporation,01/01/2018 — 12/31/2018,01/01/1912,"$10,418,108,491",2,Single Employer,Yes,Yes,Trust,Trust,"4,906","18,771","2,285","25,962","4,920","30,882","31,404",0,0,$0,$0,$0,$0,$0,$0,"10 S. Dearborn St., 50th Floor ",Chicago,IL,60603,(312) 394-2819,23-2990190,221100,William Bergman,Towers Watson Delaware Inc,Actuarial,Actuary,"$537,519",$0,"$537,519"
5,EXELON CORPORATION RETIREMENT PROGRAM,https://www.brightscope.com/form-5500/basic-info/115940/Exelon-Corporation/13913716/Exelon-Corporation-Retirement-Program/2018/,Exelon Corporation,01/01/2018 — 12/31/2018,01/01/1912,"$10,418,108,491",2,Single Employer,Yes,Yes,Trust,Trust,"4,906","18,771","2,285","25,962","4,920","30,882","31,404",0,0,$0,$0,$0,$0,$0,$0,"10 S. Dearborn St., 50th Floor ",Chicago,IL,60603,(312) 394-2819,23-2990190,221100,William Bergman,"Albourne America, LLC","Consulting (general), Consulting fees",Consultant,"$172,315",$0,"$172,315"
6,EXELON CORPORATION RETIREMENT PROGRAM,https://www.brightscope.com/form-5500/basic-info/115940/Exelon-Corporation/13913716/Exelon-Corporation-Retirement-Program/2018/,Exelon Corporation,01/01/2018 — 12/31/2018,01/01/1912,"$10,418,108,491",2,Single Employer,Yes,Yes,Trust,Trust,"4,906","18,771","2,285","25,962","4,920","30,882","31,404",0,0,$0,$0,$0,$0,$0,$0,"10 S. Dearborn St., 50th Floor ",Chicago,IL,60603,(312) 394-2819,23-2990190,221100,William Bergman,Ing Investment Mgmt Co LLC,"Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Soft dollars commissions",Investment Management,"$131,450",$0,"$131,450"
7,EXELON CORPORATION RETIREMENT PROGRAM,https://www.brightscope.com/form-5500/basic-info/115940/Exelon-Corporation/13913716/Exelon-Corporation-Retirement-Program/2018/,Exelon Corporation,01/01/2018 — 12/31/2018,01/01/1912,"$10,418,108,491",2,Single Employer,Yes,Yes,Trust,Trust,"4,906","18,771","2,285","25,962","4,920","30,882","31,404",0,0,$0,$0,$0,$0,$0,$0,"10 S. Dearborn St., 50th Floor ",Chicago,IL,60603,(312) 394-2819,23-2990190,221100,William Bergman,Caissa LLC,Other services,Other Services,"$98,333",$0,"$98,333"
8,EXELON CORPORATION RETIREMENT PROGRAM,https://www.brightscope.com/form-5500/basic-info/115940/Exelon-Corporation/13913716/Exelon-Corporation-Retirement-Program/2018/,Exelon Corporation,01/01/2018 — 12/31/2018,01/01/1912,"$10,418,108,491",2,Single Employer,Yes,Yes,Trust,Trust,"4,906","18,771","2,285","25,962","4,920","30,882","31,404",0,0,$0,$0,$0,$0,$0,$0,"10 S. Dearborn St., 50th Floor ",Chicago,IL,60603,(312) 394-2819,23-2990190,221100,William Bergman,Bloomberg Finance Lp,Other services,Other Services,"$65,738",$0,"$65,738"
9,EXELON CORPORATION RETIREMENT PROGRAM,https://www.brightscope.com/form-5500/basic-info/115940/Exelon-Corporation/13913716/Exelon-Corporation-Retirement-Program/2018/,Exelon Corporation,01/01/2018 — 12/31/2018,01/01/1912,"$10,418,108,491",2,Single Employer,Yes,Yes,Trust,Trust,"4,906","18,771","2,285","25,962","4,920","30,882","31,404",0,0,$0,$0,$0,$0,$0,$0,"10 S. Dearborn St., 50th Floor ",Chicago,IL,60603,(312) 394-2819,23-2990190,221100,William Bergman,Plante Moran,"Consulting (general), Consulting fees",Consultant,"$54,140",$0,"$54,140"
10,EXELON CORPORATION RETIREMENT PROGRAM,https://www.brightscope.com/form-5500/basic-info/115940/Exelon-Corporation/13913716/Exelon-Corporation-Retirement-Program/2018/,Exelon Corporation,01/01/2018 — 12/31/2018,01/01/1912,"$10,418,108,491",2,Single Employer,Yes,Yes,Trust,Trust,"4,906","18,771","2,285","25,962","4,920","30,882","31,404",0,0,$0,$0,$0,$0,$0,$0,"10 S. Dearborn St., 50th Floor ",Chicago,IL,60603,(312) 394-2819,23-2990190,221100,William Bergman,Accenture,"Consulting (general), Consulting fees",Consultant,"$33,541",$0,"$33,541"
11,EXELON CORPORATION RETIREMENT PROGRAM,https://www.brightscope.com/form-5500/basic-info/115940/Exelon-Corporation/13913716/Exelon-Corporation-Retirement-Program/2018/,Exelon Corporation,01/01/2018 — 12/31/2018,01/01/1912,"$10,418,108,491",2,Single Employer,Yes,Yes,Trust,Trust,"4,906","18,771","2,285","25,962","4,920","30,882","31,404",0,0,$0,$0,$0,$0,$0,$0,"10 S. Dearborn St., 50th Floor ",Chicago,IL,60603,(312) 394-2819,23-2990190,221100,William Bergman,"Mitchel & Titus, LLP",Accounting (including auditing),Auditor,"$27,400",$0,"$27,400"
12,EXELON CORPORATION RETIREMENT PROGRAM,https://www.brightscope.com/form-5500/basic-info/115940/Exelon-Corporation/13913716/Exelon-Corporation-Retirement-Program/2018/,Exelon Corporation,01/01/2018 — 12/31/2018,01/01/1912,"$10,418,108,491",2,Single Employer,Yes,Yes,Trust,Trust,"4,906","18,771","2,285","25,962","4,920","30,882","31,404",0,0,$0,$0,$0,$0,$0,$0,"10 S. Dearborn St., 50th Floor ",Chicago,IL,60603,(312) 394-2819,23-2990190,221100,William Bergman,Invesco Private Capital,"Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",Investment Management,"$22,384",$0,"$22,384"
13,EXELON CORPORATION RETIREMENT PROGRAM,https://www.brightscope.com/form-5500/basic-info/115940/Exelon-Corporation/13913716/Exelon-Corporation-Retirement-Program/2018/,Exelon Corporation,01/01/2018 — 12/31/2018,01/01/1912,"$10,418,108,491",2,Single Employer,Yes,Yes,Trust,Trust,"4,906","18,771","2,285","25,962","4,920","30,882","31,404",0,0,$0,$0,$0,$0,$0,$0,"10 S. Dearborn St., 50th Floor ",Chicago,IL,60603,(312) 394-2819,23-2990190,221100,William Bergman,Financial Risk Mitigation Inc,"Consulting (general), Consulting fees",Consultant,"$21,755",$0,"$21,755"
14,EXELON CORPORATION RETIREMENT PROGRAM,https://www.brightscope.com/form-5500/basic-info/115940/Exelon-Corporation/13913716/Exelon-Corporation-Retirement-Program/2018/,Exelon Corporation,01/01/2018 — 12/31/2018,01/01/1912,"$10,418,108,491",2,Single Employer,Yes,Yes,Trust,Trust,"4,906","18,771","2,285","25,962","4,920","30,882","31,404",0,0,$0,$0,$0,$0,$0,$0,"10 S. Dearborn St., 50th Floor ",Chicago,IL,60603,(312) 394-2819,23-2990190,221100,William Bergman,Evestment Allicance LLC,"Consulting (general), Consulting fees",Consultant,"$15,299",$0,"$15,299"
15,EXELON CORPORATION RETIREMENT PROGRAM,https://www.brightscope.com/form-5500/basic-info/115940/Exelon-Corporation/13913716/Exelon-Corporation-Retirement-Program/2018/,Exelon Corporation,01/01/2018 — 12/31/2018,01/01/1912,"$10,418,108,491",2,Single Employer,Yes,Yes,Trust,Trust,"4,906","18,771","2,285","25,962","4,920","30,882","31,404",0,0,$0,$0,$0,$0,$0,$0,"10 S. Dearborn St., 50th Floor ",Chicago,IL,60603,(312) 394-2819,23-2990190,221100,William Bergman,Cambridge Associates LLC,"Investment management, Investment management fees paid directly by plan",Investment Management,"$13,102",$0,"$13,102"
16,EXELON CORPORATION RETIREMENT PROGRAM,https://www.brightscope.com/form-5500/basic-info/115940/Exelon-Corporation/13913716/Exelon-Corporation-Retirement-Program/2018/,Exelon Corporation,01/01/2018 — 12/31/2018,01/01/1912,"$10,418,108,491",2,Single Employer,Yes,Yes,Trust,Trust,"4,906","18,771","2,285","25,962","4,920","30,882","31,404",0,0,$0,$0,$0,$0,$0,$0,"10 S. Dearborn St., 50th Floor ",Chicago,IL,60603,(312) 394-2819,23-2990190,221100,William Bergman,Abel Noser Solutions,Other services,Other Services,"$11,721",$0,"$11,721"
17,EXELON CORPORATION RETIREMENT PROGRAM,https://www.brightscope.com/form-5500/basic-info/115940/Exelon-Corporation/13913716/Exelon-Corporation-Retirement-Program/2018/,Exelon Corporation,01/01/2018 — 12/31/2018,01/01/1912,"$10,418,108,491",2,Single Employer,Yes,Yes,Trust,Trust,"4,906","18,771","2,285","25,962","4,920","30,882","31,404",0,0,$0,$0,$0,$0,$0,$0,"10 S. Dearborn St., 50th Floor ",Chicago,IL,60603,(312) 394-2819,23-2990190,221100,William Bergman,Morgan Stanley Capital Internationa,Other services,Other Servies,"$8,536",$0,"$8,536"
18,EXELON CORPORATION RETIREMENT PROGRAM,https://www.brightscope.com/form-5500/basic-info/115940/Exelon-Corporation/13913716/Exelon-Corporation-Retirement-Program/2018/,Exelon Corporation,01/01/2018 — 12/31/2018,01/01/1912,"$10,418,108,491",2,Single Employer,Yes,Yes,Trust,Trust,"4,906","18,771","2,285","25,962","4,920","30,882","31,404",0,0,$0,$0,$0,$0,$0,$0,"10 S. Dearborn St., 50th Floor ",Chicago,IL,60603,(312) 394-2819,23-2990190,221100,William Bergman,Total,Total,Total,"$10,546,868","$2,436","$10,549,304"
