,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,EXXONMOBIL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/55063/Exxon-Mobil-Corporation/13913710/Exxonmobil-Pension-Plan/2018/,Exxon Mobil Corporation,01/01/2018 — 12/31/2018,01/01/1962,"$12,142,000,000",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"28,940","24,556","18,987","72,483","4,742","77,225","79,944",0,458,$0,$0,$0,$0,$0,$0,P O Box 64111 ,Spring,TX,77387-4111,(832) 624-6731,13-5409005,324110,Santiago Raul Bianchi,Administrator - Benefits,Po Box 64111 ,Spring,TX,77387-4111,(832) 624-6731,13-1865379,Conduent Hr Services LLC,"Contract Administrator, Direct payment from the plan",Affil. of Party In Int.,"$6,810,544","$91,800","$6,902,344"
1,EXXONMOBIL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/55063/Exxon-Mobil-Corporation/13913710/Exxonmobil-Pension-Plan/2018/,Exxon Mobil Corporation,01/01/2018 — 12/31/2018,01/01/1962,"$12,142,000,000",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"28,940","24,556","18,987","72,483","4,742","77,225","79,944",0,458,$0,$0,$0,$0,$0,$0,P O Box 64111 ,Spring,TX,77387-4111,(832) 624-6731,13-5409005,324110,Santiago Raul Bianchi,Administrator - Benefits,Po Box 64111 ,Spring,TX,77387-4111,(832) 624-6731,13-1865379,"Nova Pension Consulting, Lp","Consulting (pension), Direct payment from the plan, Consulting fees",Affil. of Party In Int.,"$3,216,240",$0,"$3,216,240"
2,EXXONMOBIL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/55063/Exxon-Mobil-Corporation/13913710/Exxonmobil-Pension-Plan/2018/,Exxon Mobil Corporation,01/01/2018 — 12/31/2018,01/01/1962,"$12,142,000,000",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"28,940","24,556","18,987","72,483","4,742","77,225","79,944",0,458,$0,$0,$0,$0,$0,$0,P O Box 64111 ,Spring,TX,77387-4111,(832) 624-6731,13-5409005,324110,Santiago Raul Bianchi,Administrator - Benefits,Po Box 64111 ,Spring,TX,77387-4111,(832) 624-6731,13-1865379,Conduent Hr Consulting LLC,"Actuarial, Other services, Direct payment from the plan, Other fees",Affil. of Party In Int.,"$1,018,554","$204,904","$1,223,458"
3,EXXONMOBIL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/55063/Exxon-Mobil-Corporation/13913710/Exxonmobil-Pension-Plan/2018/,Exxon Mobil Corporation,01/01/2018 — 12/31/2018,01/01/1962,"$12,142,000,000",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"28,940","24,556","18,987","72,483","4,742","77,225","79,944",0,458,$0,$0,$0,$0,$0,$0,P O Box 64111 ,Spring,TX,77387-4111,(832) 624-6731,13-5409005,324110,Santiago Raul Bianchi,Administrator - Benefits,Po Box 64111 ,Spring,TX,77387-4111,(832) 624-6731,13-1865379,Aetna Life Insurance Co.,"Insurance services, Direct payment from the plan, Other insurance fees and expenses",Affil. of Party In Int.,"$989,832",$0,"$989,832"
4,EXXONMOBIL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/55063/Exxon-Mobil-Corporation/13913710/Exxonmobil-Pension-Plan/2018/,Exxon Mobil Corporation,01/01/2018 — 12/31/2018,01/01/1962,"$12,142,000,000",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"28,940","24,556","18,987","72,483","4,742","77,225","79,944",0,458,$0,$0,$0,$0,$0,$0,P O Box 64111 ,Spring,TX,77387-4111,(832) 624-6731,13-5409005,324110,Santiago Raul Bianchi,Administrator - Benefits,Po Box 64111 ,Spring,TX,77387-4111,(832) 624-6731,13-1865379,Blackrock Insitutional Trust Co.,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",Affil. of Party In Int.,"$658,356",$0,"$658,356"
5,EXXONMOBIL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/55063/Exxon-Mobil-Corporation/13913710/Exxonmobil-Pension-Plan/2018/,Exxon Mobil Corporation,01/01/2018 — 12/31/2018,01/01/1962,"$12,142,000,000",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"28,940","24,556","18,987","72,483","4,742","77,225","79,944",0,458,$0,$0,$0,$0,$0,$0,P O Box 64111 ,Spring,TX,77387-4111,(832) 624-6731,13-5409005,324110,Santiago Raul Bianchi,Administrator - Benefits,Po Box 64111 ,Spring,TX,77387-4111,(832) 624-6731,13-1865379,Northern Trust Corporation,"Custodial (securities), Trustee (bank, trust company, or similar financial institution), Trustee (directed), Investment management, Other services, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",Serv Prov of Plan Sponsor,"$586,561",$0,"$586,561"
6,EXXONMOBIL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/55063/Exxon-Mobil-Corporation/13913710/Exxonmobil-Pension-Plan/2018/,Exxon Mobil Corporation,01/01/2018 — 12/31/2018,01/01/1962,"$12,142,000,000",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"28,940","24,556","18,987","72,483","4,742","77,225","79,944",0,458,$0,$0,$0,$0,$0,$0,P O Box 64111 ,Spring,TX,77387-4111,(832) 624-6731,13-5409005,324110,Santiago Raul Bianchi,Administrator - Benefits,Po Box 64111 ,Spring,TX,77387-4111,(832) 624-6731,13-1865379,Pricewaterhousecoopers,"Accounting (including auditing), Direct payment from the plan",Ind. Auditor of Plan Spon,"$341,310",$0,"$341,310"
7,EXXONMOBIL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/55063/Exxon-Mobil-Corporation/13913710/Exxonmobil-Pension-Plan/2018/,Exxon Mobil Corporation,01/01/2018 — 12/31/2018,01/01/1962,"$12,142,000,000",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"28,940","24,556","18,987","72,483","4,742","77,225","79,944",0,458,$0,$0,$0,$0,$0,$0,P O Box 64111 ,Spring,TX,77387-4111,(832) 624-6731,13-5409005,324110,Santiago Raul Bianchi,Administrator - Benefits,Po Box 64111 ,Spring,TX,77387-4111,(832) 624-6731,13-1865379,Bny Mellon Asset Services,"Consulting (pension), Consulting fees",NONE,$0,"$278,717","$278,717"
8,EXXONMOBIL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/55063/Exxon-Mobil-Corporation/13913710/Exxonmobil-Pension-Plan/2018/,Exxon Mobil Corporation,01/01/2018 — 12/31/2018,01/01/1962,"$12,142,000,000",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"28,940","24,556","18,987","72,483","4,742","77,225","79,944",0,458,$0,$0,$0,$0,$0,$0,P O Box 64111 ,Spring,TX,77387-4111,(832) 624-6731,13-5409005,324110,Santiago Raul Bianchi,Administrator - Benefits,Po Box 64111 ,Spring,TX,77387-4111,(832) 624-6731,13-1865379,Willis Towers Watson,"Actuarial, Other services, Direct payment from the plan, Other fees",Affil. of Party In Int.,"$238,487",$0,"$238,487"
9,EXXONMOBIL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/55063/Exxon-Mobil-Corporation/13913710/Exxonmobil-Pension-Plan/2018/,Exxon Mobil Corporation,01/01/2018 — 12/31/2018,01/01/1962,"$12,142,000,000",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"28,940","24,556","18,987","72,483","4,742","77,225","79,944",0,458,$0,$0,$0,$0,$0,$0,P O Box 64111 ,Spring,TX,77387-4111,(832) 624-6731,13-5409005,324110,Santiago Raul Bianchi,Administrator - Benefits,Po Box 64111 ,Spring,TX,77387-4111,(832) 624-6731,13-1865379,The Yieldbook Salomon Analytics,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$136,906",$0,"$136,906"
