,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 11/30/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 12/01/2017,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,FARMERS GROUP INC. EMPLOYEES' PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/662490/Farmers-Group-Inc/13927192/Farmers-Group-Inc-Employees-Pension-Plan/2018/,Farmers Group Inc.,12/01/2017 — 11/30/2018,12/01/1943,"$3,408,145,344",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"18,186","6,707","8,256","33,149",687,"33,836","35,690",0,"1,025",$0,$0,$0,$0,$0,$0,P.O. Box 4363 ,Woodland Hills,CA,91365-4363,(800) 451-0797,95-0725935,524290,Anthony J. Morris,Towers Watson,"Consulting (general), Recordkeeping fees, Account maintenance fees, Direct payment from the plan",Recordkeeper,"$3,107,116",$0,"$3,107,116"
1,FARMERS GROUP INC. EMPLOYEES' PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/662490/Farmers-Group-Inc/13927192/Farmers-Group-Inc-Employees-Pension-Plan/2018/,Farmers Group Inc.,12/01/2017 — 11/30/2018,12/01/1943,"$3,408,145,344",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"18,186","6,707","8,256","33,149",687,"33,836","35,690",0,"1,025",$0,$0,$0,$0,$0,$0,P.O. Box 4363 ,Woodland Hills,CA,91365-4363,(800) 451-0797,95-0725935,524290,Anthony J. Morris,VOYA,"Investment management, Investment management fees paid directly by plan",Asset Manager,"$2,368,549",$0,"$2,368,549"
2,FARMERS GROUP INC. EMPLOYEES' PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/662490/Farmers-Group-Inc/13927192/Farmers-Group-Inc-Employees-Pension-Plan/2018/,Farmers Group Inc.,12/01/2017 — 11/30/2018,12/01/1943,"$3,408,145,344",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"18,186","6,707","8,256","33,149",687,"33,836","35,690",0,"1,025",$0,$0,$0,$0,$0,$0,P.O. Box 4363 ,Woodland Hills,CA,91365-4363,(800) 451-0797,95-0725935,524290,Anthony J. Morris,The Boston Co. Asset Management LLC,"Investment management, Investment management fees paid directly by plan",Asset Manager,"$1,491,433",$0,"$1,491,433"
3,FARMERS GROUP INC. EMPLOYEES' PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/662490/Farmers-Group-Inc/13927192/Farmers-Group-Inc-Employees-Pension-Plan/2018/,Farmers Group Inc.,12/01/2017 — 11/30/2018,12/01/1943,"$3,408,145,344",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"18,186","6,707","8,256","33,149",687,"33,836","35,690",0,"1,025",$0,$0,$0,$0,$0,$0,P.O. Box 4363 ,Woodland Hills,CA,91365-4363,(800) 451-0797,95-0725935,524290,Anthony J. Morris,Mellon Bank of New York,"Custodial (other than securities), Trustee (bank, trust company, or similar financial institution), Investment management fees paid directly by plan","Custodian, Trustee","$566,144",$0,"$566,144"
4,FARMERS GROUP INC. EMPLOYEES' PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/662490/Farmers-Group-Inc/13927192/Farmers-Group-Inc-Employees-Pension-Plan/2018/,Farmers Group Inc.,12/01/2017 — 11/30/2018,12/01/1943,"$3,408,145,344",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"18,186","6,707","8,256","33,149",687,"33,836","35,690",0,"1,025",$0,$0,$0,$0,$0,$0,P.O. Box 4363 ,Woodland Hills,CA,91365-4363,(800) 451-0797,95-0725935,524290,Anthony J. Morris,First Eagle Investment,Investment management,Asset Manager,"$353,017",$0,"$353,017"
5,FARMERS GROUP INC. EMPLOYEES' PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/662490/Farmers-Group-Inc/13927192/Farmers-Group-Inc-Employees-Pension-Plan/2018/,Farmers Group Inc.,12/01/2017 — 11/30/2018,12/01/1943,"$3,408,145,344",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"18,186","6,707","8,256","33,149",687,"33,836","35,690",0,"1,025",$0,$0,$0,$0,$0,$0,P.O. Box 4363 ,Woodland Hills,CA,91365-4363,(800) 451-0797,95-0725935,524290,Anthony J. Morris,Prudential Insurance Co of America,"Investment management, Investment management fees paid directly by plan",Asset Manager,"$350,307",$0,"$350,307"
6,FARMERS GROUP INC. EMPLOYEES' PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/662490/Farmers-Group-Inc/13927192/Farmers-Group-Inc-Employees-Pension-Plan/2018/,Farmers Group Inc.,12/01/2017 — 11/30/2018,12/01/1943,"$3,408,145,344",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"18,186","6,707","8,256","33,149",687,"33,836","35,690",0,"1,025",$0,$0,$0,$0,$0,$0,P.O. Box 4363 ,Woodland Hills,CA,91365-4363,(800) 451-0797,95-0725935,524290,Anthony J. Morris,Pacific Investment Management,"Investment management, Direct payment from the plan",Asset Manager,"$244,508",$0,"$244,508"
7,FARMERS GROUP INC. EMPLOYEES' PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/662490/Farmers-Group-Inc/13927192/Farmers-Group-Inc-Employees-Pension-Plan/2018/,Farmers Group Inc.,12/01/2017 — 11/30/2018,12/01/1943,"$3,408,145,344",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"18,186","6,707","8,256","33,149",687,"33,836","35,690",0,"1,025",$0,$0,$0,$0,$0,$0,P.O. Box 4363 ,Woodland Hills,CA,91365-4363,(800) 451-0797,95-0725935,524290,Anthony J. Morris,Pricewaterhousecoopers,"Accounting (including auditing), Direct payment from the plan",Accounting,"$228,677",$0,"$228,677"
8,FARMERS GROUP INC. EMPLOYEES' PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/662490/Farmers-Group-Inc/13927192/Farmers-Group-Inc-Employees-Pension-Plan/2018/,Farmers Group Inc.,12/01/2017 — 11/30/2018,12/01/1943,"$3,408,145,344",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"18,186","6,707","8,256","33,149",687,"33,836","35,690",0,"1,025",$0,$0,$0,$0,$0,$0,P.O. Box 4363 ,Woodland Hills,CA,91365-4363,(800) 451-0797,95-0725935,524290,Anthony J. Morris,State Street Global Advisors,"Investment management, Investment management fees paid directly by plan",Asset Manager,"$41,911",$0,"$41,911"
9,FARMERS GROUP INC. EMPLOYEES' PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/662490/Farmers-Group-Inc/13927192/Farmers-Group-Inc-Employees-Pension-Plan/2018/,Farmers Group Inc.,12/01/2017 — 11/30/2018,12/01/1943,"$3,408,145,344",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"18,186","6,707","8,256","33,149",687,"33,836","35,690",0,"1,025",$0,$0,$0,$0,$0,$0,P.O. Box 4363 ,Woodland Hills,CA,91365-4363,(800) 451-0797,95-0725935,524290,Anthony J. Morris,"Gibson, Dunn & Crutcher LLP","Legal, Direct payment from the plan",NONE,"$20,809",$0,"$20,809"
