,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,FINANCIAL INSTITUTIONS RETIREMENT FUND,https://www.brightscope.com/form-5500/basic-info/55586/Pentegra-Retirement-Services-Inc/56539/Pentegra-Defined-Contribution-Plan-For-Financial-Institutions/,BOARD OF DIRECTORS FINANCIAL INSTITUTIONS RETIREMENT FUND,01/01/2018 — 12/31/2018,07/01/1970,"$2,098,206,800",333,Multiple Employer,No,Yes,Trust,Trust,"17,425",333,"9,469","27,227",0,"27,227","29,757","27,227",327,$0,$0,$0,$0,$0,$0,"701 Westchester Avenue, Suite 320E ",White Plains,NY,10604,(914) 694-1300,13-6321489,525100,John Pinto,"John Pinto, President","701 Westchester Avenue, Suite 320E ",White Plains,NY,10604-3805,(914) 694-1300,38-3784887,Audited,Cliftonlarsonallen LLP,41-0746749,Unqualified,Full Audit,"Pentegra Services, Inc.",Contract Administrator,Contract Admin,"$10,584,935",$0,"$10,584,935"
1,FINANCIAL INSTITUTIONS RETIREMENT FUND,https://www.brightscope.com/form-5500/basic-info/55586/Pentegra-Retirement-Services-Inc/56539/Pentegra-Defined-Contribution-Plan-For-Financial-Institutions/,BOARD OF DIRECTORS FINANCIAL INSTITUTIONS RETIREMENT FUND,01/01/2018 — 12/31/2018,07/01/1970,"$2,098,206,800",333,Multiple Employer,No,Yes,Trust,Trust,"17,425",333,"9,469","27,227",0,"27,227","29,757","27,227",327,$0,$0,$0,$0,$0,$0,"701 Westchester Avenue, Suite 320E ",White Plains,NY,10604,(914) 694-1300,13-6321489,525100,John Pinto,"John Pinto, President","701 Westchester Avenue, Suite 320E ",White Plains,NY,10604-3805,(914) 694-1300,38-3784887,Audited,Cliftonlarsonallen LLP,41-0746749,Unqualified,Full Audit,State Street Global Advisors,"Custodial (other than securities), Custodial (securities), Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Other fees",Investment Manager,"$706,440",$0,"$706,440"
2,FINANCIAL INSTITUTIONS RETIREMENT FUND,https://www.brightscope.com/form-5500/basic-info/55586/Pentegra-Retirement-Services-Inc/56539/Pentegra-Defined-Contribution-Plan-For-Financial-Institutions/,BOARD OF DIRECTORS FINANCIAL INSTITUTIONS RETIREMENT FUND,01/01/2018 — 12/31/2018,07/01/1970,"$2,098,206,800",333,Multiple Employer,No,Yes,Trust,Trust,"17,425",333,"9,469","27,227",0,"27,227","29,757","27,227",327,$0,$0,$0,$0,$0,$0,"701 Westchester Avenue, Suite 320E ",White Plains,NY,10604,(914) 694-1300,13-6321489,525100,John Pinto,"John Pinto, President","701 Westchester Avenue, Suite 320E ",White Plains,NY,10604-3805,(914) 694-1300,38-3784887,Audited,Cliftonlarsonallen LLP,41-0746749,Unqualified,Full Audit,Reliance Trust Company,"Trustee (bank, trust company, or similar financial institution)",Trustee,"$638,379",$0,"$638,379"
3,FINANCIAL INSTITUTIONS RETIREMENT FUND,https://www.brightscope.com/form-5500/basic-info/55586/Pentegra-Retirement-Services-Inc/56539/Pentegra-Defined-Contribution-Plan-For-Financial-Institutions/,BOARD OF DIRECTORS FINANCIAL INSTITUTIONS RETIREMENT FUND,01/01/2018 — 12/31/2018,07/01/1970,"$2,098,206,800",333,Multiple Employer,No,Yes,Trust,Trust,"17,425",333,"9,469","27,227",0,"27,227","29,757","27,227",327,$0,$0,$0,$0,$0,$0,"701 Westchester Avenue, Suite 320E ",White Plains,NY,10604,(914) 694-1300,13-6321489,525100,John Pinto,"John Pinto, President","701 Westchester Avenue, Suite 320E ",White Plains,NY,10604-3805,(914) 694-1300,38-3784887,Audited,Cliftonlarsonallen LLP,41-0746749,Unqualified,Full Audit,Grant Thornton LLP,Accounting (including auditing),Accounting,"$63,523",$0,"$63,523"
4,FINANCIAL INSTITUTIONS RETIREMENT FUND,https://www.brightscope.com/form-5500/basic-info/55586/Pentegra-Retirement-Services-Inc/56539/Pentegra-Defined-Contribution-Plan-For-Financial-Institutions/,BOARD OF DIRECTORS FINANCIAL INSTITUTIONS RETIREMENT FUND,01/01/2018 — 12/31/2018,07/01/1970,"$2,098,206,800",333,Multiple Employer,No,Yes,Trust,Trust,"17,425",333,"9,469","27,227",0,"27,227","29,757","27,227",327,$0,$0,$0,$0,$0,$0,"701 Westchester Avenue, Suite 320E ",White Plains,NY,10604,(914) 694-1300,13-6321489,525100,John Pinto,"John Pinto, President","701 Westchester Avenue, Suite 320E ",White Plains,NY,10604-3805,(914) 694-1300,38-3784887,Audited,Cliftonlarsonallen LLP,41-0746749,Unqualified,Full Audit,"Thirty North Investments, LLC",Consulting (general),Consulting (General),"$46,000",$0,"$46,000"
5,FINANCIAL INSTITUTIONS RETIREMENT FUND,https://www.brightscope.com/form-5500/basic-info/55586/Pentegra-Retirement-Services-Inc/56539/Pentegra-Defined-Contribution-Plan-For-Financial-Institutions/,BOARD OF DIRECTORS FINANCIAL INSTITUTIONS RETIREMENT FUND,01/01/2018 — 12/31/2018,07/01/1970,"$2,098,206,800",333,Multiple Employer,No,Yes,Trust,Trust,"17,425",333,"9,469","27,227",0,"27,227","29,757","27,227",327,$0,$0,$0,$0,$0,$0,"701 Westchester Avenue, Suite 320E ",White Plains,NY,10604,(914) 694-1300,13-6321489,525100,John Pinto,"John Pinto, President","701 Westchester Avenue, Suite 320E ",White Plains,NY,10604-3805,(914) 694-1300,38-3784887,Audited,Cliftonlarsonallen LLP,41-0746749,Unqualified,Full Audit,Global Retirement Partners,Investment advisory (plan),Investment Advisory,"$28,948",$0,"$28,948"
6,FINANCIAL INSTITUTIONS RETIREMENT FUND,https://www.brightscope.com/form-5500/basic-info/55586/Pentegra-Retirement-Services-Inc/56539/Pentegra-Defined-Contribution-Plan-For-Financial-Institutions/,BOARD OF DIRECTORS FINANCIAL INSTITUTIONS RETIREMENT FUND,01/01/2018 — 12/31/2018,07/01/1970,"$2,098,206,800",333,Multiple Employer,No,Yes,Trust,Trust,"17,425",333,"9,469","27,227",0,"27,227","29,757","27,227",327,$0,$0,$0,$0,$0,$0,"701 Westchester Avenue, Suite 320E ",White Plains,NY,10604,(914) 694-1300,13-6321489,525100,John Pinto,"John Pinto, President","701 Westchester Avenue, Suite 320E ",White Plains,NY,10604-3805,(914) 694-1300,38-3784887,Audited,Cliftonlarsonallen LLP,41-0746749,Unqualified,Full Audit,"Patterson, Belknap, Webb & Tyler",Legal,Legal,"$10,850",$0,"$10,850"
7,FINANCIAL INSTITUTIONS RETIREMENT FUND,https://www.brightscope.com/form-5500/basic-info/55586/Pentegra-Retirement-Services-Inc/56539/Pentegra-Defined-Contribution-Plan-For-Financial-Institutions/,BOARD OF DIRECTORS FINANCIAL INSTITUTIONS RETIREMENT FUND,01/01/2018 — 12/31/2018,07/01/1970,"$2,098,206,800",333,Multiple Employer,No,Yes,Trust,Trust,"17,425",333,"9,469","27,227",0,"27,227","29,757","27,227",327,$0,$0,$0,$0,$0,$0,"701 Westchester Avenue, Suite 320E ",White Plains,NY,10604,(914) 694-1300,13-6321489,525100,John Pinto,"John Pinto, President","701 Westchester Avenue, Suite 320E ",White Plains,NY,10604-3805,(914) 694-1300,38-3784887,Audited,Cliftonlarsonallen LLP,41-0746749,Unqualified,Full Audit,Sigma Financial Corporation,Investment advisory (plan),Investment Advisory-Plan,"$10,779",$0,"$10,779"
8,FINANCIAL INSTITUTIONS RETIREMENT FUND,https://www.brightscope.com/form-5500/basic-info/55586/Pentegra-Retirement-Services-Inc/56539/Pentegra-Defined-Contribution-Plan-For-Financial-Institutions/,BOARD OF DIRECTORS FINANCIAL INSTITUTIONS RETIREMENT FUND,01/01/2018 — 12/31/2018,07/01/1970,"$2,098,206,800",333,Multiple Employer,No,Yes,Trust,Trust,"17,425",333,"9,469","27,227",0,"27,227","29,757","27,227",327,$0,$0,$0,$0,$0,$0,"701 Westchester Avenue, Suite 320E ",White Plains,NY,10604,(914) 694-1300,13-6321489,525100,John Pinto,"John Pinto, President","701 Westchester Avenue, Suite 320E ",White Plains,NY,10604-3805,(914) 694-1300,38-3784887,Audited,Cliftonlarsonallen LLP,41-0746749,Unqualified,Full Audit,"Charles Schwab & Co., Inc",Securities brokerage,Brokerage Account,$0,$0,$0
9,FINANCIAL INSTITUTIONS RETIREMENT FUND,https://www.brightscope.com/form-5500/basic-info/55586/Pentegra-Retirement-Services-Inc/56539/Pentegra-Defined-Contribution-Plan-For-Financial-Institutions/,BOARD OF DIRECTORS FINANCIAL INSTITUTIONS RETIREMENT FUND,01/01/2018 — 12/31/2018,07/01/1970,"$2,098,206,800",333,Multiple Employer,No,Yes,Trust,Trust,"17,425",333,"9,469","27,227",0,"27,227","29,757","27,227",327,$0,$0,$0,$0,$0,$0,"701 Westchester Avenue, Suite 320E ",White Plains,NY,10604,(914) 694-1300,13-6321489,525100,John Pinto,"John Pinto, President","701 Westchester Avenue, Suite 320E ",White Plains,NY,10604-3805,(914) 694-1300,38-3784887,Audited,Cliftonlarsonallen LLP,41-0746749,Unqualified,Full Audit,Total,Total,Total,"$12,089,854",$0,"$12,089,854"
