,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,FIRSTENERGY CORP MASTER PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/154070/Firstenergy-Corp/13913742/Firstenergy-Corp-Master-Pension-Plan//2018/,FirstEnergy Corp,01/01/2018 — 12/31/2018,07/01/1944,"$7,475,828,051",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"15,073","18,520","4,663","38,256","3,348","41,604","44,832",0,215,$0,$0,$0,$0,$0,$0,76 South Main Street ,Akron,OH,44308,(330) 384-5417,34-1843785,221100,Aon Consulting Inc.,"Actuarial, Direct payment from the plan",NONE,"$2,725,641",$0,"$2,725,641"
1,FIRSTENERGY CORP MASTER PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/154070/Firstenergy-Corp/13913742/Firstenergy-Corp-Master-Pension-Plan//2018/,FirstEnergy Corp,01/01/2018 — 12/31/2018,07/01/1944,"$7,475,828,051",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"15,073","18,520","4,663","38,256","3,348","41,604","44,832",0,215,$0,$0,$0,$0,$0,$0,76 South Main Street ,Akron,OH,44308,(330) 384-5417,34-1843785,221100,Cantillon Capital Management LLC,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$2,470,529",$0,"$2,470,529"
2,FIRSTENERGY CORP MASTER PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/154070/Firstenergy-Corp/13913742/Firstenergy-Corp-Master-Pension-Plan//2018/,FirstEnergy Corp,01/01/2018 — 12/31/2018,07/01/1944,"$7,475,828,051",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"15,073","18,520","4,663","38,256","3,348","41,604","44,832",0,215,$0,$0,$0,$0,$0,$0,76 South Main Street ,Akron,OH,44308,(330) 384-5417,34-1843785,221100,Bain Capital Venture Fund,"Investment management, Direct payment from the plan",NONE,"$1,701,926",$0,"$1,701,926"
3,FIRSTENERGY CORP MASTER PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/154070/Firstenergy-Corp/13913742/Firstenergy-Corp-Master-Pension-Plan//2018/,FirstEnergy Corp,01/01/2018 — 12/31/2018,07/01/1944,"$7,475,828,051",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"15,073","18,520","4,663","38,256","3,348","41,604","44,832",0,215,$0,$0,$0,$0,$0,$0,76 South Main Street ,Akron,OH,44308,(330) 384-5417,34-1843785,221100,"Nisa Investment Advisors, LLC","Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$1,643,248",$0,"$1,643,248"
4,FIRSTENERGY CORP MASTER PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/154070/Firstenergy-Corp/13913742/Firstenergy-Corp-Master-Pension-Plan//2018/,FirstEnergy Corp,01/01/2018 — 12/31/2018,07/01/1944,"$7,475,828,051",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"15,073","18,520","4,663","38,256","3,348","41,604","44,832",0,215,$0,$0,$0,$0,$0,$0,76 South Main Street ,Akron,OH,44308,(330) 384-5417,34-1843785,221100,Prudential Insurance Company,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$1,626,516",$0,"$1,626,516"
5,FIRSTENERGY CORP MASTER PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/154070/Firstenergy-Corp/13913742/Firstenergy-Corp-Master-Pension-Plan//2018/,FirstEnergy Corp,01/01/2018 — 12/31/2018,07/01/1944,"$7,475,828,051",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"15,073","18,520","4,663","38,256","3,348","41,604","44,832",0,215,$0,$0,$0,$0,$0,$0,76 South Main Street ,Akron,OH,44308,(330) 384-5417,34-1843785,221100,Artisan Partners Holdings Lp,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$1,374,930",$0,"$1,374,930"
6,FIRSTENERGY CORP MASTER PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/154070/Firstenergy-Corp/13913742/Firstenergy-Corp-Master-Pension-Plan//2018/,FirstEnergy Corp,01/01/2018 — 12/31/2018,07/01/1944,"$7,475,828,051",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"15,073","18,520","4,663","38,256","3,348","41,604","44,832",0,215,$0,$0,$0,$0,$0,$0,76 South Main Street ,Akron,OH,44308,(330) 384-5417,34-1843785,221100,Mawer,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$1,302,848",$0,"$1,302,848"
7,FIRSTENERGY CORP MASTER PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/154070/Firstenergy-Corp/13913742/Firstenergy-Corp-Master-Pension-Plan//2018/,FirstEnergy Corp,01/01/2018 — 12/31/2018,07/01/1944,"$7,475,828,051",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"15,073","18,520","4,663","38,256","3,348","41,604","44,832",0,215,$0,$0,$0,$0,$0,$0,76 South Main Street ,Akron,OH,44308,(330) 384-5417,34-1843785,221100,Baillie Gifford,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$1,113,826",$0,"$1,113,826"
8,FIRSTENERGY CORP MASTER PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/154070/Firstenergy-Corp/13913742/Firstenergy-Corp-Master-Pension-Plan//2018/,FirstEnergy Corp,01/01/2018 — 12/31/2018,07/01/1944,"$7,475,828,051",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"15,073","18,520","4,663","38,256","3,348","41,604","44,832",0,215,$0,$0,$0,$0,$0,$0,76 South Main Street ,Akron,OH,44308,(330) 384-5417,34-1843785,221100,"Aon Hewitt Investment Consultant, I","Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$1,010,155",$0,"$1,010,155"
9,FIRSTENERGY CORP MASTER PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/154070/Firstenergy-Corp/13913742/Firstenergy-Corp-Master-Pension-Plan//2018/,FirstEnergy Corp,01/01/2018 — 12/31/2018,07/01/1944,"$7,475,828,051",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"15,073","18,520","4,663","38,256","3,348","41,604","44,832",0,215,$0,$0,$0,$0,$0,$0,76 South Main Street ,Akron,OH,44308,(330) 384-5417,34-1843785,221100,John Hancock,"Investment management, Direct payment from the plan",NONE,"$947,389",$0,"$947,389"
