,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,FORD MOTOR COMPANY UAW RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/184556/Ford-Motor-Company/13913699/Ford-Motor-Company-Uaw-Retirement-Plan/2018/,Ford Motor Company,01/01/2018 — 12/31/2018,03/01/1950,"$21,905,983,811",1,Single Employer,Yes,Yes,Trust,Trust,"32,683","80,636","18,799","132,118","34,550","166,668","170,437",0,16,$0,$0,$0,$0,$0,$0,"1 American Road Ford Whq, Room 612",Dearborn,MI,48126,(313) 322-5012,38-0549190,336100,Robin Wood,"Conduent Hr Services, LLC","Claims processing, Plan Administrator, Recordkeeping and information management (computing, tabulating, data processing, etc.), Consulting (pension), Participant loan processing, Participant communication, Direct payment from the plan",None known,"$6,564,403",$0,"$6,564,403"
1,FORD MOTOR COMPANY UAW RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/184556/Ford-Motor-Company/13913699/Ford-Motor-Company-Uaw-Retirement-Plan/2018/,Ford Motor Company,01/01/2018 — 12/31/2018,03/01/1950,"$21,905,983,811",1,Single Employer,Yes,Yes,Trust,Trust,"32,683","80,636","18,799","132,118","34,550","166,668","170,437",0,16,$0,$0,$0,$0,$0,$0,"1 American Road Ford Whq, Room 612",Dearborn,MI,48126,(313) 322-5012,38-0549190,336100,Robin Wood,Ford Motor Company,"Plan Administrator, Other services, Direct payment from the plan",Plan Sponsor,"$1,782,080",$0,"$1,782,080"
2,FORD MOTOR COMPANY UAW RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/184556/Ford-Motor-Company/13913699/Ford-Motor-Company-Uaw-Retirement-Plan/2018/,Ford Motor Company,01/01/2018 — 12/31/2018,03/01/1950,"$21,905,983,811",1,Single Employer,Yes,Yes,Trust,Trust,"32,683","80,636","18,799","132,118","34,550","166,668","170,437",0,16,$0,$0,$0,$0,$0,$0,"1 American Road Ford Whq, Room 612",Dearborn,MI,48126,(313) 322-5012,38-0549190,336100,Robin Wood,"Conduent Hr Consulting, LLC","Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan, Consulting (pension)",None known,"$1,633,896",$0,"$1,633,896"
3,FORD MOTOR COMPANY UAW RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/184556/Ford-Motor-Company/13913699/Ford-Motor-Company-Uaw-Retirement-Plan/2018/,Ford Motor Company,01/01/2018 — 12/31/2018,03/01/1950,"$21,905,983,811",1,Single Employer,Yes,Yes,Trust,Trust,"32,683","80,636","18,799","132,118","34,550","166,668","170,437",0,16,$0,$0,$0,$0,$0,$0,"1 American Road Ford Whq, Room 612",Dearborn,MI,48126,(313) 322-5012,38-0549190,336100,Robin Wood,Uaw Retirement Board,"Plan Administrator, Direct payment from the plan",None known,"$802,646",$0,"$802,646"
4,FORD MOTOR COMPANY UAW RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/184556/Ford-Motor-Company/13913699/Ford-Motor-Company-Uaw-Retirement-Plan/2018/,Ford Motor Company,01/01/2018 — 12/31/2018,03/01/1950,"$21,905,983,811",1,Single Employer,Yes,Yes,Trust,Trust,"32,683","80,636","18,799","132,118","34,550","166,668","170,437",0,16,$0,$0,$0,$0,$0,$0,"1 American Road Ford Whq, Room 612",Dearborn,MI,48126,(313) 322-5012,38-0549190,336100,Robin Wood,Uaw Retirement Board Staff,Employee (plan),Plan employees,$0,"$454,808","$454,808"
5,FORD MOTOR COMPANY UAW RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/184556/Ford-Motor-Company/13913699/Ford-Motor-Company-Uaw-Retirement-Plan/2018/,Ford Motor Company,01/01/2018 — 12/31/2018,03/01/1950,"$21,905,983,811",1,Single Employer,Yes,Yes,Trust,Trust,"32,683","80,636","18,799","132,118","34,550","166,668","170,437",0,16,$0,$0,$0,$0,$0,$0,"1 American Road Ford Whq, Room 612",Dearborn,MI,48126,(313) 322-5012,38-0549190,336100,Robin Wood,State Street Bank & Trust Company,"Other services, Direct payment from the plan",None known,"$134,006",$0,"$134,006"
6,FORD MOTOR COMPANY UAW RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/184556/Ford-Motor-Company/13913699/Ford-Motor-Company-Uaw-Retirement-Plan/2018/,Ford Motor Company,01/01/2018 — 12/31/2018,03/01/1950,"$21,905,983,811",1,Single Employer,Yes,Yes,Trust,Trust,"32,683","80,636","18,799","132,118","34,550","166,668","170,437",0,16,$0,$0,$0,$0,$0,$0,"1 American Road Ford Whq, Room 612",Dearborn,MI,48126,(313) 322-5012,38-0549190,336100,Robin Wood,Access Medicals,Contract Administrator,None known,$0,"$108,250","$108,250"
7,FORD MOTOR COMPANY UAW RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/184556/Ford-Motor-Company/13913699/Ford-Motor-Company-Uaw-Retirement-Plan/2018/,Ford Motor Company,01/01/2018 — 12/31/2018,03/01/1950,"$21,905,983,811",1,Single Employer,Yes,Yes,Trust,Trust,"32,683","80,636","18,799","132,118","34,550","166,668","170,437",0,16,$0,$0,$0,$0,$0,$0,"1 American Road Ford Whq, Room 612",Dearborn,MI,48126,(313) 322-5012,38-0549190,336100,Robin Wood,Plante & Moran PLLC,"Accounting (including auditing), Direct payment from the plan",None known,"$93,070",$0,"$93,070"
8,FORD MOTOR COMPANY UAW RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/184556/Ford-Motor-Company/13913699/Ford-Motor-Company-Uaw-Retirement-Plan/2018/,Ford Motor Company,01/01/2018 — 12/31/2018,03/01/1950,"$21,905,983,811",1,Single Employer,Yes,Yes,Trust,Trust,"32,683","80,636","18,799","132,118","34,550","166,668","170,437",0,16,$0,$0,$0,$0,$0,$0,"1 American Road Ford Whq, Room 612",Dearborn,MI,48126,(313) 322-5012,38-0549190,336100,Robin Wood,Towers Watson Delaware Inc.,"Actuarial, Consulting (pension), Direct payment from the plan",None known,"$51,500",$0,"$51,500"
9,FORD MOTOR COMPANY UAW RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/184556/Ford-Motor-Company/13913699/Ford-Motor-Company-Uaw-Retirement-Plan/2018/,Ford Motor Company,01/01/2018 — 12/31/2018,03/01/1950,"$21,905,983,811",1,Single Employer,Yes,Yes,Trust,Trust,"32,683","80,636","18,799","132,118","34,550","166,668","170,437",0,16,$0,$0,$0,$0,$0,$0,"1 American Road Ford Whq, Room 612",Dearborn,MI,48126,(313) 322-5012,38-0549190,336100,Robin Wood,Comerica,"Custodial (securities), Direct payment from the plan, Other investment fees and expenses, Other fees",None known,"$7,741",$0,"$7,741"
10,FORD MOTOR COMPANY UAW RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/184556/Ford-Motor-Company/13913699/Ford-Motor-Company-Uaw-Retirement-Plan/2018/,Ford Motor Company,01/01/2018 — 12/31/2018,03/01/1950,"$21,905,983,811",1,Single Employer,Yes,Yes,Trust,Trust,"32,683","80,636","18,799","132,118","34,550","166,668","170,437",0,16,$0,$0,$0,$0,$0,$0,"1 American Road Ford Whq, Room 612",Dearborn,MI,48126,(313) 322-5012,38-0549190,336100,Robin Wood,Total,Total,Total,"$11,069,342","$563,058","$11,632,400"
