,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 11/30/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 12/01/2017,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,FREEPORT MINERALS CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/43859/Freeport-Minerals-Corporation/13928947/Freeport-Mcmoran-Corporation-Retirement-Plan/2018/,FREEPORT MINERALS CORPORATION,12/01/2017 — 11/30/2018,09/01/1941,"$1,398,679,662",3,Single Employer,No,Yes,Trust,Trust,"3,862","8,797","3,153","15,812","1,716","17,528","17,825",0,3,$0,$0,$0,$0,$0,$0,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,13-1808503,212200,Tiffany Gifford,Pension Plan Administration and Investment Committee,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,80-0573287,J.P.Morgan Investment Management In,"Trustee (discretionary), Direct payment from the plan, Investment advisory (plan), Investment management fees paid directly by plan, Investment management, Investment management fees paid indirectly by plan",,"$1,079,690",$0,"$1,079,690"
1,FREEPORT MINERALS CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/43859/Freeport-Minerals-Corporation/13928947/Freeport-Mcmoran-Corporation-Retirement-Plan/2018/,FREEPORT MINERALS CORPORATION,12/01/2017 — 11/30/2018,09/01/1941,"$1,398,679,662",3,Single Employer,No,Yes,Trust,Trust,"3,862","8,797","3,153","15,812","1,716","17,528","17,825",0,3,$0,$0,$0,$0,$0,$0,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,13-1808503,212200,Tiffany Gifford,Pension Plan Administration and Investment Committee,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,80-0573287,Mfs Heritage Trust Company,Investment management,,"$799,598",$0,"$799,598"
2,FREEPORT MINERALS CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/43859/Freeport-Minerals-Corporation/13928947/Freeport-Mcmoran-Corporation-Retirement-Plan/2018/,FREEPORT MINERALS CORPORATION,12/01/2017 — 11/30/2018,09/01/1941,"$1,398,679,662",3,Single Employer,No,Yes,Trust,Trust,"3,862","8,797","3,153","15,812","1,716","17,528","17,825",0,3,$0,$0,$0,$0,$0,$0,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,13-1808503,212200,Tiffany Gifford,Pension Plan Administration and Investment Committee,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,80-0573287,Lsv Asset Management,"Investment management, Investment management fees paid directly by plan",,"$678,853",$0,"$678,853"
3,FREEPORT MINERALS CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/43859/Freeport-Minerals-Corporation/13928947/Freeport-Mcmoran-Corporation-Retirement-Plan/2018/,FREEPORT MINERALS CORPORATION,12/01/2017 — 11/30/2018,09/01/1941,"$1,398,679,662",3,Single Employer,No,Yes,Trust,Trust,"3,862","8,797","3,153","15,812","1,716","17,528","17,825",0,3,$0,$0,$0,$0,$0,$0,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,13-1808503,212200,Tiffany Gifford,Pension Plan Administration and Investment Committee,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,80-0573287,"T. Rowe Price Associates, Inc.","Trustee (bank, trust company, or similar financial institution), Direct payment from the plan, Trustee (discretionary), Soft dollars commissions, Investment management",,"$611,014",$0,"$611,014"
4,FREEPORT MINERALS CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/43859/Freeport-Minerals-Corporation/13928947/Freeport-Mcmoran-Corporation-Retirement-Plan/2018/,FREEPORT MINERALS CORPORATION,12/01/2017 — 11/30/2018,09/01/1941,"$1,398,679,662",3,Single Employer,No,Yes,Trust,Trust,"3,862","8,797","3,153","15,812","1,716","17,528","17,825",0,3,$0,$0,$0,$0,$0,$0,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,13-1808503,212200,Tiffany Gifford,Pension Plan Administration and Investment Committee,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,80-0573287,Northern Trust Company,"Contract Administrator, Investment management",,"$479,121",$0,"$479,121"
5,FREEPORT MINERALS CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/43859/Freeport-Minerals-Corporation/13928947/Freeport-Mcmoran-Corporation-Retirement-Plan/2018/,FREEPORT MINERALS CORPORATION,12/01/2017 — 11/30/2018,09/01/1941,"$1,398,679,662",3,Single Employer,No,Yes,Trust,Trust,"3,862","8,797","3,153","15,812","1,716","17,528","17,825",0,3,$0,$0,$0,$0,$0,$0,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,13-1808503,212200,Tiffany Gifford,Pension Plan Administration and Investment Committee,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,80-0573287,Fidelity Institutional Asset Manage,Investment management,,"$436,362",$0,"$436,362"
6,FREEPORT MINERALS CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/43859/Freeport-Minerals-Corporation/13928947/Freeport-Mcmoran-Corporation-Retirement-Plan/2018/,FREEPORT MINERALS CORPORATION,12/01/2017 — 11/30/2018,09/01/1941,"$1,398,679,662",3,Single Employer,No,Yes,Trust,Trust,"3,862","8,797","3,153","15,812","1,716","17,528","17,825",0,3,$0,$0,$0,$0,$0,$0,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,13-1808503,212200,Tiffany Gifford,Pension Plan Administration and Investment Committee,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,80-0573287,Cohen & Steers Capital Management,Investment management fees paid directly by plan,,"$307,414",$0,"$307,414"
7,FREEPORT MINERALS CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/43859/Freeport-Minerals-Corporation/13928947/Freeport-Mcmoran-Corporation-Retirement-Plan/2018/,FREEPORT MINERALS CORPORATION,12/01/2017 — 11/30/2018,09/01/1941,"$1,398,679,662",3,Single Employer,No,Yes,Trust,Trust,"3,862","8,797","3,153","15,812","1,716","17,528","17,825",0,3,$0,$0,$0,$0,$0,$0,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,13-1808503,212200,Tiffany Gifford,Pension Plan Administration and Investment Committee,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,80-0573287,"Rocaton Investment Advisors, LLC",Investment management,,"$274,773",$0,"$274,773"
8,FREEPORT MINERALS CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/43859/Freeport-Minerals-Corporation/13928947/Freeport-Mcmoran-Corporation-Retirement-Plan/2018/,FREEPORT MINERALS CORPORATION,12/01/2017 — 11/30/2018,09/01/1941,"$1,398,679,662",3,Single Employer,No,Yes,Trust,Trust,"3,862","8,797","3,153","15,812","1,716","17,528","17,825",0,3,$0,$0,$0,$0,$0,$0,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,13-1808503,212200,Tiffany Gifford,Pension Plan Administration and Investment Committee,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,80-0573287,"Nisa Investment Advisors, L.L.C.","Investment management, Investment management fees paid directly by plan",,"$252,406",$0,"$252,406"
9,FREEPORT MINERALS CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/43859/Freeport-Minerals-Corporation/13928947/Freeport-Mcmoran-Corporation-Retirement-Plan/2018/,FREEPORT MINERALS CORPORATION,12/01/2017 — 11/30/2018,09/01/1941,"$1,398,679,662",3,Single Employer,No,Yes,Trust,Trust,"3,862","8,797","3,153","15,812","1,716","17,528","17,825",0,3,$0,$0,$0,$0,$0,$0,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,13-1808503,212200,Tiffany Gifford,Pension Plan Administration and Investment Committee,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,80-0573287,Brandywine Global Investment Manage,Investment management,,"$248,495",$0,"$248,495"
10,FREEPORT MINERALS CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/43859/Freeport-Minerals-Corporation/13928947/Freeport-Mcmoran-Corporation-Retirement-Plan/2018/,FREEPORT MINERALS CORPORATION,12/01/2017 — 11/30/2018,09/01/1941,"$1,398,679,662",3,Single Employer,No,Yes,Trust,Trust,"3,862","8,797","3,153","15,812","1,716","17,528","17,825",0,3,$0,$0,$0,$0,$0,$0,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,13-1808503,212200,Tiffany Gifford,Pension Plan Administration and Investment Committee,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,80-0573287,Mercer (U.S.) Inc.,"Actuarial, Consulting (pension)",,"$242,427",$0,"$242,427"
11,FREEPORT MINERALS CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/43859/Freeport-Minerals-Corporation/13928947/Freeport-Mcmoran-Corporation-Retirement-Plan/2018/,FREEPORT MINERALS CORPORATION,12/01/2017 — 11/30/2018,09/01/1941,"$1,398,679,662",3,Single Employer,No,Yes,Trust,Trust,"3,862","8,797","3,153","15,812","1,716","17,528","17,825",0,3,$0,$0,$0,$0,$0,$0,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,13-1808503,212200,Tiffany Gifford,Pension Plan Administration and Investment Committee,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,80-0573287,"Barrow, Hanley, Mewhinney & Strauss",Investment management,,"$237,416",$0,"$237,416"
12,FREEPORT MINERALS CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/43859/Freeport-Minerals-Corporation/13928947/Freeport-Mcmoran-Corporation-Retirement-Plan/2018/,FREEPORT MINERALS CORPORATION,12/01/2017 — 11/30/2018,09/01/1941,"$1,398,679,662",3,Single Employer,No,Yes,Trust,Trust,"3,862","8,797","3,153","15,812","1,716","17,528","17,825",0,3,$0,$0,$0,$0,$0,$0,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,13-1808503,212200,Tiffany Gifford,Pension Plan Administration and Investment Committee,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,80-0573287,"Loomis Sayles Trust Company, N.A.",Investment management fees paid directly by plan,,"$227,738",$0,"$227,738"
13,FREEPORT MINERALS CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/43859/Freeport-Minerals-Corporation/13928947/Freeport-Mcmoran-Corporation-Retirement-Plan/2018/,FREEPORT MINERALS CORPORATION,12/01/2017 — 11/30/2018,09/01/1941,"$1,398,679,662",3,Single Employer,No,Yes,Trust,Trust,"3,862","8,797","3,153","15,812","1,716","17,528","17,825",0,3,$0,$0,$0,$0,$0,$0,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,13-1808503,212200,Tiffany Gifford,Pension Plan Administration and Investment Committee,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,80-0573287,Dodge & Cox,Investment management,,"$227,324",$0,"$227,324"
14,FREEPORT MINERALS CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/43859/Freeport-Minerals-Corporation/13928947/Freeport-Mcmoran-Corporation-Retirement-Plan/2018/,FREEPORT MINERALS CORPORATION,12/01/2017 — 11/30/2018,09/01/1941,"$1,398,679,662",3,Single Employer,No,Yes,Trust,Trust,"3,862","8,797","3,153","15,812","1,716","17,528","17,825",0,3,$0,$0,$0,$0,$0,$0,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,13-1808503,212200,Tiffany Gifford,Pension Plan Administration and Investment Committee,333 North Central Ave. ,Phoenix,AZ,85004,(602) 366-8100,80-0573287,Income Research and Management Inc.,"Investment management, Investment management fees paid directly by plan",,"$197,127",$0,"$197,127"
