,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,FRONTIER COMMUNICATIONS PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27254/Frontier-Communications/13913949/Frontier-Communications-Pension-Plan//,Frontier Communications,01/01/2018 — 12/31/2018,06/15/1944,"$2,402,615,720",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"15,141","4,797","5,634","25,572",629,"26,201","27,257",0,58,$0,$0,$0,$0,$0,$0,401 Merritt 7 ,Norwalk,CT,06851,(203) 614-5600,06-0619596,517000,Jo Ann Farrall,Sei Investment Company,"Investment management, Investment management fees paid directly by plan",,"$3,624,873",$0,"$3,624,873"
1,FRONTIER COMMUNICATIONS PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27254/Frontier-Communications/13913949/Frontier-Communications-Pension-Plan//,Frontier Communications,01/01/2018 — 12/31/2018,06/15/1944,"$2,402,615,720",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"15,141","4,797","5,634","25,572",629,"26,201","27,257",0,58,$0,$0,$0,$0,$0,$0,401 Merritt 7 ,Norwalk,CT,06851,(203) 614-5600,06-0619596,517000,Jo Ann Farrall,"Milliman, Inc.","Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",,"$3,367,802",$0,"$3,367,802"
2,FRONTIER COMMUNICATIONS PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27254/Frontier-Communications/13913949/Frontier-Communications-Pension-Plan//,Frontier Communications,01/01/2018 — 12/31/2018,06/15/1944,"$2,402,615,720",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"15,141","4,797","5,634","25,572",629,"26,201","27,257",0,58,$0,$0,$0,$0,$0,$0,401 Merritt 7 ,Norwalk,CT,06851,(203) 614-5600,06-0619596,517000,Jo Ann Farrall,J.P. Morgan Investment Management,"Investment advisory (plan), Investment management, Investment management fees paid directly by plan",,"$766,188",$0,"$766,188"
3,FRONTIER COMMUNICATIONS PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27254/Frontier-Communications/13913949/Frontier-Communications-Pension-Plan//,Frontier Communications,01/01/2018 — 12/31/2018,06/15/1944,"$2,402,615,720",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"15,141","4,797","5,634","25,572",629,"26,201","27,257",0,58,$0,$0,$0,$0,$0,$0,401 Merritt 7 ,Norwalk,CT,06851,(203) 614-5600,06-0619596,517000,Jo Ann Farrall,Pacific Investmt Management Co LLC,"Investment management, Investment management fees paid directly by plan",,"$752,901",$0,"$752,901"
4,FRONTIER COMMUNICATIONS PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27254/Frontier-Communications/13913949/Frontier-Communications-Pension-Plan//,Frontier Communications,01/01/2018 — 12/31/2018,06/15/1944,"$2,402,615,720",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"15,141","4,797","5,634","25,572",629,"26,201","27,257",0,58,$0,$0,$0,$0,$0,$0,401 Merritt 7 ,Norwalk,CT,06851,(203) 614-5600,06-0619596,517000,Jo Ann Farrall,"Blackrock Institutional Trust Co,Na","Trustee (bank, trust company, or similar financial institution), Trustee (discretionary), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",,"$641,789",$0,"$641,789"
5,FRONTIER COMMUNICATIONS PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27254/Frontier-Communications/13913949/Frontier-Communications-Pension-Plan//,Frontier Communications,01/01/2018 — 12/31/2018,06/15/1944,"$2,402,615,720",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"15,141","4,797","5,634","25,572",629,"26,201","27,257",0,58,$0,$0,$0,$0,$0,$0,401 Merritt 7 ,Norwalk,CT,06851,(203) 614-5600,06-0619596,517000,Jo Ann Farrall,Towers Watson Delaware Inc.,"Actuarial, Direct payment from the plan",,"$543,414",$0,"$543,414"
6,FRONTIER COMMUNICATIONS PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27254/Frontier-Communications/13913949/Frontier-Communications-Pension-Plan//,Frontier Communications,01/01/2018 — 12/31/2018,06/15/1944,"$2,402,615,720",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"15,141","4,797","5,634","25,572",629,"26,201","27,257",0,58,$0,$0,$0,$0,$0,$0,401 Merritt 7 ,Norwalk,CT,06851,(203) 614-5600,06-0619596,517000,Jo Ann Farrall,"Jpmorgan Chase Bank, N.A.","Investment advisory (plan), Investment management, Investment management fees paid directly by plan",,"$498,299",$0,"$498,299"
7,FRONTIER COMMUNICATIONS PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27254/Frontier-Communications/13913949/Frontier-Communications-Pension-Plan//,Frontier Communications,01/01/2018 — 12/31/2018,06/15/1944,"$2,402,615,720",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"15,141","4,797","5,634","25,572",629,"26,201","27,257",0,58,$0,$0,$0,$0,$0,$0,401 Merritt 7 ,Norwalk,CT,06851,(203) 614-5600,06-0619596,517000,Jo Ann Farrall,"Ariel Investments, LLC","Investment management, Investment management fees paid directly by plan, Soft dollars commissions",,"$339,391",$0,"$339,391"
8,FRONTIER COMMUNICATIONS PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27254/Frontier-Communications/13913949/Frontier-Communications-Pension-Plan//,Frontier Communications,01/01/2018 — 12/31/2018,06/15/1944,"$2,402,615,720",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"15,141","4,797","5,634","25,572",629,"26,201","27,257",0,58,$0,$0,$0,$0,$0,$0,401 Merritt 7 ,Norwalk,CT,06851,(203) 614-5600,06-0619596,517000,Jo Ann Farrall,Fiduciary Counselors Inc.,"Named fiduciary, Direct payment from the plan, Investment management fees paid directly by plan",,"$277,237",$0,"$277,237"
9,FRONTIER COMMUNICATIONS PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27254/Frontier-Communications/13913949/Frontier-Communications-Pension-Plan//,Frontier Communications,01/01/2018 — 12/31/2018,06/15/1944,"$2,402,615,720",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"15,141","4,797","5,634","25,572",629,"26,201","27,257",0,58,$0,$0,$0,$0,$0,$0,401 Merritt 7 ,Norwalk,CT,06851,(203) 614-5600,06-0619596,517000,Jo Ann Farrall,"Kilpatrick, Townsend & Stockton LLP","Legal, Direct payment from the plan",,"$206,045",$0,"$206,045"
