,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 05/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 06/01/2017,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Fedex Corporation Employees' Pension Plan,https://www.brightscope.com/form-5500/basic-info/312889/Fedex-Corporation/13924653/Fedex-Corporation-Employees-Pension-Plan/2018/,FEDEX CORPORATION,06/01/2017 — 05/31/2018,06/01/1978,"$22,047,148,653",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"131,652","9,750","41,174","182,576","1,811","184,387","215,238",0,"2,841",$0,$0,$0,$0,$0,$0,"3630 Hacks Cross Road Building C, 3Rd Floor",Memphis,TN,38125,(901) 820-5802,62-1721435,481000,Hugh A. Skinner,Hewitt Associates,"Actuarial, Direct payment from the plan",NONE,"$6,344,590",$0,"$6,344,590"
1,Fedex Corporation Employees' Pension Plan,https://www.brightscope.com/form-5500/basic-info/312889/Fedex-Corporation/13924653/Fedex-Corporation-Employees-Pension-Plan/2018/,FEDEX CORPORATION,06/01/2017 — 05/31/2018,06/01/1978,"$22,047,148,653",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"131,652","9,750","41,174","182,576","1,811","184,387","215,238",0,"2,841",$0,$0,$0,$0,$0,$0,"3630 Hacks Cross Road Building C, 3Rd Floor",Memphis,TN,38125,(901) 820-5802,62-1721435,481000,Hugh A. Skinner,Mercer Human Resource Consulting,"Actuarial, Direct payment from the plan",NONE,"$2,254,426",$0,"$2,254,426"
2,Fedex Corporation Employees' Pension Plan,https://www.brightscope.com/form-5500/basic-info/312889/Fedex-Corporation/13924653/Fedex-Corporation-Employees-Pension-Plan/2018/,FEDEX CORPORATION,06/01/2017 — 05/31/2018,06/01/1978,"$22,047,148,653",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"131,652","9,750","41,174","182,576","1,811","184,387","215,238",0,"2,841",$0,$0,$0,$0,$0,$0,"3630 Hacks Cross Road Building C, 3Rd Floor",Memphis,TN,38125,(901) 820-5802,62-1721435,481000,Hugh A. Skinner,Alight Solutions,Consulting (general),NONE,"$2,115,742",$0,"$2,115,742"
3,Fedex Corporation Employees' Pension Plan,https://www.brightscope.com/form-5500/basic-info/312889/Fedex-Corporation/13924653/Fedex-Corporation-Employees-Pension-Plan/2018/,FEDEX CORPORATION,06/01/2017 — 05/31/2018,06/01/1978,"$22,047,148,653",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"131,652","9,750","41,174","182,576","1,811","184,387","215,238",0,"2,841",$0,$0,$0,$0,$0,$0,"3630 Hacks Cross Road Building C, 3Rd Floor",Memphis,TN,38125,(901) 820-5802,62-1721435,481000,Hugh A. Skinner,State Street Bank & Trust,"Trustee (bank, trust company, or similar financial institution), Investment management, Direct payment from the plan",Trustee,"$1,699,316",$0,"$1,699,316"
4,Fedex Corporation Employees' Pension Plan,https://www.brightscope.com/form-5500/basic-info/312889/Fedex-Corporation/13924653/Fedex-Corporation-Employees-Pension-Plan/2018/,FEDEX CORPORATION,06/01/2017 — 05/31/2018,06/01/1978,"$22,047,148,653",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"131,652","9,750","41,174","182,576","1,811","184,387","215,238",0,"2,841",$0,$0,$0,$0,$0,$0,"3630 Hacks Cross Road Building C, 3Rd Floor",Memphis,TN,38125,(901) 820-5802,62-1721435,481000,Hugh A. Skinner,Towers Watson,"Consulting (general), Direct payment from the plan",NONE,"$1,354,950",$0,"$1,354,950"
5,Fedex Corporation Employees' Pension Plan,https://www.brightscope.com/form-5500/basic-info/312889/Fedex-Corporation/13924653/Fedex-Corporation-Employees-Pension-Plan/2018/,FEDEX CORPORATION,06/01/2017 — 05/31/2018,06/01/1978,"$22,047,148,653",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"131,652","9,750","41,174","182,576","1,811","184,387","215,238",0,"2,841",$0,$0,$0,$0,$0,$0,"3630 Hacks Cross Road Building C, 3Rd Floor",Memphis,TN,38125,(901) 820-5802,62-1721435,481000,Hugh A. Skinner,Fedex Office Commercial Press,"Copying and duplicating, Direct payment from the plan",Plan Sponsor,"$649,781",$0,"$649,781"
6,Fedex Corporation Employees' Pension Plan,https://www.brightscope.com/form-5500/basic-info/312889/Fedex-Corporation/13924653/Fedex-Corporation-Employees-Pension-Plan/2018/,FEDEX CORPORATION,06/01/2017 — 05/31/2018,06/01/1978,"$22,047,148,653",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"131,652","9,750","41,174","182,576","1,811","184,387","215,238",0,"2,841",$0,$0,$0,$0,$0,$0,"3630 Hacks Cross Road Building C, 3Rd Floor",Memphis,TN,38125,(901) 820-5802,62-1721435,481000,Hugh A. Skinner,Baker Donelson,Legal,NONE,"$208,004",$0,"$208,004"
7,Fedex Corporation Employees' Pension Plan,https://www.brightscope.com/form-5500/basic-info/312889/Fedex-Corporation/13924653/Fedex-Corporation-Employees-Pension-Plan/2018/,FEDEX CORPORATION,06/01/2017 — 05/31/2018,06/01/1978,"$22,047,148,653",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"131,652","9,750","41,174","182,576","1,811","184,387","215,238",0,"2,841",$0,$0,$0,$0,$0,$0,"3630 Hacks Cross Road Building C, 3Rd Floor",Memphis,TN,38125,(901) 820-5802,62-1721435,481000,Hugh A. Skinner,Prudential,Investment management,NONE,"$124,190",$0,"$124,190"
8,Fedex Corporation Employees' Pension Plan,https://www.brightscope.com/form-5500/basic-info/312889/Fedex-Corporation/13924653/Fedex-Corporation-Employees-Pension-Plan/2018/,FEDEX CORPORATION,06/01/2017 — 05/31/2018,06/01/1978,"$22,047,148,653",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"131,652","9,750","41,174","182,576","1,811","184,387","215,238",0,"2,841",$0,$0,$0,$0,$0,$0,"3630 Hacks Cross Road Building C, 3Rd Floor",Memphis,TN,38125,(901) 820-5802,62-1721435,481000,Hugh A. Skinner,Pricewaterhousecoopers LLP,"Consulting (general), Direct payment from the plan",NONE,"$40,423",$0,"$40,423"
9,Fedex Corporation Employees' Pension Plan,https://www.brightscope.com/form-5500/basic-info/312889/Fedex-Corporation/13924653/Fedex-Corporation-Employees-Pension-Plan/2018/,FEDEX CORPORATION,06/01/2017 — 05/31/2018,06/01/1978,"$22,047,148,653",2,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"131,652","9,750","41,174","182,576","1,811","184,387","215,238",0,"2,841",$0,$0,$0,$0,$0,$0,"3630 Hacks Cross Road Building C, 3Rd Floor",Memphis,TN,38125,(901) 820-5802,62-1721435,481000,Hugh A. Skinner,Total,Total,Total,"$14,791,422",$0,"$14,791,422"
