,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,GE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/55665/General-Electric-Company/13913696/Ge-Pension-Plan/,General Electric Company,01/01/2018 — 12/31/2018,04/12/1912,"$50,008,634,994",333,Multiple Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"42,554","203,627","137,498","383,679","38,730","422,409","433,042",0,0,$0,$0,$0,$0,$0,$0,901 Main Avenue The Towers At Merritt River,Norwalk,CT,06851,(800) 432-3450,14-0689340,335900,Michael J Gorman,General Electric Company,Po Box 5000 ,Schenectady,NY,12301-6024,(800) 432-3450,14-0689340,General Electric Company,"Plan Administrator, Recordkeeping and information management (computing, tabulating, data processing, etc.)",Spon. Empl.,"$1,377,039",$0,"$1,377,039"
1,GE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/55665/General-Electric-Company/13913696/Ge-Pension-Plan/,General Electric Company,01/01/2018 — 12/31/2018,04/12/1912,"$50,008,634,994",333,Multiple Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"42,554","203,627","137,498","383,679","38,730","422,409","433,042",0,0,$0,$0,$0,$0,$0,$0,901 Main Avenue The Towers At Merritt River,Norwalk,CT,06851,(800) 432-3450,14-0689340,335900,Michael J Gorman,General Electric Company,Po Box 5000 ,Schenectady,NY,12301-6024,(800) 432-3450,14-0689340,"Northgatearinso, Inc.",Contract Administrator,NONE,"$1,006,097",$0,"$1,006,097"
2,GE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/55665/General-Electric-Company/13913696/Ge-Pension-Plan/,General Electric Company,01/01/2018 — 12/31/2018,04/12/1912,"$50,008,634,994",333,Multiple Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"42,554","203,627","137,498","383,679","38,730","422,409","433,042",0,0,$0,$0,$0,$0,$0,$0,901 Main Avenue The Towers At Merritt River,Norwalk,CT,06851,(800) 432-3450,14-0689340,335900,Michael J Gorman,General Electric Company,Po Box 5000 ,Schenectady,NY,12301-6024,(800) 432-3450,14-0689340,Willis Towers Watson Us LLC.,"Actuarial, Consulting (pension), Valuation (appraisals, etc.)",NONE,"$863,457",$0,"$863,457"
3,GE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/55665/General-Electric-Company/13913696/Ge-Pension-Plan/,General Electric Company,01/01/2018 — 12/31/2018,04/12/1912,"$50,008,634,994",333,Multiple Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"42,554","203,627","137,498","383,679","38,730","422,409","433,042",0,0,$0,$0,$0,$0,$0,$0,901 Main Avenue The Towers At Merritt River,Norwalk,CT,06851,(800) 432-3450,14-0689340,335900,Michael J Gorman,General Electric Company,Po Box 5000 ,Schenectady,NY,12301-6024,(800) 432-3450,14-0689340,"Datamatics Global Service, Inc.",Other services,NONE,"$300,577",$0,"$300,577"
4,GE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/55665/General-Electric-Company/13913696/Ge-Pension-Plan/,General Electric Company,01/01/2018 — 12/31/2018,04/12/1912,"$50,008,634,994",333,Multiple Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"42,554","203,627","137,498","383,679","38,730","422,409","433,042",0,0,$0,$0,$0,$0,$0,$0,901 Main Avenue The Towers At Merritt River,Norwalk,CT,06851,(800) 432-3450,14-0689340,335900,Michael J Gorman,General Electric Company,Po Box 5000 ,Schenectady,NY,12301-6024,(800) 432-3450,14-0689340,Velocity Print Solutions,Other services,NONE,"$234,984",$0,"$234,984"
5,GE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/55665/General-Electric-Company/13913696/Ge-Pension-Plan/,General Electric Company,01/01/2018 — 12/31/2018,04/12/1912,"$50,008,634,994",333,Multiple Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"42,554","203,627","137,498","383,679","38,730","422,409","433,042",0,0,$0,$0,$0,$0,$0,$0,901 Main Avenue The Towers At Merritt River,Norwalk,CT,06851,(800) 432-3450,14-0689340,335900,Michael J Gorman,General Electric Company,Po Box 5000 ,Schenectady,NY,12301-6024,(800) 432-3450,14-0689340,"Kpmg, LLP",Accounting (including auditing),NONE,"$190,000",$0,"$190,000"
6,GE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/55665/General-Electric-Company/13913696/Ge-Pension-Plan/,General Electric Company,01/01/2018 — 12/31/2018,04/12/1912,"$50,008,634,994",333,Multiple Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"42,554","203,627","137,498","383,679","38,730","422,409","433,042",0,0,$0,$0,$0,$0,$0,$0,901 Main Avenue The Towers At Merritt River,Norwalk,CT,06851,(800) 432-3450,14-0689340,335900,Michael J Gorman,General Electric Company,Po Box 5000 ,Schenectady,NY,12301-6024,(800) 432-3450,14-0689340,Morneau Shepell Ltd.,Contract Administrator,NONE,"$82,896",$0,"$82,896"
7,GE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/55665/General-Electric-Company/13913696/Ge-Pension-Plan/,General Electric Company,01/01/2018 — 12/31/2018,04/12/1912,"$50,008,634,994",333,Multiple Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"42,554","203,627","137,498","383,679","38,730","422,409","433,042",0,0,$0,$0,$0,$0,$0,$0,901 Main Avenue The Towers At Merritt River,Norwalk,CT,06851,(800) 432-3450,14-0689340,335900,Michael J Gorman,General Electric Company,Po Box 5000 ,Schenectady,NY,12301-6024,(800) 432-3450,14-0689340,"Pine Cliff Consulting, Inc.","Actuarial, Consulting (pension)",NONE,"$82,741",$0,"$82,741"
8,GE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/55665/General-Electric-Company/13913696/Ge-Pension-Plan/,General Electric Company,01/01/2018 — 12/31/2018,04/12/1912,"$50,008,634,994",333,Multiple Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"42,554","203,627","137,498","383,679","38,730","422,409","433,042",0,0,$0,$0,$0,$0,$0,$0,901 Main Avenue The Towers At Merritt River,Norwalk,CT,06851,(800) 432-3450,14-0689340,335900,Michael J Gorman,General Electric Company,Po Box 5000 ,Schenectady,NY,12301-6024,(800) 432-3450,14-0689340,"Pension Benefit Information, Inc.",Other services,NONE,"$29,029",$0,"$29,029"
9,GE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/55665/General-Electric-Company/13913696/Ge-Pension-Plan/,General Electric Company,01/01/2018 — 12/31/2018,04/12/1912,"$50,008,634,994",333,Multiple Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"42,554","203,627","137,498","383,679","38,730","422,409","433,042",0,0,$0,$0,$0,$0,$0,$0,901 Main Avenue The Towers At Merritt River,Norwalk,CT,06851,(800) 432-3450,14-0689340,335900,Michael J Gorman,General Electric Company,Po Box 5000 ,Schenectady,NY,12301-6024,(800) 432-3450,14-0689340,"Curcio Webb, LLC.",Other services,NONE,"$19,500",$0,"$19,500"
