,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,GENERAL DYNAMICS RETIREMENT PLAN - GOVERNMENT,https://www.brightscope.com/form-5500/basic-info/43621/General-Dynamics-Corporation/13913748/General-Dynamics-Retirement-Plan-Government/,General Dynamics Corporation,01/01/2018 — 12/31/2018,10/01/1956,"$3,426,787,859",1,Single Employer,Yes,Yes,Trust,Trust,"9,984","20,869","16,480","47,333","3,917","51,250","51,847",0,3,$0,$0,$0,$0,$0,$0,11011 Sunset Hills Road ,Reston,VA,20190-5311,(703) 876-3000,13-1673581,334200,John Ohrnberger,Fidelity Inv. Inst. Ops. Co.,"Contract Administrator, Recordkeeping and information management (computing, tabulating, data processing, etc.), Participant communication, Direct payment from the plan, Recordkeeping fees",Recordkeeper,"$3,025,984",$0,"$3,025,984"
1,GENERAL DYNAMICS RETIREMENT PLAN - GOVERNMENT,https://www.brightscope.com/form-5500/basic-info/43621/General-Dynamics-Corporation/13913748/General-Dynamics-Retirement-Plan-Government/,General Dynamics Corporation,01/01/2018 — 12/31/2018,10/01/1956,"$3,426,787,859",1,Single Employer,Yes,Yes,Trust,Trust,"9,984","20,869","16,480","47,333","3,917","51,250","51,847",0,3,$0,$0,$0,$0,$0,$0,11011 Sunset Hills Road ,Reston,VA,20190-5311,(703) 876-3000,13-1673581,334200,John Ohrnberger,The Northern Trust Company,"Trustee (bank, trust company, or similar financial institution), Trustee (directed), Direct payment from the plan, Investment management fees paid indirectly by plan, Float revenue, Account maintenance fees, Other investment fees and expenses, Other fees",Trustee,"$1,473,336",$0,"$1,473,336"
2,GENERAL DYNAMICS RETIREMENT PLAN - GOVERNMENT,https://www.brightscope.com/form-5500/basic-info/43621/General-Dynamics-Corporation/13913748/General-Dynamics-Retirement-Plan-Government/,General Dynamics Corporation,01/01/2018 — 12/31/2018,10/01/1956,"$3,426,787,859",1,Single Employer,Yes,Yes,Trust,Trust,"9,984","20,869","16,480","47,333","3,917","51,250","51,847",0,3,$0,$0,$0,$0,$0,$0,11011 Sunset Hills Road ,Reston,VA,20190-5311,(703) 876-3000,13-1673581,334200,John Ohrnberger,Pacific Investment Mgmt Co LLC,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Investment Manager,"$158,440",$0,"$158,440"
3,GENERAL DYNAMICS RETIREMENT PLAN - GOVERNMENT,https://www.brightscope.com/form-5500/basic-info/43621/General-Dynamics-Corporation/13913748/General-Dynamics-Retirement-Plan-Government/,General Dynamics Corporation,01/01/2018 — 12/31/2018,10/01/1956,"$3,426,787,859",1,Single Employer,Yes,Yes,Trust,Trust,"9,984","20,869","16,480","47,333","3,917","51,250","51,847",0,3,$0,$0,$0,$0,$0,$0,11011 Sunset Hills Road ,Reston,VA,20190-5311,(703) 876-3000,13-1673581,334200,John Ohrnberger,Dodge & Cox,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",Investment Manager,"$154,343",$0,"$154,343"
4,GENERAL DYNAMICS RETIREMENT PLAN - GOVERNMENT,https://www.brightscope.com/form-5500/basic-info/43621/General-Dynamics-Corporation/13913748/General-Dynamics-Retirement-Plan-Government/,General Dynamics Corporation,01/01/2018 — 12/31/2018,10/01/1956,"$3,426,787,859",1,Single Employer,Yes,Yes,Trust,Trust,"9,984","20,869","16,480","47,333","3,917","51,250","51,847",0,3,$0,$0,$0,$0,$0,$0,11011 Sunset Hills Road ,Reston,VA,20190-5311,(703) 876-3000,13-1673581,334200,John Ohrnberger,Dimensional Fund Advisors Lp,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Investment Manager,"$147,006",$0,"$147,006"
5,GENERAL DYNAMICS RETIREMENT PLAN - GOVERNMENT,https://www.brightscope.com/form-5500/basic-info/43621/General-Dynamics-Corporation/13913748/General-Dynamics-Retirement-Plan-Government/,General Dynamics Corporation,01/01/2018 — 12/31/2018,10/01/1956,"$3,426,787,859",1,Single Employer,Yes,Yes,Trust,Trust,"9,984","20,869","16,480","47,333","3,917","51,250","51,847",0,3,$0,$0,$0,$0,$0,$0,11011 Sunset Hills Road ,Reston,VA,20190-5311,(703) 876-3000,13-1673581,334200,John Ohrnberger,Blackrock Institutional Trust Co Na,"Trustee (bank, trust company, or similar financial institution), Trustee (discretionary), Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",Investment Manager,"$133,699",$0,"$133,699"
6,GENERAL DYNAMICS RETIREMENT PLAN - GOVERNMENT,https://www.brightscope.com/form-5500/basic-info/43621/General-Dynamics-Corporation/13913748/General-Dynamics-Retirement-Plan-Government/,General Dynamics Corporation,01/01/2018 — 12/31/2018,10/01/1956,"$3,426,787,859",1,Single Employer,Yes,Yes,Trust,Trust,"9,984","20,869","16,480","47,333","3,917","51,250","51,847",0,3,$0,$0,$0,$0,$0,$0,11011 Sunset Hills Road ,Reston,VA,20190-5311,(703) 876-3000,13-1673581,334200,John Ohrnberger,Guggenheim Partners Invtmt Mgmt LLC,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Investment Manager,"$131,038",$0,"$131,038"
7,GENERAL DYNAMICS RETIREMENT PLAN - GOVERNMENT,https://www.brightscope.com/form-5500/basic-info/43621/General-Dynamics-Corporation/13913748/General-Dynamics-Retirement-Plan-Government/,General Dynamics Corporation,01/01/2018 — 12/31/2018,10/01/1956,"$3,426,787,859",1,Single Employer,Yes,Yes,Trust,Trust,"9,984","20,869","16,480","47,333","3,917","51,250","51,847",0,3,$0,$0,$0,$0,$0,$0,11011 Sunset Hills Road ,Reston,VA,20190-5311,(703) 876-3000,13-1673581,334200,John Ohrnberger,KPMG LLP,"Accounting (including auditing), Direct payment from the plan",Plan Auditor,"$80,677",$0,"$80,677"
8,GENERAL DYNAMICS RETIREMENT PLAN - GOVERNMENT,https://www.brightscope.com/form-5500/basic-info/43621/General-Dynamics-Corporation/13913748/General-Dynamics-Retirement-Plan-Government/,General Dynamics Corporation,01/01/2018 — 12/31/2018,10/01/1956,"$3,426,787,859",1,Single Employer,Yes,Yes,Trust,Trust,"9,984","20,869","16,480","47,333","3,917","51,250","51,847",0,3,$0,$0,$0,$0,$0,$0,11011 Sunset Hills Road ,Reston,VA,20190-5311,(703) 876-3000,13-1673581,334200,John Ohrnberger,Jenner & Block LLP,"Legal, Direct payment from the plan",Legal,"$15,584",$0,"$15,584"
9,GENERAL DYNAMICS RETIREMENT PLAN - GOVERNMENT,https://www.brightscope.com/form-5500/basic-info/43621/General-Dynamics-Corporation/13913748/General-Dynamics-Retirement-Plan-Government/,General Dynamics Corporation,01/01/2018 — 12/31/2018,10/01/1956,"$3,426,787,859",1,Single Employer,Yes,Yes,Trust,Trust,"9,984","20,869","16,480","47,333","3,917","51,250","51,847",0,3,$0,$0,$0,$0,$0,$0,11011 Sunset Hills Road ,Reston,VA,20190-5311,(703) 876-3000,13-1673581,334200,John Ohrnberger,Crowe LLP,"Accounting (including auditing), Consulting (general), Direct payment from the plan",Financial Statement Prep,"$9,789",$0,"$9,789"
