,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,GLAXOSMITHKLINE CASH BALANCE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/105123/Glaxosmithkline-Llc/13913768/Glaxosmithkline-Cash-Balance-Pension-Plan/,GlaxoSmithKline LLC,01/01/2018 — 12/31/2018,01/01/1980,"$3,595,132,760",3,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"13,791","13,191","16,726","43,708","1,636","45,344","46,386",0,0,$0,$0,$0,$0,$0,$0,5 Crescent Drive ,Philadelphia,PA,19112,(215) 751-5851,23-1099050,325410,Ricardo Deoliveira,Alight Solutions,"Contract Administrator, Recordkeeping and information management (computing, tabulating, data processing, etc.), Other fees",NONE,"$1,863,429",$0,"$1,863,429"
1,GLAXOSMITHKLINE CASH BALANCE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/105123/Glaxosmithkline-Llc/13913768/Glaxosmithkline-Cash-Balance-Pension-Plan/,GlaxoSmithKline LLC,01/01/2018 — 12/31/2018,01/01/1980,"$3,595,132,760",3,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"13,791","13,191","16,726","43,708","1,636","45,344","46,386",0,0,$0,$0,$0,$0,$0,$0,5 Crescent Drive ,Philadelphia,PA,19112,(215) 751-5851,23-1099050,325410,Ricardo Deoliveira,Legal & General Invstmt Mgmt Amer,"Investment management, Investment management fees paid directly by plan",NONE,"$1,308,498",$0,"$1,308,498"
2,GLAXOSMITHKLINE CASH BALANCE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/105123/Glaxosmithkline-Llc/13913768/Glaxosmithkline-Cash-Balance-Pension-Plan/,GlaxoSmithKline LLC,01/01/2018 — 12/31/2018,01/01/1980,"$3,595,132,760",3,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"13,791","13,191","16,726","43,708","1,636","45,344","46,386",0,0,$0,$0,$0,$0,$0,$0,5 Crescent Drive ,Philadelphia,PA,19112,(215) 751-5851,23-1099050,325410,Ricardo Deoliveira,Marathon Asset Management (Svcs)Ltd,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$1,239,951",$0,"$1,239,951"
3,GLAXOSMITHKLINE CASH BALANCE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/105123/Glaxosmithkline-Llc/13913768/Glaxosmithkline-Cash-Balance-Pension-Plan/,GlaxoSmithKline LLC,01/01/2018 — 12/31/2018,01/01/1980,"$3,595,132,760",3,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"13,791","13,191","16,726","43,708","1,636","45,344","46,386",0,0,$0,$0,$0,$0,$0,$0,5 Crescent Drive ,Philadelphia,PA,19112,(215) 751-5851,23-1099050,325410,Ricardo Deoliveira,Templeton Investment Counsel LLC,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$1,061,335",$0,"$1,061,335"
4,GLAXOSMITHKLINE CASH BALANCE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/105123/Glaxosmithkline-Llc/13913768/Glaxosmithkline-Cash-Balance-Pension-Plan/,GlaxoSmithKline LLC,01/01/2018 — 12/31/2018,01/01/1980,"$3,595,132,760",3,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"13,791","13,191","16,726","43,708","1,636","45,344","46,386",0,0,$0,$0,$0,$0,$0,$0,5 Crescent Drive ,Philadelphia,PA,19112,(215) 751-5851,23-1099050,325410,Ricardo Deoliveira,Walter Scott & Partners Ltd,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$1,045,752",$0,"$1,045,752"
5,GLAXOSMITHKLINE CASH BALANCE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/105123/Glaxosmithkline-Llc/13913768/Glaxosmithkline-Cash-Balance-Pension-Plan/,GlaxoSmithKline LLC,01/01/2018 — 12/31/2018,01/01/1980,"$3,595,132,760",3,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"13,791","13,191","16,726","43,708","1,636","45,344","46,386",0,0,$0,$0,$0,$0,$0,$0,5 Crescent Drive ,Philadelphia,PA,19112,(215) 751-5851,23-1099050,325410,Ricardo Deoliveira,Jennison Associates LLC,"Investment management, Investment management fees paid directly by plan",NONE,"$855,028",$0,"$855,028"
6,GLAXOSMITHKLINE CASH BALANCE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/105123/Glaxosmithkline-Llc/13913768/Glaxosmithkline-Cash-Balance-Pension-Plan/,GlaxoSmithKline LLC,01/01/2018 — 12/31/2018,01/01/1980,"$3,595,132,760",3,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"13,791","13,191","16,726","43,708","1,636","45,344","46,386",0,0,$0,$0,$0,$0,$0,$0,5 Crescent Drive ,Philadelphia,PA,19112,(215) 751-5851,23-1099050,325410,Ricardo Deoliveira,Income Research & Management,"Investment management, Investment management fees paid directly by plan",NONE,"$604,372",$0,"$604,372"
7,GLAXOSMITHKLINE CASH BALANCE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/105123/Glaxosmithkline-Llc/13913768/Glaxosmithkline-Cash-Balance-Pension-Plan/,GlaxoSmithKline LLC,01/01/2018 — 12/31/2018,01/01/1980,"$3,595,132,760",3,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"13,791","13,191","16,726","43,708","1,636","45,344","46,386",0,0,$0,$0,$0,$0,$0,$0,5 Crescent Drive ,Philadelphia,PA,19112,(215) 751-5851,23-1099050,325410,Ricardo Deoliveira,The Bank of New York Mellon,"Custodial (securities), Trustee (directed), Investment management fees paid indirectly by plan",Custodian & Trustee,"$592,306",$0,"$592,306"
8,GLAXOSMITHKLINE CASH BALANCE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/105123/Glaxosmithkline-Llc/13913768/Glaxosmithkline-Cash-Balance-Pension-Plan/,GlaxoSmithKline LLC,01/01/2018 — 12/31/2018,01/01/1980,"$3,595,132,760",3,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"13,791","13,191","16,726","43,708","1,636","45,344","46,386",0,0,$0,$0,$0,$0,$0,$0,5 Crescent Drive ,Philadelphia,PA,19112,(215) 751-5851,23-1099050,325410,Ricardo Deoliveira,Towers Watson Delaware Inc,"Actuarial, Direct payment from the plan, Consulting fees",NONE,"$264,907",$0,"$264,907"
9,GLAXOSMITHKLINE CASH BALANCE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/105123/Glaxosmithkline-Llc/13913768/Glaxosmithkline-Cash-Balance-Pension-Plan/,GlaxoSmithKline LLC,01/01/2018 — 12/31/2018,01/01/1980,"$3,595,132,760",3,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"13,791","13,191","16,726","43,708","1,636","45,344","46,386",0,0,$0,$0,$0,$0,$0,$0,5 Crescent Drive ,Philadelphia,PA,19112,(215) 751-5851,23-1099050,325410,Ricardo Deoliveira,State Street Global Advisors,"Custodial (other than securities), Investment management fees paid directly by plan, Custodial (securities), Investment management",NONE,"$261,256",$0,"$261,256"
10,GLAXOSMITHKLINE CASH BALANCE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/105123/Glaxosmithkline-Llc/13913768/Glaxosmithkline-Cash-Balance-Pension-Plan/,GlaxoSmithKline LLC,01/01/2018 — 12/31/2018,01/01/1980,"$3,595,132,760",3,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"13,791","13,191","16,726","43,708","1,636","45,344","46,386",0,0,$0,$0,$0,$0,$0,$0,5 Crescent Drive ,Philadelphia,PA,19112,(215) 751-5851,23-1099050,325410,Ricardo Deoliveira,Towers Watson Investment Services,"Investment management, Investment management fees paid directly by plan",NONE,"$201,390",$0,"$201,390"
11,GLAXOSMITHKLINE CASH BALANCE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/105123/Glaxosmithkline-Llc/13913768/Glaxosmithkline-Cash-Balance-Pension-Plan/,GlaxoSmithKline LLC,01/01/2018 — 12/31/2018,01/01/1980,"$3,595,132,760",3,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"13,791","13,191","16,726","43,708","1,636","45,344","46,386",0,0,$0,$0,$0,$0,$0,$0,5 Crescent Drive ,Philadelphia,PA,19112,(215) 751-5851,23-1099050,325410,Ricardo Deoliveira,John Hancock Life Insurance Company,Contract Administrator,NONE,"$29,999",$0,"$29,999"
12,GLAXOSMITHKLINE CASH BALANCE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/105123/Glaxosmithkline-Llc/13913768/Glaxosmithkline-Cash-Balance-Pension-Plan/,GlaxoSmithKline LLC,01/01/2018 — 12/31/2018,01/01/1980,"$3,595,132,760",3,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"13,791","13,191","16,726","43,708","1,636","45,344","46,386",0,0,$0,$0,$0,$0,$0,$0,5 Crescent Drive ,Philadelphia,PA,19112,(215) 751-5851,23-1099050,325410,Ricardo Deoliveira,Pricewaterhousecoopers LLP,"Accounting (including auditing), Direct payment from the plan",NONE,"$14,175",$0,"$14,175"
13,GLAXOSMITHKLINE CASH BALANCE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/105123/Glaxosmithkline-Llc/13913768/Glaxosmithkline-Cash-Balance-Pension-Plan/,GlaxoSmithKline LLC,01/01/2018 — 12/31/2018,01/01/1980,"$3,595,132,760",3,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"13,791","13,191","16,726","43,708","1,636","45,344","46,386",0,0,$0,$0,$0,$0,$0,$0,5 Crescent Drive ,Philadelphia,PA,19112,(215) 751-5851,23-1099050,325410,Ricardo Deoliveira,Total,Total,Total,"$9,342,398",$0,"$9,342,398"
