,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Genuine Parts Company Pension Plan,https://www.brightscope.com/form-5500/basic-info/282786//13913946/Genuine-Parts-Company-Pension-Plan/2018/,Genuine Parts Company,01/01/2018 — 12/31/2018,01/01/1975,"$1,830,238,104",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,151","8,322","4,340","20,813","1,176","21,989","22,491",0,0,$0,$0,$0,$0,$0,$0,2999 Wildwood Parkway ,Atlanta,GA,30339-3050,(678) 934-5000,58-0254510,423100,Genuine Parts Company Pension & Benefits Committee,2999 Wildwood Parkway ,Atlanta,GA,30339,(678) 934-5000,58-0254510,Alight Solutions,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$1,294,823",$0,"$1,294,823"
1,Genuine Parts Company Pension Plan,https://www.brightscope.com/form-5500/basic-info/282786//13913946/Genuine-Parts-Company-Pension-Plan/2018/,Genuine Parts Company,01/01/2018 — 12/31/2018,01/01/1975,"$1,830,238,104",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,151","8,322","4,340","20,813","1,176","21,989","22,491",0,0,$0,$0,$0,$0,$0,$0,2999 Wildwood Parkway ,Atlanta,GA,30339-3050,(678) 934-5000,58-0254510,423100,Genuine Parts Company Pension & Benefits Committee,2999 Wildwood Parkway ,Atlanta,GA,30339,(678) 934-5000,58-0254510,Wellington Mgmt Company,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$682,960",$0,"$682,960"
2,Genuine Parts Company Pension Plan,https://www.brightscope.com/form-5500/basic-info/282786//13913946/Genuine-Parts-Company-Pension-Plan/2018/,Genuine Parts Company,01/01/2018 — 12/31/2018,01/01/1975,"$1,830,238,104",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,151","8,322","4,340","20,813","1,176","21,989","22,491",0,0,$0,$0,$0,$0,$0,$0,2999 Wildwood Parkway ,Atlanta,GA,30339-3050,(678) 934-5000,58-0254510,423100,Genuine Parts Company Pension & Benefits Committee,2999 Wildwood Parkway ,Atlanta,GA,30339,(678) 934-5000,58-0254510,Gamco Asset Mgmt Inc.,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Non-monetary compensation",NONE,"$657,134",$0,"$657,134"
3,Genuine Parts Company Pension Plan,https://www.brightscope.com/form-5500/basic-info/282786//13913946/Genuine-Parts-Company-Pension-Plan/2018/,Genuine Parts Company,01/01/2018 — 12/31/2018,01/01/1975,"$1,830,238,104",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,151","8,322","4,340","20,813","1,176","21,989","22,491",0,0,$0,$0,$0,$0,$0,$0,2999 Wildwood Parkway ,Atlanta,GA,30339-3050,(678) 934-5000,58-0254510,423100,Genuine Parts Company Pension & Benefits Committee,2999 Wildwood Parkway ,Atlanta,GA,30339,(678) 934-5000,58-0254510,Westfield Capital Management Co LLC,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$544,034",$0,"$544,034"
4,Genuine Parts Company Pension Plan,https://www.brightscope.com/form-5500/basic-info/282786//13913946/Genuine-Parts-Company-Pension-Plan/2018/,Genuine Parts Company,01/01/2018 — 12/31/2018,01/01/1975,"$1,830,238,104",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,151","8,322","4,340","20,813","1,176","21,989","22,491",0,0,$0,$0,$0,$0,$0,$0,2999 Wildwood Parkway ,Atlanta,GA,30339-3050,(678) 934-5000,58-0254510,423100,Genuine Parts Company Pension & Benefits Committee,2999 Wildwood Parkway ,Atlanta,GA,30339,(678) 934-5000,58-0254510,Wedge Capital Management LLP,"Investment management, Direct payment from the plan, Soft dollars commissions",NONE,"$529,062",$0,"$529,062"
5,Genuine Parts Company Pension Plan,https://www.brightscope.com/form-5500/basic-info/282786//13913946/Genuine-Parts-Company-Pension-Plan/2018/,Genuine Parts Company,01/01/2018 — 12/31/2018,01/01/1975,"$1,830,238,104",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,151","8,322","4,340","20,813","1,176","21,989","22,491",0,0,$0,$0,$0,$0,$0,$0,2999 Wildwood Parkway ,Atlanta,GA,30339-3050,(678) 934-5000,58-0254510,423100,Genuine Parts Company Pension & Benefits Committee,2999 Wildwood Parkway ,Atlanta,GA,30339,(678) 934-5000,58-0254510,Atlanta Capital Management Co LLP,"Investment management, Direct payment from the plan, Soft dollars commissions, Securities brokerage commissions and fees",NONE,"$528,751",$0,"$528,751"
6,Genuine Parts Company Pension Plan,https://www.brightscope.com/form-5500/basic-info/282786//13913946/Genuine-Parts-Company-Pension-Plan/2018/,Genuine Parts Company,01/01/2018 — 12/31/2018,01/01/1975,"$1,830,238,104",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,151","8,322","4,340","20,813","1,176","21,989","22,491",0,0,$0,$0,$0,$0,$0,$0,2999 Wildwood Parkway ,Atlanta,GA,30339-3050,(678) 934-5000,58-0254510,423100,Genuine Parts Company Pension & Benefits Committee,2999 Wildwood Parkway ,Atlanta,GA,30339,(678) 934-5000,58-0254510,Suntrust,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan",Trustee,"$510,331",$0,"$510,331"
7,Genuine Parts Company Pension Plan,https://www.brightscope.com/form-5500/basic-info/282786//13913946/Genuine-Parts-Company-Pension-Plan/2018/,Genuine Parts Company,01/01/2018 — 12/31/2018,01/01/1975,"$1,830,238,104",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,151","8,322","4,340","20,813","1,176","21,989","22,491",0,0,$0,$0,$0,$0,$0,$0,2999 Wildwood Parkway ,Atlanta,GA,30339-3050,(678) 934-5000,58-0254510,423100,Genuine Parts Company Pension & Benefits Committee,2999 Wildwood Parkway ,Atlanta,GA,30339,(678) 934-5000,58-0254510,Wells Capital Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$483,349",$0,"$483,349"
8,Genuine Parts Company Pension Plan,https://www.brightscope.com/form-5500/basic-info/282786//13913946/Genuine-Parts-Company-Pension-Plan/2018/,Genuine Parts Company,01/01/2018 — 12/31/2018,01/01/1975,"$1,830,238,104",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,151","8,322","4,340","20,813","1,176","21,989","22,491",0,0,$0,$0,$0,$0,$0,$0,2999 Wildwood Parkway ,Atlanta,GA,30339-3050,(678) 934-5000,58-0254510,423100,Genuine Parts Company Pension & Benefits Committee,2999 Wildwood Parkway ,Atlanta,GA,30339,(678) 934-5000,58-0254510,Sound Shore Management Inc,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$429,317",$0,"$429,317"
9,Genuine Parts Company Pension Plan,https://www.brightscope.com/form-5500/basic-info/282786//13913946/Genuine-Parts-Company-Pension-Plan/2018/,Genuine Parts Company,01/01/2018 — 12/31/2018,01/01/1975,"$1,830,238,104",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"8,151","8,322","4,340","20,813","1,176","21,989","22,491",0,0,$0,$0,$0,$0,$0,$0,2999 Wildwood Parkway ,Atlanta,GA,30339-3050,(678) 934-5000,58-0254510,423100,Genuine Parts Company Pension & Benefits Committee,2999 Wildwood Parkway ,Atlanta,GA,30339,(678) 934-5000,58-0254510,Blackrock Financial Mgmt,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$331,687",$0,"$331,687"
