,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 10/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 11/01/2017,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,HP INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/410797/Hp-Inc/13924705/Hp-Inc-Pension-Plan/2018/,HP Inc.,11/01/2017 — 10/31/2018,11/01/1976,"$10,378,215,395",3,Single Employer,No,Yes,Trust,Trust,"6,298","38,906","63,540","108,744","4,508","113,252","116,075",0,0,$0,$0,$0,$0,$0,$0,"3800 Quick Hill Road Building 2, Suite 100",Austin,TX,78728,(512) 319-9599,94-1081436,334110,Alight Solutions LLC,"Actuarial, Direct payment from the plan, Recordkeeping fees, Account maintenance fees",NONE,"$3,853,170",$0,"$3,853,170"
1,HP INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/410797/Hp-Inc/13924705/Hp-Inc-Pension-Plan/2018/,HP Inc.,11/01/2017 — 10/31/2018,11/01/1976,"$10,378,215,395",3,Single Employer,No,Yes,Trust,Trust,"6,298","38,906","63,540","108,744","4,508","113,252","116,075",0,0,$0,$0,$0,$0,$0,$0,"3800 Quick Hill Road Building 2, Suite 100",Austin,TX,78728,(512) 319-9599,94-1081436,334110,Fidelity Management Trust Company,"Contract Administrator, Recordkeeping fees, Direct payment from the plan",NONE,"$3,247,305",$0,"$3,247,305"
2,HP INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/410797/Hp-Inc/13924705/Hp-Inc-Pension-Plan/2018/,HP Inc.,11/01/2017 — 10/31/2018,11/01/1976,"$10,378,215,395",3,Single Employer,No,Yes,Trust,Trust,"6,298","38,906","63,540","108,744","4,508","113,252","116,075",0,0,$0,$0,$0,$0,$0,$0,"3800 Quick Hill Road Building 2, Suite 100",Austin,TX,78728,(512) 319-9599,94-1081436,334110,Bank of New York Mellon,"Custodial (other than securities), Other investment fees and expenses, Direct payment from the plan, Other fees","Trustee, Custodian","$640,320",$0,"$640,320"
3,HP INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/410797/Hp-Inc/13924705/Hp-Inc-Pension-Plan/2018/,HP Inc.,11/01/2017 — 10/31/2018,11/01/1976,"$10,378,215,395",3,Single Employer,No,Yes,Trust,Trust,"6,298","38,906","63,540","108,744","4,508","113,252","116,075",0,0,$0,$0,$0,$0,$0,$0,"3800 Quick Hill Road Building 2, Suite 100",Austin,TX,78728,(512) 319-9599,94-1081436,334110,United Healthcare,Claims processing,NONE,"$604,693",$0,"$604,693"
4,HP INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/410797/Hp-Inc/13924705/Hp-Inc-Pension-Plan/2018/,HP Inc.,11/01/2017 — 10/31/2018,11/01/1976,"$10,378,215,395",3,Single Employer,No,Yes,Trust,Trust,"6,298","38,906","63,540","108,744","4,508","113,252","116,075",0,0,$0,$0,$0,$0,$0,$0,"3800 Quick Hill Road Building 2, Suite 100",Austin,TX,78728,(512) 319-9599,94-1081436,334110,Hp Inc.,"Plan Administrator, Investment management, Direct payment from the plan",Plan Sponsor,"$569,377",$0,"$569,377"
5,HP INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/410797/Hp-Inc/13924705/Hp-Inc-Pension-Plan/2018/,HP Inc.,11/01/2017 — 10/31/2018,11/01/1976,"$10,378,215,395",3,Single Employer,No,Yes,Trust,Trust,"6,298","38,906","63,540","108,744","4,508","113,252","116,075",0,0,$0,$0,$0,$0,$0,$0,"3800 Quick Hill Road Building 2, Suite 100",Austin,TX,78728,(512) 319-9599,94-1081436,334110,Wellpoint,Claims processing,NONE,"$292,304",$0,"$292,304"
6,HP INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/410797/Hp-Inc/13924705/Hp-Inc-Pension-Plan/2018/,HP Inc.,11/01/2017 — 10/31/2018,11/01/1976,"$10,378,215,395",3,Single Employer,No,Yes,Trust,Trust,"6,298","38,906","63,540","108,744","4,508","113,252","116,075",0,0,$0,$0,$0,$0,$0,$0,"3800 Quick Hill Road Building 2, Suite 100",Austin,TX,78728,(512) 319-9599,94-1081436,334110,Aetna Us Healthcare,Claims processing,NONE,"$147,041",$0,"$147,041"
7,HP INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/410797/Hp-Inc/13924705/Hp-Inc-Pension-Plan/2018/,HP Inc.,11/01/2017 — 10/31/2018,11/01/1976,"$10,378,215,395",3,Single Employer,No,Yes,Trust,Trust,"6,298","38,906","63,540","108,744","4,508","113,252","116,075",0,0,$0,$0,$0,$0,$0,$0,"3800 Quick Hill Road Building 2, Suite 100",Austin,TX,78728,(512) 319-9599,94-1081436,334110,Cigna,Claims processing,NONE,"$89,788",$0,"$89,788"
8,HP INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/410797/Hp-Inc/13924705/Hp-Inc-Pension-Plan/2018/,HP Inc.,11/01/2017 — 10/31/2018,11/01/1976,"$10,378,215,395",3,Single Employer,No,Yes,Trust,Trust,"6,298","38,906","63,540","108,744","4,508","113,252","116,075",0,0,$0,$0,$0,$0,$0,$0,"3800 Quick Hill Road Building 2, Suite 100",Austin,TX,78728,(512) 319-9599,94-1081436,334110,Optum,Claims processing,NONE,"$64,811",$0,"$64,811"
9,HP INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/410797/Hp-Inc/13924705/Hp-Inc-Pension-Plan/2018/,HP Inc.,11/01/2017 — 10/31/2018,11/01/1976,"$10,378,215,395",3,Single Employer,No,Yes,Trust,Trust,"6,298","38,906","63,540","108,744","4,508","113,252","116,075",0,0,$0,$0,$0,$0,$0,$0,"3800 Quick Hill Road Building 2, Suite 100",Austin,TX,78728,(512) 319-9599,94-1081436,334110,Moss Adams,"Accounting (including auditing), Direct payment from the plan",Accountant,"$53,959",$0,"$53,959"
