,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,HSBC NORTH AMERICA (U.S.) PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/109420/Hsbc-North-America-Holdings-Inc/13913793/Hsbc-North-America-Us-Pension-Plan/,HSBC North America Holdings Inc.,01/01/2018 — 12/31/2018,10/01/1945,"$3,237,633,755",1,Single Employer,No,Yes,Trust,Trust,"5,446","16,105","27,335","48,886","2,294","51,180","52,679",0,0,$0,$0,$0,$0,$0,$0,"1421 W. Shure Drive, Suite 100 ",Arlington Heights,IL,60004,(847) 843-5153,23-2186091,551112,Robin Hughes-Taylor,Plan Administrative Committee,"1421 W. Shure Drive, Suite 100 ",Arlington Heights,IL,60004,(847) 843-5153,36-0619741,Tower Watson,"Consulting (general), Investment advisory (plan), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$5,349,191",$0,"$5,349,191"
1,HSBC NORTH AMERICA (U.S.) PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/109420/Hsbc-North-America-Holdings-Inc/13913793/Hsbc-North-America-Us-Pension-Plan/,HSBC North America Holdings Inc.,01/01/2018 — 12/31/2018,10/01/1945,"$3,237,633,755",1,Single Employer,No,Yes,Trust,Trust,"5,446","16,105","27,335","48,886","2,294","51,180","52,679",0,0,$0,$0,$0,$0,$0,$0,"1421 W. Shure Drive, Suite 100 ",Arlington Heights,IL,60004,(847) 843-5153,23-2186091,551112,Robin Hughes-Taylor,Plan Administrative Committee,"1421 W. Shure Drive, Suite 100 ",Arlington Heights,IL,60004,(847) 843-5153,36-0619741,Alight Solutions LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$4,432,238",$0,"$4,432,238"
2,HSBC NORTH AMERICA (U.S.) PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/109420/Hsbc-North-America-Holdings-Inc/13913793/Hsbc-North-America-Us-Pension-Plan/,HSBC North America Holdings Inc.,01/01/2018 — 12/31/2018,10/01/1945,"$3,237,633,755",1,Single Employer,No,Yes,Trust,Trust,"5,446","16,105","27,335","48,886","2,294","51,180","52,679",0,0,$0,$0,$0,$0,$0,$0,"1421 W. Shure Drive, Suite 100 ",Arlington Heights,IL,60004,(847) 843-5153,23-2186091,551112,Robin Hughes-Taylor,Plan Administrative Committee,"1421 W. Shure Drive, Suite 100 ",Arlington Heights,IL,60004,(847) 843-5153,36-0619741,The Northern Trust Company,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan",NONE,"$1,311,823",$0,"$1,311,823"
3,HSBC NORTH AMERICA (U.S.) PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/109420/Hsbc-North-America-Holdings-Inc/13913793/Hsbc-North-America-Us-Pension-Plan/,HSBC North America Holdings Inc.,01/01/2018 — 12/31/2018,10/01/1945,"$3,237,633,755",1,Single Employer,No,Yes,Trust,Trust,"5,446","16,105","27,335","48,886","2,294","51,180","52,679",0,0,$0,$0,$0,$0,$0,$0,"1421 W. Shure Drive, Suite 100 ",Arlington Heights,IL,60004,(847) 843-5153,23-2186091,551112,Robin Hughes-Taylor,Plan Administrative Committee,"1421 W. Shure Drive, Suite 100 ",Arlington Heights,IL,60004,(847) 843-5153,36-0619741,"Nisa Investment Advisors, LLC","Investment advisory (plan), Direct payment from the plan",NONE,"$1,267,749",$0,"$1,267,749"
4,HSBC NORTH AMERICA (U.S.) PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/109420/Hsbc-North-America-Holdings-Inc/13913793/Hsbc-North-America-Us-Pension-Plan/,HSBC North America Holdings Inc.,01/01/2018 — 12/31/2018,10/01/1945,"$3,237,633,755",1,Single Employer,No,Yes,Trust,Trust,"5,446","16,105","27,335","48,886","2,294","51,180","52,679",0,0,$0,$0,$0,$0,$0,$0,"1421 W. Shure Drive, Suite 100 ",Arlington Heights,IL,60004,(847) 843-5153,23-2186091,551112,Robin Hughes-Taylor,Plan Administrative Committee,"1421 W. Shure Drive, Suite 100 ",Arlington Heights,IL,60004,(847) 843-5153,36-0619741,Jennison Associates LLC,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$1,147,271",$0,"$1,147,271"
5,HSBC NORTH AMERICA (U.S.) PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/109420/Hsbc-North-America-Holdings-Inc/13913793/Hsbc-North-America-Us-Pension-Plan/,HSBC North America Holdings Inc.,01/01/2018 — 12/31/2018,10/01/1945,"$3,237,633,755",1,Single Employer,No,Yes,Trust,Trust,"5,446","16,105","27,335","48,886","2,294","51,180","52,679",0,0,$0,$0,$0,$0,$0,$0,"1421 W. Shure Drive, Suite 100 ",Arlington Heights,IL,60004,(847) 843-5153,23-2186091,551112,Robin Hughes-Taylor,Plan Administrative Committee,"1421 W. Shure Drive, Suite 100 ",Arlington Heights,IL,60004,(847) 843-5153,36-0619741,Marathon,"Investment advisory (plan), Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$1,122,302",$0,"$1,122,302"
6,HSBC NORTH AMERICA (U.S.) PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/109420/Hsbc-North-America-Holdings-Inc/13913793/Hsbc-North-America-Us-Pension-Plan/,HSBC North America Holdings Inc.,01/01/2018 — 12/31/2018,10/01/1945,"$3,237,633,755",1,Single Employer,No,Yes,Trust,Trust,"5,446","16,105","27,335","48,886","2,294","51,180","52,679",0,0,$0,$0,$0,$0,$0,$0,"1421 W. Shure Drive, Suite 100 ",Arlington Heights,IL,60004,(847) 843-5153,23-2186091,551112,Robin Hughes-Taylor,Plan Administrative Committee,"1421 W. Shure Drive, Suite 100 ",Arlington Heights,IL,60004,(847) 843-5153,36-0619741,Pzena Investment Management,"Investment management, Direct payment from the plan, Soft dollars commissions",NONE,"$914,305","$5,545","$919,850"
7,HSBC NORTH AMERICA (U.S.) PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/109420/Hsbc-North-America-Holdings-Inc/13913793/Hsbc-North-America-Us-Pension-Plan/,HSBC North America Holdings Inc.,01/01/2018 — 12/31/2018,10/01/1945,"$3,237,633,755",1,Single Employer,No,Yes,Trust,Trust,"5,446","16,105","27,335","48,886","2,294","51,180","52,679",0,0,$0,$0,$0,$0,$0,$0,"1421 W. Shure Drive, Suite 100 ",Arlington Heights,IL,60004,(847) 843-5153,23-2186091,551112,Robin Hughes-Taylor,Plan Administrative Committee,"1421 W. Shure Drive, Suite 100 ",Arlington Heights,IL,60004,(847) 843-5153,36-0619741,Goldman Sachs Asset Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Non-monetary compensation",NONE,"$893,179",$0,"$893,179"
8,HSBC NORTH AMERICA (U.S.) PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/109420/Hsbc-North-America-Holdings-Inc/13913793/Hsbc-North-America-Us-Pension-Plan/,HSBC North America Holdings Inc.,01/01/2018 — 12/31/2018,10/01/1945,"$3,237,633,755",1,Single Employer,No,Yes,Trust,Trust,"5,446","16,105","27,335","48,886","2,294","51,180","52,679",0,0,$0,$0,$0,$0,$0,$0,"1421 W. Shure Drive, Suite 100 ",Arlington Heights,IL,60004,(847) 843-5153,23-2186091,551112,Robin Hughes-Taylor,Plan Administrative Committee,"1421 W. Shure Drive, Suite 100 ",Arlington Heights,IL,60004,(847) 843-5153,36-0619741,"Sands Capital Management, LLC","Investment management, Direct payment from the plan, Soft dollars commissions",NONE,"$776,234",$0,"$776,234"
9,HSBC NORTH AMERICA (U.S.) PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/109420/Hsbc-North-America-Holdings-Inc/13913793/Hsbc-North-America-Us-Pension-Plan/,HSBC North America Holdings Inc.,01/01/2018 — 12/31/2018,10/01/1945,"$3,237,633,755",1,Single Employer,No,Yes,Trust,Trust,"5,446","16,105","27,335","48,886","2,294","51,180","52,679",0,0,$0,$0,$0,$0,$0,$0,"1421 W. Shure Drive, Suite 100 ",Arlington Heights,IL,60004,(847) 843-5153,23-2186091,551112,Robin Hughes-Taylor,Plan Administrative Committee,"1421 W. Shure Drive, Suite 100 ",Arlington Heights,IL,60004,(847) 843-5153,36-0619741,Neuberger and Berman,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$749,347",$0,"$749,347"
