,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,HUNTINGTON BANCSHARES RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/127680/Huntington-Bancshares-Incorporated/13914220/Huntington-Bancshares-Retirement-Plan/,HUNTINGTON BANCSHARES INCORPORATED,01/01/2018 — 12/31/2018,01/01/1954,"$838,390,705",1,Single Employer,No,Yes,Trust,Trust,"4,300","3,332","5,287","12,919",335,"13,254","13,563",0,0,$0,$0,$0,$0,$0,$0,37 West Broad Street Hp0600,Columbus,OH,43215,(614) 480-6327,31-0724920,522110,Tasia Mcintyre,Huntington Bancshares Inc Retirement Committee,37 West Broad Street Hp0600,Columbus,OH,43215,(614) 480-6327,31-0883768,Mercer (Us) Inc.,"Consulting (pension), Investment advisory (plan)",NONE,"$656,333",$0,"$656,333"
1,HUNTINGTON BANCSHARES RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/127680/Huntington-Bancshares-Incorporated/13914220/Huntington-Bancshares-Retirement-Plan/,HUNTINGTON BANCSHARES INCORPORATED,01/01/2018 — 12/31/2018,01/01/1954,"$838,390,705",1,Single Employer,No,Yes,Trust,Trust,"4,300","3,332","5,287","12,919",335,"13,254","13,563",0,0,$0,$0,$0,$0,$0,$0,37 West Broad Street Hp0600,Columbus,OH,43215,(614) 480-6327,31-0724920,522110,Tasia Mcintyre,Huntington Bancshares Inc Retirement Committee,37 West Broad Street Hp0600,Columbus,OH,43215,(614) 480-6327,31-0883768,Mercer (Us) Inc.,"Actuarial, Consulting (pension)",NONE,"$324,043",$0,"$324,043"
2,HUNTINGTON BANCSHARES RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/127680/Huntington-Bancshares-Incorporated/13914220/Huntington-Bancshares-Retirement-Plan/,HUNTINGTON BANCSHARES INCORPORATED,01/01/2018 — 12/31/2018,01/01/1954,"$838,390,705",1,Single Employer,No,Yes,Trust,Trust,"4,300","3,332","5,287","12,919",335,"13,254","13,563",0,0,$0,$0,$0,$0,$0,$0,37 West Broad Street Hp0600,Columbus,OH,43215,(614) 480-6327,31-0724920,522110,Tasia Mcintyre,Huntington Bancshares Inc Retirement Committee,37 West Broad Street Hp0600,Columbus,OH,43215,(614) 480-6327,31-0883768,Aon Consulting,"Recordkeeping and information management (computing, tabulating, data processing, etc.)",NONE,"$166,712",$0,"$166,712"
3,HUNTINGTON BANCSHARES RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/127680/Huntington-Bancshares-Incorporated/13914220/Huntington-Bancshares-Retirement-Plan/,HUNTINGTON BANCSHARES INCORPORATED,01/01/2018 — 12/31/2018,01/01/1954,"$838,390,705",1,Single Employer,No,Yes,Trust,Trust,"4,300","3,332","5,287","12,919",335,"13,254","13,563",0,0,$0,$0,$0,$0,$0,$0,37 West Broad Street Hp0600,Columbus,OH,43215,(614) 480-6327,31-0724920,522110,Tasia Mcintyre,Huntington Bancshares Inc Retirement Committee,37 West Broad Street Hp0600,Columbus,OH,43215,(614) 480-6327,31-0883768,Huntington National Bank,Plan Administrator,Subsidiary,"$150,460",$0,"$150,460"
4,HUNTINGTON BANCSHARES RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/127680/Huntington-Bancshares-Incorporated/13914220/Huntington-Bancshares-Retirement-Plan/,HUNTINGTON BANCSHARES INCORPORATED,01/01/2018 — 12/31/2018,01/01/1954,"$838,390,705",1,Single Employer,No,Yes,Trust,Trust,"4,300","3,332","5,287","12,919",335,"13,254","13,563",0,0,$0,$0,$0,$0,$0,$0,37 West Broad Street Hp0600,Columbus,OH,43215,(614) 480-6327,31-0724920,522110,Tasia Mcintyre,Huntington Bancshares Inc Retirement Committee,37 West Broad Street Hp0600,Columbus,OH,43215,(614) 480-6327,31-0883768,"Findley, Inc.","Recordkeeping and information management (computing, tabulating, data processing, etc.)",NONE,"$114,256",$0,"$114,256"
5,HUNTINGTON BANCSHARES RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/127680/Huntington-Bancshares-Incorporated/13914220/Huntington-Bancshares-Retirement-Plan/,HUNTINGTON BANCSHARES INCORPORATED,01/01/2018 — 12/31/2018,01/01/1954,"$838,390,705",1,Single Employer,No,Yes,Trust,Trust,"4,300","3,332","5,287","12,919",335,"13,254","13,563",0,0,$0,$0,$0,$0,$0,$0,37 West Broad Street Hp0600,Columbus,OH,43215,(614) 480-6327,31-0724920,522110,Tasia Mcintyre,Huntington Bancshares Inc Retirement Committee,37 West Broad Street Hp0600,Columbus,OH,43215,(614) 480-6327,31-0883768,Pricewaterhousecoopers,Accounting (including auditing),NONE,"$45,000",$0,"$45,000"
6,HUNTINGTON BANCSHARES RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/127680/Huntington-Bancshares-Incorporated/13914220/Huntington-Bancshares-Retirement-Plan/,HUNTINGTON BANCSHARES INCORPORATED,01/01/2018 — 12/31/2018,01/01/1954,"$838,390,705",1,Single Employer,No,Yes,Trust,Trust,"4,300","3,332","5,287","12,919",335,"13,254","13,563",0,0,$0,$0,$0,$0,$0,$0,37 West Broad Street Hp0600,Columbus,OH,43215,(614) 480-6327,31-0724920,522110,Tasia Mcintyre,Huntington Bancshares Inc Retirement Committee,37 West Broad Street Hp0600,Columbus,OH,43215,(614) 480-6327,31-0883768,BDO,Accounting (including auditing),NONE,"$31,200",$0,"$31,200"
7,HUNTINGTON BANCSHARES RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/127680/Huntington-Bancshares-Incorporated/13914220/Huntington-Bancshares-Retirement-Plan/,HUNTINGTON BANCSHARES INCORPORATED,01/01/2018 — 12/31/2018,01/01/1954,"$838,390,705",1,Single Employer,No,Yes,Trust,Trust,"4,300","3,332","5,287","12,919",335,"13,254","13,563",0,0,$0,$0,$0,$0,$0,$0,37 West Broad Street Hp0600,Columbus,OH,43215,(614) 480-6327,31-0724920,522110,Tasia Mcintyre,Huntington Bancshares Inc Retirement Committee,37 West Broad Street Hp0600,Columbus,OH,43215,(614) 480-6327,31-0883768,Baker & Hostetler,Legal,NONE,"$15,727",$0,"$15,727"
8,HUNTINGTON BANCSHARES RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/127680/Huntington-Bancshares-Incorporated/13914220/Huntington-Bancshares-Retirement-Plan/,HUNTINGTON BANCSHARES INCORPORATED,01/01/2018 — 12/31/2018,01/01/1954,"$838,390,705",1,Single Employer,No,Yes,Trust,Trust,"4,300","3,332","5,287","12,919",335,"13,254","13,563",0,0,$0,$0,$0,$0,$0,$0,37 West Broad Street Hp0600,Columbus,OH,43215,(614) 480-6327,31-0724920,522110,Tasia Mcintyre,Huntington Bancshares Inc Retirement Committee,37 West Broad Street Hp0600,Columbus,OH,43215,(614) 480-6327,31-0883768,Porter Wright Morris & Arthur LLP,Legal,NONE,"$13,911",$0,"$13,911"
9,HUNTINGTON BANCSHARES RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/127680/Huntington-Bancshares-Incorporated/13914220/Huntington-Bancshares-Retirement-Plan/,HUNTINGTON BANCSHARES INCORPORATED,01/01/2018 — 12/31/2018,01/01/1954,"$838,390,705",1,Single Employer,No,Yes,Trust,Trust,"4,300","3,332","5,287","12,919",335,"13,254","13,563",0,0,$0,$0,$0,$0,$0,$0,37 West Broad Street Hp0600,Columbus,OH,43215,(614) 480-6327,31-0724920,522110,Tasia Mcintyre,Huntington Bancshares Inc Retirement Committee,37 West Broad Street Hp0600,Columbus,OH,43215,(614) 480-6327,31-0883768,Total,Total,Total,"$1,517,642",$0,"$1,517,642"
