,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Hess Corporation Employees' Pension Plan,https://www.brightscope.com/form-5500/basic-info/54894/Hess-Corporation/13913986/Hess-Corporation-Employees-Pension-Plan/,HESS CORPORATION,01/01/2018 — 12/31/2018,02/01/1972,"$1,899,426,350",333,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"1,492","5,056","6,214","12,762","1,012","13,774","13,771",0,91,$0,$0,$0,$0,$0,$0,1501 Mckinney Street ,Houston,TX,77010,(713) 496-5500,13-4921002,324110,Brent Schwartz,Hess Corporation Employee Benefit Plans Committee,1501 Mckinney Street ,Houston,TX,77010,(713) 496-5500,13-2857739,"Winslow Capital Management, Inc.","Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$1,217,823",$0,"$1,217,823"
1,Hess Corporation Employees' Pension Plan,https://www.brightscope.com/form-5500/basic-info/54894/Hess-Corporation/13913986/Hess-Corporation-Employees-Pension-Plan/,HESS CORPORATION,01/01/2018 — 12/31/2018,02/01/1972,"$1,899,426,350",333,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"1,492","5,056","6,214","12,762","1,012","13,774","13,771",0,91,$0,$0,$0,$0,$0,$0,1501 Mckinney Street ,Houston,TX,77010,(713) 496-5500,13-4921002,324110,Brent Schwartz,Hess Corporation Employee Benefit Plans Committee,1501 Mckinney Street ,Houston,TX,77010,(713) 496-5500,13-2857739,Westwood Management Corp,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$873,131",$0,"$873,131"
2,Hess Corporation Employees' Pension Plan,https://www.brightscope.com/form-5500/basic-info/54894/Hess-Corporation/13913986/Hess-Corporation-Employees-Pension-Plan/,HESS CORPORATION,01/01/2018 — 12/31/2018,02/01/1972,"$1,899,426,350",333,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"1,492","5,056","6,214","12,762","1,012","13,774","13,771",0,91,$0,$0,$0,$0,$0,$0,1501 Mckinney Street ,Houston,TX,77010,(713) 496-5500,13-4921002,324110,Brent Schwartz,Hess Corporation Employee Benefit Plans Committee,1501 Mckinney Street ,Houston,TX,77010,(713) 496-5500,13-2857739,Morgan Stanley,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$818,604",$0,"$818,604"
3,Hess Corporation Employees' Pension Plan,https://www.brightscope.com/form-5500/basic-info/54894/Hess-Corporation/13913986/Hess-Corporation-Employees-Pension-Plan/,HESS CORPORATION,01/01/2018 — 12/31/2018,02/01/1972,"$1,899,426,350",333,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"1,492","5,056","6,214","12,762","1,012","13,774","13,771",0,91,$0,$0,$0,$0,$0,$0,1501 Mckinney Street ,Houston,TX,77010,(713) 496-5500,13-4921002,324110,Brent Schwartz,Hess Corporation Employee Benefit Plans Committee,1501 Mckinney Street ,Houston,TX,77010,(713) 496-5500,13-2857739,Lazard Asset Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$737,161",$0,"$737,161"
4,Hess Corporation Employees' Pension Plan,https://www.brightscope.com/form-5500/basic-info/54894/Hess-Corporation/13913986/Hess-Corporation-Employees-Pension-Plan/,HESS CORPORATION,01/01/2018 — 12/31/2018,02/01/1972,"$1,899,426,350",333,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"1,492","5,056","6,214","12,762","1,012","13,774","13,771",0,91,$0,$0,$0,$0,$0,$0,1501 Mckinney Street ,Houston,TX,77010,(713) 496-5500,13-4921002,324110,Brent Schwartz,Hess Corporation Employee Benefit Plans Committee,1501 Mckinney Street ,Houston,TX,77010,(713) 496-5500,13-2857739,Wcm Investment Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$709,764",$0,"$709,764"
5,Hess Corporation Employees' Pension Plan,https://www.brightscope.com/form-5500/basic-info/54894/Hess-Corporation/13913986/Hess-Corporation-Employees-Pension-Plan/,HESS CORPORATION,01/01/2018 — 12/31/2018,02/01/1972,"$1,899,426,350",333,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"1,492","5,056","6,214","12,762","1,012","13,774","13,771",0,91,$0,$0,$0,$0,$0,$0,1501 Mckinney Street ,Houston,TX,77010,(713) 496-5500,13-4921002,324110,Brent Schwartz,Hess Corporation Employee Benefit Plans Committee,1501 Mckinney Street ,Houston,TX,77010,(713) 496-5500,13-2857739,The Northern Trust Company,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan, Float revenue",NONE,"$661,658",$0,"$661,658"
6,Hess Corporation Employees' Pension Plan,https://www.brightscope.com/form-5500/basic-info/54894/Hess-Corporation/13913986/Hess-Corporation-Employees-Pension-Plan/,HESS CORPORATION,01/01/2018 — 12/31/2018,02/01/1972,"$1,899,426,350",333,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"1,492","5,056","6,214","12,762","1,012","13,774","13,771",0,91,$0,$0,$0,$0,$0,$0,1501 Mckinney Street ,Houston,TX,77010,(713) 496-5500,13-4921002,324110,Brent Schwartz,Hess Corporation Employee Benefit Plans Committee,1501 Mckinney Street ,Houston,TX,77010,(713) 496-5500,13-2857739,Lsv Asset Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$608,968",$0,"$608,968"
7,Hess Corporation Employees' Pension Plan,https://www.brightscope.com/form-5500/basic-info/54894/Hess-Corporation/13913986/Hess-Corporation-Employees-Pension-Plan/,HESS CORPORATION,01/01/2018 — 12/31/2018,02/01/1972,"$1,899,426,350",333,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"1,492","5,056","6,214","12,762","1,012","13,774","13,771",0,91,$0,$0,$0,$0,$0,$0,1501 Mckinney Street ,Houston,TX,77010,(713) 496-5500,13-4921002,324110,Brent Schwartz,Hess Corporation Employee Benefit Plans Committee,1501 Mckinney Street ,Houston,TX,77010,(713) 496-5500,13-2857739,Blackrock Financial Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$578,679",$0,"$578,679"
8,Hess Corporation Employees' Pension Plan,https://www.brightscope.com/form-5500/basic-info/54894/Hess-Corporation/13913986/Hess-Corporation-Employees-Pension-Plan/,HESS CORPORATION,01/01/2018 — 12/31/2018,02/01/1972,"$1,899,426,350",333,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"1,492","5,056","6,214","12,762","1,012","13,774","13,771",0,91,$0,$0,$0,$0,$0,$0,1501 Mckinney Street ,Houston,TX,77010,(713) 496-5500,13-4921002,324110,Brent Schwartz,Hess Corporation Employee Benefit Plans Committee,1501 Mckinney Street ,Houston,TX,77010,(713) 496-5500,13-2857739,Vaughan Nelson,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$444,069",$0,"$444,069"
9,Hess Corporation Employees' Pension Plan,https://www.brightscope.com/form-5500/basic-info/54894/Hess-Corporation/13913986/Hess-Corporation-Employees-Pension-Plan/,HESS CORPORATION,01/01/2018 — 12/31/2018,02/01/1972,"$1,899,426,350",333,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"1,492","5,056","6,214","12,762","1,012","13,774","13,771",0,91,$0,$0,$0,$0,$0,$0,1501 Mckinney Street ,Houston,TX,77010,(713) 496-5500,13-4921002,324110,Brent Schwartz,Hess Corporation Employee Benefit Plans Committee,1501 Mckinney Street ,Houston,TX,77010,(713) 496-5500,13-2857739,Timessquare Capital Management LLC,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$413,589",$0,"$413,589"
