,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Highmark Retirement Plan,https://www.brightscope.com/form-5500/basic-info/105291/Highmark-Inc/13913926/Highmark-Retirement-Plan/,HIGHMARK  INC.,01/01/2018 — 12/31/2018,06/15/1974,"$2,222,825,593",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"9,091","5,421","5,949","20,461",587,"21,048","21,751",0,27,$0,$0,$0,$0,$0,$0,120 5th Ave ,Pittsburgh,PA,15222-3000,(412) 544-5762,23-1294723,524140,Christine Walter,Beth Ross,"Mercer Hr Services, LLC","Actuarial, Investment management",NONE,"$1,394,243",$0,"$1,394,243"
1,Highmark Retirement Plan,https://www.brightscope.com/form-5500/basic-info/105291/Highmark-Inc/13913926/Highmark-Retirement-Plan/,HIGHMARK  INC.,01/01/2018 — 12/31/2018,06/15/1974,"$2,222,825,593",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"9,091","5,421","5,949","20,461",587,"21,048","21,751",0,27,$0,$0,$0,$0,$0,$0,120 5th Ave ,Pittsburgh,PA,15222-3000,(412) 544-5762,23-1294723,524140,Christine Walter,Beth Ross,Bny Mellon - Gss Compensation Fund,Trustee (directed),NONE,"$1,112,126",$0,"$1,112,126"
2,Highmark Retirement Plan,https://www.brightscope.com/form-5500/basic-info/105291/Highmark-Inc/13913926/Highmark-Retirement-Plan/,HIGHMARK  INC.,01/01/2018 — 12/31/2018,06/15/1974,"$2,222,825,593",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"9,091","5,421","5,949","20,461",587,"21,048","21,751",0,27,$0,$0,$0,$0,$0,$0,120 5th Ave ,Pittsburgh,PA,15222-3000,(412) 544-5762,23-1294723,524140,Christine Walter,Beth Ross,"Silchester Intl Investors, LLP",Investment management,NONE,"$1,057,805",$0,"$1,057,805"
3,Highmark Retirement Plan,https://www.brightscope.com/form-5500/basic-info/105291/Highmark-Inc/13913926/Highmark-Retirement-Plan/,HIGHMARK  INC.,01/01/2018 — 12/31/2018,06/15/1974,"$2,222,825,593",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"9,091","5,421","5,949","20,461",587,"21,048","21,751",0,27,$0,$0,$0,$0,$0,$0,120 5th Ave ,Pittsburgh,PA,15222-3000,(412) 544-5762,23-1294723,524140,Christine Walter,Beth Ross,Nisa Investment Advisors,Investment management,NONE,"$871,137",$0,"$871,137"
4,Highmark Retirement Plan,https://www.brightscope.com/form-5500/basic-info/105291/Highmark-Inc/13913926/Highmark-Retirement-Plan/,HIGHMARK  INC.,01/01/2018 — 12/31/2018,06/15/1974,"$2,222,825,593",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"9,091","5,421","5,949","20,461",587,"21,048","21,751",0,27,$0,$0,$0,$0,$0,$0,120 5th Ave ,Pittsburgh,PA,15222-3000,(412) 544-5762,23-1294723,524140,Christine Walter,Beth Ross,Walter Scott & Partners Ltd,Investment management,NONE,"$810,993",$0,"$810,993"
5,Highmark Retirement Plan,https://www.brightscope.com/form-5500/basic-info/105291/Highmark-Inc/13913926/Highmark-Retirement-Plan/,HIGHMARK  INC.,01/01/2018 — 12/31/2018,06/15/1974,"$2,222,825,593",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"9,091","5,421","5,949","20,461",587,"21,048","21,751",0,27,$0,$0,$0,$0,$0,$0,120 5th Ave ,Pittsburgh,PA,15222-3000,(412) 544-5762,23-1294723,524140,Christine Walter,Beth Ross,BHMS,Investment management,NONE,"$717,599",$0,"$717,599"
6,Highmark Retirement Plan,https://www.brightscope.com/form-5500/basic-info/105291/Highmark-Inc/13913926/Highmark-Retirement-Plan/,HIGHMARK  INC.,01/01/2018 — 12/31/2018,06/15/1974,"$2,222,825,593",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"9,091","5,421","5,949","20,461",587,"21,048","21,751",0,27,$0,$0,$0,$0,$0,$0,120 5th Ave ,Pittsburgh,PA,15222-3000,(412) 544-5762,23-1294723,524140,Christine Walter,Beth Ross,Diamond Hill,Investment management,NONE,"$367,686",$0,"$367,686"
7,Highmark Retirement Plan,https://www.brightscope.com/form-5500/basic-info/105291/Highmark-Inc/13913926/Highmark-Retirement-Plan/,HIGHMARK  INC.,01/01/2018 — 12/31/2018,06/15/1974,"$2,222,825,593",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"9,091","5,421","5,949","20,461",587,"21,048","21,751",0,27,$0,$0,$0,$0,$0,$0,120 5th Ave ,Pittsburgh,PA,15222-3000,(412) 544-5762,23-1294723,524140,Christine Walter,Beth Ross,Shenkman Capital Management,Investment management,NONE,"$230,254",$0,"$230,254"
8,Highmark Retirement Plan,https://www.brightscope.com/form-5500/basic-info/105291/Highmark-Inc/13913926/Highmark-Retirement-Plan/,HIGHMARK  INC.,01/01/2018 — 12/31/2018,06/15/1974,"$2,222,825,593",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"9,091","5,421","5,949","20,461",587,"21,048","21,751",0,27,$0,$0,$0,$0,$0,$0,120 5th Ave ,Pittsburgh,PA,15222-3000,(412) 544-5762,23-1294723,524140,Christine Walter,Beth Ross,Wellington Managment Co.,Investment management,NONE,"$229,910",$0,"$229,910"
9,Highmark Retirement Plan,https://www.brightscope.com/form-5500/basic-info/105291/Highmark-Inc/13913926/Highmark-Retirement-Plan/,HIGHMARK  INC.,01/01/2018 — 12/31/2018,06/15/1974,"$2,222,825,593",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"9,091","5,421","5,949","20,461",587,"21,048","21,751",0,27,$0,$0,$0,$0,$0,$0,120 5th Ave ,Pittsburgh,PA,15222-3000,(412) 544-5762,23-1294723,524140,Christine Walter,Beth Ross,Oaktree Capital Management,Investment management,NONE,"$185,784",$0,"$185,784"
10,Highmark Retirement Plan,https://www.brightscope.com/form-5500/basic-info/105291/Highmark-Inc/13913926/Highmark-Retirement-Plan/,HIGHMARK  INC.,01/01/2018 — 12/31/2018,06/15/1974,"$2,222,825,593",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"9,091","5,421","5,949","20,461",587,"21,048","21,751",0,27,$0,$0,$0,$0,$0,$0,120 5th Ave ,Pittsburgh,PA,15222-3000,(412) 544-5762,23-1294723,524140,Christine Walter,Beth Ross,Och-Ziff Capital Management,Investment management,NONE,"$112,500",$0,"$112,500"
11,Highmark Retirement Plan,https://www.brightscope.com/form-5500/basic-info/105291/Highmark-Inc/13913926/Highmark-Retirement-Plan/,HIGHMARK  INC.,01/01/2018 — 12/31/2018,06/15/1974,"$2,222,825,593",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"9,091","5,421","5,949","20,461",587,"21,048","21,751",0,27,$0,$0,$0,$0,$0,$0,120 5th Ave ,Pittsburgh,PA,15222-3000,(412) 544-5762,23-1294723,524140,Christine Walter,Beth Ross,Seyfarth Shaw,Legal,NONE,"$96,977",$0,"$96,977"
12,Highmark Retirement Plan,https://www.brightscope.com/form-5500/basic-info/105291/Highmark-Inc/13913926/Highmark-Retirement-Plan/,HIGHMARK  INC.,01/01/2018 — 12/31/2018,06/15/1974,"$2,222,825,593",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"9,091","5,421","5,949","20,461",587,"21,048","21,751",0,27,$0,$0,$0,$0,$0,$0,120 5th Ave ,Pittsburgh,PA,15222-3000,(412) 544-5762,23-1294723,524140,Christine Walter,Beth Ross,The Boston Company,Investment management,NONE,"$67,013",$0,"$67,013"
13,Highmark Retirement Plan,https://www.brightscope.com/form-5500/basic-info/105291/Highmark-Inc/13913926/Highmark-Retirement-Plan/,HIGHMARK  INC.,01/01/2018 — 12/31/2018,06/15/1974,"$2,222,825,593",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"9,091","5,421","5,949","20,461",587,"21,048","21,751",0,27,$0,$0,$0,$0,$0,$0,120 5th Ave ,Pittsburgh,PA,15222-3000,(412) 544-5762,23-1294723,524140,Christine Walter,Beth Ross,Hood River Capital Management,Investment management,NONE,"$61,545",$0,"$61,545"
14,Highmark Retirement Plan,https://www.brightscope.com/form-5500/basic-info/105291/Highmark-Inc/13913926/Highmark-Retirement-Plan/,HIGHMARK  INC.,01/01/2018 — 12/31/2018,06/15/1974,"$2,222,825,593",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"9,091","5,421","5,949","20,461",587,"21,048","21,751",0,27,$0,$0,$0,$0,$0,$0,120 5th Ave ,Pittsburgh,PA,15222-3000,(412) 544-5762,23-1294723,524140,Christine Walter,Beth Ross,Dodge & Cox,Investment management,NONE,"$43,425",$0,"$43,425"
15,Highmark Retirement Plan,https://www.brightscope.com/form-5500/basic-info/105291/Highmark-Inc/13913926/Highmark-Retirement-Plan/,HIGHMARK  INC.,01/01/2018 — 12/31/2018,06/15/1974,"$2,222,825,593",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"9,091","5,421","5,949","20,461",587,"21,048","21,751",0,27,$0,$0,$0,$0,$0,$0,120 5th Ave ,Pittsburgh,PA,15222-3000,(412) 544-5762,23-1294723,524140,Christine Walter,Beth Ross,Tailwind Capital,Investment management,NONE,"$31,092",$0,"$31,092"
16,Highmark Retirement Plan,https://www.brightscope.com/form-5500/basic-info/105291/Highmark-Inc/13913926/Highmark-Retirement-Plan/,HIGHMARK  INC.,01/01/2018 — 12/31/2018,06/15/1974,"$2,222,825,593",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"9,091","5,421","5,949","20,461",587,"21,048","21,751",0,27,$0,$0,$0,$0,$0,$0,120 5th Ave ,Pittsburgh,PA,15222-3000,(412) 544-5762,23-1294723,524140,Christine Walter,Beth Ross,State Street Global Advisors,Investment management,NONE,"$22,474",$0,"$22,474"
17,Highmark Retirement Plan,https://www.brightscope.com/form-5500/basic-info/105291/Highmark-Inc/13913926/Highmark-Retirement-Plan/,HIGHMARK  INC.,01/01/2018 — 12/31/2018,06/15/1974,"$2,222,825,593",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"9,091","5,421","5,949","20,461",587,"21,048","21,751",0,27,$0,$0,$0,$0,$0,$0,120 5th Ave ,Pittsburgh,PA,15222-3000,(412) 544-5762,23-1294723,524140,Christine Walter,Beth Ross,Pnc Advisors,"Trustee (bank, trust company, or similar financial institution)",NONE,"$20,492",$0,"$20,492"
18,Highmark Retirement Plan,https://www.brightscope.com/form-5500/basic-info/105291/Highmark-Inc/13913926/Highmark-Retirement-Plan/,HIGHMARK  INC.,01/01/2018 — 12/31/2018,06/15/1974,"$2,222,825,593",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"9,091","5,421","5,949","20,461",587,"21,048","21,751",0,27,$0,$0,$0,$0,$0,$0,120 5th Ave ,Pittsburgh,PA,15222-3000,(412) 544-5762,23-1294723,524140,Christine Walter,Beth Ross,Baker Tilly Virchow Krause LLP,Accounting (including auditing),NONE,"$18,000",$0,"$18,000"
19,Highmark Retirement Plan,https://www.brightscope.com/form-5500/basic-info/105291/Highmark-Inc/13913926/Highmark-Retirement-Plan/,HIGHMARK  INC.,01/01/2018 — 12/31/2018,06/15/1974,"$2,222,825,593",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"9,091","5,421","5,949","20,461",587,"21,048","21,751",0,27,$0,$0,$0,$0,$0,$0,120 5th Ave ,Pittsburgh,PA,15222-3000,(412) 544-5762,23-1294723,524140,Christine Walter,Beth Ross,John Hancock,Investment management,NONE,"$17,002",$0,"$17,002"
20,Highmark Retirement Plan,https://www.brightscope.com/form-5500/basic-info/105291/Highmark-Inc/13913926/Highmark-Retirement-Plan/,HIGHMARK  INC.,01/01/2018 — 12/31/2018,06/15/1974,"$2,222,825,593",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"9,091","5,421","5,949","20,461",587,"21,048","21,751",0,27,$0,$0,$0,$0,$0,$0,120 5th Ave ,Pittsburgh,PA,15222-3000,(412) 544-5762,23-1294723,524140,Christine Walter,Beth Ross,Rocaton Investment Advisors,Investment management,NONE,"$13,200",$0,"$13,200"
21,Highmark Retirement Plan,https://www.brightscope.com/form-5500/basic-info/105291/Highmark-Inc/13913926/Highmark-Retirement-Plan/,HIGHMARK  INC.,01/01/2018 — 12/31/2018,06/15/1974,"$2,222,825,593",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"9,091","5,421","5,949","20,461",587,"21,048","21,751",0,27,$0,$0,$0,$0,$0,$0,120 5th Ave ,Pittsburgh,PA,15222-3000,(412) 544-5762,23-1294723,524140,Christine Walter,Beth Ross,The Northern Trust Company,Investment management,NONE,"$6,439",$0,"$6,439"
22,Highmark Retirement Plan,https://www.brightscope.com/form-5500/basic-info/105291/Highmark-Inc/13913926/Highmark-Retirement-Plan/,HIGHMARK  INC.,01/01/2018 — 12/31/2018,06/15/1974,"$2,222,825,593",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"9,091","5,421","5,949","20,461",587,"21,048","21,751",0,27,$0,$0,$0,$0,$0,$0,120 5th Ave ,Pittsburgh,PA,15222-3000,(412) 544-5762,23-1294723,524140,Christine Walter,Beth Ross,Total,Total,Total,"$7,487,696",$0,"$7,487,696"
