,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,IBM PERSONAL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/43285/Ibm-International-Business-Machines/13913694/Ibm-Personal-Pension-Plan/2018/,International Business Machines Corporation,01/01/2018 — 12/31/2018,09/01/1945,"$48,168,016,926",1,Single Employer,No,Yes,InsuranceTrust,Trust,"27,047","149,045","65,029","241,121","28,305","269,426","275,587",0,0,$0,$0,$0,$0,$0,$0,"New Orchard Road, Md 261 ",Armonk,NY,10504,(800) 796-9876,13-0871985,541519,Gregg Nelson,Bridgewater,"Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Other fees",Party-In Interest,"$15,272,215",$0,"$15,272,215"
1,IBM PERSONAL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/43285/Ibm-International-Business-Machines/13913694/Ibm-Personal-Pension-Plan/2018/,International Business Machines Corporation,01/01/2018 — 12/31/2018,09/01/1945,"$48,168,016,926",1,Single Employer,No,Yes,InsuranceTrust,Trust,"27,047","149,045","65,029","241,121","28,305","269,426","275,587",0,0,$0,$0,$0,$0,$0,$0,"New Orchard Road, Md 261 ",Armonk,NY,10504,(800) 796-9876,13-0871985,541519,Gregg Nelson,Fesco,"Plan Administrator, Direct payment from the plan",Party-In Interest,"$12,525,263",$0,"$12,525,263"
2,IBM PERSONAL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/43285/Ibm-International-Business-Machines/13913694/Ibm-Personal-Pension-Plan/2018/,International Business Machines Corporation,01/01/2018 — 12/31/2018,09/01/1945,"$48,168,016,926",1,Single Employer,No,Yes,InsuranceTrust,Trust,"27,047","149,045","65,029","241,121","28,305","269,426","275,587",0,0,$0,$0,$0,$0,$0,$0,"New Orchard Road, Md 261 ",Armonk,NY,10504,(800) 796-9876,13-0871985,541519,Gregg Nelson,"Jp Morgan Chase Bank, Na","Investment advisory (plan), Investment management fees paid directly by plan, Other fees, Investment management, Investment management fees paid indirectly by plan, Direct payment from the plan, Float revenue",Party-In Interest,"$8,197,403",$0,"$8,197,403"
3,IBM PERSONAL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/43285/Ibm-International-Business-Machines/13913694/Ibm-Personal-Pension-Plan/2018/,International Business Machines Corporation,01/01/2018 — 12/31/2018,09/01/1945,"$48,168,016,926",1,Single Employer,No,Yes,InsuranceTrust,Trust,"27,047","149,045","65,029","241,121","28,305","269,426","275,587",0,0,$0,$0,$0,$0,$0,$0,"New Orchard Road, Md 261 ",Armonk,NY,10504,(800) 796-9876,13-0871985,541519,Gregg Nelson,Nisa Investment Advisors,Investment management fees paid directly by plan,Party-In Interest,"$6,440,295",$0,"$6,440,295"
4,IBM PERSONAL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/43285/Ibm-International-Business-Machines/13913694/Ibm-Personal-Pension-Plan/2018/,International Business Machines Corporation,01/01/2018 — 12/31/2018,09/01/1945,"$48,168,016,926",1,Single Employer,No,Yes,InsuranceTrust,Trust,"27,047","149,045","65,029","241,121","28,305","269,426","275,587",0,0,$0,$0,$0,$0,$0,$0,"New Orchard Road, Md 261 ",Armonk,NY,10504,(800) 796-9876,13-0871985,541519,Gregg Nelson,Loomis,Investment management fees paid directly by plan,Party-In-Interest,"$5,616,407",$0,"$5,616,407"
5,IBM PERSONAL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/43285/Ibm-International-Business-Machines/13913694/Ibm-Personal-Pension-Plan/2018/,International Business Machines Corporation,01/01/2018 — 12/31/2018,09/01/1945,"$48,168,016,926",1,Single Employer,No,Yes,InsuranceTrust,Trust,"27,047","149,045","65,029","241,121","28,305","269,426","275,587",0,0,$0,$0,$0,$0,$0,$0,"New Orchard Road, Md 261 ",Armonk,NY,10504,(800) 796-9876,13-0871985,541519,Gregg Nelson,IBM,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Non-monetary compensation, Direct payment from the plan, Investment management fees paid directly by plan",Party-In Interest,"$4,444,292","$50,166","$4,494,458"
6,IBM PERSONAL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/43285/Ibm-International-Business-Machines/13913694/Ibm-Personal-Pension-Plan/2018/,International Business Machines Corporation,01/01/2018 — 12/31/2018,09/01/1945,"$48,168,016,926",1,Single Employer,No,Yes,InsuranceTrust,Trust,"27,047","149,045","65,029","241,121","28,305","269,426","275,587",0,0,$0,$0,$0,$0,$0,$0,"New Orchard Road, Md 261 ",Armonk,NY,10504,(800) 796-9876,13-0871985,541519,Gregg Nelson,Aew Capital Management,"Investment management fees paid directly by plan, Other investment fees and expenses",Party-In Interest,"$4,468,380",$0,"$4,468,380"
7,IBM PERSONAL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/43285/Ibm-International-Business-Machines/13913694/Ibm-Personal-Pension-Plan/2018/,International Business Machines Corporation,01/01/2018 — 12/31/2018,09/01/1945,"$48,168,016,926",1,Single Employer,No,Yes,InsuranceTrust,Trust,"27,047","149,045","65,029","241,121","28,305","269,426","275,587",0,0,$0,$0,$0,$0,$0,$0,"New Orchard Road, Md 261 ",Armonk,NY,10504,(800) 796-9876,13-0871985,541519,Gregg Nelson,Towers Watson Delaware Inc.,"Actuarial, Investment management fees paid directly by plan",Party-In Interest,"$4,409,239",$0,"$4,409,239"
8,IBM PERSONAL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/43285/Ibm-International-Business-Machines/13913694/Ibm-Personal-Pension-Plan/2018/,International Business Machines Corporation,01/01/2018 — 12/31/2018,09/01/1945,"$48,168,016,926",1,Single Employer,No,Yes,InsuranceTrust,Trust,"27,047","149,045","65,029","241,121","28,305","269,426","275,587",0,0,$0,$0,$0,$0,$0,$0,"New Orchard Road, Md 261 ",Armonk,NY,10504,(800) 796-9876,13-0871985,541519,Gregg Nelson,Pimco,"Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Other fees",Party-In Interest,"$4,351,651",$0,"$4,351,651"
9,IBM PERSONAL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/43285/Ibm-International-Business-Machines/13913694/Ibm-Personal-Pension-Plan/2018/,International Business Machines Corporation,01/01/2018 — 12/31/2018,09/01/1945,"$48,168,016,926",1,Single Employer,No,Yes,InsuranceTrust,Trust,"27,047","149,045","65,029","241,121","28,305","269,426","275,587",0,0,$0,$0,$0,$0,$0,$0,"New Orchard Road, Md 261 ",Armonk,NY,10504,(800) 796-9876,13-0871985,541519,Gregg Nelson,Wells Capital,Investment management fees paid directly by plan,Party-In Interest,"$3,965,932",$0,"$3,965,932"
