,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,INTERMOUNTAIN HEALTHCARE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/388720/Intermountain-Health-Care-Inc/13913889/Intermountain-Healthcare-Pension-Plan/,Intermountain Health Care  Inc.,01/01/2018 — 12/31/2018,11/01/1970,"$2,669,213,000",1,Single Employer,No,Yes,Trust,Trust,"29,745","7,004","5,734","42,483",593,"43,076","43,813",0,"2,311",$0,$0,$0,$0,$0,$0,"36 South State Street, Suite 2300 ",Salt Lake City,UT,84111,(801) 442-2049,87-0269232,622000,David K. Adams,"Ihc Health Services, Inc.","36 South State Street, Suite 2300 ",Salt Lake City,UT,84111,(801) 442-3219,94-2854057,"Towers Watson Delaware, Inc.","Actuarial, Consulting (pension), Direct payment from the plan",NONE,"$1,481,000",$0,"$1,481,000"
1,INTERMOUNTAIN HEALTHCARE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/388720/Intermountain-Health-Care-Inc/13913889/Intermountain-Healthcare-Pension-Plan/,Intermountain Health Care  Inc.,01/01/2018 — 12/31/2018,11/01/1970,"$2,669,213,000",1,Single Employer,No,Yes,Trust,Trust,"29,745","7,004","5,734","42,483",593,"43,076","43,813",0,"2,311",$0,$0,$0,$0,$0,$0,"36 South State Street, Suite 2300 ",Salt Lake City,UT,84111,(801) 442-2049,87-0269232,622000,David K. Adams,"Ihc Health Services, Inc.","36 South State Street, Suite 2300 ",Salt Lake City,UT,84111,(801) 442-3219,94-2854057,"Tortoise Capital Advisors, L.L.C.","Investment management, Investment management fees paid directly by plan",NONE,"$984,000",$0,"$984,000"
2,INTERMOUNTAIN HEALTHCARE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/388720/Intermountain-Health-Care-Inc/13913889/Intermountain-Healthcare-Pension-Plan/,Intermountain Health Care  Inc.,01/01/2018 — 12/31/2018,11/01/1970,"$2,669,213,000",1,Single Employer,No,Yes,Trust,Trust,"29,745","7,004","5,734","42,483",593,"43,076","43,813",0,"2,311",$0,$0,$0,$0,$0,$0,"36 South State Street, Suite 2300 ",Salt Lake City,UT,84111,(801) 442-2049,87-0269232,622000,David K. Adams,"Ihc Health Services, Inc.","36 South State Street, Suite 2300 ",Salt Lake City,UT,84111,(801) 442-3219,94-2854057,Silchester International Investors,"Investment management, Investment management fees paid directly by plan, Float revenue",NONE,"$971,000",$0,"$971,000"
3,INTERMOUNTAIN HEALTHCARE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/388720/Intermountain-Health-Care-Inc/13913889/Intermountain-Healthcare-Pension-Plan/,Intermountain Health Care  Inc.,01/01/2018 — 12/31/2018,11/01/1970,"$2,669,213,000",1,Single Employer,No,Yes,Trust,Trust,"29,745","7,004","5,734","42,483",593,"43,076","43,813",0,"2,311",$0,$0,$0,$0,$0,$0,"36 South State Street, Suite 2300 ",Salt Lake City,UT,84111,(801) 442-2049,87-0269232,622000,David K. Adams,"Ihc Health Services, Inc.","36 South State Street, Suite 2300 ",Salt Lake City,UT,84111,(801) 442-3219,94-2854057,Pacific Investment Management Co.,"Investment management, Investment management fees paid directly by plan",NONE,"$770,000",$0,"$770,000"
4,INTERMOUNTAIN HEALTHCARE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/388720/Intermountain-Health-Care-Inc/13913889/Intermountain-Healthcare-Pension-Plan/,Intermountain Health Care  Inc.,01/01/2018 — 12/31/2018,11/01/1970,"$2,669,213,000",1,Single Employer,No,Yes,Trust,Trust,"29,745","7,004","5,734","42,483",593,"43,076","43,813",0,"2,311",$0,$0,$0,$0,$0,$0,"36 South State Street, Suite 2300 ",Salt Lake City,UT,84111,(801) 442-2049,87-0269232,622000,David K. Adams,"Ihc Health Services, Inc.","36 South State Street, Suite 2300 ",Salt Lake City,UT,84111,(801) 442-3219,94-2854057,"Catterton Management Company, LLC","Investment management, Investment management fees paid directly by plan",NONE,"$762,000",$0,"$762,000"
5,INTERMOUNTAIN HEALTHCARE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/388720/Intermountain-Health-Care-Inc/13913889/Intermountain-Healthcare-Pension-Plan/,Intermountain Health Care  Inc.,01/01/2018 — 12/31/2018,11/01/1970,"$2,669,213,000",1,Single Employer,No,Yes,Trust,Trust,"29,745","7,004","5,734","42,483",593,"43,076","43,813",0,"2,311",$0,$0,$0,$0,$0,$0,"36 South State Street, Suite 2300 ",Salt Lake City,UT,84111,(801) 442-2049,87-0269232,622000,David K. Adams,"Ihc Health Services, Inc.","36 South State Street, Suite 2300 ",Salt Lake City,UT,84111,(801) 442-3219,94-2854057,Bny Mellon,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Shareholder servicing fees, Trustee (bank, trust company, or similar financial institution), Float revenue, Direct payment from the plan, Other investment fees and expenses",NONE,"$696,000",$0,"$696,000"
6,INTERMOUNTAIN HEALTHCARE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/388720/Intermountain-Health-Care-Inc/13913889/Intermountain-Healthcare-Pension-Plan/,Intermountain Health Care  Inc.,01/01/2018 — 12/31/2018,11/01/1970,"$2,669,213,000",1,Single Employer,No,Yes,Trust,Trust,"29,745","7,004","5,734","42,483",593,"43,076","43,813",0,"2,311",$0,$0,$0,$0,$0,$0,"36 South State Street, Suite 2300 ",Salt Lake City,UT,84111,(801) 442-2049,87-0269232,622000,David K. Adams,"Ihc Health Services, Inc.","36 South State Street, Suite 2300 ",Salt Lake City,UT,84111,(801) 442-3219,94-2854057,Summit Strategies Inc.,"Consulting (pension), Consulting fees, Investment advisory (plan), Direct payment from the plan",NONE,"$636,000",$0,"$636,000"
7,INTERMOUNTAIN HEALTHCARE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/388720/Intermountain-Health-Care-Inc/13913889/Intermountain-Healthcare-Pension-Plan/,Intermountain Health Care  Inc.,01/01/2018 — 12/31/2018,11/01/1970,"$2,669,213,000",1,Single Employer,No,Yes,Trust,Trust,"29,745","7,004","5,734","42,483",593,"43,076","43,813",0,"2,311",$0,$0,$0,$0,$0,$0,"36 South State Street, Suite 2300 ",Salt Lake City,UT,84111,(801) 442-2049,87-0269232,622000,David K. Adams,"Ihc Health Services, Inc.","36 South State Street, Suite 2300 ",Salt Lake City,UT,84111,(801) 442-3219,94-2854057,Walter Scott & Partners Limited,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$454,000",$0,"$454,000"
8,INTERMOUNTAIN HEALTHCARE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/388720/Intermountain-Health-Care-Inc/13913889/Intermountain-Healthcare-Pension-Plan/,Intermountain Health Care  Inc.,01/01/2018 — 12/31/2018,11/01/1970,"$2,669,213,000",1,Single Employer,No,Yes,Trust,Trust,"29,745","7,004","5,734","42,483",593,"43,076","43,813",0,"2,311",$0,$0,$0,$0,$0,$0,"36 South State Street, Suite 2300 ",Salt Lake City,UT,84111,(801) 442-2049,87-0269232,622000,David K. Adams,"Ihc Health Services, Inc.","36 South State Street, Suite 2300 ",Salt Lake City,UT,84111,(801) 442-3219,94-2854057,Fisher Investments,"Investment management, Securities brokerage commissions and fees, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$411,000",$0,"$411,000"
9,INTERMOUNTAIN HEALTHCARE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/388720/Intermountain-Health-Care-Inc/13913889/Intermountain-Healthcare-Pension-Plan/,Intermountain Health Care  Inc.,01/01/2018 — 12/31/2018,11/01/1970,"$2,669,213,000",1,Single Employer,No,Yes,Trust,Trust,"29,745","7,004","5,734","42,483",593,"43,076","43,813",0,"2,311",$0,$0,$0,$0,$0,$0,"36 South State Street, Suite 2300 ",Salt Lake City,UT,84111,(801) 442-2049,87-0269232,622000,David K. Adams,"Ihc Health Services, Inc.","36 South State Street, Suite 2300 ",Salt Lake City,UT,84111,(801) 442-3219,94-2854057,"Columbia Capital, Lp","Investment management, Investment management fees paid directly by plan",NONE,"$400,000",$0,"$400,000"
10,INTERMOUNTAIN HEALTHCARE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/388720/Intermountain-Health-Care-Inc/13913889/Intermountain-Healthcare-Pension-Plan/,Intermountain Health Care  Inc.,01/01/2018 — 12/31/2018,11/01/1970,"$2,669,213,000",1,Single Employer,No,Yes,Trust,Trust,"29,745","7,004","5,734","42,483",593,"43,076","43,813",0,"2,311",$0,$0,$0,$0,$0,$0,"36 South State Street, Suite 2300 ",Salt Lake City,UT,84111,(801) 442-2049,87-0269232,622000,David K. Adams,"Ihc Health Services, Inc.","36 South State Street, Suite 2300 ",Salt Lake City,UT,84111,(801) 442-3219,94-2854057,Gso Capital Partners,"Investment management, Investment management fees paid directly by plan",NONE,"$352,000",$0,"$352,000"
