,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,J.C. Penney Corporation  Inc. Pension Plan,https://www.brightscope.com/form-5500/basic-info/55251/Jc-Penney-Corporation-Inc/13913745/J-C-Penney-Corporation-Inc-Pension-Plan/,J. C. Penney Corporation  Inc.,01/01/2018 — 12/31/2018,02/01/1966,"$3,052,795,000",1,Single Employer,No,Yes,Trust,Trust,"12,654","18,831","9,715","41,200","1,953","43,153","52,254",0,142,$0,$0,$0,$0,$0,$0,6501 Legacy Drive - Ms4103 ,Plano,TX,75024-3698,(972) 431-1000,13-5583779,452200,"J. C. Penney Corporation, Inc Benefits Administration Committee",6501 Legacy Drive - Ms4103 ,Plano,TX,75024-3698,(972) 431-1000,75-2583575,Alight Solutions LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$2,719,000",$0,"$2,719,000"
1,J.C. Penney Corporation  Inc. Pension Plan,https://www.brightscope.com/form-5500/basic-info/55251/Jc-Penney-Corporation-Inc/13913745/J-C-Penney-Corporation-Inc-Pension-Plan/,J. C. Penney Corporation  Inc.,01/01/2018 — 12/31/2018,02/01/1966,"$3,052,795,000",1,Single Employer,No,Yes,Trust,Trust,"12,654","18,831","9,715","41,200","1,953","43,153","52,254",0,142,$0,$0,$0,$0,$0,$0,6501 Legacy Drive - Ms4103 ,Plano,TX,75024-3698,(972) 431-1000,13-5583779,452200,"J. C. Penney Corporation, Inc Benefits Administration Committee",6501 Legacy Drive - Ms4103 ,Plano,TX,75024-3698,(972) 431-1000,75-2583575,Pacific Investment Management Co,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$1,540,000",$0,"$1,540,000"
2,J.C. Penney Corporation  Inc. Pension Plan,https://www.brightscope.com/form-5500/basic-info/55251/Jc-Penney-Corporation-Inc/13913745/J-C-Penney-Corporation-Inc-Pension-Plan/,J. C. Penney Corporation  Inc.,01/01/2018 — 12/31/2018,02/01/1966,"$3,052,795,000",1,Single Employer,No,Yes,Trust,Trust,"12,654","18,831","9,715","41,200","1,953","43,153","52,254",0,142,$0,$0,$0,$0,$0,$0,6501 Legacy Drive - Ms4103 ,Plano,TX,75024-3698,(972) 431-1000,13-5583779,452200,"J. C. Penney Corporation, Inc Benefits Administration Committee",6501 Legacy Drive - Ms4103 ,Plano,TX,75024-3698,(972) 431-1000,75-2583575,Wellington Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$1,134,000",$0,"$1,134,000"
3,J.C. Penney Corporation  Inc. Pension Plan,https://www.brightscope.com/form-5500/basic-info/55251/Jc-Penney-Corporation-Inc/13913745/J-C-Penney-Corporation-Inc-Pension-Plan/,J. C. Penney Corporation  Inc.,01/01/2018 — 12/31/2018,02/01/1966,"$3,052,795,000",1,Single Employer,No,Yes,Trust,Trust,"12,654","18,831","9,715","41,200","1,953","43,153","52,254",0,142,$0,$0,$0,$0,$0,$0,6501 Legacy Drive - Ms4103 ,Plano,TX,75024-3698,(972) 431-1000,13-5583779,452200,"J. C. Penney Corporation, Inc Benefits Administration Committee",6501 Legacy Drive - Ms4103 ,Plano,TX,75024-3698,(972) 431-1000,75-2583575,Jp Morgan Investment Management Inc,"Investment advisory (plan), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$1,128,000",$0,"$1,128,000"
4,J.C. Penney Corporation  Inc. Pension Plan,https://www.brightscope.com/form-5500/basic-info/55251/Jc-Penney-Corporation-Inc/13913745/J-C-Penney-Corporation-Inc-Pension-Plan/,J. C. Penney Corporation  Inc.,01/01/2018 — 12/31/2018,02/01/1966,"$3,052,795,000",1,Single Employer,No,Yes,Trust,Trust,"12,654","18,831","9,715","41,200","1,953","43,153","52,254",0,142,$0,$0,$0,$0,$0,$0,6501 Legacy Drive - Ms4103 ,Plano,TX,75024-3698,(972) 431-1000,13-5583779,452200,"J. C. Penney Corporation, Inc Benefits Administration Committee",6501 Legacy Drive - Ms4103 ,Plano,TX,75024-3698,(972) 431-1000,75-2583575,Jacob Levy Equity Management Inc,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$1,042,000",$0,"$1,042,000"
5,J.C. Penney Corporation  Inc. Pension Plan,https://www.brightscope.com/form-5500/basic-info/55251/Jc-Penney-Corporation-Inc/13913745/J-C-Penney-Corporation-Inc-Pension-Plan/,J. C. Penney Corporation  Inc.,01/01/2018 — 12/31/2018,02/01/1966,"$3,052,795,000",1,Single Employer,No,Yes,Trust,Trust,"12,654","18,831","9,715","41,200","1,953","43,153","52,254",0,142,$0,$0,$0,$0,$0,$0,6501 Legacy Drive - Ms4103 ,Plano,TX,75024-3698,(972) 431-1000,13-5583779,452200,"J. C. Penney Corporation, Inc Benefits Administration Committee",6501 Legacy Drive - Ms4103 ,Plano,TX,75024-3698,(972) 431-1000,75-2583575,Fiera Capital,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$926,000",$0,"$926,000"
6,J.C. Penney Corporation  Inc. Pension Plan,https://www.brightscope.com/form-5500/basic-info/55251/Jc-Penney-Corporation-Inc/13913745/J-C-Penney-Corporation-Inc-Pension-Plan/,J. C. Penney Corporation  Inc.,01/01/2018 — 12/31/2018,02/01/1966,"$3,052,795,000",1,Single Employer,No,Yes,Trust,Trust,"12,654","18,831","9,715","41,200","1,953","43,153","52,254",0,142,$0,$0,$0,$0,$0,$0,6501 Legacy Drive - Ms4103 ,Plano,TX,75024-3698,(972) 431-1000,13-5583779,452200,"J. C. Penney Corporation, Inc Benefits Administration Committee",6501 Legacy Drive - Ms4103 ,Plano,TX,75024-3698,(972) 431-1000,75-2583575,State Street Bank and Trust Company,"Custodial (securities), Trustee (directed), Direct payment from the plan, Other fees",Trustee,"$925,000",$0,"$925,000"
7,J.C. Penney Corporation  Inc. Pension Plan,https://www.brightscope.com/form-5500/basic-info/55251/Jc-Penney-Corporation-Inc/13913745/J-C-Penney-Corporation-Inc-Pension-Plan/,J. C. Penney Corporation  Inc.,01/01/2018 — 12/31/2018,02/01/1966,"$3,052,795,000",1,Single Employer,No,Yes,Trust,Trust,"12,654","18,831","9,715","41,200","1,953","43,153","52,254",0,142,$0,$0,$0,$0,$0,$0,6501 Legacy Drive - Ms4103 ,Plano,TX,75024-3698,(972) 431-1000,13-5583779,452200,"J. C. Penney Corporation, Inc Benefits Administration Committee",6501 Legacy Drive - Ms4103 ,Plano,TX,75024-3698,(972) 431-1000,75-2583575,Artisan Partners Ltd Partnership,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Non-monetary compensation, Soft dollars commissions",NONE,"$901,000",$0,"$901,000"
8,J.C. Penney Corporation  Inc. Pension Plan,https://www.brightscope.com/form-5500/basic-info/55251/Jc-Penney-Corporation-Inc/13913745/J-C-Penney-Corporation-Inc-Pension-Plan/,J. C. Penney Corporation  Inc.,01/01/2018 — 12/31/2018,02/01/1966,"$3,052,795,000",1,Single Employer,No,Yes,Trust,Trust,"12,654","18,831","9,715","41,200","1,953","43,153","52,254",0,142,$0,$0,$0,$0,$0,$0,6501 Legacy Drive - Ms4103 ,Plano,TX,75024-3698,(972) 431-1000,13-5583779,452200,"J. C. Penney Corporation, Inc Benefits Administration Committee",6501 Legacy Drive - Ms4103 ,Plano,TX,75024-3698,(972) 431-1000,75-2583575,Pathway Capital Management Lp,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$671,000",$0,"$671,000"
9,J.C. Penney Corporation  Inc. Pension Plan,https://www.brightscope.com/form-5500/basic-info/55251/Jc-Penney-Corporation-Inc/13913745/J-C-Penney-Corporation-Inc-Pension-Plan/,J. C. Penney Corporation  Inc.,01/01/2018 — 12/31/2018,02/01/1966,"$3,052,795,000",1,Single Employer,No,Yes,Trust,Trust,"12,654","18,831","9,715","41,200","1,953","43,153","52,254",0,142,$0,$0,$0,$0,$0,$0,6501 Legacy Drive - Ms4103 ,Plano,TX,75024-3698,(972) 431-1000,13-5583779,452200,"J. C. Penney Corporation, Inc Benefits Administration Committee",6501 Legacy Drive - Ms4103 ,Plano,TX,75024-3698,(972) 431-1000,75-2583575,Ddj Capital Management LLC,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$614,000",$0,"$614,000"
