,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Report Description,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,KALEIDA HEALTH PENSION GROWTH PLAN,https://www.brightscope.com/form-5500/basic-info/64731/Kaleida-Health/13914313/Kaleida-Health-Pension-Growth-Plan/2018/,KALEIDA HEALTH CORPORATE BENEFITS,01/01/2018 — 12/31/2018,04/01/1956,"$618,507,722",1,Single Employer,Yes,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"6,661","2,609","2,726","11,996",220,"12,216","12,780",0,69,$0,$0,$0,$0,$0,$0,"726 Exchange Street, Ste 220 ",Buffalo,NY,14210-1462,(716) 859-8000,16-1533232,622000,Christina Plewniak,Mary Lou Klee,Lincoln Retirement Svcs Co,Actuarial,Actuarial,"$375,695",$0,"$375,695"
1,KALEIDA HEALTH PENSION GROWTH PLAN,https://www.brightscope.com/form-5500/basic-info/64731/Kaleida-Health/13914313/Kaleida-Health-Pension-Growth-Plan/2018/,KALEIDA HEALTH CORPORATE BENEFITS,01/01/2018 — 12/31/2018,04/01/1956,"$618,507,722",1,Single Employer,Yes,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"6,661","2,609","2,726","11,996",220,"12,216","12,780",0,69,$0,$0,$0,$0,$0,$0,"726 Exchange Street, Ste 220 ",Buffalo,NY,14210-1462,(716) 859-8000,16-1533232,622000,Christina Plewniak,Mary Lou Klee,Wellington Management,Investment management,Investment Manager,"$206,066",$0,"$206,066"
2,KALEIDA HEALTH PENSION GROWTH PLAN,https://www.brightscope.com/form-5500/basic-info/64731/Kaleida-Health/13914313/Kaleida-Health-Pension-Growth-Plan/2018/,KALEIDA HEALTH CORPORATE BENEFITS,01/01/2018 — 12/31/2018,04/01/1956,"$618,507,722",1,Single Employer,Yes,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"6,661","2,609","2,726","11,996",220,"12,216","12,780",0,69,$0,$0,$0,$0,$0,$0,"726 Exchange Street, Ste 220 ",Buffalo,NY,14210-1462,(716) 859-8000,16-1533232,622000,Christina Plewniak,Mary Lou Klee,Aberdeen Management,Investment management,Investment Manager,"$164,535",$0,"$164,535"
3,KALEIDA HEALTH PENSION GROWTH PLAN,https://www.brightscope.com/form-5500/basic-info/64731/Kaleida-Health/13914313/Kaleida-Health-Pension-Growth-Plan/2018/,KALEIDA HEALTH CORPORATE BENEFITS,01/01/2018 — 12/31/2018,04/01/1956,"$618,507,722",1,Single Employer,Yes,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"6,661","2,609","2,726","11,996",220,"12,216","12,780",0,69,$0,$0,$0,$0,$0,$0,"726 Exchange Street, Ste 220 ",Buffalo,NY,14210-1462,(716) 859-8000,16-1533232,622000,Christina Plewniak,Mary Lou Klee,"Baron Capital, Inc.",Investment management,Investment Manager,"$146,810",$0,"$146,810"
4,KALEIDA HEALTH PENSION GROWTH PLAN,https://www.brightscope.com/form-5500/basic-info/64731/Kaleida-Health/13914313/Kaleida-Health-Pension-Growth-Plan/2018/,KALEIDA HEALTH CORPORATE BENEFITS,01/01/2018 — 12/31/2018,04/01/1956,"$618,507,722",1,Single Employer,Yes,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"6,661","2,609","2,726","11,996",220,"12,216","12,780",0,69,$0,$0,$0,$0,$0,$0,"726 Exchange Street, Ste 220 ",Buffalo,NY,14210-1462,(716) 859-8000,16-1533232,622000,Christina Plewniak,Mary Lou Klee,"Nepc, LLC",Investment management,Investment Manager,"$134,681",$0,"$134,681"
5,KALEIDA HEALTH PENSION GROWTH PLAN,https://www.brightscope.com/form-5500/basic-info/64731/Kaleida-Health/13914313/Kaleida-Health-Pension-Growth-Plan/2018/,KALEIDA HEALTH CORPORATE BENEFITS,01/01/2018 — 12/31/2018,04/01/1956,"$618,507,722",1,Single Employer,Yes,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"6,661","2,609","2,726","11,996",220,"12,216","12,780",0,69,$0,$0,$0,$0,$0,$0,"726 Exchange Street, Ste 220 ",Buffalo,NY,14210-1462,(716) 859-8000,16-1533232,622000,Christina Plewniak,Mary Lou Klee,Wedge Capital Management LLP,Investment management,Investment Manager,"$118,898",$0,"$118,898"
6,KALEIDA HEALTH PENSION GROWTH PLAN,https://www.brightscope.com/form-5500/basic-info/64731/Kaleida-Health/13914313/Kaleida-Health-Pension-Growth-Plan/2018/,KALEIDA HEALTH CORPORATE BENEFITS,01/01/2018 — 12/31/2018,04/01/1956,"$618,507,722",1,Single Employer,Yes,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"6,661","2,609","2,726","11,996",220,"12,216","12,780",0,69,$0,$0,$0,$0,$0,$0,"726 Exchange Street, Ste 220 ",Buffalo,NY,14210-1462,(716) 859-8000,16-1533232,622000,Christina Plewniak,Mary Lou Klee,Keybank N.A.,"Contract Administrator, Custodial (securities), Other fees, Trustee (bank, trust company, or similar financial institution), Float revenue, Shareholder servicing fees",Trustee,"$88,773","$19,319","$108,092"
7,KALEIDA HEALTH PENSION GROWTH PLAN,https://www.brightscope.com/form-5500/basic-info/64731/Kaleida-Health/13914313/Kaleida-Health-Pension-Growth-Plan/2018/,KALEIDA HEALTH CORPORATE BENEFITS,01/01/2018 — 12/31/2018,04/01/1956,"$618,507,722",1,Single Employer,Yes,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"6,661","2,609","2,726","11,996",220,"12,216","12,780",0,69,$0,$0,$0,$0,$0,$0,"726 Exchange Street, Ste 220 ",Buffalo,NY,14210-1462,(716) 859-8000,16-1533232,622000,Christina Plewniak,Mary Lou Klee,Monroe Capital LLC,Investment management,Investment Manager,"$103,680",$0,"$103,680"
8,KALEIDA HEALTH PENSION GROWTH PLAN,https://www.brightscope.com/form-5500/basic-info/64731/Kaleida-Health/13914313/Kaleida-Health-Pension-Growth-Plan/2018/,KALEIDA HEALTH CORPORATE BENEFITS,01/01/2018 — 12/31/2018,04/01/1956,"$618,507,722",1,Single Employer,Yes,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"6,661","2,609","2,726","11,996",220,"12,216","12,780",0,69,$0,$0,$0,$0,$0,$0,"726 Exchange Street, Ste 220 ",Buffalo,NY,14210-1462,(716) 859-8000,16-1533232,622000,Christina Plewniak,Mary Lou Klee,Perella Weinberg Partners,Investment management,Investment Manager,"$68,668",$0,"$68,668"
9,KALEIDA HEALTH PENSION GROWTH PLAN,https://www.brightscope.com/form-5500/basic-info/64731/Kaleida-Health/13914313/Kaleida-Health-Pension-Growth-Plan/2018/,KALEIDA HEALTH CORPORATE BENEFITS,01/01/2018 — 12/31/2018,04/01/1956,"$618,507,722",1,Single Employer,Yes,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"6,661","2,609","2,726","11,996",220,"12,216","12,780",0,69,$0,$0,$0,$0,$0,$0,"726 Exchange Street, Ste 220 ",Buffalo,NY,14210-1462,(716) 859-8000,16-1533232,622000,Christina Plewniak,Mary Lou Klee,Mercer,Consulting (pension),Consultant,"$45,785",$0,"$45,785"
