,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,KIMBERLY-CLARK CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/199807/Kimberly-Clark-Corporation/13913780/Kimberly-Clark-Corporation-Pension-Plan/2018/,Kimberly-Clark Corporation,01/01/2018 — 12/31/2018,04/01/1961,"$1,415,042,000",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"2,985","4,156","4,853","11,994",925,"12,919","13,639",0,0,$0,$0,$0,$0,$0,$0,401 North Lake Street ,Neenah,WI,54956,(865) 541-7000,39-0394230,339900,Alisa Hunt,"Legal & General Inv Mgmt, America","Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Inv. Manager,"$1,141,565",$0,"$1,141,565"
1,KIMBERLY-CLARK CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/199807/Kimberly-Clark-Corporation/13913780/Kimberly-Clark-Corporation-Pension-Plan/2018/,Kimberly-Clark Corporation,01/01/2018 — 12/31/2018,04/01/1961,"$1,415,042,000",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"2,985","4,156","4,853","11,994",925,"12,919","13,639",0,0,$0,$0,$0,$0,$0,$0,401 North Lake Street ,Neenah,WI,54956,(865) 541-7000,39-0394230,339900,Alisa Hunt,Northern Trust Investments,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Inv. Manager,"$1,000,819",$0,"$1,000,819"
2,KIMBERLY-CLARK CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/199807/Kimberly-Clark-Corporation/13913780/Kimberly-Clark-Corporation-Pension-Plan/2018/,Kimberly-Clark Corporation,01/01/2018 — 12/31/2018,04/01/1961,"$1,415,042,000",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"2,985","4,156","4,853","11,994",925,"12,919","13,639",0,0,$0,$0,$0,$0,$0,$0,401 North Lake Street ,Neenah,WI,54956,(865) 541-7000,39-0394230,339900,Alisa Hunt,Fid Inst Asset Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Inv. Manager,"$976,235",$0,"$976,235"
3,KIMBERLY-CLARK CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/199807/Kimberly-Clark-Corporation/13913780/Kimberly-Clark-Corporation-Pension-Plan/2018/,Kimberly-Clark Corporation,01/01/2018 — 12/31/2018,04/01/1961,"$1,415,042,000",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"2,985","4,156","4,853","11,994",925,"12,919","13,639",0,0,$0,$0,$0,$0,$0,$0,401 North Lake Street ,Neenah,WI,54956,(865) 541-7000,39-0394230,339900,Alisa Hunt,"Blackrock Inst. Trust Co., Na","Trustee (bank, trust company, or similar financial institution), Trustee (discretionary), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Inv. Manager,"$516,314",$0,"$516,314"
4,KIMBERLY-CLARK CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/199807/Kimberly-Clark-Corporation/13913780/Kimberly-Clark-Corporation-Pension-Plan/2018/,Kimberly-Clark Corporation,01/01/2018 — 12/31/2018,04/01/1961,"$1,415,042,000",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"2,985","4,156","4,853","11,994",925,"12,919","13,639",0,0,$0,$0,$0,$0,$0,$0,401 North Lake Street ,Neenah,WI,54956,(865) 541-7000,39-0394230,339900,Alisa Hunt,Colonial First State Asset Mgmt,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Inv. Manager,"$441,299",$0,"$441,299"
5,KIMBERLY-CLARK CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/199807/Kimberly-Clark-Corporation/13913780/Kimberly-Clark-Corporation-Pension-Plan/2018/,Kimberly-Clark Corporation,01/01/2018 — 12/31/2018,04/01/1961,"$1,415,042,000",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"2,985","4,156","4,853","11,994",925,"12,919","13,639",0,0,$0,$0,$0,$0,$0,$0,401 North Lake Street ,Neenah,WI,54956,(865) 541-7000,39-0394230,339900,Alisa Hunt,The Bank of New York Mellon,"Trustee (bank, trust company, or similar financial institution), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Trustee,"$288,572",$0,"$288,572"
6,KIMBERLY-CLARK CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/199807/Kimberly-Clark-Corporation/13913780/Kimberly-Clark-Corporation-Pension-Plan/2018/,Kimberly-Clark Corporation,01/01/2018 — 12/31/2018,04/01/1961,"$1,415,042,000",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"2,985","4,156","4,853","11,994",925,"12,919","13,639",0,0,$0,$0,$0,$0,$0,$0,401 North Lake Street ,Neenah,WI,54956,(865) 541-7000,39-0394230,339900,Alisa Hunt,"Towers Watson Pennsylvania, Inc.","Actuarial, Direct payment from the plan",Actuary,"$171,350",$0,"$171,350"
7,KIMBERLY-CLARK CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/199807/Kimberly-Clark-Corporation/13913780/Kimberly-Clark-Corporation-Pension-Plan/2018/,Kimberly-Clark Corporation,01/01/2018 — 12/31/2018,04/01/1961,"$1,415,042,000",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"2,985","4,156","4,853","11,994",925,"12,919","13,639",0,0,$0,$0,$0,$0,$0,$0,401 North Lake Street ,Neenah,WI,54956,(865) 541-7000,39-0394230,339900,Alisa Hunt,"Bdo USA, LLP","Accounting (including auditing), Direct payment from the plan",Accountant,"$52,000",$0,"$52,000"
8,KIMBERLY-CLARK CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/199807/Kimberly-Clark-Corporation/13913780/Kimberly-Clark-Corporation-Pension-Plan/2018/,Kimberly-Clark Corporation,01/01/2018 — 12/31/2018,04/01/1961,"$1,415,042,000",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"2,985","4,156","4,853","11,994",925,"12,919","13,639",0,0,$0,$0,$0,$0,$0,$0,401 North Lake Street ,Neenah,WI,54956,(865) 541-7000,39-0394230,339900,Alisa Hunt,"Alight Financial Solutions, LLC","Recordkeeping and information management (computing, tabulating, data processing, etc.), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Recordkeeper,"$23,914",$0,"$23,914"
9,KIMBERLY-CLARK CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/199807/Kimberly-Clark-Corporation/13913780/Kimberly-Clark-Corporation-Pension-Plan/2018/,Kimberly-Clark Corporation,01/01/2018 — 12/31/2018,04/01/1961,"$1,415,042,000",1,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"2,985","4,156","4,853","11,994",925,"12,919","13,639",0,0,$0,$0,$0,$0,$0,$0,401 North Lake Street ,Neenah,WI,54956,(865) 541-7000,39-0394230,339900,Alisa Hunt,Total,Total,Total,"$4,612,068",$0,"$4,612,068"
