,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,LIBERTY MUTUAL RETIREMENT BENEFIT PLAN,https://www.brightscope.com/form-5500/basic-info/23032/Liberty-Mutual-Group-Inc/13913752/Liberty-Mutual-Retirement-Benefit-Plan/2018/,Liberty Mutual Group Inc,01/01/2018 — 12/31/2018,05/01/1951,"$7,268,689,716",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"35,927","21,631","18,277","75,835","2,330","78,165","78,695",0,"2,771",$0,$0,$0,$0,$0,$0,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,04-3583679,524150,Thomas Oksanen,Liberty Mutual Retirement Committee,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,61-1801137,Goldman Sachs Asset Management,"Investment management, Investment management fees paid directly by plan, Non-monetary compensation",NONE,"$2,310,160",$0,"$2,310,160"
1,LIBERTY MUTUAL RETIREMENT BENEFIT PLAN,https://www.brightscope.com/form-5500/basic-info/23032/Liberty-Mutual-Group-Inc/13913752/Liberty-Mutual-Retirement-Benefit-Plan/2018/,Liberty Mutual Group Inc,01/01/2018 — 12/31/2018,05/01/1951,"$7,268,689,716",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"35,927","21,631","18,277","75,835","2,330","78,165","78,695",0,"2,771",$0,$0,$0,$0,$0,$0,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,04-3583679,524150,Thomas Oksanen,Liberty Mutual Retirement Committee,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,61-1801137,Alight Solutions LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$2,182,470",$0,"$2,182,470"
2,LIBERTY MUTUAL RETIREMENT BENEFIT PLAN,https://www.brightscope.com/form-5500/basic-info/23032/Liberty-Mutual-Group-Inc/13913752/Liberty-Mutual-Retirement-Benefit-Plan/2018/,Liberty Mutual Group Inc,01/01/2018 — 12/31/2018,05/01/1951,"$7,268,689,716",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"35,927","21,631","18,277","75,835","2,330","78,165","78,695",0,"2,771",$0,$0,$0,$0,$0,$0,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,04-3583679,524150,Thomas Oksanen,Liberty Mutual Retirement Committee,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,61-1801137,The Bank of New York Mellon,"Custodial (other than securities), Trustee (bank, trust company, or similar financial institution), Other services, Direct payment from the plan",NONE,"$1,733,497",$0,"$1,733,497"
3,LIBERTY MUTUAL RETIREMENT BENEFIT PLAN,https://www.brightscope.com/form-5500/basic-info/23032/Liberty-Mutual-Group-Inc/13913752/Liberty-Mutual-Retirement-Benefit-Plan/2018/,Liberty Mutual Group Inc,01/01/2018 — 12/31/2018,05/01/1951,"$7,268,689,716",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"35,927","21,631","18,277","75,835","2,330","78,165","78,695",0,"2,771",$0,$0,$0,$0,$0,$0,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,04-3583679,524150,Thomas Oksanen,Liberty Mutual Retirement Committee,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,61-1801137,Numeric,"Investment management, Investment management fees paid directly by plan",NONE,"$1,261,219",$0,"$1,261,219"
4,LIBERTY MUTUAL RETIREMENT BENEFIT PLAN,https://www.brightscope.com/form-5500/basic-info/23032/Liberty-Mutual-Group-Inc/13913752/Liberty-Mutual-Retirement-Benefit-Plan/2018/,Liberty Mutual Group Inc,01/01/2018 — 12/31/2018,05/01/1951,"$7,268,689,716",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"35,927","21,631","18,277","75,835","2,330","78,165","78,695",0,"2,771",$0,$0,$0,$0,$0,$0,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,04-3583679,524150,Thomas Oksanen,Liberty Mutual Retirement Committee,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,61-1801137,Fid Inv Inst Ops Co,"Consulting (general), Direct payment from the plan",NONE,"$1,045,194",$0,"$1,045,194"
5,LIBERTY MUTUAL RETIREMENT BENEFIT PLAN,https://www.brightscope.com/form-5500/basic-info/23032/Liberty-Mutual-Group-Inc/13913752/Liberty-Mutual-Retirement-Benefit-Plan/2018/,Liberty Mutual Group Inc,01/01/2018 — 12/31/2018,05/01/1951,"$7,268,689,716",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"35,927","21,631","18,277","75,835","2,330","78,165","78,695",0,"2,771",$0,$0,$0,$0,$0,$0,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,04-3583679,524150,Thomas Oksanen,Liberty Mutual Retirement Committee,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,61-1801137,Arrow Street,"Investment management, Investment management fees paid directly by plan",NONE,"$1,005,385",$0,"$1,005,385"
6,LIBERTY MUTUAL RETIREMENT BENEFIT PLAN,https://www.brightscope.com/form-5500/basic-info/23032/Liberty-Mutual-Group-Inc/13913752/Liberty-Mutual-Retirement-Benefit-Plan/2018/,Liberty Mutual Group Inc,01/01/2018 — 12/31/2018,05/01/1951,"$7,268,689,716",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"35,927","21,631","18,277","75,835","2,330","78,165","78,695",0,"2,771",$0,$0,$0,$0,$0,$0,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,04-3583679,524150,Thomas Oksanen,Liberty Mutual Retirement Committee,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,61-1801137,Matthews Intl Capital Mgt LLC,"Investment advisory (participants), Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$981,180",$0,"$981,180"
7,LIBERTY MUTUAL RETIREMENT BENEFIT PLAN,https://www.brightscope.com/form-5500/basic-info/23032/Liberty-Mutual-Group-Inc/13913752/Liberty-Mutual-Retirement-Benefit-Plan/2018/,Liberty Mutual Group Inc,01/01/2018 — 12/31/2018,05/01/1951,"$7,268,689,716",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"35,927","21,631","18,277","75,835","2,330","78,165","78,695",0,"2,771",$0,$0,$0,$0,$0,$0,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,04-3583679,524150,Thomas Oksanen,Liberty Mutual Retirement Committee,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,61-1801137,Burgundy Asset Management,"Investment management, Foreign entity (...), Investment management fees paid directly by plan",NONE,"$964,560",$0,"$964,560"
8,LIBERTY MUTUAL RETIREMENT BENEFIT PLAN,https://www.brightscope.com/form-5500/basic-info/23032/Liberty-Mutual-Group-Inc/13913752/Liberty-Mutual-Retirement-Benefit-Plan/2018/,Liberty Mutual Group Inc,01/01/2018 — 12/31/2018,05/01/1951,"$7,268,689,716",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"35,927","21,631","18,277","75,835","2,330","78,165","78,695",0,"2,771",$0,$0,$0,$0,$0,$0,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,04-3583679,524150,Thomas Oksanen,Liberty Mutual Retirement Committee,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,61-1801137,GAM,"Investment management, Investment management fees paid directly by plan",NONE,"$819,693",$0,"$819,693"
9,LIBERTY MUTUAL RETIREMENT BENEFIT PLAN,https://www.brightscope.com/form-5500/basic-info/23032/Liberty-Mutual-Group-Inc/13913752/Liberty-Mutual-Retirement-Benefit-Plan/2018/,Liberty Mutual Group Inc,01/01/2018 — 12/31/2018,05/01/1951,"$7,268,689,716",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"35,927","21,631","18,277","75,835","2,330","78,165","78,695",0,"2,771",$0,$0,$0,$0,$0,$0,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,04-3583679,524150,Thomas Oksanen,Liberty Mutual Retirement Committee,175 Berkeley Street ,Boston,MA,02116,(617) 357-9500,61-1801137,Lazard Asset Management LLC,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$470,441",$0,"$470,441"
