,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,LINCOLN NATIONAL CORPORATION RETIREMENT PLAN FOR EMPLOYEES HIRED PRIOR TO JANUARY 1  2008,https://www.brightscope.com/form-5500/basic-info/157564/Lincoln-National-Corporation/13914071/Lincoln-National-Corporation-Retirement-Plan-For-Employees-Hired-Prior-To-January-1-2008/2018/,Lincoln National Corporation,01/01/2018 — 12/31/2018,01/01/1938,"$873,600,502",11,Single Employer,No,Yes,Trust,Trust,"3,020","5,278","7,258","15,556",632,"16,188","16,537",0,0,$0,$0,$0,$0,$0,$0,150 N Radnor Chester Road ,Radnor,PA,19087,(484) 583-1760,35-1140070,551112,Kathleen M. Biddle,Lincoln National Corporation Benefits Committee,150 N. Radnor-Chester Road ,Radnor,PA,19087,(484) 583-1760,35-1620788,Northern Trust Company,"Trustee (bank, trust company, or similar financial institution), Investment management fees paid directly by plan",NONE,"$1,046,984",$0,"$1,046,984"
1,LINCOLN NATIONAL CORPORATION RETIREMENT PLAN FOR EMPLOYEES HIRED PRIOR TO JANUARY 1  2008,https://www.brightscope.com/form-5500/basic-info/157564/Lincoln-National-Corporation/13914071/Lincoln-National-Corporation-Retirement-Plan-For-Employees-Hired-Prior-To-January-1-2008/2018/,Lincoln National Corporation,01/01/2018 — 12/31/2018,01/01/1938,"$873,600,502",11,Single Employer,No,Yes,Trust,Trust,"3,020","5,278","7,258","15,556",632,"16,188","16,537",0,0,$0,$0,$0,$0,$0,$0,150 N Radnor Chester Road ,Radnor,PA,19087,(484) 583-1760,35-1140070,551112,Kathleen M. Biddle,Lincoln National Corporation Benefits Committee,150 N. Radnor-Chester Road ,Radnor,PA,19087,(484) 583-1760,35-1620788,Mercer,Recordkeeping fees,NONE,"$1,025,204",$0,"$1,025,204"
2,LINCOLN NATIONAL CORPORATION RETIREMENT PLAN FOR EMPLOYEES HIRED PRIOR TO JANUARY 1  2008,https://www.brightscope.com/form-5500/basic-info/157564/Lincoln-National-Corporation/13914071/Lincoln-National-Corporation-Retirement-Plan-For-Employees-Hired-Prior-To-January-1-2008/2018/,Lincoln National Corporation,01/01/2018 — 12/31/2018,01/01/1938,"$873,600,502",11,Single Employer,No,Yes,Trust,Trust,"3,020","5,278","7,258","15,556",632,"16,188","16,537",0,0,$0,$0,$0,$0,$0,$0,150 N Radnor Chester Road ,Radnor,PA,19087,(484) 583-1760,35-1140070,551112,Kathleen M. Biddle,Lincoln National Corporation Benefits Committee,150 N. Radnor-Chester Road ,Radnor,PA,19087,(484) 583-1760,35-1620788,Delaware Management Company,Investment management fees paid directly by plan,NONE,"$813,625",$0,"$813,625"
3,LINCOLN NATIONAL CORPORATION RETIREMENT PLAN FOR EMPLOYEES HIRED PRIOR TO JANUARY 1  2008,https://www.brightscope.com/form-5500/basic-info/157564/Lincoln-National-Corporation/13914071/Lincoln-National-Corporation-Retirement-Plan-For-Employees-Hired-Prior-To-January-1-2008/2018/,Lincoln National Corporation,01/01/2018 — 12/31/2018,01/01/1938,"$873,600,502",11,Single Employer,No,Yes,Trust,Trust,"3,020","5,278","7,258","15,556",632,"16,188","16,537",0,0,$0,$0,$0,$0,$0,$0,150 N Radnor Chester Road ,Radnor,PA,19087,(484) 583-1760,35-1140070,551112,Kathleen M. Biddle,Lincoln National Corporation Benefits Committee,150 N. Radnor-Chester Road ,Radnor,PA,19087,(484) 583-1760,35-1620788,NISA,Investment management fees paid directly by plan,NONE,"$473,480",$0,"$473,480"
4,LINCOLN NATIONAL CORPORATION RETIREMENT PLAN FOR EMPLOYEES HIRED PRIOR TO JANUARY 1  2008,https://www.brightscope.com/form-5500/basic-info/157564/Lincoln-National-Corporation/13914071/Lincoln-National-Corporation-Retirement-Plan-For-Employees-Hired-Prior-To-January-1-2008/2018/,Lincoln National Corporation,01/01/2018 — 12/31/2018,01/01/1938,"$873,600,502",11,Single Employer,No,Yes,Trust,Trust,"3,020","5,278","7,258","15,556",632,"16,188","16,537",0,0,$0,$0,$0,$0,$0,$0,150 N Radnor Chester Road ,Radnor,PA,19087,(484) 583-1760,35-1140070,551112,Kathleen M. Biddle,Lincoln National Corporation Benefits Committee,150 N. Radnor-Chester Road ,Radnor,PA,19087,(484) 583-1760,35-1620788,Loomis,Investment management fees paid directly by plan,NONE,"$377,402",$0,"$377,402"
5,LINCOLN NATIONAL CORPORATION RETIREMENT PLAN FOR EMPLOYEES HIRED PRIOR TO JANUARY 1  2008,https://www.brightscope.com/form-5500/basic-info/157564/Lincoln-National-Corporation/13914071/Lincoln-National-Corporation-Retirement-Plan-For-Employees-Hired-Prior-To-January-1-2008/2018/,Lincoln National Corporation,01/01/2018 — 12/31/2018,01/01/1938,"$873,600,502",11,Single Employer,No,Yes,Trust,Trust,"3,020","5,278","7,258","15,556",632,"16,188","16,537",0,0,$0,$0,$0,$0,$0,$0,150 N Radnor Chester Road ,Radnor,PA,19087,(484) 583-1760,35-1140070,551112,Kathleen M. Biddle,Lincoln National Corporation Benefits Committee,150 N. Radnor-Chester Road ,Radnor,PA,19087,(484) 583-1760,35-1620788,QMA,Investment management fees paid directly by plan,NONE,"$346,300",$0,"$346,300"
6,LINCOLN NATIONAL CORPORATION RETIREMENT PLAN FOR EMPLOYEES HIRED PRIOR TO JANUARY 1  2008,https://www.brightscope.com/form-5500/basic-info/157564/Lincoln-National-Corporation/13914071/Lincoln-National-Corporation-Retirement-Plan-For-Employees-Hired-Prior-To-January-1-2008/2018/,Lincoln National Corporation,01/01/2018 — 12/31/2018,01/01/1938,"$873,600,502",11,Single Employer,No,Yes,Trust,Trust,"3,020","5,278","7,258","15,556",632,"16,188","16,537",0,0,$0,$0,$0,$0,$0,$0,150 N Radnor Chester Road ,Radnor,PA,19087,(484) 583-1760,35-1140070,551112,Kathleen M. Biddle,Lincoln National Corporation Benefits Committee,150 N. Radnor-Chester Road ,Radnor,PA,19087,(484) 583-1760,35-1620788,Callan Associates,Investment management,NONE,"$137,102",$0,"$137,102"
7,LINCOLN NATIONAL CORPORATION RETIREMENT PLAN FOR EMPLOYEES HIRED PRIOR TO JANUARY 1  2008,https://www.brightscope.com/form-5500/basic-info/157564/Lincoln-National-Corporation/13914071/Lincoln-National-Corporation-Retirement-Plan-For-Employees-Hired-Prior-To-January-1-2008/2018/,Lincoln National Corporation,01/01/2018 — 12/31/2018,01/01/1938,"$873,600,502",11,Single Employer,No,Yes,Trust,Trust,"3,020","5,278","7,258","15,556",632,"16,188","16,537",0,0,$0,$0,$0,$0,$0,$0,150 N Radnor Chester Road ,Radnor,PA,19087,(484) 583-1760,35-1140070,551112,Kathleen M. Biddle,Lincoln National Corporation Benefits Committee,150 N. Radnor-Chester Road ,Radnor,PA,19087,(484) 583-1760,35-1620788,Buck Consultants,Actuarial,NONE,"$88,084",$0,"$88,084"
8,LINCOLN NATIONAL CORPORATION RETIREMENT PLAN FOR EMPLOYEES HIRED PRIOR TO JANUARY 1  2008,https://www.brightscope.com/form-5500/basic-info/157564/Lincoln-National-Corporation/13914071/Lincoln-National-Corporation-Retirement-Plan-For-Employees-Hired-Prior-To-January-1-2008/2018/,Lincoln National Corporation,01/01/2018 — 12/31/2018,01/01/1938,"$873,600,502",11,Single Employer,No,Yes,Trust,Trust,"3,020","5,278","7,258","15,556",632,"16,188","16,537",0,0,$0,$0,$0,$0,$0,$0,150 N Radnor Chester Road ,Radnor,PA,19087,(484) 583-1760,35-1140070,551112,Kathleen M. Biddle,Lincoln National Corporation Benefits Committee,150 N. Radnor-Chester Road ,Radnor,PA,19087,(484) 583-1760,35-1620788,Mitchell & Titus,Accounting (including auditing),NONE,"$41,160",$0,"$41,160"
9,LINCOLN NATIONAL CORPORATION RETIREMENT PLAN FOR EMPLOYEES HIRED PRIOR TO JANUARY 1  2008,https://www.brightscope.com/form-5500/basic-info/157564/Lincoln-National-Corporation/13914071/Lincoln-National-Corporation-Retirement-Plan-For-Employees-Hired-Prior-To-January-1-2008/2018/,Lincoln National Corporation,01/01/2018 — 12/31/2018,01/01/1938,"$873,600,502",11,Single Employer,No,Yes,Trust,Trust,"3,020","5,278","7,258","15,556",632,"16,188","16,537",0,0,$0,$0,$0,$0,$0,$0,150 N Radnor Chester Road ,Radnor,PA,19087,(484) 583-1760,35-1140070,551112,Kathleen M. Biddle,Lincoln National Corporation Benefits Committee,150 N. Radnor-Chester Road ,Radnor,PA,19087,(484) 583-1760,35-1620788,State Street,Investment management fees paid directly by plan,NONE,"$30,812",$0,"$30,812"
