,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,LUCENT TECHNOLOGIES INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/100830/Alcatel-Lucent/13913706/Lucent-Technologies-Inc-Pension-Plan/,Alcatel-Lucent USA  Inc,01/01/2018 — 12/31/2018,10/01/1996,"$5,247,729,000",2,Single Employer,Yes,Yes,Trust,Trust,0,"19,710",6,"19,716","1,115","20,831","21,858",0,0,$0,$0,$0,$0,$0,$0,"600 Mountain Avenue, Room 6D-401A ",Murray Hill,NJ,07974,(908) 723-9869,22-3408857,334200,Susan Lear,Alight Solutions LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$3,108,406",$0,"$3,108,406"
1,LUCENT TECHNOLOGIES INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/100830/Alcatel-Lucent/13913706/Lucent-Technologies-Inc-Pension-Plan/,Alcatel-Lucent USA  Inc,01/01/2018 — 12/31/2018,10/01/1996,"$5,247,729,000",2,Single Employer,Yes,Yes,Trust,Trust,0,"19,710",6,"19,716","1,115","20,831","21,858",0,0,$0,$0,$0,$0,$0,$0,"600 Mountain Avenue, Room 6D-401A ",Murray Hill,NJ,07974,(908) 723-9869,22-3408857,334200,Susan Lear,"Aon Consulting, Inc.","Actuarial, Direct payment from the plan",NONE,"$1,241,731",$0,"$1,241,731"
2,LUCENT TECHNOLOGIES INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/100830/Alcatel-Lucent/13913706/Lucent-Technologies-Inc-Pension-Plan/,Alcatel-Lucent USA  Inc,01/01/2018 — 12/31/2018,10/01/1996,"$5,247,729,000",2,Single Employer,Yes,Yes,Trust,Trust,0,"19,710",6,"19,716","1,115","20,831","21,858",0,0,$0,$0,$0,$0,$0,$0,"600 Mountain Avenue, Room 6D-401A ",Murray Hill,NJ,07974,(908) 723-9869,22-3408857,334200,Susan Lear,"Express Scripts, Inc","Contract Administrator, Direct payment from the plan",NONE,"$1,201,985",$0,"$1,201,985"
3,LUCENT TECHNOLOGIES INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/100830/Alcatel-Lucent/13913706/Lucent-Technologies-Inc-Pension-Plan/,Alcatel-Lucent USA  Inc,01/01/2018 — 12/31/2018,10/01/1996,"$5,247,729,000",2,Single Employer,Yes,Yes,Trust,Trust,0,"19,710",6,"19,716","1,115","20,831","21,858",0,0,$0,$0,$0,$0,$0,$0,"600 Mountain Avenue, Room 6D-401A ",Murray Hill,NJ,07974,(908) 723-9869,22-3408857,334200,Susan Lear,United Healthcare,"Contract Administrator, Direct payment from the plan",NONE,"$1,166,565",$0,"$1,166,565"
4,LUCENT TECHNOLOGIES INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/100830/Alcatel-Lucent/13913706/Lucent-Technologies-Inc-Pension-Plan/,Alcatel-Lucent USA  Inc,01/01/2018 — 12/31/2018,10/01/1996,"$5,247,729,000",2,Single Employer,Yes,Yes,Trust,Trust,0,"19,710",6,"19,716","1,115","20,831","21,858",0,0,$0,$0,$0,$0,$0,$0,"600 Mountain Avenue, Room 6D-401A ",Murray Hill,NJ,07974,(908) 723-9869,22-3408857,334200,Susan Lear,Aetna,"Contract Administrator, Direct payment from the plan",NONE,"$474,600",$0,"$474,600"
5,LUCENT TECHNOLOGIES INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/100830/Alcatel-Lucent/13913706/Lucent-Technologies-Inc-Pension-Plan/,Alcatel-Lucent USA  Inc,01/01/2018 — 12/31/2018,10/01/1996,"$5,247,729,000",2,Single Employer,Yes,Yes,Trust,Trust,0,"19,710",6,"19,716","1,115","20,831","21,858",0,0,$0,$0,$0,$0,$0,$0,"600 Mountain Avenue, Room 6D-401A ",Murray Hill,NJ,07974,(908) 723-9869,22-3408857,334200,Susan Lear,Pricewaterhouse Coopers LLC,"Accounting (including auditing), Direct payment from the plan",NONE,"$366,156",$0,"$366,156"
6,LUCENT TECHNOLOGIES INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/100830/Alcatel-Lucent/13913706/Lucent-Technologies-Inc-Pension-Plan/,Alcatel-Lucent USA  Inc,01/01/2018 — 12/31/2018,10/01/1996,"$5,247,729,000",2,Single Employer,Yes,Yes,Trust,Trust,0,"19,710",6,"19,716","1,115","20,831","21,858",0,0,$0,$0,$0,$0,$0,$0,"600 Mountain Avenue, Room 6D-401A ",Murray Hill,NJ,07974,(908) 723-9869,22-3408857,334200,Susan Lear,Candid Litho,"Copying and duplicating, Direct payment from the plan",NONE,"$258,770",$0,"$258,770"
7,LUCENT TECHNOLOGIES INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/100830/Alcatel-Lucent/13913706/Lucent-Technologies-Inc-Pension-Plan/,Alcatel-Lucent USA  Inc,01/01/2018 — 12/31/2018,10/01/1996,"$5,247,729,000",2,Single Employer,Yes,Yes,Trust,Trust,0,"19,710",6,"19,716","1,115","20,831","21,858",0,0,$0,$0,$0,$0,$0,$0,"600 Mountain Avenue, Room 6D-401A ",Murray Hill,NJ,07974,(908) 723-9869,22-3408857,334200,Susan Lear,Ibm Watson Health,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$147,945",$0,"$147,945"
8,LUCENT TECHNOLOGIES INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/100830/Alcatel-Lucent/13913706/Lucent-Technologies-Inc-Pension-Plan/,Alcatel-Lucent USA  Inc,01/01/2018 — 12/31/2018,10/01/1996,"$5,247,729,000",2,Single Employer,Yes,Yes,Trust,Trust,0,"19,710",6,"19,716","1,115","20,831","21,858",0,0,$0,$0,$0,$0,$0,$0,"600 Mountain Avenue, Room 6D-401A ",Murray Hill,NJ,07974,(908) 723-9869,22-3408857,334200,Susan Lear,Seyfarth Shaw,"Legal, Direct payment from the plan",NONE,"$96,268",$0,"$96,268"
9,LUCENT TECHNOLOGIES INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/100830/Alcatel-Lucent/13913706/Lucent-Technologies-Inc-Pension-Plan/,Alcatel-Lucent USA  Inc,01/01/2018 — 12/31/2018,10/01/1996,"$5,247,729,000",2,Single Employer,Yes,Yes,Trust,Trust,0,"19,710",6,"19,716","1,115","20,831","21,858",0,0,$0,$0,$0,$0,$0,$0,"600 Mountain Avenue, Room 6D-401A ",Murray Hill,NJ,07974,(908) 723-9869,22-3408857,334200,Susan Lear,Nokia of America Corporation,"Employee (plan sponsor), Direct payment from the plan, Non-monetary compensation",Employer,"$79,806",$10,"$79,816"
