,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Report Description,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,MACYS INC CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/48062/Macys-Inc/13913801/Macys-Inc-Cash-Account-Pension-Plan/2018/,MACYS INC,01/01/2018 — 12/31/2018,01/01/1984,"$2,923,433,000",12,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"43,577","38,607","34,322","116,506",0,"116,506","122,935",0,"1,197",$0,$0,$0,$0,$0,$0,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,13-3324058,452200,Stephen J. O'Bryan,Stephen J. O'Bryan,Macys Inc Pension & P/S Admin Comm,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,31-1104425,"Merrill Lynch, Pierce, Fenner & Smi",Recordkeeping fees,Recordkeeping,"$2,623,836",$0,"$2,623,836"
1,MACYS INC CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/48062/Macys-Inc/13913801/Macys-Inc-Cash-Account-Pension-Plan/2018/,MACYS INC,01/01/2018 — 12/31/2018,01/01/1984,"$2,923,433,000",12,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"43,577","38,607","34,322","116,506",0,"116,506","122,935",0,"1,197",$0,$0,$0,$0,$0,$0,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,13-3324058,452200,Stephen J. O'Bryan,Stephen J. O'Bryan,Macys Inc Pension & P/S Admin Comm,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,31-1104425,Macy's Inc.,"Plan Administrator, Participant communication",Plan Adm/Plan Comm,"$2,551,628",$0,"$2,551,628"
2,MACYS INC CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/48062/Macys-Inc/13913801/Macys-Inc-Cash-Account-Pension-Plan/2018/,MACYS INC,01/01/2018 — 12/31/2018,01/01/1984,"$2,923,433,000",12,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"43,577","38,607","34,322","116,506",0,"116,506","122,935",0,"1,197",$0,$0,$0,$0,$0,$0,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,13-3324058,452200,Stephen J. O'Bryan,Stephen J. O'Bryan,Macys Inc Pension & P/S Admin Comm,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,31-1104425,Adams Street Partners,Investment management fees paid directly by plan,Inv Mgr,"$930,795",$0,"$930,795"
3,MACYS INC CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/48062/Macys-Inc/13913801/Macys-Inc-Cash-Account-Pension-Plan/2018/,MACYS INC,01/01/2018 — 12/31/2018,01/01/1984,"$2,923,433,000",12,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"43,577","38,607","34,322","116,506",0,"116,506","122,935",0,"1,197",$0,$0,$0,$0,$0,$0,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,13-3324058,452200,Stephen J. O'Bryan,Stephen J. O'Bryan,Macys Inc Pension & P/S Admin Comm,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,31-1104425,Pacific Investment Management Co Ll,Investment management fees paid directly by plan,Inv Mgr,"$788,612",$0,"$788,612"
4,MACYS INC CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/48062/Macys-Inc/13913801/Macys-Inc-Cash-Account-Pension-Plan/2018/,MACYS INC,01/01/2018 — 12/31/2018,01/01/1984,"$2,923,433,000",12,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"43,577","38,607","34,322","116,506",0,"116,506","122,935",0,"1,197",$0,$0,$0,$0,$0,$0,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,13-3324058,452200,Stephen J. O'Bryan,Stephen J. O'Bryan,Macys Inc Pension & P/S Admin Comm,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,31-1104425,"Wellington Trust Company, Na",Investment management fees paid indirectly by plan,Inv Mgr,$0,"$782,394","$782,394"
5,MACYS INC CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/48062/Macys-Inc/13913801/Macys-Inc-Cash-Account-Pension-Plan/2018/,MACYS INC,01/01/2018 — 12/31/2018,01/01/1984,"$2,923,433,000",12,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"43,577","38,607","34,322","116,506",0,"116,506","122,935",0,"1,197",$0,$0,$0,$0,$0,$0,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,13-3324058,452200,Stephen J. O'Bryan,Stephen J. O'Bryan,Macys Inc Pension & P/S Admin Comm,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,31-1104425,Wellington Management Co.,Investment management fees paid directly by plan,Inv Mgr,"$608,157",$0,"$608,157"
6,MACYS INC CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/48062/Macys-Inc/13913801/Macys-Inc-Cash-Account-Pension-Plan/2018/,MACYS INC,01/01/2018 — 12/31/2018,01/01/1984,"$2,923,433,000",12,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"43,577","38,607","34,322","116,506",0,"116,506","122,935",0,"1,197",$0,$0,$0,$0,$0,$0,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,13-3324058,452200,Stephen J. O'Bryan,Stephen J. O'Bryan,Macys Inc Pension & P/S Admin Comm,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,31-1104425,J.P. Morgan Investment Mgmt.,"Trustee (discretionary), Investment advisory (plan), Investment management",Trustee/Inv Adv/Inv Mgr,"$591,144",$0,"$591,144"
7,MACYS INC CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/48062/Macys-Inc/13913801/Macys-Inc-Cash-Account-Pension-Plan/2018/,MACYS INC,01/01/2018 — 12/31/2018,01/01/1984,"$2,923,433,000",12,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"43,577","38,607","34,322","116,506",0,"116,506","122,935",0,"1,197",$0,$0,$0,$0,$0,$0,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,13-3324058,452200,Stephen J. O'Bryan,Stephen J. O'Bryan,Macys Inc Pension & P/S Admin Comm,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,31-1104425,Access Corp,"Recordkeeping and information management (computing, tabulating, data processing, etc.)",Rcdkpg/Info Mgt,"$566,471",$0,"$566,471"
8,MACYS INC CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/48062/Macys-Inc/13913801/Macys-Inc-Cash-Account-Pension-Plan/2018/,MACYS INC,01/01/2018 — 12/31/2018,01/01/1984,"$2,923,433,000",12,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"43,577","38,607","34,322","116,506",0,"116,506","122,935",0,"1,197",$0,$0,$0,$0,$0,$0,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,13-3324058,452200,Stephen J. O'Bryan,Stephen J. O'Bryan,Macys Inc Pension & P/S Admin Comm,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,31-1104425,"Nisa Investment Advisors, LLC",Investment management fees paid directly by plan,Inv Mgr,"$531,396",$0,"$531,396"
9,MACYS INC CASH ACCOUNT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/48062/Macys-Inc/13913801/Macys-Inc-Cash-Account-Pension-Plan/2018/,MACYS INC,01/01/2018 — 12/31/2018,01/01/1984,"$2,923,433,000",12,Single Employer,No,Yes,This is an amended report.,Trust,Trust,"43,577","38,607","34,322","116,506",0,"116,506","122,935",0,"1,197",$0,$0,$0,$0,$0,$0,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,13-3324058,452200,Stephen J. O'Bryan,Stephen J. O'Bryan,Macys Inc Pension & P/S Admin Comm,7 W 7th St ,Cincinnati,OH,45202,(513) 579-7000,31-1104425,"Wells Fargo Bank, N.A.","Trustee (bank, trust company, or similar financial institution)",Trustee,"$399,043",$0,"$399,043"
