,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,MARATHON PETROLEUM RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/1025741/Marathon-Petroleum-Company-Lp/13928991/Marathon-Petroleum-Retirement-Plan/,Marathon Petroleum Company LP,01/01/2018 — 12/31/2018,04/01/1998,"$1,622,792,734",1,Single Employer,Yes,Yes,Trust,Trust,"12,227","1,064","1,611","14,902",159,"15,061","14,332",0,99,$0,$0,$0,$0,$0,$0,"539 South Main Street, Room 3123 ",Findlay,OH,45840,(419) 422-2121,31-1537655,324110,Stephen A. Nelson,539 South Main Street ,Findlay,OH,45840,(419) 422-2121,47-5024252,Pacific Investment Management Co.,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$671,502",$0,"$671,502"
1,MARATHON PETROLEUM RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/1025741/Marathon-Petroleum-Company-Lp/13928991/Marathon-Petroleum-Retirement-Plan/,Marathon Petroleum Company LP,01/01/2018 — 12/31/2018,04/01/1998,"$1,622,792,734",1,Single Employer,Yes,Yes,Trust,Trust,"12,227","1,064","1,611","14,902",159,"15,061","14,332",0,99,$0,$0,$0,$0,$0,$0,"539 South Main Street, Room 3123 ",Findlay,OH,45840,(419) 422-2121,31-1537655,324110,Stephen A. Nelson,539 South Main Street ,Findlay,OH,45840,(419) 422-2121,47-5024252,Barrow Hanley Mewhinney Strauss LLC,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$548,049",$0,"$548,049"
2,MARATHON PETROLEUM RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/1025741/Marathon-Petroleum-Company-Lp/13928991/Marathon-Petroleum-Retirement-Plan/,Marathon Petroleum Company LP,01/01/2018 — 12/31/2018,04/01/1998,"$1,622,792,734",1,Single Employer,Yes,Yes,Trust,Trust,"12,227","1,064","1,611","14,902",159,"15,061","14,332",0,99,$0,$0,$0,$0,$0,$0,"539 South Main Street, Room 3123 ",Findlay,OH,45840,(419) 422-2121,31-1537655,324110,Stephen A. Nelson,539 South Main Street ,Findlay,OH,45840,(419) 422-2121,47-5024252,Hexavest,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$507,334",$0,"$507,334"
3,MARATHON PETROLEUM RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/1025741/Marathon-Petroleum-Company-Lp/13928991/Marathon-Petroleum-Retirement-Plan/,Marathon Petroleum Company LP,01/01/2018 — 12/31/2018,04/01/1998,"$1,622,792,734",1,Single Employer,Yes,Yes,Trust,Trust,"12,227","1,064","1,611","14,902",159,"15,061","14,332",0,99,$0,$0,$0,$0,$0,$0,"539 South Main Street, Room 3123 ",Findlay,OH,45840,(419) 422-2121,31-1537655,324110,Stephen A. Nelson,539 South Main Street ,Findlay,OH,45840,(419) 422-2121,47-5024252,"Blackrock Financial Management, Inc","Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$485,768",$0,"$485,768"
4,MARATHON PETROLEUM RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/1025741/Marathon-Petroleum-Company-Lp/13928991/Marathon-Petroleum-Retirement-Plan/,Marathon Petroleum Company LP,01/01/2018 — 12/31/2018,04/01/1998,"$1,622,792,734",1,Single Employer,Yes,Yes,Trust,Trust,"12,227","1,064","1,611","14,902",159,"15,061","14,332",0,99,$0,$0,$0,$0,$0,$0,"539 South Main Street, Room 3123 ",Findlay,OH,45840,(419) 422-2121,31-1537655,324110,Stephen A. Nelson,539 South Main Street ,Findlay,OH,45840,(419) 422-2121,47-5024252,Morgan Stanley Invest. Mgmt Inc.,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$390,863",$0,"$390,863"
5,MARATHON PETROLEUM RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/1025741/Marathon-Petroleum-Company-Lp/13928991/Marathon-Petroleum-Retirement-Plan/,Marathon Petroleum Company LP,01/01/2018 — 12/31/2018,04/01/1998,"$1,622,792,734",1,Single Employer,Yes,Yes,Trust,Trust,"12,227","1,064","1,611","14,902",159,"15,061","14,332",0,99,$0,$0,$0,$0,$0,$0,"539 South Main Street, Room 3123 ",Findlay,OH,45840,(419) 422-2121,31-1537655,324110,Stephen A. Nelson,539 South Main Street ,Findlay,OH,45840,(419) 422-2121,47-5024252,Kayne Anderson Rudnick,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$258,144","$3,954","$262,098"
6,MARATHON PETROLEUM RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/1025741/Marathon-Petroleum-Company-Lp/13928991/Marathon-Petroleum-Retirement-Plan/,Marathon Petroleum Company LP,01/01/2018 — 12/31/2018,04/01/1998,"$1,622,792,734",1,Single Employer,Yes,Yes,Trust,Trust,"12,227","1,064","1,611","14,902",159,"15,061","14,332",0,99,$0,$0,$0,$0,$0,$0,"539 South Main Street, Room 3123 ",Findlay,OH,45840,(419) 422-2121,31-1537655,324110,Stephen A. Nelson,539 South Main Street ,Findlay,OH,45840,(419) 422-2121,47-5024252,The Northern Trust Company,"Trustee (bank, trust company, or similar financial institution), Trustee (directed), Direct payment from the plan",Trustee,"$212,816",$0,"$212,816"
7,MARATHON PETROLEUM RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/1025741/Marathon-Petroleum-Company-Lp/13928991/Marathon-Petroleum-Retirement-Plan/,Marathon Petroleum Company LP,01/01/2018 — 12/31/2018,04/01/1998,"$1,622,792,734",1,Single Employer,Yes,Yes,Trust,Trust,"12,227","1,064","1,611","14,902",159,"15,061","14,332",0,99,$0,$0,$0,$0,$0,$0,"539 South Main Street, Room 3123 ",Findlay,OH,45840,(419) 422-2121,31-1537655,324110,Stephen A. Nelson,539 South Main Street ,Findlay,OH,45840,(419) 422-2121,47-5024252,"Aon Investment Consulting, LLC","Actuarial, Direct payment from the plan",NONE,"$197,081",$0,"$197,081"
8,MARATHON PETROLEUM RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/1025741/Marathon-Petroleum-Company-Lp/13928991/Marathon-Petroleum-Retirement-Plan/,Marathon Petroleum Company LP,01/01/2018 — 12/31/2018,04/01/1998,"$1,622,792,734",1,Single Employer,Yes,Yes,Trust,Trust,"12,227","1,064","1,611","14,902",159,"15,061","14,332",0,99,$0,$0,$0,$0,$0,$0,"539 South Main Street, Room 3123 ",Findlay,OH,45840,(419) 422-2121,31-1537655,324110,Stephen A. Nelson,539 South Main Street ,Findlay,OH,45840,(419) 422-2121,47-5024252,Mercer,"Consulting (pension), Direct payment from the plan",NONE,"$180,995",$0,"$180,995"
9,MARATHON PETROLEUM RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/1025741/Marathon-Petroleum-Company-Lp/13928991/Marathon-Petroleum-Retirement-Plan/,Marathon Petroleum Company LP,01/01/2018 — 12/31/2018,04/01/1998,"$1,622,792,734",1,Single Employer,Yes,Yes,Trust,Trust,"12,227","1,064","1,611","14,902",159,"15,061","14,332",0,99,$0,$0,$0,$0,$0,$0,"539 South Main Street, Room 3123 ",Findlay,OH,45840,(419) 422-2121,31-1537655,324110,Stephen A. Nelson,539 South Main Street ,Findlay,OH,45840,(419) 422-2121,47-5024252,"Hamilton Lane Advisors, LLC","Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$120,086",$0,"$120,086"
10,MARATHON PETROLEUM RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/1025741/Marathon-Petroleum-Company-Lp/13928991/Marathon-Petroleum-Retirement-Plan/,Marathon Petroleum Company LP,01/01/2018 — 12/31/2018,04/01/1998,"$1,622,792,734",1,Single Employer,Yes,Yes,Trust,Trust,"12,227","1,064","1,611","14,902",159,"15,061","14,332",0,99,$0,$0,$0,$0,$0,$0,"539 South Main Street, Room 3123 ",Findlay,OH,45840,(419) 422-2121,31-1537655,324110,Stephen A. Nelson,539 South Main Street ,Findlay,OH,45840,(419) 422-2121,47-5024252,"Blackrock Institutional Trust Co,Na","Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$55,027",$0,"$55,027"
11,MARATHON PETROLEUM RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/1025741/Marathon-Petroleum-Company-Lp/13928991/Marathon-Petroleum-Retirement-Plan/,Marathon Petroleum Company LP,01/01/2018 — 12/31/2018,04/01/1998,"$1,622,792,734",1,Single Employer,Yes,Yes,Trust,Trust,"12,227","1,064","1,611","14,902",159,"15,061","14,332",0,99,$0,$0,$0,$0,$0,$0,"539 South Main Street, Room 3123 ",Findlay,OH,45840,(419) 422-2121,31-1537655,324110,Stephen A. Nelson,539 South Main Street ,Findlay,OH,45840,(419) 422-2121,47-5024252,Hexavest,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$26,148",$0,"$26,148"
12,MARATHON PETROLEUM RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/1025741/Marathon-Petroleum-Company-Lp/13928991/Marathon-Petroleum-Retirement-Plan/,Marathon Petroleum Company LP,01/01/2018 — 12/31/2018,04/01/1998,"$1,622,792,734",1,Single Employer,Yes,Yes,Trust,Trust,"12,227","1,064","1,611","14,902",159,"15,061","14,332",0,99,$0,$0,$0,$0,$0,$0,"539 South Main Street, Room 3123 ",Findlay,OH,45840,(419) 422-2121,31-1537655,324110,Stephen A. Nelson,539 South Main Street ,Findlay,OH,45840,(419) 422-2121,47-5024252,Us Steel and Carnegie Pension Fund,"Direct payment from the plan, Investment management, Investment management fees paid directly by plan",NONE,"$23,259",$0,"$23,259"
13,MARATHON PETROLEUM RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/1025741/Marathon-Petroleum-Company-Lp/13928991/Marathon-Petroleum-Retirement-Plan/,Marathon Petroleum Company LP,01/01/2018 — 12/31/2018,04/01/1998,"$1,622,792,734",1,Single Employer,Yes,Yes,Trust,Trust,"12,227","1,064","1,611","14,902",159,"15,061","14,332",0,99,$0,$0,$0,$0,$0,$0,"539 South Main Street, Room 3123 ",Findlay,OH,45840,(419) 422-2121,31-1537655,324110,Stephen A. Nelson,539 South Main Street ,Findlay,OH,45840,(419) 422-2121,47-5024252,Total,Total,Total,"$3,677,072","$3,954","$3,681,026"
