,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,MEDSTAR HEALTH INC PENSION EQUITY PLAN,https://www.brightscope.com/form-5500/basic-info/253981/Medstar-Health-Inc/13914529/Medstar-Health-Inc-Pension-Equity-Plan/2018/,MedStar Health Inc,01/01/2018 — 12/31/2018,01/01/1989,"$466,960,616",1,Single Employer,No,Yes,Trust,Trust,"2,541","4,206","4,140","10,887",320,"11,207","11,296",0,43,$0,$0,$0,$0,$0,$0,10980 Grantchester Way ,Columbia,MD,21044,(410) 772-6500,52-2087445,622000,Fidelity Investments,"Recordkeeping and information management (computing, tabulating, data processing, etc.)",NONE,"$682,610",$0,"$682,610"
1,MEDSTAR HEALTH INC PENSION EQUITY PLAN,https://www.brightscope.com/form-5500/basic-info/253981/Medstar-Health-Inc/13914529/Medstar-Health-Inc-Pension-Equity-Plan/2018/,MedStar Health Inc,01/01/2018 — 12/31/2018,01/01/1989,"$466,960,616",1,Single Employer,No,Yes,Trust,Trust,"2,541","4,206","4,140","10,887",320,"11,207","11,296",0,43,$0,$0,$0,$0,$0,$0,10980 Grantchester Way ,Columbia,MD,21044,(410) 772-6500,52-2087445,622000,Towers Watson Delaware Inc.,Actuarial,NONE,"$351,232",$0,"$351,232"
2,MEDSTAR HEALTH INC PENSION EQUITY PLAN,https://www.brightscope.com/form-5500/basic-info/253981/Medstar-Health-Inc/13914529/Medstar-Health-Inc-Pension-Equity-Plan/2018/,MedStar Health Inc,01/01/2018 — 12/31/2018,01/01/1989,"$466,960,616",1,Single Employer,No,Yes,Trust,Trust,"2,541","4,206","4,140","10,887",320,"11,207","11,296",0,43,$0,$0,$0,$0,$0,$0,10980 Grantchester Way ,Columbia,MD,21044,(410) 772-6500,52-2087445,622000,Wellington Trust Company,Investment management fees paid directly by plan,NONE,"$195,897",$0,"$195,897"
3,MEDSTAR HEALTH INC PENSION EQUITY PLAN,https://www.brightscope.com/form-5500/basic-info/253981/Medstar-Health-Inc/13914529/Medstar-Health-Inc-Pension-Equity-Plan/2018/,MedStar Health Inc,01/01/2018 — 12/31/2018,01/01/1989,"$466,960,616",1,Single Employer,No,Yes,Trust,Trust,"2,541","4,206","4,140","10,887",320,"11,207","11,296",0,43,$0,$0,$0,$0,$0,$0,10980 Grantchester Way ,Columbia,MD,21044,(410) 772-6500,52-2087445,622000,Schroder Investment Management,Investment management fees paid directly by plan,NONE,"$149,910",$0,"$149,910"
4,MEDSTAR HEALTH INC PENSION EQUITY PLAN,https://www.brightscope.com/form-5500/basic-info/253981/Medstar-Health-Inc/13914529/Medstar-Health-Inc-Pension-Equity-Plan/2018/,MedStar Health Inc,01/01/2018 — 12/31/2018,01/01/1989,"$466,960,616",1,Single Employer,No,Yes,Trust,Trust,"2,541","4,206","4,140","10,887",320,"11,207","11,296",0,43,$0,$0,$0,$0,$0,$0,10980 Grantchester Way ,Columbia,MD,21044,(410) 772-6500,52-2087445,622000,Westfield Capital Management,Investment management fees paid directly by plan,NONE,"$135,528",$0,"$135,528"
5,MEDSTAR HEALTH INC PENSION EQUITY PLAN,https://www.brightscope.com/form-5500/basic-info/253981/Medstar-Health-Inc/13914529/Medstar-Health-Inc-Pension-Equity-Plan/2018/,MedStar Health Inc,01/01/2018 — 12/31/2018,01/01/1989,"$466,960,616",1,Single Employer,No,Yes,Trust,Trust,"2,541","4,206","4,140","10,887",320,"11,207","11,296",0,43,$0,$0,$0,$0,$0,$0,10980 Grantchester Way ,Columbia,MD,21044,(410) 772-6500,52-2087445,622000,Pnc Bank Na,"Trustee (bank, trust company, or similar financial institution)",NONE,"$93,402",$0,"$93,402"
6,MEDSTAR HEALTH INC PENSION EQUITY PLAN,https://www.brightscope.com/form-5500/basic-info/253981/Medstar-Health-Inc/13914529/Medstar-Health-Inc-Pension-Equity-Plan/2018/,MedStar Health Inc,01/01/2018 — 12/31/2018,01/01/1989,"$466,960,616",1,Single Employer,No,Yes,Trust,Trust,"2,541","4,206","4,140","10,887",320,"11,207","11,296",0,43,$0,$0,$0,$0,$0,$0,10980 Grantchester Way ,Columbia,MD,21044,(410) 772-6500,52-2087445,622000,Tcw Asset Management Company,Investment management fees paid directly by plan,NONE,"$87,633",$0,"$87,633"
7,MEDSTAR HEALTH INC PENSION EQUITY PLAN,https://www.brightscope.com/form-5500/basic-info/253981/Medstar-Health-Inc/13914529/Medstar-Health-Inc-Pension-Equity-Plan/2018/,MedStar Health Inc,01/01/2018 — 12/31/2018,01/01/1989,"$466,960,616",1,Single Employer,No,Yes,Trust,Trust,"2,541","4,206","4,140","10,887",320,"11,207","11,296",0,43,$0,$0,$0,$0,$0,$0,10980 Grantchester Way ,Columbia,MD,21044,(410) 772-6500,52-2087445,622000,Hotchkis and Wiley,Investment management fees paid directly by plan,NONE,"$66,647",$0,"$66,647"
8,MEDSTAR HEALTH INC PENSION EQUITY PLAN,https://www.brightscope.com/form-5500/basic-info/253981/Medstar-Health-Inc/13914529/Medstar-Health-Inc-Pension-Equity-Plan/2018/,MedStar Health Inc,01/01/2018 — 12/31/2018,01/01/1989,"$466,960,616",1,Single Employer,No,Yes,Trust,Trust,"2,541","4,206","4,140","10,887",320,"11,207","11,296",0,43,$0,$0,$0,$0,$0,$0,10980 Grantchester Way ,Columbia,MD,21044,(410) 772-6500,52-2087445,622000,Dsm Capital Partners,Investment management fees paid directly by plan,NONE,"$65,101",$0,"$65,101"
9,MEDSTAR HEALTH INC PENSION EQUITY PLAN,https://www.brightscope.com/form-5500/basic-info/253981/Medstar-Health-Inc/13914529/Medstar-Health-Inc-Pension-Equity-Plan/2018/,MedStar Health Inc,01/01/2018 — 12/31/2018,01/01/1989,"$466,960,616",1,Single Employer,No,Yes,Trust,Trust,"2,541","4,206","4,140","10,887",320,"11,207","11,296",0,43,$0,$0,$0,$0,$0,$0,10980 Grantchester Way ,Columbia,MD,21044,(410) 772-6500,52-2087445,622000,Aronson Partners,Investment management fees paid directly by plan,NONE,"$63,461",$0,"$63,461"
